CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEQUENCE,PREEVENT,CASEWGT,PSUSTRAT,VERSION
24415,23,1,1-23-2022-001-07,7,1,1,6,257.8118182,5,7
24419,59,1,1-59-2022-001-10,10,1,1,8,480.9320563,6,7
24425,77,1,1-77-2022-001-09,9,1,1,8,83.41183093,9,7
24429,19,1,1-19-2022-001-09,9,1,1,8,168.9058049,9,7
24429,19,1,1-19-2022-001-09,9,1,2,9,168.9058049,9,7
24429,19,1,1-19-2022-001-09,9,1,3,2,168.9058049,9,7
24429,19,1,1-19-2022-001-09,9,1,4,6,168.9058049,9,7
24445,11,1,1-11-2022-001-10,10,1,1,2,82.3585487,8,7
24445,11,1,1-11-2022-001-10,10,1,2,6,82.3585487,8,7
24451,32,1,1-32-2022-001-03,3,1,1,8,47.64947451,7,7
24452,10,1,1-10-2022-001-06,6,1,1,6,144.4790072,4,7
24457,73,1,1-73-2022-001-10,10,1,1,8,53.43523977,3,7
24487,23,2,1-23-2022-002-04,4,1,1,2,177.6968147,5,7
24487,23,2,1-23-2022-002-04,4,1,2,6,177.6968147,5,7
24488,23,3,1-23-2022-003-10,10,1,1,2,1004.081042,5,7
24488,23,3,1-23-2022-003-10,10,1,2,6,1004.081042,5,7
24493,17,1,1-17-2022-001-08,8,1,1,2,425.9677124,4,7
24493,17,1,1-17-2022-001-08,8,1,2,2,425.9677124,4,7
24494,19,2,1-19-2022-002-05,5,1,1,8,37.27910038,9,7
24497,19,5,1-19-2022-005-06,6,1,1,8,212.3731499,9,7
24500,13,1,1-13-2022-001-01,1,1,1,8,96.51454391,7,7
24506,10,2,1-10-2022-002-10,10,1,1,8,3536.926534,4,7
24509,16,1,1-16-2022-001-04,4,1,1,8,1244.596141,5,7
24511,28,1,1-28-2022-001-10,10,1,1,8,200.3657103,3,7
24513,66,1,1-66-2022-001-04,4,1,1,8,291.3995734,6,7
24516,25,2,1-25-2022-002-10,10,1,1,8,7464.231254,2,7
24517,73,2,1-73-2022-002-07,7,1,1,8,671.1984594,3,7
24522,31,1,1-31-2022-001-01,1,1,1,2,279.9066687,6,7
24522,31,1,1-31-2022-001-01,1,1,2,6,279.9066687,6,7
24528,27,1,1-27-2022-001-06,6,1,1,6,127.9991741,3,7
24530,20,1,1-20-2022-001-03,3,1,1,8,117.4294221,11,7
24532,26,1,1-26-2022-001-03,3,1,1,2,226.805065,10,7
24537,29,1,1-29-2022-001-06,6,1,1,4,1219.583364,2,7
24537,29,1,1-29-2022-001-06,6,1,2,8,1219.583364,2,7
24545,77,2,1-77-2022-002-01,1,1,1,2,211.9880663,9,7
24548,59,2,1-59-2022-002-06,6,1,1,8,313.6742449,6,7
24549,59,3,1-59-2022-003-05,5,1,1,8,39.03825195,6,7
24552,19,6,1-19-2022-006-02,2,1,1,2,52.3928042,9,7
24552,19,6,1-19-2022-006-02,2,1,2,6,52.3928042,9,7
24556,19,10,1-19-2022-010-07,7,1,1,8,470.6217507,9,7
24556,19,10,1-19-2022-010-07,7,1,2,9,470.6217507,9,7
24560,24,1,1-24-2022-001-04,4,1,1,8,1037.474845,1,7
24562,24,3,1-24-2022-003-03,3,1,1,6,245.7609152,1,7
24563,73,3,1-73-2022-003-07,7,1,1,2,957.7372056,3,7
24563,73,3,1-73-2022-003-07,7,1,2,6,957.7372056,3,7
24564,73,4,1-73-2022-004-02,2,1,1,2,37.3527147,3,7
24564,73,4,1-73-2022-004-02,2,1,2,6,37.3527147,3,7
