CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTAREA,CONTCOMP,OCCNO,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
25248,66,19,1-66-2022-019-07,7,1,D,8,163,1,512,5,2,138.884824,6,7
25249,66,20,1-66-2022-020-10,10,1,A,4,611,1,401,3,1,417.8758308,6,7
25249,66,20,1-66-2022-020-10,10,1,B,1,3,1,101,2,1,417.8758308,6,7
25249,66,20,1-66-2022-020-10,10,1,C,1,21,1,761,2,1,417.8758308,6,7
25249,66,20,1-66-2022-020-10,10,1,D,1,21,1,761,5,1,417.8758308,6,7
25254,52,31,1-52-2022-031-08,8,1,A,1,21,1,841,3,2,115.9393203,12,7
25254,52,31,1-52-2022-031-08,8,1,B,1,21,1,842,3,2,115.9393203,12,7
25258,73,25,1-73-2022-025-03,3,1,A,4,611,1,201,3,2,32.78390084,3,7
25261,28,22,1-28-2022-022-04,4,1,A,1,2,1,762,98,3,61.63580427,3,7
25263,16,18,1-16-2022-018-03,3,1,A,4,611,1,742,3,3,198.3866475,5,7
25269,13,40,1-13-2022-040-02,2,2,A,8,152,1,401,8,3,29.78224817,7,7
25269,13,40,1-13-2022-040-02,2,2,B,8,152,2,401,8,3,29.78224817,7,7
25269,13,40,1-13-2022-040-02,2,2,C,8,152,3,401,8,3,29.78224817,7,7
25269,13,40,1-13-2022-040-02,2,2,D,8,163,1,832,5,2,29.78224817,7,7
25269,13,40,1-13-2022-040-02,2,2,E,6,584,2,732,5,3,29.78224817,7,7
25269,13,40,1-13-2022-040-02,2,1,A,8,152,1,401,8,2,29.78224817,7,7
25269,13,40,1-13-2022-040-02,2,1,B,1,1,2,761,2,2,29.78224817,7,7
25269,13,40,1-13-2022-040-02,2,1,C,1,1,2,762,2,2,29.78224817,7,7
25271,31,18,1-31-2022-018-03,3,1,C,10,205,1,101,3,2,228.1961067,6,7
25271,31,18,1-31-2022-018-03,3,1,A,4,611,1,201,4,1,228.1961067,6,7
25271,31,18,1-31-2022-018-03,3,1,B,1,24,1,841,5,3,228.1961067,6,7
25274,18,22,1-18-2022-022-09,9,2,A,1,2,1,762,1,1,829.9546095,6,7
25274,18,22,1-18-2022-022-09,9,2,B,1,1,1,762,12,1,829.9546095,6,7
25280,20,42,1-20-2022-042-07,7,1,A,3,576,1,761,3,3,368.6837482,11,7
25280,20,42,1-20-2022-042-07,7,1,B,3,580,1,841,9,3,368.6837482,11,7
25280,20,42,1-20-2022-042-07,7,1,C,2,54,1,511,2,2,368.6837482,11,7
25280,20,42,1-20-2022-042-07,7,1,D,8,163,1,732,8,3,368.6837482,11,7
25280,20,42,1-20-2022-042-07,7,1,E,8,152,2,401,8,3,368.6837482,11,7
25281,20,43,1-20-2022-043-03,3,1,A,4,615,1,851,96,3,55.17158476,11,7
25281,20,43,1-20-2022-043-03,3,1,B,3,579,1,811,3,2,55.17158476,11,7
25281,20,43,1-20-2022-043-03,3,1,C,3,576,1,841,3,2,55.17158476,11,7
25281,20,43,1-20-2022-043-03,3,1,D,8,155,1,101,3,2,55.17158476,11,7
25281,20,43,1-20-2022-043-03,3,2,B,9,254,1,862,96,1,55.17158476,11,7
25281,20,43,1-20-2022-043-03,3,2,C,8,152,1,401,8,1,55.17158476,11,7
25281,20,43,1-20-2022-043-03,3,2,D,8,152,2,401,8,1,55.17158476,11,7
25281,20,43,1-20-2022-043-03,3,1,E,8,152,1,401,8,1,55.17158476,11,7
25281,20,43,1-20-2022-043-03,3,1,F,1,26,2,852,3,3,55.17158476,11,7
25281,20,43,1-20-2022-043-03,3,1,G,6,584,2,742,3,3,55.17158476,11,7
25281,20,43,1-20-2022-043-03,3,1,H,8,155,2,101,4,1,55.17158476,11,7
25281,20,43,1-20-2022-043-03,3,1,I,8,152,2,401,8,1,55.17158476,11,7
25281,20,43,1-20-2022-043-03,3,2,A,1,24,1,842,3,2,55.17158476,11,7
25282,20,44,1-20-2022-044-08,8,2,A,8,152,1,501,96,2,53.29152337,11,7
25282,20,44,1-20-2022-044-08,8,2,B,8,152,1,401,96,3,53.29152337,11,7
25284,26,32,1-26-2022-032-02,2,3,A,1,26,2,841,3,2,79.7417564,10,7
25284,26,32,1-26-2022-032-02,2,3,B,8,163,2,811,5,2,79.7417564,10,7
25284,26,32,1-26-2022-032-02,2,3,C,8,163,2,511,5,2,79.7417564,10,7
25284,26,32,1-26-2022-032-02,2,3,D,1,24,1,842,2,2,79.7417564,10,7
25284,26,32,1-26-2022-032-02,2,3,E,1,24,1,841,2,2,79.7417564,10,7
25284,26,32,1-26-2022-032-02,2,3,F,9,254,1,862,5,2,79.7417564,10,7
25284,26,32,1-26-2022-032-02,2,2,A,1,2,1,762,5,3,79.7417564,10,7
25284,26,32,1-26-2022-032-02,2,2,B,8,152,1,501,3,2,79.7417564,10,7
25284,26,32,1-26-2022-032-02,2,2,C,8,152,1,401,8,2,79.7417564,10,7
25288,76,26,1-76-2022-026-06,6,1,A,4,611,1,201,3,2,22.62119688,3,7
25288,76,26,1-76-2022-026-06,6,1,B,4,611,1,201,3,2,22.62119688,3,7
25288,76,26,1-76-2022-026-06,6,1,C,4,611,1,201,3,2,22.62119688,3,7
25288,76,26,1-76-2022-026-06,6,1,D,4,611,1,201,3,2,22.62119688,3,7
25288,76,26,1-76-2022-026-06,6,1,E,8,151,1,822,98,3,22.62119688,3,7
25289,76,27,1-76-2022-027-10,10,1,A,1,24,1,841,2,3,22.41804643,3,7
25297,20,45,1-20-2022-045-08,8,1,A,1,4,1,761,1,2,53.29152337,11,7
25297,20,45,1-20-2022-045-08,8,1,B,1,7,1,762,5,2,53.29152337,11,7
25297,20,45,1-20-2022-045-08,8,1,C,4,611,1,201,6,3,53.29152337,11,7
25297,20,45,1-20-2022-045-08,8,1,D,1,24,1,841,98,2,53.29152337,11,7
25297,20,45,1-20-2022-045-08,8,1,E,9,254,1,862,5,3,53.29152337,11,7
25297,20,45,1-20-2022-045-08,8,1,F,8,152,1,401,8,2,53.29152337,11,7
25297,20,45,1-20-2022-045-08,8,1,G,8,151,1,601,5,2,53.29152337,11,7
25297,20,45,1-20-2022-045-08,8,1,H,8,163,1,512,5,3,53.29152337,11,7
25302,77,23,1-77-2022-023-05,5,1,A,4,611,1,401,3,2,71.67626718,9,7
25302,77,23,1-77-2022-023-05,5,1,B,4,611,1,501,3,2,71.67626718,9,7
25302,77,23,1-77-2022-023-05,5,1,C,10,205,1,101,96,2,71.67626718,9,7
25302,77,23,1-77-2022-023-05,5,1,D,1,1,2,761,96,1,71.67626718,9,7
25302,77,23,1-77-2022-023-05,5,1,E,7,631,2,401,3,2,71.67626718,9,7
25302,77,23,1-77-2022-023-05,5,1,G,1,2,1,742,5,3,71.67626718,9,7
25302,77,23,1-77-2022-023-05,5,1,F,8,155,2,101,5,2,71.67626718,9,7
25314,11,19,1-11-2022-019-02,2,1,A,4,619,1,999,3,2,74.2918607,8,7
25314,11,19,1-11-2022-019-02,2,1,B,1,4,1,999,1,1,74.2918607,8,7
25315,24,38,1-24-2022-038-03,3,2,A,10,201,1,101,3,1,232.4202784,1,7
25323,13,41,1-13-2022-041-05,5,2,A,8,151,1,601,3,2,126.2712746,7,7
25323,13,41,1-13-2022-041-05,5,2,B,8,163,1,812,5,3,126.2712746,7,7
25323,13,41,1-13-2022-041-05,5,1,A,4,611,1,401,3,2,126.2712746,7,7
27720,48,37,1-48-2022-037-03,3,1,A,4,611,1,201,96,2,182.5278981,12,7
27720,48,37,1-48-2022-037-03,3,1,B,8,155,1,101,3,3,182.5278981,12,7
27720,48,37,1-48-2022-037-03,3,1,C,1,24,1,841,3,3,182.5278981,12,7
27720,48,37,1-48-2022-037-03,3,1,D,1,21,1,842,3,3,182.5278981,12,7
27720,48,37,1-48-2022-037-03,3,1,E,1,22,1,842,3,3,182.5278981,12,7
27523,73,98,1-73-2022-098-02,2,1,A,4,611,1,201,6,2,37.3527147,3,7
27523,73,98,1-73-2022-098-02,2,1,B,3,577,1,831,3,2,37.3527147,3,7
27523,73,98,1-73-2022-098-02,2,1,C,1,7,1,401,3,2,37.3527147,3,7
27277,13,104,1-13-2022-104-03,3,1,B,1,24,1,842,3,2,940.3616498,7,7
27517,76,83,1-76-2022-083-02,2,2,A,4,611,1,201,3,3,24.42671201,3,7
27517,76,83,1-76-2022-083-02,2,2,B,4,611,1,201,3,3,24.42671201,3,7
27517,76,83,1-76-2022-083-02,2,2,C,8,152,1,501,8,3,24.42671201,3,7
27786,17,116,1-17-2022-116-06,6,1,A,8,163,1,812,3,3,243.4074182,4,7
27463,32,61,1-32-2022-061-06,6,2,A,4,611,1,401,4,3,8652.05387,7,7
27463,32,61,1-32-2022-061-06,6,3,A,8,163,1,842,3,3,8652.05387,7,7
27463,32,61,1-32-2022-061-06,6,3,B,8,152,1,999,8,3,8652.05387,7,7
27463,32,61,1-32-2022-061-06,6,3,C,8,152,2,999,8,3,8652.05387,7,7
27457,23,38,1-23-2022-038-02,2,1,C,8,155,1,101,5,1,77.79796094,5,7
27783,54,88,1-54-2022-088-08,8,1,A,7,639,2,101,96,3,320.0052703,9,7
27783,54,88,1-54-2022-088-08,8,1,B,8,163,2,841,2,3,320.0052703,9,7
27743,16,101,1-16-2022-101-02,2,2,A,1,1,2,762,12,2,59.4969547,5,7
27743,16,101,1-16-2022-101-02,2,2,B,1,22,2,732,96,2,59.4969547,5,7
27743,16,101,1-16-2022-101-02,2,2,C,1,2,1,101,5,1,59.4969547,5,7
27743,16,101,1-16-2022-101-02,2,2,D,1,6,1,401,98,1,59.4969547,5,7
