CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GVWR,GAWRFRONT,GAWRREAR,RECFRONT1,RECFRPRESS1,RECREAR1,RECRRPRESS1,RECFRONT2,RECFRPRESS2,RECREAR2,RECRRPRESS2,RECFRONT3,RECFRPRESS3,RECREAR3,RECRRPRESS3,CASEWGT,PSUSTRAT,VERSION
25003,59,9,1-59-2022-009-08,8,1,2586,1293,1339,P215/65R16,250,P215/65R16,250,,,,,,,,,298.4456577,6,7
25173,14,19,1-14-2022-019-09,9,1,2812,1633,1672,P255/70R16,210,P255/70R16,240,,,,,,,,,2906.909512,8,7
25294,10,41,1-10-2022-041-07,7,2,2096,1098,1006,P235/50R18,240,P235/50R18,240,,,,,,,,,1402.546743,4,7
25854,19,71,1-19-2022-071-09,9,2,2381,1202,1361,P225/75R15,999,P225/75R15,999,,,,,,,,,458.5389941,9,7
26012,54,45,1-54-2022-045-02,2,1,2040,1075,980,P245/40R19,220,P245/40R19,220,,,,,,,,,170.2959935,9,7
26198,25,49,1-25-2022-049-10,10,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,11554.08906,2,7
26565,16,60,1-16-2022-060-01,1,1,2638,1241,1433,P255/50R20,230,P255/50R20,230,,,,,,,,,164.7721215,5,7
26770,20,144,1-20-2022-144-04,4,3,2495,1273,1273,P245/65R17,250,P245/65R17,250,,,,,,,,,867.1437998,11,7
26961,29,20,1-29-2022-020-03,3,1,2020,1000,1040,P215/65R16,200,P215/65R16,200,,,,,,,,,1511.914739,2,7
27672,25,102,1-25-2022-102-04,4,1,3243,1633,1724,LT265/70R17,280,LT265/70R17,280,,,,,,,,,428.4111759,2,7
28053,24,125,1-24-2022-125-03,3,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,344.1707686,1,7
25541,17,29,1-17-2022-029-07,7,1,2250,1175,1240,P235/60R17,240,P235/60R17,240,,,,,,,,,299.0624997,4,7
25665,18,32,1-18-2022-032-10,10,3,2124,1157,967,P215/60R16,205,P215/60R16,205,,,,,,,,,7881.434086,6,7
24552,19,6,1-19-2022-006-02,2,1,1810,955,865,P205/60R16,240,P205/60R16,240,,,,,,,,,52.3928042,9,7
24648,52,4,1-52-2022-004-06,6,1,1960,1050,930,P215/55R17,225,P215/55R17,225,,,,,,,,,106.4450739,12,7
24731,52,7,1-52-2022-007-04,4,1,2715,1405,1405,P235/55R18,250,P235/55R18,250,,,,,,,,,29.59834012,12,7
25015,14,15,1-14-2022-015-02,2,4,2100,1191,1191,P215/55R17,240,P215/55R17,240,,,,,,,,,394.2811829,8,7
25112,25,14,1-25-2022-014-10,10,1,2903,1780,1701,P265/70R17,240,P265/70R17,240,,,,,,,,,8241.166697,2,7
25241,11,17,1-11-2022-017-02,2,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,67.0889176,8,7
25739,32,42,1-32-2022-042-02,2,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,131.6581482,7,7
26000,28,44,1-28-2022-044-10,10,1,1914,929,1081,P195/70R14,241,P195/70R14,241,,,,,,,,,715.6366681,3,7
26088,10,78,1-10-2022-078-05,5,2,2715,1405,1405,P235/60R17,240,P235/60R17,240,,,,,,,,,29.0208452,4,7
26286,76,55,1-76-2022-055-04,4,1,3221,1770,1860,P285/45R22,250,P285/45R22,250,,,,,,,,,30.11477827,3,7
26308,10,93,1-10-2022-093-03,3,1,2053,1111,941,P235/45R17,220,P235/45R17,220,,,,,,,,,145.3444053,4,7
26496,10,103,1-10-2022-103-02,2,1,2255,1035,1255,P225/40R19,260,P225/40R19,310,,,,,,,,,19.15348845,4,7
26762,18,63,1-18-2022-063-03,3,2,2150,1100,1075,P235/55R19,230,P235/55R19,230,,,,,,,,,363.6864946,6,7
26897,30,78,1-30-2022-078-03,3,1,2575,1300,1420,P225/65R17,220,P225/65R17,220,,,,,,,,,759.9855871,10,7
26939,52,120,1-52-2022-120-07,7,1,2022,1118,904,9999999999,999,9999999999,999,,,,,,,,,90.49079691,12,7
27261,12,52,1-12-2022-052-04,4,1,1644,864,780,P205/55R16,230,P205/55R16,230,,,,,,,,,351.210548,9,7
27456,66,88,1-66-2022-088-06,6,1,2087,1180,1007,P225/55R17,220,P225/55R17,220,,,,,,,,,171.2979168,6,7
27629,27,79,1-27-2022-079-08,8,2,2195,1100,1095,P235/65R16,210,P235/65R16,210,,,,,,,,,29.4245023,3,7
24537,29,1,1-29-2022-001-06,6,1,1770,955,820,9999999999,999,9999999999,999,,,,,,,,,1219.583364,2,7
24662,27,3,1-27-2022-003-04,4,1,2747,1339,1452,P235/65R17,250,P235/65R17,250,,,,,,,,,204.4118436,3,7
24850,77,9,1-77-2022-009-03,3,2,2949,1452,1679,P265/50R20,230,P265/50R20,250,,,,,,,,,321.8106188,9,7
25091,52,25,1-52-2022-025-04,4,2,4037,2100,2400,LT225/75R16,450,LT225/75R16,550,,,,,,,,,121.4453977,12,7
25201,27,19,1-27-2022-019-03,3,1,1890,988,902,P225/50R18,220,P225/50R18,190,,,,,,,,,77.30707448,3,7
25237,19,39,1-19-2022-039-03,3,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,97.01017024,9,7
26596,77,57,1-77-2022-057-02,2,1,1963,1097,945,P235/40R19,230,P235/40R19,230,,,,,,,,,249.8820334,9,7
26598,54,64,1-54-2022-064-07,7,2,3040,1679,1770,P265/70R17,276,P265/70R17,276,,,,,,,,,484.9857763,9,7
26599,59,46,1-59-2022-046-03,3,1,2025,1175,1200,P225/65R17,240,P225/65R17,240,,,,,,,,,146.5647592,6,7
26615,52,101,1-52-2022-101-08,8,1,9999,9999,9999,LT265/70R17,999,LT265/70R17,999,,,,,,,,,37.66760436,12,7
26620,25,67,1-25-2022-067-06,6,1,1860,1020,920,P215/55R17,230,P215/55R17,230,,,,,,,,,834.3482618,2,7
26617,52,103,1-52-2022-103-06,6,2,4536,2540,2767,LT275/65R18,450,LT275/65R18,550,,,,,,,,,81.63778812,12,7
26605,19,108,1-19-2022-108-01,1,1,1910,1005,940,P215/60R16,220,P215/60R16,220,,,,,,,,,60.62443222,9,7
26606,19,109,1-19-2022-109-03,3,1,1640,880,840,P185/65R15,230,P185/65R15,230,,,,,,,,,298.7641838,9,7
26629,73,66,1-73-2022-066-06,6,2,2122,1072,1089,P225/65R17,228,P225/65R17,228,,,,,,,,,146.9944683,3,7
26628,18,59,1-18-2022-059-03,3,1,1929,995,940,P205/50R17,250,P205/50R17,250,,,,,,,,,72.19349258,6,7
26635,27,57,1-27-2022-057-06,6,2,2105,1150,1150,P225/65R17,230,P225/65R17,230,,,,,,,,,59.48017899,3,7
26640,31,53,1-31-2022-053-08,8,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,305.2867887,6,7
26638,33,20,1-33-2022-020-08,8,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,186.7240982,12,7
26633,16,62,1-16-2022-062-05,5,2,2032,982,1055,P235/55R17,220,P235/55R17,220,,,,,,,,,114.0038341,5,7
26649,22,18,1-22-2022-018-06,6,2,3085,1678,1724,P275/55R20,221,P275/55R20,221,,,,,,,,,73.23205557,12,7
26625,10,113,1-10-2022-113-08,8,2,3039,1565,1724,P235/70R17,260,P235/70R17,260,,,,,,,,,229.4143956,4,7
26662,77,60,1-77-2022-060-04,4,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,898.2596276,9,7
26671,17,65,1-17-2022-065-07,7,1,2096,1098,1006,P235/55R17,250,P235/55R17,250,,,,,,,,,699.704428,4,7
26676,24,92,1-24-2022-092-07,7,1,2050,1070,1030,P235/45R18,240,P235/45R18,240,,,,,,,,,3079.827939,1,7
26681,66,63,1-66-2022-063-09,9,2,2133,1152,981,P225/60R16,210,P225/60R16,210,,,,,,,,,135.4934933,6,7
26684,10,116,1-10-2022-116-05,5,2,2100,1191,1191,P215/55R17,240,P215/55R17,240,,,,,,,,,26.08046573,4,7
26686,10,118,1-10-2022-118-04,4,2,1580,830,755,P185/60R15,230,P185/60R15,230,,,,,,,,,336.9843801,4,7
26678,14,61,1-14-2022-061-03,3,1,2720,1340,1585,P245/60R18,240,P245/60R18,240,,,,,,,,,967.0919438,8,7
26690,18,60,1-18-2022-060-08,8,1,2586,1293,1339,P215/65R16,250,P215/65R16,250,,,,,,,,,168.0236574,6,7
