CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,WEIGHTDIST,CASEWGT,PSUSTRAT,VERSION
24496,19,4,1-19-2022-004-04,4,2,260,417,180,1311,156,85,72,170,4,2.0,2,1,0,0,56,366.219442,9,7
24501,13,2,1-13-2022-002-02,2,1,305,504,191,1785,162,89,110,170,6,3.6,2,2,0,0,56,29.66145152,7,7
24501,13,2,1-13-2022-002-02,2,2,264,457,176,1325,153,96,98,160,4,2.0,2,1,0,0,61,29.66145152,7,7
24504,52,1,1-52-2022-001-09,9,1,265,463,178,1381,154,89,109,156,5,2.5,2,1,0,0,60,198.9182094,12,7
24504,52,1,1-52-2022-001-09,9,2,400,613,202,1836,167,95,118,999,8,5.3,2,3,0,1,60,198.9182094,12,7
24505,52,2,1-52-2022-002-03,3,1,267,470,181,1610,154,99,104,170,4,2.4,2,4,0,0,57,35.72280343,12,7
24505,52,2,1-52-2022-002-03,3,2,269,474,185,1745,161,103,102,175,4,2.5,2,4,0,0,56,35.72280343,12,7
24507,10,3,1-10-2022-003-06,6,1,287,516,194,1822,168,103,126,160,6,3.5,2,1,0,0,60,464.3680726,4,7
24507,10,3,1-10-2022-003-06,6,2,289,483,179,1620,153,85,108,156,6,2.8,2,2,0,1,52,464.3680726,4,7
24507,10,3,1-10-2022-003-06,6,3,270,463,184,1550,160,93,100,160,4,2.5,2,1,0,0,57,464.3680726,4,7
24511,28,1,1-28-2022-001-10,10,1,258,457,184,1575,156,101,98,150,6,3.8,1,1,0,0,59,200.3657103,3,7
24513,66,1,1-66-2022-001-04,4,1,252,406,174,1263,151,89,66,140,4,1.4,2,1,0,0,62,291.3995734,6,7
24514,14,2,1-14-2022-002-07,7,1,283,489,192,1787,164,105,102,170,6,3.5,2,4,0,1,59,4062.253859,8,7
24514,14,2,1-14-2022-002-07,7,2,272,477,188,1582,159,94,112,160,8,4.6,2,2,0,1,53,4062.253859,8,7
24516,25,2,1-25-2022-002-10,10,1,271,480,186,1530,155,100,110,148,4,2.0,2,1,0,0,59,7464.231254,2,7
24522,31,1,1-31-2022-001-01,1,1,326,541,191,2060,167,95,122,147,8,4.7,2,3,0,1,57,279.9066687,6,7
24528,27,1,1-27-2022-001-06,6,1,270,464,178,1265,152,97,98,146,4,1.8,2,1,0,0,61,127.9991741,3,7
24530,20,1,1-20-2022-001-03,3,1,279,489,193,1965,163,100,111,152,6,3.5,2,1,0,0,55,117.4294221,11,7
24532,26,1,1-26-2022-001-03,3,1,270,464,176,1315,152,94,100,148,4,1.8,2,1,0,0,61,226.805065,10,7
24532,26,1,1-26-2022-001-03,3,2,249,440,172,1169,146,85,106,148,4,1.6,2,1,0,0,59,226.805065,10,7
24535,30,2,1-30-2022-002-06,6,1,253,413,177,1323,153,84,75,160,4,1.6,2,1,0,0,60,2080.241438,10,7
24535,30,2,1-30-2022-002-06,6,2,305,513,192,1848,999,100,110,999,6,4.2,9,2,9,0,99,2080.241438,10,7
24539,12,2,1-12-2022-002-10,10,1,343,569,202,2367,173,101,124,999,6,4.3,9,2,9,0,53,361.6125935,9,7
24539,12,2,1-12-2022-002-10,10,2,334,555,195,1710,161,89,132,180,8,5.0,2,2,0,0,99,361.6125935,9,7
24545,77,2,1-77-2022-002-01,1,1,299,507,195,2419,164,92,118,180,8,5.7,2,3,0,1,99,211.9880663,9,7
24545,77,2,1-77-2022-002-01,1,2,295,505,200,2288,167,96,116,180,8,5.3,2,3,0,0,53,211.9880663,9,7
24547,54,4,1-54-2022-004-04,4,1,280,487,184,1541,155,91,114,999,4,2.0,9,9,9,0,60,842.2066353,9,7
24547,54,4,1-54-2022-004-04,4,2,269,459,185,1528,161,92,99,160,4,2.5,2,1,0,0,57,842.2066353,9,7
24548,59,2,1-59-2022-002-06,6,1,270,463,176,1300,153,91,102,999,4,1.8,9,1,0,0,60,313.6742449,6,7
24550,17,2,1-17-2022-002-05,5,1,308,514,200,2050,166,96,111,187,6,3.6,2,1,0,0,56,74.63199473,4,7
24550,17,2,1-17-2022-002-05,5,2,258,455,178,1465,151,90,108,165,5,2.5,2,1,0,1,60,74.63199473,4,7
24551,17,3,1-17-2022-003-03,3,1,252,442,174,1292,151,89,102,156,4,1.8,2,1,0,0,62,391.8680427,4,7
24551,17,3,1-17-2022-003-03,3,2,357,571,189,2032,158,94,120,999,6,3.6,9,3,9,0,57,391.8680427,4,7
24552,19,6,1-19-2022-006-02,2,1,252,410,176,1370,152,85,75,160,3,1.0,2,1,0,0,59,52.3928042,9,7
24553,19,7,1-19-2022-007-03,3,1,295,513,197,2469,171,100,118,999,8,5.3,2,2,9,0,51,69.54885741,9,7
24553,19,7,1-19-2022-007-03,3,2,266,459,185,1580,161,91,101,160,4,2.4,2,4,0,0,58,69.54885741,9,7
24555,19,9,1-19-2022-009-04,4,1,295,513,197,2469,171,100,118,999,8,5.3,2,2,9,0,51,273.0767907,9,7
24555,19,9,1-19-2022-009-04,4,2,283,489,183,1495,158,98,109,160,4,2.5,2,1,0,0,60,273.0767907,9,7
