CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EQUIP,AVAIL,ACTIVATE,CASEWGT,PSUSTRAT,VERSION
24419,59,1,1-59-2022-001-10,10,1,1,0,8,480.9320563,6,7
24419,59,1,1-59-2022-001-10,10,1,2,0,8,480.9320563,6,7
24419,59,1,1-59-2022-001-10,10,1,3,0,8,480.9320563,6,7
24419,59,1,1-59-2022-001-10,10,1,4,0,8,480.9320563,6,7
24419,59,1,1-59-2022-001-10,10,1,5,1,2,480.9320563,6,7
24419,59,1,1-59-2022-001-10,10,1,6,0,8,480.9320563,6,7
24419,59,1,1-59-2022-001-10,10,1,7,0,8,480.9320563,6,7
24419,59,1,1-59-2022-001-10,10,1,8,1,2,480.9320563,6,7
24419,59,1,1-59-2022-001-10,10,1,9,0,8,480.9320563,6,7
24419,59,1,1-59-2022-001-10,10,1,10,0,8,480.9320563,6,7
24419,59,1,1-59-2022-001-10,10,1,11,0,8,480.9320563,6,7
24419,59,1,1-59-2022-001-10,10,1,12,0,8,480.9320563,6,7
24451,32,1,1-32-2022-001-03,3,1,1,1,9,47.64947451,7,7
24451,32,1,1-32-2022-001-03,3,1,2,0,8,47.64947451,7,7
24451,32,1,1-32-2022-001-03,3,1,3,1,2,47.64947451,7,7
24451,32,1,1-32-2022-001-03,3,1,4,1,1,47.64947451,7,7
24451,32,1,1-32-2022-001-03,3,1,5,1,2,47.64947451,7,7
24451,32,1,1-32-2022-001-03,3,1,6,1,9,47.64947451,7,7
24451,32,1,1-32-2022-001-03,3,1,7,1,2,47.64947451,7,7
24451,32,1,1-32-2022-001-03,3,1,8,1,2,47.64947451,7,7
24451,32,1,1-32-2022-001-03,3,1,9,0,8,47.64947451,7,7
24451,32,1,1-32-2022-001-03,3,1,10,1,9,47.64947451,7,7
24451,32,1,1-32-2022-001-03,3,1,11,1,9,47.64947451,7,7
24451,32,1,1-32-2022-001-03,3,1,12,1,9,47.64947451,7,7
24460,14,1,1-14-2022-001-10,10,1,1,0,8,184.2591294,8,7
24460,14,1,1-14-2022-001-10,10,1,2,1,9,184.2591294,8,7
24460,14,1,1-14-2022-001-10,10,1,3,0,8,184.2591294,8,7
24460,14,1,1-14-2022-001-10,10,1,4,1,1,184.2591294,8,7
24460,14,1,1-14-2022-001-10,10,1,5,1,2,184.2591294,8,7
24460,14,1,1-14-2022-001-10,10,1,6,0,8,184.2591294,8,7
24460,14,1,1-14-2022-001-10,10,1,7,0,8,184.2591294,8,7
24460,14,1,1-14-2022-001-10,10,1,8,0,8,184.2591294,8,7
24460,14,1,1-14-2022-001-10,10,1,9,0,8,184.2591294,8,7
24460,14,1,1-14-2022-001-10,10,1,10,0,8,184.2591294,8,7
24460,14,1,1-14-2022-001-10,10,1,11,0,8,184.2591294,8,7
24460,14,1,1-14-2022-001-10,10,1,12,0,8,184.2591294,8,7
24487,23,2,1-23-2022-002-04,4,1,1,1,9,177.6968147,5,7
24487,23,2,1-23-2022-002-04,4,1,2,0,8,177.6968147,5,7
24487,23,2,1-23-2022-002-04,4,1,3,0,8,177.6968147,5,7
24487,23,2,1-23-2022-002-04,4,1,4,1,2,177.6968147,5,7
24487,23,2,1-23-2022-002-04,4,1,5,1,2,177.6968147,5,7
24487,23,2,1-23-2022-002-04,4,1,6,1,9,177.6968147,5,7
24487,23,2,1-23-2022-002-04,4,1,7,1,9,177.6968147,5,7
24487,23,2,1-23-2022-002-04,4,1,8,1,9,177.6968147,5,7
24487,23,2,1-23-2022-002-04,4,1,9,1,9,177.6968147,5,7
24487,23,2,1-23-2022-002-04,4,1,10,1,9,177.6968147,5,7
24487,23,2,1-23-2022-002-04,4,1,11,1,9,177.6968147,5,7
24487,23,2,1-23-2022-002-04,4,1,12,1,9,177.6968147,5,7
24494,19,2,1-19-2022-002-05,5,1,1,0,8,37.27910038,9,7
24494,19,2,1-19-2022-002-05,5,1,2,0,8,37.27910038,9,7
24494,19,2,1-19-2022-002-05,5,1,3,0,8,37.27910038,9,7
24494,19,2,1-19-2022-002-05,5,1,4,0,8,37.27910038,9,7
24494,19,2,1-19-2022-002-05,5,1,5,0,8,37.27910038,9,7
24494,19,2,1-19-2022-002-05,5,1,6,0,8,37.27910038,9,7
24494,19,2,1-19-2022-002-05,5,1,7,0,8,37.27910038,9,7
24494,19,2,1-19-2022-002-05,5,1,8,0,8,37.27910038,9,7
24494,19,2,1-19-2022-002-05,5,1,9,0,8,37.27910038,9,7
24494,19,2,1-19-2022-002-05,5,1,10,0,8,37.27910038,9,7
24494,19,2,1-19-2022-002-05,5,1,11,0,8,37.27910038,9,7
24494,19,2,1-19-2022-002-05,5,1,12,0,8,37.27910038,9,7
24496,19,4,1-19-2022-004-04,4,2,1,1,9,366.219442,9,7
24496,19,4,1-19-2022-004-04,4,2,2,0,8,366.219442,9,7
24626,23,6,1-23-2022-006-03,3,1,1,1,2,223.7938626,5,7
24455,25,1,1-25-2022-001-07,7,1,1,0,8,829.732358,2,7
