CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
25922,19,74,1-19-2022-074-05,5,1,887,887,260,887,887,887,887,887,887,887,58,887,106,999,999,887,887,887,12,23,121,887,887,887,887,887,38.91602835,9,7
25922,19,74,1-19-2022-074-05,5,2,887,887,887,887,887,887,887,887,887,887,31,887,104,999,999,887,887,887,887,887,887,887,887,887,887,887,38.91602835,9,7
25923,19,75,1-19-2022-075-05,5,1,887,81,274,100,887,887,90,260,100,887,32,44,131,84,999,887,887,887,18,22,114,999,999,999,887,887,38.91602835,9,7
25924,19,76,1-19-2022-076-01,1,1,887,887,292,887,887,887,887,887,887,887,34,887,139,999,999,887,887,887,13,21,117,8,34,84,887,887,60.62443222,9,7
25925,19,77,1-19-2022-077-08,8,1,887,887,887,887,887,887,887,887,887,887,34,887,105,999,999,887,887,887,887,887,887,887,887,887,887,887,292.2104583,9,7
25925,19,77,1-19-2022-077-08,8,2,887,887,292,887,887,887,887,887,887,887,30,887,132,999,999,887,887,887,11,24,109,10,44,999,887,887,292.2104583,9,7
25926,11,30,1-11-2022-030-07,7,1,887,887,278,887,887,887,887,280,887,887,38,42,122,887,887,887,887,887,887,887,887,887,887,887,887,887,15825.23629,8,7
25927,24,70,1-24-2022-070-03,3,1,887,887,887,887,887,887,887,887,887,887,44,50,120,999,999,887,887,887,887,887,887,887,887,887,887,887,295.5254708,1,7
25928,24,71,1-24-2022-071-03,3,1,887,887,887,887,887,887,887,887,887,887,43,48,110,887,887,887,887,887,887,887,887,887,887,887,887,887,295.5254708,1,7
25929,52,61,1-52-2022-061-10,10,1,887,887,336,887,887,887,887,334,887,887,45,887,137,887,887,887,887,887,8,16,96,887,887,887,887,887,788.055672,12,7
25930,52,62,1-52-2022-062-06,6,1,887,887,329,887,887,887,887,330,887,887,49,887,138,887,887,887,887,887,887,887,122,887,887,887,887,887,49.37774477,12,7
25931,52,63,1-52-2022-063-03,3,2,887,887,272,887,887,887,887,265,887,887,32,887,887,887,887,887,887,887,10,12,106,887,887,887,887,887,21.6859398,12,7
25932,52,64,1-52-2022-064-03,3,1,887,887,238,887,887,887,887,252,887,887,50,887,95,85,887,887,887,887,887,887,887,887,887,887,887,887,21.6859398,12,7
25933,30,46,1-30-2022-046-02,2,2,887,887,999,887,887,887,887,999,887,887,999,887,131,999,999,887,887,887,887,887,130,887,48,93,999,999,53.14310501,10,7
25934,30,47,1-30-2022-047-03,3,1,887,887,887,887,887,887,887,887,887,887,36,887,136,999,999,887,887,887,887,887,887,887,887,887,887,887,243.3113551,10,7
25935,30,48,1-30-2022-048-04,4,2,887,887,285,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,15,999,109,887,887,887,887,887,838.0615276,10,7
25936,25,34,1-25-2022-034-07,7,1,887,887,887,887,887,887,887,887,887,887,43,887,123,887,887,887,887,172,887,887,108,887,35,89,887,887,1305.405888,2,7
25937,25,35,1-25-2022-035-03,3,1,887,887,257,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,999,999,101,887,887,887,887,887,151.7513365,2,7
25937,25,35,1-25-2022-035-03,3,2,887,887,887,887,887,887,887,887,887,887,41,887,131,999,999,887,887,887,887,887,887,887,887,887,887,887,151.7513365,2,7
25938,25,36,1-25-2022-036-03,3,2,887,887,324,887,887,887,887,324,887,887,48,48,126,887,887,887,887,887,887,887,108,887,41,78,313,154,151.7513365,2,7
25938,25,36,1-25-2022-036-03,3,3,887,887,887,887,887,887,887,887,887,887,887,49,132,887,887,999,999,168,887,887,111,887,36,84,887,887,151.7513365,2,7
25939,10,71,1-10-2022-071-03,3,1,999,999,999,999,999,999,999,999,999,999,999,999,115,999,999,46,999,999,999,999,102,999,38,88,887,887,487.3319829,4,7
25940,10,72,1-10-2022-072-03,3,2,999,999,269,999,999,999,999,269,999,999,17,999,119,999,999,51,999,999,999,999,108,999,35,80,887,887,487.3319828,4,7
25944,23,33,1-23-2022-033-10,10,1,887,887,999,887,887,887,887,999,887,887,999,999,136,999,999,887,887,179,999,999,118,887,41,77,887,887,7083.509359,5,7
25946,66,39,1-66-2022-039-01,1,1,887,887,887,887,887,887,887,887,887,887,30,887,105,887,887,887,887,887,12,17,112,8,40,78,887,887,149.6238334,6,7
25947,28,41,1-28-2022-041-07,7,1,887,887,887,887,887,887,887,887,887,887,35,887,887,887,887,887,887,887,12,22,116,7,35,84,887,887,141.7834362,3,7
25950,27,38,1-27-2022-038-03,3,1,887,887,887,887,887,887,887,887,887,887,40,887,122,999,999,887,887,887,887,887,887,887,887,887,887,887,34.3275276,3,7
25950,27,38,1-27-2022-038-03,3,2,887,887,293,887,887,887,887,309,887,887,52,887,141,999,999,887,887,887,11,6,142,887,887,887,887,887,34.3275276,3,7
25952,13,73,1-13-2022-073-02,2,1,887,887,256,887,887,887,887,252,887,887,887,887,887,887,887,887,887,887,12,13,117,887,887,887,887,887,58.34552834,7,7
25952,13,73,1-13-2022-073-02,2,2,887,887,887,887,887,887,887,887,887,887,48,887,138,999,999,887,887,887,887,887,887,887,887,887,887,887,58.34552834,7,7
25953,13,74,1-13-2022-074-03,3,2,887,887,887,887,887,887,887,887,887,887,887,45,887,887,887,14,27,170,887,887,887,887,887,887,887,887,1431.335335,7,7
25954,31,33,1-31-2022-033-10,10,1,887,887,887,887,887,887,887,887,887,887,51,887,131,999,999,887,887,887,887,887,887,999,999,999,887,887,1626.802758,6,7
25955,31,34,1-31-2022-034-05,5,1,887,887,887,887,887,887,887,278,887,887,887,42,887,887,887,55,85,72,9,16,107,887,887,887,887,887,164.2072074,6,7
25955,31,34,1-31-2022-034-05,5,2,887,887,887,887,887,887,887,887,887,887,40,887,121,887,887,887,887,887,887,887,887,887,887,887,887,887,164.2072074,6,7
26936,52,117,1-52-2022-117-03,3,1,887,887,286,887,887,887,887,290,887,887,51,887,120,887,887,887,887,887,9,16,102,887,887,887,887,887,20.11207086,12,7
26938,52,119,1-52-2022-119-09,9,1,887,887,887,887,887,887,887,887,887,887,33,887,168,887,887,887,887,887,887,887,887,887,887,887,887,887,70.0060452,12,7
26939,52,120,1-52-2022-120-07,7,1,887,887,887,887,887,887,887,272,887,887,41,887,887,887,887,887,887,887,9,19,110,887,887,887,887,887,90.49079691,12,7
26939,52,120,1-52-2022-120-07,7,2,887,887,887,887,887,887,887,887,887,887,47,887,123,887,887,887,887,887,887,887,887,887,887,887,887,887,90.49079691,12,7
26940,59,56,1-59-2022-056-04,4,1,887,887,367,887,887,887,887,367,887,887,46,887,130,999,999,887,887,887,999,999,999,887,887,887,887,180,1010.443233,6,7
26941,59,57,1-59-2022-057-01,1,1,81,887,255,887,64,81,887,255,887,64,999,887,110,999,999,887,887,887,11,14,96,10,37,79,887,887,63.48521921,6,7
