CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,FIRE,FIREORGIN,CASEWGT,PSUSTRAT,VERSION
25370,22,4,1-22-2022-004-07,7,1,0,0,81.80500372,12,7
25370,22,4,1-22-2022-004-07,7,2,0,0,81.80500372,12,7
25371,20,50,1-20-2022-050-06,6,3,0,0,209.3688973,11,7
25373,16,22,1-16-2022-022-03,3,1,0,0,718.5385074,5,7
25373,16,22,1-16-2022-022-03,3,2,0,0,718.5385074,5,7
25374,17,23,1-17-2022-023-06,6,1,0,0,191.6936761,4,7
25376,20,51,1-20-2022-051-06,6,1,0,0,209.3688973,11,7
25382,59,18,1-59-2022-018-04,4,1,0,0,354.8805844,6,7
25383,12,21,1-12-2022-021-06,6,1,0,0,1916.828857,9,7
25385,17,24,1-17-2022-024-04,4,1,0,0,456.3202828,4,7
25385,17,24,1-17-2022-024-04,4,2,0,0,456.3202828,4,7
25386,17,25,1-17-2022-025-04,4,1,0,0,456.3202828,4,7
25386,17,25,1-17-2022-025-04,4,2,0,0,456.3202828,4,7
25387,22,5,1-22-2022-005-01,1,1,0,0,38.00048139,12,7
25388,19,45,1-19-2022-045-03,3,1,0,0,79.66742768,9,7
25388,19,45,1-19-2022-045-03,3,2,0,0,79.66742768,9,7
25389,19,46,1-19-2022-046-04,4,2,0,0,312.8063678,9,7
25390,19,47,1-19-2022-047-04,4,1,0,0,312.8063678,9,7
25390,19,47,1-19-2022-047-04,4,2,0,0,312.8063678,9,7
25391,19,48,1-19-2022-048-07,7,1,0,0,539.09188,9,7
25392,11,20,1-11-2022-020-04,4,2,0,0,648.4217317,8,7
25393,11,21,1-11-2022-021-04,4,1,0,0,648.4217317,8,7
25394,10,46,1-10-2022-046-03,3,2,0,0,164.7913086,4,7
25395,10,47,1-10-2022-047-10,10,1,0,0,2898.723426,4,7
25396,10,48,1-10-2022-048-03,3,1,0,0,164.7913085,4,7
25397,10,49,1-10-2022-049-01,1,1,0,0,24.95767321,4,7
25398,24,42,1-24-2022-042-05,5,1,0,0,79.05021329,1,7
25398,24,42,1-24-2022-042-05,5,2,0,0,79.05021329,1,7
25399,24,43,1-24-2022-043-04,4,1,0,0,507.8955788,1,7
25399,24,43,1-24-2022-043-04,4,2,0,0,507.8955788,1,7
25400,24,44,1-24-2022-044-03,3,1,0,0,120.3122012,1,7
25400,24,44,1-24-2022-044-03,3,2,0,0,120.3122012,1,7
25401,24,45,1-24-2022-045-07,7,1,0,0,992.4276127,1,7
25402,14,25,1-14-2022-025-03,3,1,0,0,1494.097804,8,7
25402,14,25,1-14-2022-025-03,3,2,0,0,1494.097804,8,7
25403,14,26,1-14-2022-026-06,6,1,0,0,3450.545977,8,7
25404,73,28,1-73-2022-028-07,7,1,0,0,281.0009649,3,7
25405,73,29,1-73-2022-029-09,9,1,0,0,217.3896895,3,7
25406,52,37,1-52-2022-037-09,9,1,0,0,284.5740818,12,7
25407,52,38,1-52-2022-038-03,3,1,0,0,51.10534633,12,7
25407,52,38,1-52-2022-038-03,3,2,0,0,51.10534633,12,7
25408,52,39,1-52-2022-039-02,2,1,0,0,21.63529773,12,7
25409,52,40,1-52-2022-040-08,8,1,0,0,53.69033444,12,7
25410,28,25,1-28-2022-025-04,4,1,0,0,125.3283873,3,7
25410,28,25,1-28-2022-025-04,4,2,0,0,125.3283873,3,7
25411,28,26,1-28-2022-026-08,8,1,0,0,50.19474566,3,7
25412,66,24,1-66-2022-024-10,10,1,0,0,1070.180003,6,7
25414,16,23,1-16-2022-023-04,4,1,0,0,641.2588765,5,7
25415,16,24,1-16-2022-024-04,4,1,0,0,641.2588765,5,7
25417,13,46,1-13-2022-046-05,5,1,0,0,153.3824287,7,7
25417,13,46,1-13-2022-046-05,5,2,0,0,153.3824287,7,7
25418,13,47,1-13-2022-047-03,3,1,0,0,833.0903363,7,7
25419,13,48,1-13-2022-048-06,6,2,0,0,1923.981483,7,7
25420,32,31,1-32-2022-031-02,2,1,0,0,105.9656653,7,7
25420,32,31,1-32-2022-031-02,2,2,0,0,105.9656653,7,7
25420,32,31,1-32-2022-031-02,2,3,0,0,105.9656653,7,7
25421,32,32,1-32-2022-032-10,10,1,0,0,19684.67158,7,7
25422,25,19,1-25-2022-019-10,10,1,0,0,7911.521733,2,7
25423,77,29,1-77-2022-029-04,4,1,0,0,181.8670023,9,7
25424,18,26,1-18-2022-026-04,4,1,0,0,298.2938836,6,7
25425,27,23,1-27-2022-023-06,6,1,0,0,52.2641222,3,7
25428,20,52,1-20-2022-052-03,3,1,0,0,106.2259286,11,7
25430,20,54,1-20-2022-054-07,7,1,0,0,709.8540611,11,7
25431,21,19,1-21-2022-019-08,8,1,0,0,384.4063802,11,7
25432,21,20,1-21-2022-020-03,3,1,0,0,397.9677789,11,7
25433,26,37,1-26-2022-037-04,4,1,0,0,1109.674009,10,7
25434,26,38,1-26-2022-038-01,1,1,0,0,31.87047754,10,7
25435,26,39,1-26-2022-039-09,9,2,0,0,1493.408932,10,7
25436,26,40,1-26-2022-040-03,3,1,0,0,211.8214327,10,7
25436,26,40,1-26-2022-040-03,3,3,0,0,211.8214327,10,7
25436,26,40,1-26-2022-040-03,3,4,0,0,211.8214327,10,7
25436,26,40,1-26-2022-040-03,3,5,0,0,211.8214327,10,7
25437,76,31,1-76-2022-031-04,4,1,0,0,49.52392387,3,7
25438,76,32,1-76-2022-032-07,7,1,0,0,105.2362999,3,7
25440,30,27,1-30-2022-027-05,5,1,0,0,336.3206656,10,7
25445,66,26,1-66-2022-026-10,10,1,0,0,1070.180003,6,7
25445,66,26,1-66-2022-026-10,10,2,0,0,1070.180003,6,7
25446,20,55,1-20-2022-055-08,8,1,0,0,102.6061075,11,7
25452,77,30,1-77-2022-030-02,2,1,0,0,90.06596167,9,7
25452,77,30,1-77-2022-030-02,2,2,0,0,90.06596167,9,7
25453,77,31,1-77-2022-031-07,7,1,0,0,4483.880865,9,7
25453,77,31,1-77-2022-031-07,7,2,0,0,4483.880865,9,7
25454,54,28,1-54-2022-028-03,3,1,0,0,267.872471,9,7
25454,54,28,1-54-2022-028-03,3,2,0,0,267.872471,9,7
25456,26,41,1-26-2022-041-05,5,1,2,4,156.1126174,10,7
25457,26,42,1-26-2022-042-02,2,1,0,0,56.56502108,10,7
25457,26,42,1-26-2022-042-02,2,2,0,0,56.56502108,10,7
25459,30,29,1-30-2022-029-03,3,1,0,0,118.7303221,10,7
25462,59,19,1-59-2022-019-08,8,2,0,0,163.7532312,6,7
25463,59,20,1-59-2022-020-10,10,1,0,0,5121.436314,6,7
25464,19,49,1-19-2022-049-04,4,1,0,0,215.8227571,9,7
25466,19,51,1-19-2022-051-04,4,1,0,0,215.8227571,9,7
25466,19,51,1-19-2022-051-04,4,2,0,0,215.8227571,9,7
25467,19,52,1-19-2022-052-06,6,1,0,0,125.1570875,9,7
25467,19,52,1-19-2022-052-06,6,2,0,0,125.1570875,9,7
25468,12,22,1-12-2022-022-03,3,1,0,0,364.2144219,9,7
25468,12,22,1-12-2022-022-03,3,2,0,0,364.2144219,9,7
25470,11,22,1-11-2022-022-03,3,1,0,0,1528.983469,8,7
25471,11,23,1-11-2022-023-01,1,1,0,0,202.8006472,8,7
25472,24,46,1-24-2022-046-03,3,1,0,0,203.6822226,1,7
25473,24,47,1-24-2022-047-08,8,2,0,0,196.7414199,1,7
25474,24,48,1-24-2022-048-03,3,1,0,0,203.6822226,1,7
25474,24,48,1-24-2022-048-03,3,2,0,0,203.6822226,1,7
25475,24,49,1-24-2022-049-03,3,1,0,0,203.6822226,1,7
25476,14,27,1-14-2022-027-01,1,1,0,0,473.4392007,8,7
25476,14,27,1-14-2022-027-01,1,2,0,0,473.4392007,8,7
25477,23,23,1-23-2022-023-10,10,2,0,0,9977.079785,5,7
25478,23,24,1-23-2022-024-01,1,1,0,0,76.64544227,5,7
25479,28,27,1-28-2022-027-10,10,2,0,0,256.5006154,3,7
25480,28,28,1-28-2022-028-09,9,1,0,0,43.96876046,3,7
25481,10,50,1-10-2022-050-07,7,2,0,0,1460.689948,4,7
25482,10,51,1-10-2022-051-10,10,2,0,0,2516.44967,4,7
25483,10,52,1-10-2022-052-10,10,2,0,0,2516.44967,4,7
25484,10,53,1-10-2022-053-09,9,1,0,0,762.9171297,4,7
25485,52,41,1-52-2022-041-03,3,2,0,0,26.40206275,12,7
25486,52,42,1-52-2022-042-07,7,1,0,0,190.0359364,12,7
25486,52,42,1-52-2022-042-07,7,3,0,0,190.0359364,12,7
25490,13,49,1-13-2022-049-06,6,1,0,0,1622.26956,7,7
25490,13,49,1-13-2022-049-06,6,2,0,0,1622.26956,7,7
25492,13,51,1-13-2022-051-06,6,1,0,0,1622.26956,7,7
25492,13,51,1-13-2022-051-06,6,2,0,0,1622.26956,7,7
25493,13,52,1-13-2022-052-02,2,1,0,0,28.63389395,7,7
25496,73,31,1-73-2022-031-07,7,1,0,0,58.17443347,3,7
25498,32,34,1-32-2022-034-04,4,1,0,0,2917.92304,7,7
25501,16,25,1-16-2022-025-03,3,2,0,0,1152.50895,5,7
25502,16,26,1-16-2022-026-05,5,1,0,0,225.9235714,5,7
25502,16,26,1-16-2022-026-05,5,2,0,0,225.9235714,5,7
25503,17,27,1-17-2022-027-04,4,1,0,0,477.0917341,4,7
25505,76,34,1-76-2022-034-03,3,1,0,0,21.45627751,3,7
25506,66,28,1-66-2022-028-09,9,1,0,0,687.516768,6,7
25507,27,26,1-27-2022-026-02,2,1,0,0,25.26910267,3,7
25508,27,27,1-27-2022-027-04,4,1,0,0,132.6421611,3,7
25508,27,27,1-27-2022-027-04,4,2,0,0,132.6421611,3,7
25509,19,53,1-19-2022-053-03,3,1,0,0,54.96705201,9,7
25509,19,53,1-19-2022-053-03,3,2,0,0,54.96705201,9,7
25512,33,5,1-33-2022-005-03,3,1,0,0,108.5857876,12,7
25513,18,28,1-18-2022-028-06,6,1,0,0,145.2447097,6,7
25514,21,21,1-21-2022-021-01,1,1,0,0,98.0233078,11,7
25515,21,22,1-21-2022-022-04,4,2,0,0,2057.595219,11,7
25516,32,35,1-32-2022-035-03,3,2,0,0,1041.881317,7,7
25518,31,23,1-31-2022-023-10,10,1,0,0,317.610847,6,7
25519,76,35,1-76-2022-035-04,4,1,0,0,32.94407614,3,7
25521,17,28,1-17-2022-028-08,8,1,0,0,192.6396695,4,7
25521,17,28,1-17-2022-028-08,8,2,0,0,192.6396695,4,7
25523,25,22,1-25-2022-022-03,3,1,0,0,82.47028121,2,7
25523,25,22,1-25-2022-022-03,3,2,0,0,82.47028121,2,7
25524,25,23,1-25-2022-023-10,10,1,0,0,1322.435277,2,7
25533,48,4,1-48-2022-004-06,6,1,0,0,78.1473626,12,7
25534,48,5,1-48-2022-005-07,7,1,0,0,227.6654547,12,7
25536,77,33,1-77-2022-033-05,5,1,0,0,65.73259221,9,7
25536,77,33,1-77-2022-033-05,5,2,0,0,65.73259221,9,7
25537,54,30,1-54-2022-030-04,4,1,0,0,339.9867161,9,7
25539,12,23,1-12-2022-023-02,2,1,0,0,324.5658849,9,7
25539,12,23,1-12-2022-023-02,2,2,0,0,324.5658849,9,7
25540,59,21,1-59-2022-021-05,5,1,0,0,92.50858065,6,7
25540,59,21,1-59-2022-021-05,5,2,0,0,92.50858065,6,7
25541,17,29,1-17-2022-029-07,7,1,0,0,299.0624997,4,7
25541,17,29,1-17-2022-029-07,7,2,0,0,299.0624997,4,7
25543,19,54,1-19-2022-054-08,8,1,0,0,63.44867582,9,7
25544,19,55,1-19-2022-055-05,5,1,0,0,37.27910038,9,7
25544,19,55,1-19-2022-055-05,5,2,0,0,37.27910038,9,7
25545,19,56,1-19-2022-056-06,6,1,0,0,137.5136444,9,7
25545,19,56,1-19-2022-056-06,6,2,0,0,137.5136444,9,7
25548,11,24,1-11-2022-024-05,5,2,0,0,450.1831118,8,7
25549,11,25,1-11-2022-025-06,6,2,0,0,5646.956947,8,7
25550,73,32,1-73-2022-032-06,6,1,0,0,118.5688211,3,7
25551,73,33,1-73-2022-033-03,3,1,0,0,52.07358755,3,7
25551,73,33,1-73-2022-033-03,3,2,0,0,52.07358755,3,7
25553,14,29,1-14-2022-029-06,6,1,0,0,2579.578537,8,7
25553,14,29,1-14-2022-029-06,6,2,0,0,2579.578537,8,7
25556,28,29,1-28-2022-029-03,3,1,0,0,42.92651254,3,7
25557,28,30,1-28-2022-030-09,9,1,0,0,165.9019397,3,7
25558,13,53,1-13-2022-053-05,5,1,0,0,144.4691803,7,7
25559,13,54,1-13-2022-054-02,2,2,0,0,36.87729852,7,7
25560,13,55,1-13-2022-055-03,3,1,0,0,784.6783953,7,7
25561,13,56,1-13-2022-056-06,6,2,0,0,1812.176467,7,7
25562,10,54,1-10-2022-054-06,6,1,0,0,631.5632678,4,7
25562,10,54,1-10-2022-054-06,6,2,0,0,631.5632678,4,7
25563,10,55,1-10-2022-055-02,2,1,0,0,22.37863236,4,7
25563,10,55,1-10-2022-055-02,2,2,0,0,22.37863236,4,7
25564,10,56,1-10-2022-056-04,4,2,0,0,851.3172344,4,7
25565,10,57,1-10-2022-057-01,1,1,0,0,36.27226024,4,7
25566,66,29,1-66-2022-029-03,3,2,0,0,127.8599504,6,7
25568,32,36,1-32-2022-036-02,2,1,0,0,92.34861316,7,7
25570,16,27,1-16-2022-027-03,3,2,0,0,310.6931153,5,7
25572,32,38,1-32-2022-038-03,3,1,0,0,1625.003771,7,7
25573,17,31,1-17-2022-031-09,9,1,0,0,156.2000918,4,7
25574,31,24,1-31-2022-024-07,7,1,0,0,1661.914834,6,7
25575,31,25,1-31-2022-025-03,3,1,0,0,257.4607926,6,7
25576,18,29,1-18-2022-029-07,7,2,0,0,983.3215044,6,7
25577,18,30,1-18-2022-030-06,6,1,0,0,292.590339,6,7
25578,21,23,1-21-2022-023-02,2,1,0,0,52.34433849,11,7
25579,21,24,1-21-2022-024-03,3,1,0,0,760.1985068,11,7
25580,77,34,1-77-2022-034-03,3,1,0,0,311.0070774,9,7
25581,24,50,1-24-2022-050-03,3,1,0,0,84.87496322,1,7
25582,24,51,1-24-2022-051-03,3,1,0,0,84.87496322,1,7
25582,24,51,1-24-2022-051-03,3,2,0,0,84.87496322,1,7
25583,24,52,1-24-2022-052-10,10,1,0,0,2410.984592,1,7
25584,24,53,1-24-2022-053-03,3,1,0,0,100.4185356,1,7
25585,20,60,1-20-2022-060-08,8,1,0,0,61.91225279,11,7
25586,20,61,1-20-2022-061-09,9,3,0,0,340.170026,11,7
25588,20,63,1-20-2022-063-04,4,1,0,0,320.2826447,11,7
25589,66,31,1-66-2022-031-09,9,1,0,0,243.0649916,6,7
25590,52,43,1-52-2022-043-03,3,1,0,0,27.38047547,12,7
25591,52,44,1-52-2022-044-06,6,1,0,0,62.34390311,12,7
25591,52,44,1-52-2022-044-06,6,2,0,0,62.34390311,12,7
25591,52,44,1-52-2022-044-06,6,3,0,0,62.34390311,12,7
25592,26,43,1-26-2022-043-03,3,1,0,0,407.1772468,10,7
25593,26,44,1-26-2022-044-03,3,2,0,0,407.1772468,10,7
25594,26,45,1-26-2022-045-09,9,1,0,0,2870.72998,10,7
25596,27,28,1-27-2022-028-02,2,2,0,0,21.51157835,3,7
25597,27,29,1-27-2022-029-10,10,2,0,0,2082.864998,3,7
25597,27,29,1-27-2022-029-10,10,3,0,0,2082.864998,3,7
25598,26,46,1-26-2022-046-06,6,2,0,0,1015.30347,10,7
25599,14,28,1-14-2022-028-04,4,2,0,0,3494.840053,8,7
25606,30,33,1-30-2022-033-06,6,1,0,0,609.3129903,10,7
25608,16,29,1-16-2022-029-04,4,1,0,0,864.9656509,5,7
25608,16,29,1-16-2022-029-04,4,2,0,0,864.9656509,5,7
25609,20,64,1-20-2022-064-08,8,2,0,0,61.91225279,11,7
25613,77,35,1-77-2022-035-05,5,1,0,0,90.1105654,9,7
25614,77,36,1-77-2022-036-03,3,1,0,0,644.0405104,9,7
25615,54,33,1-54-2022-033-06,6,1,0,0,141.749913,9,7
25617,12,24,1-12-2022-024-09,9,1,0,0,2907.26833,9,7
25618,59,22,1-59-2022-022-06,6,2,0,0,1243.958248,6,7
25618,59,22,1-59-2022-022-06,6,1,0,0,1243.958248,6,7
25620,11,26,1-11-2022-026-02,2,1,0,0,181.221988,8,7
25621,24,54,1-24-2022-054-05,5,1,0,0,79.05021329,1,7
25622,24,55,1-24-2022-055-07,7,1,0,0,319.4029094,1,7
25627,52,45,1-52-2022-045-09,9,2,0,0,458.4305138,12,7
25628,52,46,1-52-2022-046-08,8,1,0,0,86.49167012,12,7
25629,52,47,1-52-2022-047-08,8,1,0,0,86.49167012,12,7
25630,52,48,1-52-2022-048-09,9,2,0,0,458.4305138,12,7
25631,73,34,1-73-2022-034-06,6,1,0,0,45.3650195,3,7
25631,73,34,1-73-2022-034-06,6,2,0,0,45.3650195,3,7
25633,10,58,1-10-2022-058-01,1,1,0,0,23.69718357,4,7
25634,10,59,1-10-2022-059-07,7,1,0,0,1824.200018,4,7
25634,10,59,1-10-2022-059-07,7,2,0,0,1824.200018,4,7
25635,10,60,1-10-2022-060-02,2,1,0,0,22.29167635,4,7
25635,10,60,1-10-2022-060-02,2,2,0,0,22.29167635,4,7
25637,25,24,1-25-2022-024-04,4,2,0,0,230.7573872,2,7
25639,24,56,1-24-2022-056-04,4,1,0,0,163.4611164,1,7
25639,24,56,1-24-2022-056-04,4,2,0,0,163.4611164,1,7
25640,16,30,1-16-2022-030-03,3,1,0,0,403.1782813,5,7
25642,32,39,1-32-2022-039-02,2,1,0,0,85.08439025,7,7
25646,17,32,1-17-2022-032-05,5,1,0,0,74.63199473,4,7
25646,17,32,1-17-2022-032-05,5,2,0,0,74.63199473,4,7
25648,13,57,1-13-2022-057-03,3,1,0,0,662.4029121,7,7
25648,13,57,1-13-2022-057-03,3,2,0,0,662.4029121,7,7
25649,13,58,1-13-2022-058-02,2,1,0,0,27.00153271,7,7
25649,13,58,1-13-2022-058-02,2,2,0,0,27.00153271,7,7
25651,66,32,1-66-2022-032-03,3,1,0,0,159.161089,6,7
25651,66,32,1-66-2022-032-03,3,2,0,0,159.161089,6,7
25652,66,33,1-66-2022-033-08,8,1,0,0,167.211705,6,7
25653,31,26,1-31-2022-026-03,3,1,0,0,238.5663002,6,7
25653,31,26,1-31-2022-026-03,3,2,0,0,238.5663002,6,7
25654,31,27,1-31-2022-027-02,2,3,0,0,220.1476746,6,7
25656,28,31,1-28-2022-031-09,9,1,0,0,55.13684796,3,7
25657,28,32,1-28-2022-032-03,3,1,0,0,42.92651254,3,7
25657,28,32,1-28-2022-032-03,3,2,0,0,42.92651254,3,7
25658,27,30,1-27-2022-030-03,3,1,0,0,73.82419382,3,7
25658,27,30,1-27-2022-030-03,3,2,0,0,73.82419382,3,7
25659,27,31,1-27-2022-031-03,3,1,0,0,73.82419381,3,7
25659,27,31,1-27-2022-031-03,3,2,0,0,73.82419381,3,7
25660,19,58,1-19-2022-058-06,6,1,0,0,224.4338548,9,7
25661,19,59,1-19-2022-059-10,10,1,0,0,3443.461939,9,7
25661,19,59,1-19-2022-059-10,10,2,0,0,3443.461939,9,7
25662,19,60,1-19-2022-060-06,6,1,0,0,224.4338548,9,7
25662,19,60,1-19-2022-060-06,6,2,0,0,224.4338548,9,7
25663,19,61,1-19-2022-061-05,5,1,0,0,37.27910038,9,7
25663,19,61,1-19-2022-061-05,5,2,0,0,37.27910038,9,7
25664,18,31,1-18-2022-031-03,3,1,0,0,183.8194729,6,7
25664,18,31,1-18-2022-031-03,3,2,0,0,183.8194729,6,7
25665,18,32,1-18-2022-032-10,10,1,0,0,7881.434086,6,7
25665,18,32,1-18-2022-032-10,10,2,0,0,7881.434086,6,7
25665,18,32,1-18-2022-032-10,10,3,0,0,7881.434086,6,7
25666,24,58,1-24-2022-058-07,7,1,0,0,319.4029093,1,7
25666,24,58,1-24-2022-058-07,7,2,0,0,319.4029093,1,7
25669,20,67,1-20-2022-067-06,6,1,0,0,104.0592519,11,7
25670,20,68,1-20-2022-068-08,8,2,0,0,40.30983367,11,7
25671,26,47,1-26-2022-047-05,5,1,0,0,49.97623972,10,7
25671,26,47,1-26-2022-047-05,5,2,0,0,49.97623972,10,7
25672,26,48,1-26-2022-048-10,10,1,0,0,8919.531325,10,7
25673,26,49,1-26-2022-049-05,5,1,0,0,49.97623972,10,7
25674,26,50,1-26-2022-050-03,3,2,0,0,253.0267552,10,7
25675,21,25,1-21-2022-025-03,3,1,0,0,616.610081,11,7
25676,21,26,1-21-2022-026-05,5,1,0,0,121.788912,11,7
25679,76,36,1-76-2022-036-04,4,1,0,0,23.63272937,3,7
25680,76,37,1-76-2022-037-07,7,1,0,0,50.21857725,3,7
25682,30,34,1-30-2022-034-04,4,2,0,0,2153.482453,10,7
25684,29,6,1-29-2022-006-03,3,1,0,0,886.5757394,2,7
25684,29,6,1-29-2022-006-03,3,2,0,0,886.5757394,2,7
25686,25,26,1-25-2022-026-09,9,1,0,0,365.3424653,2,7
25686,25,26,1-25-2022-026-09,9,2,0,0,365.3424653,2,7
25687,73,36,1-73-2022-036-06,6,1,0,0,45.3650195,3,7
25688,17,34,1-17-2022-034-09,9,1,0,0,575.2229345,4,7
25689,30,36,1-30-2022-036-03,3,1,0,0,625.2127279,10,7
25689,30,36,1-30-2022-036-03,3,3,0,0,625.2127279,10,7
25691,14,32,1-14-2022-032-04,4,1,0,0,2052.617503,8,7
25692,14,33,1-14-2022-033-06,6,1,0,0,1515.058765,8,7
25692,14,33,1-14-2022-033-06,6,2,0,0,1515.058765,8,7
25695,13,60,1-13-2022-060-02,2,1,1,4,27.00153271,7,7
25695,13,60,1-13-2022-060-02,2,2,0,0,27.00153271,7,7
25696,77,37,1-77-2022-037-09,9,2,0,0,11061.50161,9,7
25696,77,37,1-77-2022-037-09,9,1,0,0,11061.50161,9,7
25700,54,36,1-54-2022-036-05,5,2,0,0,110.5370036,9,7
25701,59,23,1-59-2022-023-04,4,1,0,0,1030.873517,6,7
25702,59,24,1-59-2022-024-05,5,1,0,0,39.05722382,6,7
25702,59,24,1-59-2022-024-05,5,2,0,0,39.05722382,6,7
25703,12,25,1-12-2022-025-04,4,1,0,0,1509.618075,9,7
25703,12,25,1-12-2022-025-04,4,2,0,0,1509.618075,9,7
25704,17,35,1-17-2022-035-07,7,1,0,0,1057.764374,4,7
25704,17,35,1-17-2022-035-07,7,2,0,0,1057.764374,4,7
25705,17,36,1-17-2022-036-03,3,1,0,0,125.9949595,4,7
25706,19,62,1-19-2022-062-01,1,1,0,0,60.62443222,9,7
25707,19,63,1-19-2022-063-08,8,1,0,0,103.9843645,9,7
25708,19,64,1-19-2022-064-03,3,1,0,0,98.97790763,9,7
25708,19,64,1-19-2022-064-03,3,2,0,0,98.97790763,9,7
25709,19,65,1-19-2022-065-01,1,1,0,0,114.8855068,9,7
25710,11,27,1-11-2022-027-02,2,1,0,0,196.9480563,8,7
25711,24,59,1-24-2022-059-03,3,1,0,0,241.4168862,1,7
25711,24,59,1-24-2022-059-03,3,2,0,0,241.4168862,1,7
25712,24,60,1-24-2022-060-06,6,1,0,0,601.9771592,1,7
25713,24,61,1-24-2022-061-03,3,1,0,0,241.4168862,1,7
25713,24,61,1-24-2022-061-03,3,2,0,0,241.4168862,1,7
25714,24,62,1-24-2022-062-04,4,1,0,0,1019.136613,1,7
25716,73,38,1-73-2022-038-04,4,1,0,0,48.33240244,3,7
25717,25,27,1-25-2022-027-03,3,1,0,0,342.723203,2,7
25717,25,27,1-25-2022-027-03,3,2,0,0,342.723203,2,7
25717,25,27,1-25-2022-027-03,3,3,0,0,342.723203,2,7
25718,52,49,1-52-2022-049-07,7,1,0,0,206.7735322,12,7
25719,52,50,1-52-2022-050-06,6,1,0,0,65.41089225,12,7
25719,52,50,1-52-2022-050-06,6,2,0,0,65.41089225,12,7
25720,52,51,1-52-2022-051-06,6,1,0,0,65.41089225,12,7
25720,52,51,1-52-2022-051-06,6,2,0,0,65.41089225,12,7
25721,52,52,1-52-2022-052-03,3,2,0,0,28.72744954,12,7
25722,14,34,1-14-2022-034-02,2,1,0,0,158.2363863,8,7
25724,23,28,1-23-2022-028-06,6,2,0,0,442.600644,5,7
25725,23,29,1-23-2022-029-06,6,1,0,0,442.600644,5,7
25726,28,33,1-28-2022-033-10,10,1,0,0,853.8918687,3,7
25727,28,34,1-28-2022-034-09,9,1,0,0,142.7839986,3,7
25728,10,63,1-10-2022-063-03,3,1,0,0,529.7397746,4,7
25728,10,63,1-10-2022-063-03,3,2,0,0,529.7397746,4,7
25729,10,64,1-10-2022-064-05,5,1,0,0,97.53176775,4,7
25729,10,64,1-10-2022-064-05,5,2,0,0,97.53176775,4,7
25731,13,62,1-13-2022-062-08,8,1,0,0,741.2405567,7,7
25732,13,63,1-13-2022-063-03,3,1,0,0,603.0581026,7,7
25733,13,64,1-13-2022-064-02,2,1,0,0,24.58245999,7,7
25733,13,64,1-13-2022-064-02,2,2,0,0,24.58245999,7,7
25734,76,38,1-76-2022-038-07,7,1,0,0,29.18140502,3,7
25735,16,33,1-16-2022-033-02,2,1,0,0,33.40600608,5,7
25735,16,33,1-16-2022-033-02,2,2,0,0,33.40600608,5,7
25736,16,34,1-16-2022-034-03,3,1,0,0,853.5805692,5,7
25737,27,32,1-27-2022-032-07,7,1,0,0,195.4973134,3,7
25738,27,33,1-27-2022-033-09,9,1,0,0,151.2418304,3,7
25739,32,42,1-32-2022-042-02,2,1,2,4,131.6581482,7,7
25740,32,43,1-32-2022-043-02,2,2,0,0,131.6581482,7,7
25742,31,29,1-31-2022-029-06,6,1,0,0,210.5752517,6,7
25742,31,29,1-31-2022-029-06,6,2,0,0,210.5752517,6,7
25743,31,30,1-31-2022-030-07,7,1,0,0,275.9259253,6,7
25743,31,30,1-31-2022-030-07,7,2,0,0,275.9259253,6,7
25746,18,35,1-18-2022-035-04,4,1,0,0,176.9417572,6,7
25750,21,28,1-21-2022-028-08,8,1,0,0,645.3876333,11,7
25751,26,51,1-26-2022-051-03,3,1,0,0,497.2584199,10,7
25751,26,51,1-26-2022-051-03,3,4,0,0,497.2584199,10,7
25751,26,51,1-26-2022-051-03,3,5,0,0,497.2584199,10,7
25752,26,52,1-26-2022-052-02,2,1,0,0,35.58682345,10,7
25756,30,38,1-30-2022-038-03,3,3,0,0,379.8044619,10,7
25756,30,38,1-30-2022-038-03,3,4,0,0,379.8044619,10,7
25757,26,55,1-26-2022-055-09,9,2,0,0,3505.831096,10,7
25759,14,35,1-14-2022-035-07,7,1,0,0,15825.23629,8,7
25760,20,73,1-20-2022-073-06,6,1,0,0,161.0673472,11,7
25760,20,73,1-20-2022-073-06,6,2,0,0,161.0673472,11,7
25762,54,37,1-54-2022-037-08,8,1,0,0,383.9894565,9,7
25763,20,74,1-20-2022-074-09,9,1,0,0,342.8129734,11,7
25764,30,39,1-30-2022-039-06,6,2,0,0,947.0489604,10,7
25765,26,56,1-26-2022-056-03,3,2,0,0,497.2584199,10,7
25771,77,38,1-77-2022-038-05,5,1,0,0,188.3984272,9,7
25772,77,39,1-77-2022-039-01,1,1,2,4,230.6501895,9,7
25775,59,25,1-59-2022-025-02,2,1,0,0,194.5353129,6,7
25776,17,37,1-17-2022-037-03,3,1,0,0,160.223224,4,7
25777,17,38,1-17-2022-038-03,3,1,0,0,160.223224,4,7
25778,12,26,1-12-2022-026-07,7,1,0,0,2579.663254,9,7
25778,12,26,1-12-2022-026-07,7,2,0,0,2579.663254,9,7
25779,19,66,1-19-2022-066-02,2,1,0,0,52.3928042,9,7
25781,19,68,1-19-2022-068-04,4,1,0,0,374.2019866,9,7
25782,19,69,1-19-2022-069-03,3,1,0,0,98.17456802,9,7
25782,19,69,1-19-2022-069-03,3,2,0,0,98.17456802,9,7
