CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVNTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
25452,77,30,1-77-2022-030-02,2,1,1,1,Event 1,1,16716,0,97,9997.0000,1,147.5000,-49.0000,135.0000,-11.0000,90.0000,90.06596167,9,7
25452,77,30,1-77-2022-030-02,2,2,1,1,Event 1,1,8251,0,1,0.0000,1,147.5000,49.0000,130.0000,7.0000,227.5000,90.06596167,9,7
24507,10,3,1-10-2022-003-06,6,1,1,1,First Record,1,13860,0,1,9997.0000,1,9997.0000,-17.1900,280.0000,-26.5900,144.0000,464.3680726,4,7
24507,10,3,1-10-2022-003-06,6,2,1,1,Deployment,1,29592,1,97,9997.0000,1,135.0000,-31.9907,135.0000,997.0000,135.0000,464.3680726,4,7
24568,10,4,1-10-2022-004-06,6,1,1,2,Event Record 2,99,12656,0,2,9997.0000,1,9997.0000,-17.7100,236.0000,-6.4400,172.0000,667.8438778,4,7
24653,10,8,1-10-2022-008-08,8,1,1,2,1st Prior Frontal/Rear Event,99,999997,1,97,9997.0000,1,9997.0000,13.3000,9997.0000,997.0000,9997.0000,886.5323702,4,7
24653,10,8,1-10-2022-008-08,8,1,1,1,Most Recent Frontal/Rear Event,99,999997,1,97,9997.0000,1,9997.0000,-6.8000,9997.0000,997.0000,9997.0000,886.5323702,4,7
24653,10,8,1-10-2022-008-08,8,1,1,3,Prior Frontal/Rear Event,99,999997,1,97,9997.0000,1,9997.0000,-1.4000,9997.0000,997.0000,9997.0000,886.5323702,4,7
24810,10,15,1-10-2022-015-10,10,1,1,2,Second Record,1,15668,0,2,9997.0000,1,9997.0000,-39.5400,295.0000,-2.8900,169.0000,1933.897925,4,7
24810,10,15,1-10-2022-015-10,10,1,1,1,First Record,97,8986,0,1,9997.0000,1,9997.0000,-1.1300,294.0000,-7.9000,300.0000,1933.897925,4,7
24704,77,6,1-77-2022-006-05,5,1,1,1,First Record,1,11023,0,1,9997.0000,1,9997.0000,-22.5000,190.0000,-4.3700,300.0000,140.982131,9,7
24703,77,5,1-77-2022-005-05,5,2,1,2,1st Prior Event,97,12501,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,140.982131,9,7
24625,77,4,1-77-2022-004-05,5,1,1,5,3rd Prior Event,97,999997,7,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,228.0387703,9,7
24625,77,4,1-77-2022-004-05,5,1,1,4,2nd Prior Event,1,10765,0,97,9997.0000,1,9997.0000,-10.8000,82.5000,997.0000,9997.0000,228.0387703,9,7
24625,77,4,1-77-2022-004-05,5,1,1,2,Most Recent Event,2,10765,0,97,9997.0000,1,9997.0000,-30.6000,274.5000,997.0000,9997.0000,228.0387703,9,7
24625,77,4,1-77-2022-004-05,5,1,1,1,Trg Invalid #1,97,999997,7,97,9997.0000,0,9997.0000,997.0000,9997.0000,997.0000,9997.0000,228.0387703,9,7
24728,73,7,1-73-2022-007-06,6,1,1,1,Event Record 1,99,6388,0,1,9997.0000,1,85.0000,1.0000,137.5000,-4.0000,82.5000,59.2767779,3,7
24624,77,3,1-77-2022-003-02,2,1,1,5,Most Recent Event,4,13581,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,97.45773006,9,7
24624,77,3,1-77-2022-003-02,2,1,1,6,1st Prior Event,2,13581,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,97.45773006,9,7
24624,77,3,1-77-2022-003-02,2,1,1,2,3rd Prior Event,95,13581,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,97.45773006,9,7
24624,77,3,1-77-2022-003-02,2,1,1,3,4th Prior Event,1,13581,0,97,9997.0000,1,9997.0000,-15.2000,142.0000,997.0000,9997.0000,97.45773006,9,7
24624,77,3,1-77-2022-003-02,2,2,1,1,Most Recent Event - Non-Deployment,95,1436,1,2,0.9000,1,9997.0000,2.0000,248.0000,-6.0000,146.0000,97.45773006,9,7
24624,77,3,1-77-2022-003-02,2,2,1,3,2nd Prior Event - Deployment,95,1436,0,2,0.1000,1,9997.0000,-1.0000,20.0000,7.0000,234.0000,97.45773006,9,7
24832,26,14,1-26-2022-014-03,3,1,1,1,Event Record 1,1,8137,0,1,9997.0000,1,65.0000,7.0000,60.0000,13.0000,65.0000,139.3030988,10,7
24832,26,14,1-26-2022-014-03,3,1,1,2,Event Record 2,95,8137,0,2,0.1000,1,300.0000,-18.0000,300.0000,-5.0000,227.5000,139.3030988,10,7
