CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
24547,54,4,1-54-2022-004-04,4,2,1,2,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,842.2066353,9,7
24547,54,4,1-54-2022-004-04,4,2,1,1,1,24.00,9995.00,7,8,9995.00,9995.00,24.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,24.00,9997.00,9997.00,7,4,7,842.2066353,9,7
24550,17,2,1-17-2022-002-05,5,1,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9997.00,9997.00,9997.00,7,7,7,74.63199473,4,7
24551,17,3,1-17-2022-003-03,3,1,1,1,1,48.00,54.00,7,8,9995.00,9997.00,9997.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9997.00,9997.00,9997.00,9997.00,7,0,7,391.8680427,4,7
24553,19,7,1-19-2022-007-03,3,2,1,1,1,0.00,9997.00,7,8,12.00,12.00,12.00,12.00,9997.00,0,7,7,0,0.00,0.00,1,0,0.00,0.00,9997.00,9997.00,9997.00,7,7,7,69.54885741,9,7
24556,19,10,1-19-2022-010-07,7,2,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9997.00,9997.00,9997.00,0,7,7,1,9995.00,9995.00,7,8,9995.00,9995.00,9997.00,9997.00,9997.00,0,0,7,470.6217507,9,7
24562,24,3,1-24-2022-003-03,3,2,1,1,1,9995.00,9995.00,7,0,17.00,17.00,17.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,0,0,9995.00,9995.00,17.00,9997.00,9997.00,7,7,7,245.7609152,1,7
24562,24,3,1-24-2022-003-03,3,1,1,2,1,9995.00,9995.00,7,8,9995.00,9995.00,9997.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,9997.00,9997.00,9997.00,7,0,7,245.7609152,1,7
24582,13,3,1-13-2022-003-01,1,2,1,1,1,10.00,13.00,7,8,9995.00,9997.00,10.00,9997.00,9997.00,8,7,7,0,9995.00,9995.00,1,8,9995.00,23.00,10.00,9997.00,9997.00,7,5,7,91.62746346,7,7
24588,14,3,1-14-2022-003-03,3,1,1,1,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,1056.638073,8,7
