CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,SEATLOC,CASEWGT,PSUSTRAT,VERSION
27642,31,79,1-31-2022-079-10,10,1,2,13,317.610847,6,7
27645,48,35,1-48-2022-035-03,3,1,1,11,151.4237361,12,7
27645,48,35,1-48-2022-035-03,3,1,2,13,151.4237361,12,7
27645,48,35,1-48-2022-035-03,3,1,3,11,151.4237361,12,7
27645,48,35,1-48-2022-035-03,3,1,3,21,151.4237361,12,7
27645,48,35,1-48-2022-035-03,3,1,4,23,151.4237361,12,7
27645,48,35,1-48-2022-035-03,3,1,4,13,151.4237361,12,7
27645,48,35,1-48-2022-035-03,3,1,5,11,151.4237361,12,7
27645,48,35,1-48-2022-035-03,3,1,6,13,151.4237361,12,7
27648,77,90,1-77-2022-090-03,3,1,1,11,264.9638577,9,7
27648,77,90,1-77-2022-090-03,3,1,2,13,264.9638577,9,7
27648,77,90,1-77-2022-090-03,3,3,1,11,264.9638577,9,7
27648,77,90,1-77-2022-090-03,3,3,2,11,264.9638577,9,7
27648,77,90,1-77-2022-090-03,3,3,3,11,264.9638577,9,7
27648,77,90,1-77-2022-090-03,3,3,4,21,264.9638577,9,7
27648,77,90,1-77-2022-090-03,3,3,5,11,264.9638577,9,7
27648,77,90,1-77-2022-090-03,3,3,5,21,264.9638577,9,7
27648,77,90,1-77-2022-090-03,3,3,6,13,264.9638577,9,7
27648,77,90,1-77-2022-090-03,3,3,7,13,264.9638577,9,7
27648,77,90,1-77-2022-090-03,3,3,8,13,264.9638577,9,7
27648,77,90,1-77-2022-090-03,3,3,9,23,264.9638577,9,7
27648,77,90,1-77-2022-090-03,3,3,10,23,264.9638577,9,7
27648,77,90,1-77-2022-090-03,3,3,10,13,264.9638577,9,7
27651,59,81,1-59-2022-081-07,7,1,1,11,601.0252605,6,7
27651,59,81,1-59-2022-081-07,7,1,2,11,601.0252605,6,7
27651,59,81,1-59-2022-081-07,7,1,3,11,601.0252605,6,7
27651,59,81,1-59-2022-081-07,7,1,3,21,601.0252605,6,7
27651,59,81,1-59-2022-081-07,7,1,4,13,601.0252605,6,7
27651,59,81,1-59-2022-081-07,7,1,5,13,601.0252605,6,7
27651,59,81,1-59-2022-081-07,7,1,6,13,601.0252605,6,7
27651,59,81,1-59-2022-081-07,7,1,6,23,601.0252605,6,7
27657,12,61,1-12-2022-061-03,3,1,1,11,282.0476298,9,7
27657,12,61,1-12-2022-061-03,3,1,2,11,282.0476298,9,7
27657,12,61,1-12-2022-061-03,3,1,3,11,282.0476298,9,7
27657,12,61,1-12-2022-061-03,3,1,4,11,282.0476298,9,7
27657,12,61,1-12-2022-061-03,3,1,4,21,282.0476298,9,7
27657,12,61,1-12-2022-061-03,3,1,5,13,282.0476298,9,7
27657,12,61,1-12-2022-061-03,3,1,6,13,282.0476298,9,7
27657,12,61,1-12-2022-061-03,3,1,7,23,282.0476298,9,7
27657,12,61,1-12-2022-061-03,3,1,7,13,282.0476298,9,7
27657,12,61,1-12-2022-061-03,3,1,8,13,282.0476298,9,7
27665,11,77,1-11-2022-077-06,6,1,1,11,1577.681856,8,7
27665,11,77,1-11-2022-077-06,6,1,2,13,1577.681856,8,7
27665,11,77,1-11-2022-077-06,6,1,3,11,1577.681856,8,7
27665,11,77,1-11-2022-077-06,6,1,4,13,1577.681856,8,7
27665,11,77,1-11-2022-077-06,6,1,5,11,1577.681856,8,7
27665,11,77,1-11-2022-077-06,6,1,5,21,1577.681856,8,7
27665,11,77,1-11-2022-077-06,6,1,6,13,1577.681856,8,7
27665,11,77,1-11-2022-077-06,6,1,6,23,1577.681856,8,7
27665,11,77,1-11-2022-077-06,6,2,1,11,1577.681856,8,7
27665,11,77,1-11-2022-077-06,6,2,2,13,1577.681856,8,7
27665,11,77,1-11-2022-077-06,6,2,3,11,1577.681856,8,7
27665,11,77,1-11-2022-077-06,6,2,4,11,1577.681856,8,7
27665,11,77,1-11-2022-077-06,6,2,5,13,1577.681856,8,7
27668,14,84,1-14-2022-084-07,7,2,1,11,8648.617979,8,7
27668,14,84,1-14-2022-084-07,7,2,2,11,8648.617979,8,7
27668,14,84,1-14-2022-084-07,7,2,3,11,8648.617979,8,7
27668,14,84,1-14-2022-084-07,7,2,3,21,8648.617979,8,7
27668,14,84,1-14-2022-084-07,7,2,4,13,8648.617979,8,7
