CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
24907,21,8,1-21-2022-008-03,3,1,8,349.6238828,11,7
24908,21,9,1-21-2022-009-03,3,1,1,349.6238828,11,7
24928,77,11,1-77-2022-011-09,9,1,2,840.6367345,9,7
24946,28,11,1-28-2022-011-06,6,1,1,71.47271363,3,7
24953,25,11,1-25-2022-011-01,1,1,99,59.25138979,2,7
24971,19,26,1-19-2022-026-03,3,1,10,60.11210151,9,7
24985,76,14,1-76-2022-014-06,6,1,10,23.13866227,3,7
24994,77,13,1-77-2022-013-03,3,1,8,164.7105913,9,7
25006,17,16,1-17-2022-016-03,3,1,10,162.8780561,4,7
25046,30,13,1-30-2022-013-10,10,1,10,18199.94106,10,7
25047,30,14,1-30-2022-014-07,7,1,6,6012.30965,10,7
25051,26,22,1-26-2022-022-02,2,1,1,27.62973443,10,7
25058,29,4,1-29-2022-004-03,3,1,1,902.3788765,2,7
25070,76,19,1-76-2022-019-07,7,1,9,27.97070808,3,7
25086,24,28,1-24-2022-028-03,3,1,3,123.2321468,1,7
25095,23,19,1-23-2022-019-02,2,1,99,47.79371743,5,7
25103,28,16,1-28-2022-016-03,3,1,4,46.97629395,3,7
25104,23,18,1-23-2022-018-07,7,2,9,1256.42503,5,7
25115,31,14,1-31-2022-014-08,8,1,1,266.8338251,6,7
25122,19,32,1-19-2022-032-03,3,1,3,170.5782381,9,7
25125,54,19,1-54-2022-019-04,4,1,1,499.9666803,9,7
25126,21,12,1-21-2022-012-01,1,1,1,75.15647403,11,7
25132,20,31,1-20-2022-031-06,6,1,1,191.6869725,11,7
25134,20,33,1-20-2022-033-02,2,1,3,31.9626892,11,7
25152,26,28,1-26-2022-028-06,6,1,2,679.5118855,10,7
25159,54,22,1-54-2022-022-08,8,1,1,260.813756,9,7
25160,59,13,1-59-2022-013-04,4,1,10,480.5122626,6,7
25168,24,30,1-24-2022-030-06,6,1,1,173.4254418,1,7
25171,24,33,1-24-2022-033-06,6,1,2,173.4254418,1,7
25175,23,21,1-23-2022-021-06,6,1,6,1522.576506,5,7
25177,52,30,1-52-2022-030-04,4,1,9,122.087087,12,7
25183,10,36,1-10-2022-036-07,7,1,10,1186.455758,4,7
25194,66,16,1-66-2022-016-03,3,1,99,127.8599504,6,7
25225,30,20,1-30-2022-020-04,4,1,9,2370.552076,10,7
25229,77,22,1-77-2022-022-07,7,1,7,15825.23629,9,7
25234,54,24,1-54-2022-024-08,8,1,99,204.5557822,9,7
25238,19,40,1-19-2022-040-02,2,1,1,52.3928042,9,7
25240,11,16,1-11-2022-016-04,4,1,10,3876.363131,8,7
25241,11,17,1-11-2022-017-02,2,1,10,67.0889176,8,7
25247,66,18,1-66-2022-018-07,7,1,1,138.884824,6,7
25249,66,20,1-66-2022-020-10,10,1,9,417.8758308,6,7
25250,10,37,1-10-2022-037-05,5,1,10,25.29056826,4,7
25261,28,22,1-28-2022-022-04,4,1,1,61.63580427,3,7
25274,18,22,1-18-2022-022-09,9,1,8,829.9546095,6,7
25319,66,21,1-66-2022-021-09,9,1,3,149.0875827,6,7
25322,14,24,1-14-2022-024-02,2,1,99,237.382202,8,7
25340,14,23,1-14-2022-023-02,2,1,8,237.382202,8,7
25349,18,24,1-18-2022-024-06,6,1,2,163.5659351,6,7
25353,21,17,1-21-2022-017-06,6,1,10,1994.058319,11,7
25357,26,34,1-26-2022-034-08,8,1,9,316.9536123,10,7
25381,54,27,1-54-2022-027-05,5,1,10,137.5078254,9,7
25382,59,18,1-59-2022-018-04,4,1,2,354.8805844,6,7
25385,17,24,1-17-2022-024-04,4,1,10,456.3202828,4,7
25387,22,5,1-22-2022-005-01,1,1,99,38.00048139,12,7
25403,14,26,1-14-2022-026-06,6,1,10,3450.545977,8,7
25405,73,29,1-73-2022-029-09,9,1,3,217.3896895,3,7
25407,52,38,1-52-2022-038-03,3,1,9,51.10534633,12,7
25411,28,26,1-28-2022-026-08,8,1,1,50.19474566,3,7
25412,66,24,1-66-2022-024-10,10,1,9,1070.180003,6,7
25422,25,19,1-25-2022-019-10,10,1,6,7911.521733,2,7
25425,27,23,1-27-2022-023-06,6,1,1,52.2641222,3,7
25440,30,27,1-30-2022-027-05,5,1,10,336.3206656,10,7
25445,66,26,1-66-2022-026-10,10,2,9,1070.180003,6,7
25471,11,23,1-11-2022-023-01,1,1,1,202.8006472,8,7
25480,28,28,1-28-2022-028-09,9,1,3,43.96876046,3,7
25501,16,25,1-16-2022-025-03,3,1,9,1152.50895,5,7
25515,21,22,1-21-2022-022-04,4,1,10,2057.595219,11,7
25533,48,4,1-48-2022-004-06,6,1,9,78.1473626,12,7
25536,77,33,1-77-2022-033-05,5,1,1,65.73259221,9,7
25546,19,57,1-19-2022-057-04,4,1,1,237.130589,9,7
25548,11,24,1-11-2022-024-05,5,1,7,450.1831118,8,7
25549,11,25,1-11-2022-025-06,6,1,10,5646.956947,8,7
25551,73,33,1-73-2022-033-03,3,1,99,52.07358755,3,7
25556,28,29,1-28-2022-029-03,3,1,1,42.92651254,3,7
25575,31,25,1-31-2022-025-03,3,1,1,257.4607926,6,7
25576,18,29,1-18-2022-029-07,7,2,10,983.3215044,6,7
25579,21,24,1-21-2022-024-03,3,1,99,760.1985068,11,7
25581,24,50,1-24-2022-050-03,3,1,1,84.87496322,1,7
25588,20,63,1-20-2022-063-04,4,1,3,320.2826447,11,7
25589,66,31,1-66-2022-031-09,9,1,9,243.0649916,6,7
25604,54,32,1-54-2022-032-04,4,1,10,339.9867161,9,7
25637,25,24,1-25-2022-024-04,4,1,99,230.7573872,2,7
25639,24,56,1-24-2022-056-04,4,1,6,163.4611164,1,7
25645,16,32,1-16-2022-032-04,4,1,9,1122.443168,5,7
25654,31,27,1-31-2022-027-02,2,1,99,220.1476746,6,7
25654,31,27,1-31-2022-027-02,2,2,99,220.1476746,6,7
