CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
24507,10,3,1-10-2022-003-06,6,2,RR,178,CUSTOM BUILT WIDE TRAC TOURING II,P225/20R16,53KB C06 2717,1,0,1,464.3680726,4,7
24507,10,3,1-10-2022-003-06,6,2,RF,178,CUSTOM BUILT WIDE TRAC TOURING II,P225/20R16,53KB C06 2717,1,0,1,464.3680726,4,7
24507,10,3,1-10-2022-003-06,6,2,LR,156,TOUR PLUS LSV,P215/60R16,R8F1,3,0,1,464.3680726,4,7
24507,10,3,1-10-2022-003-06,6,3,LF,89,SOLUS KL21,P225/60R17,272A YAL94320,5,0,1,464.3680726,4,7
24507,10,3,1-10-2022-003-06,6,3,RF,89,SOLUS KL21,P225/60R17,272A YAL94320,5,0,1,464.3680726,4,7
24507,10,3,1-10-2022-003-06,6,3,LR,89,SOLUS KL21,P225/60R17,272A YAL94320,5,0,1,464.3680726,4,7
24507,10,3,1-10-2022-003-06,6,3,RR,89,SOLUS KL21,P225/60R17,272A YAL94320,5,0,1,464.3680726,4,7
24513,66,1,1-66-2022-001-04,4,1,LF,66,Exclaim HPX A/S,P205/50R17,A37P WC1P0820,6,0,1,291.3995734,6,7
24513,66,1,1-66-2022-001-04,4,1,LR,66,Exclaim HPX A/S,P205/50R17,A37P WC1P0820,6,0,1,291.3995734,6,7
24513,66,1,1-66-2022-001-04,4,1,RR,66,Exclaim HPX A/S,P205/50R17,A37P WC1P4919,6,0,1,291.3995734,6,7
24513,66,1,1-66-2022-001-04,4,1,RF,66,Exclaim HPX A/S,P205/50R17,A37P WC1P4719,6,0,1,291.3995734,6,7
24516,25,2,1-25-2022-002-10,10,1,LF,998,STRADA II,P235/45R17,TBNA B65C3421,7,0,1,7464.231254,2,7
27863,77,95,1-77-2022-095-04,4,2,RF,201,TOURING VP PLUS,P215/60R16,01BFTBFB04420,4,0,1,2732.18266,9,7
27863,77,95,1-77-2022-095-04,4,2,LR,103,DEFENDER L+H,P215/60R16,B349 0T9X1419,6,0,1,2732.18266,9,7
27628,20,200,1-20-2022-200-03,3,1,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,328.5158969,11,7
27628,20,200,1-20-2022-200-03,3,1,RF,999,Unknown,UNKNOWN,9999999999999,99,0,9,328.5158969,11,7
27628,20,200,1-20-2022-200-03,3,1,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,328.5158969,11,7
27628,20,200,1-20-2022-200-03,3,1,RR,999,Unknown,UNKNOWN,9999999999999,99,0,9,328.5158969,11,7
27694,18,92,1-18-2022-092-04,4,1,LF,76,Kinergy ST,P225/60R17,00TJF2EH15021,5,0,1,1646.387782,6,7
27694,18,92,1-18-2022-092-04,4,1,LR,76,Kinergy ST,P225/60R17,00TJF2EH14421,5,0,1,1646.387782,6,7
27694,18,92,1-18-2022-092-04,4,1,RR,76,Kinergy ST,P225/60R17,00TJF2EH15021,5,0,1,1646.387782,6,7
