CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEATLOC,SEATTYPE,ORIENTATION,TRACK,PERFORMANCE,INTRESTRAINT,HEADRESTYPE,HEADRESTDAM,HEADRESTACT,ROLLPROTECTION,BELTAVAILINSP,BELTUSEINSP,BELTMALFUNCTIONINSP,BELTANCHORINSP,BELTPRETENSIONINSP,BELTPOSDEVPRESINSP,BELTGUIDEINSP,SEATROW,LOCATION,CASEWGT,PSUSTRAT,VERSION
8926,32,1,1-32-2018-001-03,3,1,21,,,,,,,,,,,,,,,,,2,1,96.6632414863881,7,3
8926,32,1,1-32-2018-001-03,3,1,13,,,,,,,,,,,,,,,,,1,3,96.6632414863881,7,3
8926,32,1,1-32-2018-001-03,3,1,23,,,,,,,,,,,,,,,,,2,3,96.6632414863881,7,3
8926,32,1,1-32-2018-001-03,3,1,22,,,,,,,,,,,,,,,,,2,2,96.6632414863881,7,3
8949,17,1,1-17-2018-001-04,4,1,21,,,,,,,,,,,,,,,,,2,1,106.471488478727,4,3
8949,17,1,1-17-2018-001-04,4,1,23,,,,,,,,,,,,,,,,,2,3,106.471488478727,4,3
8999,24,1,1-24-2018-001-04,4,1,21,,,,,,,,,,,,,,,,,2,1,244.329142940613,1,3
8999,24,1,1-24-2018-001-04,4,1,22,,,,,,,,,,,,,,,,,2,2,244.329142940613,1,3
8999,24,1,1-24-2018-001-04,4,1,23,,,,,,,,,,,,,,,,,2,3,244.329142940613,1,3
8999,24,1,1-24-2018-001-04,4,1,13,,,,,,,,,,,,,,,,,1,3,244.329142940613,1,3
9003,32,2,1-32-2018-002-02,2,1,13,,,,,,,,,,,,,,,,,1,3,43.5271596696033,7,3
9003,32,2,1-32-2018-002-02,2,1,21,,,,,,,,,,,,,,,,,2,1,43.5271596696033,7,3
9003,32,2,1-32-2018-002-02,2,1,22,,,,,,,,,,,,,,,,,2,2,43.5271596696033,7,3
9003,32,2,1-32-2018-002-02,2,1,23,,,,,,,,,,,,,,,,,2,3,43.5271596696033,7,3
9052,13,3,1-13-2018-003-05,5,1,13,,,,,,,,,,,,,,,,,1,3,34.1313401820798,7,3
9052,13,3,1-13-2018-003-05,5,1,23,,,,,,,,,,,,,,,,,2,3,34.1313401820798,7,3
9052,13,3,1-13-2018-003-05,5,1,22,,,,,,,,,,,,,,,,,2,2,34.1313401820798,7,3
9052,13,3,1-13-2018-003-05,5,1,21,,,,,,,,,,,,,,,,,2,1,34.1313401820798,7,3
8998,10,1,1-10-2018-001-06,6,1,13,,,,,,,,,,,,,,,,,1,3,314.290232732828,4,3
8998,10,1,1-10-2018-001-06,6,1,21,,,,,,,,,,,,,,,,,2,1,314.290232732828,4,3
8998,10,1,1-10-2018-001-06,6,1,23,,,,,,,,,,,,,,,,,2,3,314.290232732828,4,3
8997,23,1,1-23-2018-001-02,2,1,21,,,,,,,,,,,,,,,,,2,1,78.9923184476903,5,3
8997,23,1,1-23-2018-001-02,2,1,23,,,,,,,,,,,,,,,,,2,3,78.9923184476903,5,3
8997,23,1,1-23-2018-001-02,2,1,22,,,,,,,,,,,,,,,,,2,2,78.9923184476903,5,3
8998,10,1,1-10-2018-001-06,6,2,13,,,,,,,,,,,,,,,,,1,3,314.290232732828,4,3
8998,10,1,1-10-2018-001-06,6,2,21,,,,,,,,,,,,,,,,,2,1,314.290232732828,4,3
8998,10,1,1-10-2018-001-06,6,2,23,,,,,,,,,,,,,,,,,2,3,314.290232732828,4,3
9011,19,1,1-19-2018-001-07,7,2,13,,,,,,,,,,,,,,,,,1,3,2388.42322945597,9,3
9011,19,1,1-19-2018-001-07,7,2,23,,,,,,,,,,,,,,,,,2,3,2388.42322945597,9,3
9011,19,1,1-19-2018-001-07,7,2,22,,,,,,,,,,,,,,,,,2,2,2388.42322945597,9,3
9011,19,1,1-19-2018-001-07,7,2,21,,,,,,,,,,,,,,,,,2,1,2388.42322945597,9,3
9046,12,1,1-12-2018-001-04,4,1,21,,,,,,,,,,,,,,,,,2,1,1398.82882263809,9,3
9046,12,1,1-12-2018-001-04,4,1,13,,,,,,,,,,,,,,,,,1,3,1398.82882263809,9,3
9046,12,1,1-12-2018-001-04,4,1,23,,,,,,,,,,,,,,,,,2,3,1398.82882263809,9,3
9013,27,1,1-27-2018-001-06,6,1,21,,,,,,,,,,,,,,,,,2,1,189.954094256336,3,3
9013,27,1,1-27-2018-001-06,6,1,13,,,,,,,,,,,,,,,,,1,3,189.954094256336,3,3
9013,27,1,1-27-2018-001-06,6,1,23,,,,,,,,,,,,,,,,,2,3,189.954094256336,3,3
9013,27,1,1-27-2018-001-06,6,2,21,,,,,,,,,,,,,,,,,2,1,189.954094256336,3,3
9013,27,1,1-27-2018-001-06,6,2,31,,,,,,,,,,,,,,,,,3,1,189.954094256336,3,3
9013,27,1,1-27-2018-001-06,6,2,13,,,,,,,,,,,,,,,,,1,3,189.954094256336,3,3
9013,27,1,1-27-2018-001-06,6,2,23,,,,,,,,,,,,,,,,,2,3,189.954094256336,3,3
