CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GVWR,GAWRFRONT,GAWRREAR,RECFRONT1,RECFRPRESS1,RECREAR1,RECRRPRESS1,RECFRONT2,RECFRPRESS2,RECREAR2,RECRRPRESS2,RECFRONT3,RECFRPRESS3,RECREAR3,RECRRPRESS3,CASEWGT,PSUSTRAT,VERSION
8949,17,1,1-17-2018-001-04,4,1,1733,939,839,P205/55R16,220,P205/55R16,220,,,,,,,,,106.471488478727,4,3
8971,29,1,1-29-2018-001-07,7,1,2010,1105,905,P225/50R17,210,P225/50R17,210,,,,,,,,,56.3252452658226,2,3
8998,10,1,1-10-2018-001-06,6,2,2291,1217,1160,P235/65R18,230,P235/65R18,230,,,,,,,,,314.290232732828,4,3
8997,23,1,1-23-2018-001-02,2,1,1860,1020,920,P215/55R17,240,P215/55R17,240,,,,,,,,,78.9923184476903,5,3
9003,32,2,1-32-2018-002-02,2,2,1971,1210,1070,P215/60R16,230,P215/60R16,230,,,,,,,,,43.5271596696033,7,3
8999,24,1,1-24-2018-001-04,4,1,3225,1815,1885,P225/70R18,210,P225/70R18,228,,,,,,,,,244.329142940613,1,3
8999,24,1,1-24-2018-001-04,4,2,2076,1080,1044,P215/65R17,240,P215/65R17,240,,,,,,,,,244.329142940613,1,3
9005,59,1,1-59-2018-001-05,5,2,1686,887,799,9999999999,999,9999999999,999,,,,,,,,,69.9352741302147,6,3
9013,27,1,1-27-2018-001-06,6,2,2695,1320,1450,P235/65R16,240,P235/65R16,240,,,,,,,,,189.954094256336,3,3
9020,16,1,1-16-2018-001-08,8,1,2005,1100,905,9999999999,999,9999999999,999,,,,,,,,,417.717624463348,5,3
9018,14,1,1-14-2018-001-03,3,2,3175,1565,1724,P275/65R18,240,P275/65R18,240,,,,,,,,,1003.39701103091,8,3
9030,18,1,1-18-2018-001-08,8,1,1780,980,960,P195/60R15,210,P195/60R15,210,,,,,,,,,386.913594514849,6,3
9031,22,1,1-22-2018-001-08,8,1,1971,1210,1070,P215/60R16,210,P215/60R16,210,,,,,,,,,50.6944581437454,12,3
9012,19,2,1-19-2018-002-02,2,2,2715,1325,1454,P235/65R18,230,P235/65R18,230,,,,,,,,,46.6814730229856,9,3
9031,22,1,1-22-2018-001-08,8,2,1900,1210,1210,P205/65R15,200,P205/65R15,200,,,,,,,,,50.6944581437454,12,3
9046,12,1,1-12-2018-001-04,4,1,2159,1125,1034,P235/55R17,240,P235/55R17,240,,,,,,,,,1398.82882263809,9,3
9029,30,1,1-30-2018-001-08,8,1,9999,9999,9999,P225/60R16,210,P225/60R16,210,,,,,,,,,214.962103691995,10,3
9016,13,2,1-13-2018-002-03,3,1,1864,972,892,P215/60R16,240,P215/60R16,240,,,,,,,,,524.820237186376,7,3
9026,17,2,1-17-2018-002-07,7,1,3175,1565,1724,P275/65R18,240,P275/65R18,240,,,,,,,,,2380.45933853927,4,3
9026,17,2,1-17-2018-002-07,7,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,2380.45933853927,4,3
9052,13,3,1-13-2018-003-05,5,1,1685,895,796,P205/50R16,235,P205/50R16,235,,,,,,,,,34.1313401820798,7,3
9053,29,3,1-29-2018-003-04,4,1,1733,939,839,P205/55R16,220,P205/55R16,220,,,,,,,,,1522.09400244442,2,3
9065,32,4,1-32-2018-004-06,6,2,3175,1542,1723,P235/75R15,283,P235/75R15,283,,,,,,,,,937.80176202972,7,3
9072,26,1,1-26-2018-001-09,9,1,1896,1088,1088,P195/70R14,210,P195/70R14,210,,,,,,,,,1100.63889571087,10,3
9069,23,3,1-23-2018-003-07,7,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,1021.0739204727,5,3
9073,52,1,1-52-2018-001-07,7,1,2185,1075,1140,P225/45R17,250,P245/40R17,280,,,,,,,,,665.400787679964,12,3
9064,32,3,1-32-2018-003-06,6,1,1865,955,925,P225/50R18,260,P245/45R18,260,,,,,,,,,937.80176202972,7,3
9078,16,2,1-16-2018-002-04,4,1,1944,1065,995,P215/55R18,240,P215/55R18,240,,,,,,,,,569.620178729296,5,3
9078,16,2,1-16-2018-002-04,4,2,1710,912,798,P195/65R15,240,P195/65R15,240,,,,,,,,,569.620178729296,5,3
9064,32,3,1-32-2018-003-06,6,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,937.80176202972,7,3
9085,25,2,1-25-2018-002-03,3,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,647.794441782747,2,3
9080,59,2,1-59-2018-002-07,7,2,1780,980,960,P195/60R15,210,P195/60R15,210,,,,,,,,,345.463375293539,6,3
9085,25,2,1-25-2018-002-03,3,3,1987,1039,948,9999999999,999,9999999999,999,,,,,,,,,647.794441782747,2,3
9091,31,1,1-31-2018-001-10,10,1,1895,1026,874,P225/70R15,200,P225/70R15,200,,,,,,,,,1436.93974120355,6,3
9102,12,2,1-12-2018-002-06,6,2,2268,1194,1314,P215/70R16,240,P215/70R16,240,,,,,,,,,854.536929051275,9,3
9089,33,3,1-33-2018-003-10,10,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,37.5853869898296,12,3
9100,21,2,1-21-2018-002-03,3,1,1948,1060,895,9999999999,999,9999999999,999,,,,,,,,,32.1040876242873,11,3
9061,24,3,1-24-2018-003-07,7,2,1754,1010,949,P195/65R15,220,P195/65R15,220,,,,,,,,,483.50986625976,1,3
9104,17,3,1-17-2018-003-02,2,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,65.8542656555382,4,3
9101,30,2,1-30-2018-002-09,9,1,2017,1106,911,P225/60R16,210,P225/60R16,210,,,,,,,,,4959.89800959782,10,3
9101,30,2,1-30-2018-002-09,9,2,3152,1394,1950,LT245/75R16,310,LT245/75R16,414,,,,,,,,,4959.89800959782,10,3
9112,15,4,1-15-2018-004-09,9,2,2230,1000,1300,9999999999,999,9999999999,999,,,,,,,,,743.682563255994,1,3
9086,27,2,1-27-2018-002-09,9,1,3062,1633,1770,P265/60R18,228,P265/60R18,228,,,,,,,,,564.418219068236,3,3
9086,27,2,1-27-2018-002-09,9,3,2010,1040,1060,P225/55R17,220,P225/55R17,210,,,,,,,,,564.418219068236,3,3
9114,17,6,1-17-2018-006-09,9,1,3130,1633,1814,P265/70R16,240,P265/70R16,240,,,,,,,,,928.670484328288,4,3
9110,15,2,1-15-2018-002-05,5,2,1742,948,839,9999999999,999,9999999999,999,,,,,,,,,14.5245876549888,1,3
9083,19,4,1-19-2018-004-05,5,2,1742,948,839,P195/65R15,210,P195/65R15,210,,,,,,,,,54.7319534917023,9,3
9111,15,3,1-15-2018-003-09,9,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,743.682563255994,1,3
9084,19,5,1-19-2018-005-04,4,1,2570,1285,1290,P225/60R16,250,P225/60R16,250,,,,,,,,,474.238121345424,9,3
9084,19,5,1-19-2018-005-04,4,2,2036,1040,1027,P225/60R18,228,P225/60R18,228,,,,,,,,,474.238121345424,9,3
9108,20,3,1-20-2018-003-02,2,1,2812,1588,1796,P245/70R16,180,P245/70R16,240,P265/70R16,180,P265/70R16,200,P265/65R17,200,P265/65R17,220,26.8025465982331,11,3
9108,20,3,1-20-2018-003-02,2,2,1780,990,910,P205/55R16,250,P205/55R16,250,,,,,,,,,26.8025465982331,11,3
9117,66,1,1-66-2018-001-06,6,2,1848,967,881,P215/60R16,240,P215/60R16,240,,,,,,,,,274.912120238182,6,3
9113,20,4,1-20-2018-004-03,3,1,3071,1470,1720,P265/45R20,290,P265/45R20,290,P275/45R20,290,P275/45R20,290,,,,,309.958434075375,11,3
9113,20,4,1-20-2018-004-03,3,3,1780,980,970,P205/55R16,230,P205/55R16,230,,,,,,,,,309.958434075375,11,3
9122,59,4,1-59-2018-004-03,3,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,79.542999788287,6,3
9122,59,4,1-59-2018-004-03,3,3,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,79.542999788287,6,3
9067,28,2,1-28-2018-002-04,4,1,1950,990,1000,P195/65R15,240,P195/65R15,230,,,,,,,,,187.830872453985,3,3
9116,28,3,1-28-2018-003-04,4,1,1609,850,840,P195/50R16,230,P195/50R16,230,,,,,,,,,187.830872453985,3,3
9121,13,6,1-13-2018-006-10,10,1,2375,1172,1214,9999999999,999,9999999999,999,,,,,,,,,13862.4226379394,7,3
9103,10,5,1-10-2018-005-04,4,1,1900,970,980,P195/65R15,250,P195/65R15,250,,,,,,,,,142.249904142252,4,3
9097,29,4,1-29-2018-004-06,6,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,1204.3625917376,2,3
9074,10,2,1-10-2018-002-04,4,1,1846,966,880,P215/60R16,240,P215/60R16,240,,,,,,,,,142.249904142252,4,3
9134,23,5,1-23-2018-005-04,4,1,1698,885,813,P195/65R15,260,P195/65R15,260,,,,,,,,,1294.75890194952,5,3
9136,23,7,1-23-2018-007-05,5,1,1559,850,820,P185/60R14,230,P185/60R14,230,,,,,,,,,50.4532248975682,5,3
9139,16,5,1-16-2018-005-03,3,1,2140,1145,1145,P225/65R16,220,P225/65R16,220,,,,,,,,,535.890269029215,5,3
9139,16,5,1-16-2018-005-03,3,2,2291,1273,1273,P225/60R17,230,P225/60R17,230,,,,,,,,,535.890269029215,5,3
9133,24,6,1-24-2018-006-09,9,2,1949,1099,959,P215/55R17,225,P215/55R17,225,,,,,,,,,1145.9784807475,1,3
9138,52,2,1-52-2018-002-07,7,1,2010,1090,935,P225/50R17,220,P225/50R17,220,,,,,,,,,562.963511185206,12,3
9140,16,6,1-16-2018-006-06,6,1,1726,895,831,P195/60R15,230,P195/60R15,230,,,,,,,,,711.290436632953,5,3
9144,32,5,1-32-2018-005-07,7,1,2005,1145,1100,P235/55R18,220,P235/55R18,220,,,,,,,,,1172.4360813216,7,3
