CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
10589,17,72,1-17-2018-072-10,10,1,1,48,190,6,0,0,888,06BLES05,B,L,E,S,5,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,1,81cm L of C,BC to BC,LRBC,170,0,170,-83,5,0,0,0,0,0,0,0,,,4000.248943,4,3
10037,13,52,1-13-2018-052-03,3,1,1,68,0,12,1,0,888,12FZEW05,F,Z,E,W,5,8,8,8,8,888,888,888,1,46,-46,0,220225,998,35,46,0,1,BC to BC,BC to BC,134cm from left front corner,120,0,161,35,90,55,5,23,38,50,53,55,,,341.4028612,7,3
9163,19,6,1-19-2018-006-04,4,1,2,3,170,6,0,0,5,06BLEW05,B,L,E,W,5,8,8,8,8,888,888,888,3,11,11,-2,13784,998,106,13,0,1,120cm from rr rebar corner,rebar corner to rebar corner,lr rebar corner,140,0,160,-60,50,30,30,10,4,1,0,2,,,3160.790282,9,3
10957,33,65,1-33-2018-065-03,3,1,1,2,0,12,0,2,315,12FDEW05,F,D,E,W,5,8,8,8,8,888,888,888,1,29,-29,0,69578,998,0,34,0,1,LFBC to RFBC,LFBRC to RFBRC,5 cm L of C,121,0,150,0,150,50,14,18,25,23,17,14,,,218.1543825,12,3
11586,20,109,1-20-2018-109-01,1,2,1,1,180,6,0,1,170,06BDEW05,B,D,E,W,5,8,8,8,8,888,888,888,1,70,70,0,472938,998,0,84,0,1,LRBC to RRBC,LRBC to RRBC,76cm left of RRBC,123,0,148,0,148,106,24,53,106,92,81,68,,,112.1475372,11,3
11806,32,139,1-32-2018-139-05,5,1,3,56,10,12,0,0,888,12FDEW05,F,D,E,W,5,8,8,8,8,888,888,888,1,111,-109,-19,708763,998,-33,111,0,1,"starts 48 cm left of center, extending for 78 cm",entire front,20 cm right of center,110,0,148,-9,78,102,52,81,97,102,91,88,,,254.0479427,7,3
9214,32,10,1-32-2018-010-02,2,1,2,52,0,12,0,0,888,12FDEW05,F,D,E,W,5,8,8,8,8,888,888,888,10,999,999,999,9999999,999,999,63,5,1,Starts 46cm left of FCP,Front left bumper support to front right bumper support,At FCP,137,0,166,-1,90,68,0,53,67,68,55,0,,,65.85196661,7,3
10157,25,22,1-25-2018-022-01,1,1,2,42,20,1,1,0,888,01FREW05,F,R,E,W,5,8,8,8,8,888,888,888,1,52,-49,-18,170906,998,-3,52,0,1,Begins 32cm Rofcp Ext right,Bc to bc,55 cm rofcp,152,0,152,60,52,69,0,3,25,45,69,56,,,100.9785475,2,3
11687,29,71,1-29-2018-071-09,9,1,1,48,330,11,0,0,888,11FDEW05,F,D,E,W,5,8,8,8,8,888,888,888,10,999,999,999,9999999,999,95,31,3,1,62 cm to the left of center,bumper corner to bumper corner,52 cm to the left of center,100,0,155,2,150,26,6,20,26,26,21,12,,,181.527464,2,3
10606,20,83,1-20-2018-083-01,1,1,1,42,10,12,0,0,888,12FDEW05,F,D,E,W,5,8,8,8,8,888,888,888,1,66,-65,-12,273301,998,-30,66,0,1,LFBC to RFBC,LFBC to RFBC,25cm ROC,102,0,142,0,102,84,0,64,79,84,71,48,,,33.08542157,11,3
9524,14,11,1-14-2018-011-02,2,1,1,2,0,12,0,0,30,12FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,1,81,-81,0,393979,998,0,82,0,1,Starts 54cm LOC and goes right,Starts 54cm LOC and goes right,16cm ROC,107,0,148,0,107,77,66,77,74,73,60,40,,,186.3328161,8,3
9775,26,33,1-26-2018-033-02,2,2,1,1,170,6,0,7,20,06BDEW04,B,D,E,W,4,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,29,3,1,68 CM RIGHT OF RCP MOVING LEFT,ENTIRE REAR PLANE,LRBC,84,0,142,14,110,34,21,34,24,21,11,1,,,28.1604343,10,3
11504,26,113,1-26-2018-113-03,3,2,1,1,180,6,0,0,20,06BDEW04,B,D,E,W,4,8,8,8,8,888,888,888,3,32,32,0,70236,998,0,36,0,1,LRBC TO RRBC,LRBC TO RRBC,11 CM LEFT OF RCP,90,0,138,0,120,41,3,41,41,32,21,13,,,704.8044714,10,3
10616,23,72,1-23-2018-072-02,2,1,1,2,170,6,0,0,15,06BDEW04,B,D,E,W,4,8,8,8,8,888,888,888,1,30,30,-5,92766,998,43,37,0,1,BC to BC,BC to BC,37cm right of center,130,0,140,0,130,47,21,30,36,43,47,18,,,117.4390554,5,3
12601,26,154,1-26-2018-154-05,5,3,2,2,180,6,0,1,75,06BDEW04,B,D,E,W,4,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,1,Unk,Unk,Unk,999,999,142,999,999,999,999,999,999,999,999,999,,,47.15658723,10,3
11098,26,94,1-26-2018-094-01,1,1,1,2,350,12,0,7,90,12FDEW05,F,D,E,W,5,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,93,5,1,LF BUMPER RAIL CORNER TO RF BUMPER RAIL CORNER,LF BUMPER RAIL CORNER TO RF BUMPER RAIL CORNER,55 CM RIGHT OF FCP,96,0,158,0,96,115,54,74,79,85,92,115,,,77.63160264,10,3
11287,24,65,1-24-2018-065-03,3,3,2,2,340,11,0,0,110,11FDEW05,F,D,E,W,5,8,8,8,8,888,888,888,1,49,-46,17,220128,998,71,49,0,1,frame rail to frame rail corners,frame rail to frame rail corners,68cm left of FCP,135,0,154,0,135,70,70,66,57,34,7,0,,,371.1008418,1,3
10035,13,50,1-13-2018-050-03,3,2,1,1,180,6,0,2,0,06BDEW04,B,D,E,W,4,8,8,8,8,888,888,888,3,65,65,0,238624,998,0,56,0,1,bc to bc,bc to bc,11cm right of center,65,0,165,0,165,60,9,33,53,60,43,22,,,341.4028612,7,3
11938,32,146,1-32-2018-146-03,3,1,1,2,0,12,0,2,80,12FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,3,67,-67,0,103439,998,0,51,0,1,BC to BC,Entire front bumper rebar,10 cm right of FCP,82,0,142,0,142,60,0,15,33,41,37,31,,,2550.45308,7,3
9727,29,16,1-29-2018-016-02,2,1,2,42,20,1,1,0,888,01FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,1,68,-64,-23,295639,998,-61,68,0,1,rail frame to rail frame,rail frame to rail frame,rail frame to rail frame,60,0,160,0,60,60,53,57,60,57,54,35,,,98.57885778,2,3
10314,13,65,1-13-2018-065-01,1,1,1,2,40,1,1,0,235,01FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,3,67,-52,-43,591007,998,-148,61,0,1,bc to bc,bc to bc,20cm right of center,89,0,180,0,180,92,28,65,87,92,83,41,,,46.27890315,7,3
9766,10,18,1-10-2018-018-02,2,1,1,2,20,1,1,0,240,01FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,3,66,-62,-23,259845,998,-46,63,0,1,39 left of center going right,Left rebar corner to right rebar corner,63cm right of FCP,130,0,155,20,116,86,0,16,37,62,71,86,,,30.67220336,4,3
9950,76,6,1-76-2018-006-05,5,2,1,1,350,12,0,0,230,12FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,1,66,-65,11,428364,998,12,82,0,1,38 cm right of fcp ext to left bc,bc to bc,3cm left of fcp,142,0,150,-18,113,89,89,86,89,86,70,52,,,148.9032356,3,3
10542,21,61,1-21-2018-061-02,2,1,5,58,330,11,1,0,888,11FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,1,50,-43,25,187849,998,93,50,0,1,52 CM LEFT OF CENTER CONTINUING 104 CM RIGHT,REBAR CORNER TO REBAR CORNER,63 CM RIGHT OF CENTER (AT RF REBAR CORNER),126,0,140,0,104,71,33,30,34,45,56,71,,,11.470238,11,3
11450,18,52,1-18-2018-052-08,8,1,1,64,0,12,0,0,888,12FLEW04,F,L,E,W,4,8,8,8,8,888,888,888,1,43,-43,0,125782,998,-51,43,0,1,28 to 74cm left of center,52cm left ot 52cm right of center,52cm left of center,104,0,148,-51,46,71,71,47,33,20,7,0,,,122.86658,6,3
9881,11,4,1-11-2018-004-08,8,1,1,42,0,12,0,0,888,12FCEW04,F,C,E,W,4,8,8,8,8,888,888,888,10,999,999,999,9999999,999,0,55,5,1,Starts 63cm from LFBC,LFBC to RFBC,5 cm left of center line,87,0,174,0,48,87,23,41,71,87,39,11,,,1713.688411,8,3
