CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
8926,32,1,1-32-2018-001-03,3,1,270,469,188,1690,163,93,106,160,4,2.4,2,1,0,0,96.6632414863881,7,3
8949,17,1,1-17-2018-001-04,4,1,270,464,178,1290,152,97,98,148,4,1.8,2,1,0,0,106.471488478727,4,3
8971,29,1,1-29-2018-001-07,7,1,285,480,179,1507,153,102,94,170,6,3.5,2,1,0,0,56.3252452658226,2,3
8998,10,1,1-10-2018-001-06,6,1,278,481,182,1500,157,96,107,152,4,2.4,2,1,0,0,314.290232732828,4,3
8998,10,1,1-10-2018-001-06,6,2,283,477,188,1822,163,94,98,168,6,3.5,2,4,0,0,314.290232732828,4,3
8997,23,1,1-23-2018-001-02,2,1,257,414,180,1287,158,83,73,150,4,2.0,2,1,0,0,78.9923184476903,5,3
9003,32,2,1-32-2018-002-02,2,1,270,464,178,1265,152,97,98,144,4,1.8,2,1,0,0,43.5271596696033,7,3
9003,32,2,1-32-2018-002-02,2,2,278,481,182,1500,158,96,107,164,4,2.5,2,1,0,0,43.5271596696033,7,3
8997,23,1,1-23-2018-001-02,2,2,348,564,203,2249,174,95,119,999,8,5.4,9,2,0,0,78.9923184476903,5,3
8999,24,1,1-24-2018-001-04,4,1,370,574,203,2450,173,90,113,160,8,5.7,2,3,0,0,244.329142940613,1,3
9007,25,1,1-25-2018-001-03,3,1,270,464,178,1265,152,97,98,154,4,1.8,2,1,0,0,1524.04314541984,2,3
8999,24,1,1-24-2018-001-04,4,2,263,445,181,1479,151,92,90,140,4,2.4,2,3,0,0,244.329142940613,1,3
9005,59,1,1-59-2018-001-05,5,1,303,509,200,1748,162,96,111,170,6,3.3,2,1,0,0,69.9352741302147,6,3
8991,11,1,1-11-2018-001-03,3,1,305,508,191,1929,161,92,110,999,6,3.6,2,2,9,0,169.445473565594,8,3
9005,59,1,1-59-2018-001-05,5,2,253,440,174,1237,151,89,98,162,4,1.8,2,1,0,0,69.9352741302147,6,3
9013,27,1,1-27-2018-001-06,6,1,262,456,178,1500,153,95,101,152,4,2.5,2,4,0,0,189.954094256336,3,3
9013,27,1,1-27-2018-001-06,6,2,300,511,196,2062,169,93,118,174,6,3.5,2,1,0,0,189.954094256336,3,3
9020,16,1,1-16-2018-001-08,8,1,281,504,182,1577,157,112,112,156,6,3.8,2,1,0,0,417.717624463348,5,3
9020,16,1,1-16-2018-001-08,8,2,262,450,182,1585,154,89,98,999,6,3.5,1,1,0,0,417.717624463348,5,3
9018,14,1,1-14-2018-001-03,3,1,264,441,181,1448,151,89,90,150,4,2.0,2,1,0,0,1003.39701103091,8,3
9018,14,1,1-14-2018-001-03,3,2,398,614,203,2236,172,96,120,180,8,5.0,2,3,0,0,1003.39701103091,8,3
9010,15,1,1-15-2018-001-06,6,2,262,453,182,1583,156,92,100,999,4,2.4,9,9,9,0,213.889679074026,1,3
