CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GLAZLOC,GLAZTYPE,GLAZPRE,GLAZIMP,GLAZOCC,CASEWGT,PSUSTRAT,VERSION
9030,18,1,1-18-2018-001-08,8,1,1,1,1,1,3,386.913594514849,6,3
9012,19,2,1-19-2018-002-02,2,1,1,1,1,1,2,46.6814730229856,9,3
9065,32,4,1-32-2018-004-06,6,2,1,1,1,1,1,937.80176202972,7,3
9065,32,4,1-32-2018-004-06,6,2,5,6,1,1,1,937.80176202972,7,3
9065,32,4,1-32-2018-004-06,6,2,11,6,1,1,1,937.80176202972,7,3
9065,32,4,1-32-2018-004-06,6,2,4,6,2,1,1,937.80176202972,7,3
9065,32,4,1-32-2018-004-06,6,2,2,2,2,1,1,937.80176202972,7,3
9065,32,4,1-32-2018-004-06,6,2,9,6,1,6,1,937.80176202972,7,3
9065,32,4,1-32-2018-004-06,6,2,8,6,1,6,1,937.80176202972,7,3
9065,32,4,1-32-2018-004-06,6,2,12,6,1,6,1,937.80176202972,7,3
9065,32,4,1-32-2018-004-06,6,2,7,6,2,6,1,937.80176202972,7,3
9065,32,4,1-32-2018-004-06,6,2,3,2,2,6,1,937.80176202972,7,3
9065,32,4,1-32-2018-004-06,6,1,1,1,1,2,3,937.80176202972,7,3
9114,17,6,1-17-2018-006-09,9,1,1,1,1,3,2,928.670484328288,4,3
9139,16,5,1-16-2018-005-03,3,1,1,1,1,1,3,535.890269029215,5,3
9182,30,4,1-30-2018-004-02,2,1,1,1,1,2,3,70.4513899391211,10,3
9209,52,3,1-52-2018-003-08,8,1,1,1,1,3,4,91.7200454467705,12,3
9207,23,9,1-23-2018-009-05,5,1,1,1,1,2,3,50.4532248975682,5,3
9222,16,7,1-16-2018-007-01,1,1,10,7,1,1,1,42.6753177949112,5,3
9222,16,7,1-16-2018-007-01,1,1,3,7,2,1,1,42.6753177949112,5,3
9222,16,7,1-16-2018-007-01,1,1,4,7,2,1,1,42.6753177949112,5,3
9222,16,7,1-16-2018-007-01,1,1,7,7,2,1,1,42.6753177949112,5,3
9222,16,7,1-16-2018-007-01,1,1,2,7,4,1,1,42.6753177949112,5,3
9222,16,7,1-16-2018-007-01,1,1,1,1,1,2,1,42.6753177949112,5,3
9223,16,8,1-16-2018-008-09,9,1,1,1,1,2,3,2183.10604137972,5,3
9240,27,5,1-27-2018-005-06,6,1,1,1,1,2,3,70.3177612782517,3,3
9248,15,8,1-15-2018-008-02,2,2,1,1,1,1,3,21.5150146240597,1,3
9249,15,9,1-15-2018-009-01,1,1,1,1,1,2,3,47.3410097778351,1,3
9306,22,6,1-22-2018-006-08,8,1,1,1,1,2,2,47.6909257049545,12,3
9291,19,13,1-19-2018-013-01,1,1,3,2,2,1,8,83.1285445173237,9,3
9318,20,12,1-20-2018-012-02,2,2,1,1,1,1,2,26.8025465982331,11,3
9346,16,12,1-16-2018-012-03,3,2,1,1,1,1,3,103.633391977495,5,3
9378,20,15,1-20-2018-015-01,1,1,1,99,1,9,9,36.3646221338123,11,3
9358,27,8,1-27-2018-008-03,3,2,2,2,2,1,2,74.9833943425392,3,3
9398,32,22,1-32-2018-022-05,5,1,1,1,1,1,4,107.343122144498,7,3
9408,19,15,1-19-2018-015-08,8,1,1,1,1,2,3,516.939822954601,9,3
9429,33,16,1-33-2018-016-08,8,1,1,1,1,2,2,37.3602028410233,12,3
9403,26,15,1-26-2018-015-01,1,1,8,6,1,1,1,22.1817837710222,10,3
9403,26,15,1-26-2018-015-01,1,1,7,6,2,1,1,22.1817837710222,10,3
9403,26,15,1-26-2018-015-01,1,1,3,2,2,1,1,22.1817837710222,10,3
9403,26,15,1-26-2018-015-01,1,1,4,6,3,1,1,22.1817837710222,10,3
9403,26,15,1-26-2018-015-01,1,1,2,2,9,6,9,22.1817837710222,10,3
9403,26,15,1-26-2018-015-01,1,1,1,1,1,4,9,22.1817837710222,10,3
9403,26,15,1-26-2018-015-01,1,1,10,6,1,6,1,22.1817837710222,10,3
9403,26,15,1-26-2018-015-01,1,1,5,6,1,6,1,22.1817837710222,10,3
9481,33,18,1-33-2018-018-01,1,2,1,1,1,2,3,43.9613018556608,12,3
9497,26,20,1-26-2018-020-09,9,1,3,2,2,1,2,1455.35551504907,10,3
9524,14,11,1-14-2018-011-02,2,1,1,1,1,2,3,186.332816064419,8,3
