CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
11999,23,127,1-23-2018-127-03,3,2,RF,70,Eagle RSA,P245/55R18,M6DX JA2R0916,7,0,1,250.3148734,5,3
11999,23,127,1-23-2018-127-03,3,2,LR,70,Eagle RSA,P245/55R18,M6DX JA2R1416,7,0,1,250.3148734,5,3
11999,23,127,1-23-2018-127-03,3,2,RR,70,Eagle RSA,P245/55R18,M6DX JA2R1416,7,0,1,250.3148734,5,3
11983,25,73,1-25-2018-073-03,3,1,LF,999,Unknown,UNKNOWN,1.00E+13,99,0,9,153.141835,2,3
11983,25,73,1-25-2018-073-03,3,1,RF,999,Unknown,UNKNOWN,1.00E+13,99,0,9,153.141835,2,3
11983,25,73,1-25-2018-073-03,3,1,LR,999,Unknown,UNKNOWN,1.00E+13,99,0,9,153.141835,2,3
11983,25,73,1-25-2018-073-03,3,1,RR,999,Unknown,UNKNOWN,1.00E+13,99,0,9,153.141835,2,3
12128,59,83,1-59-2018-083-02,2,1,LF,83,EDGE A/S,P215/60R16,PJ5M NA1R3518,7,0,1,53.15081524,6,3
12128,59,83,1-59-2018-083-02,2,1,LR,83,EDGE A/S,P215/60R16,PJ5M NA1R3518,6,0,1,53.15081524,6,3
12128,59,83,1-59-2018-083-02,2,1,RF,83,EDGE A/S,P215/60R16,PJ5M NA1R3518,7,0,1,53.15081524,6,3
12128,59,83,1-59-2018-083-02,2,1,RR,83,EDGE A/S,P215/60R16,PJ5M NA1R3518,6,0,1,53.15081524,6,3
12128,59,83,1-59-2018-083-02,2,2,LF,48,SIGNATURE II,P215/60R16,PJ5M LB1R3815,4,1,1,53.15081524,6,3
12128,59,83,1-59-2018-083-02,2,2,LR,47,XTRA-TRAC II,P215/60R16,PJ5M 012R1012,4,0,1,53.15081524,6,3
12128,59,83,1-59-2018-083-02,2,2,RR,47,ALL SEASON,P215/60R16,PJ5M NF1R0617,3,0,1,53.15081524,6,3
12128,59,83,1-59-2018-083-02,2,2,RF,48,SIGNATURE II,P215/60R16,PJ5M LB1R3815,3,0,1,53.15081524,6,3
12120,24,102,1-24-2018-102-03,3,2,LF,61,vitour,P175/65R15,XUJW 00V 0917,5,0,1,486.7138624,1,3
12120,24,102,1-24-2018-102-03,3,2,LR,61,vitour,P175/65R15,XUJW 00V 0817,7,0,1,486.7138624,1,3
12120,24,102,1-24-2018-102-03,3,2,RR,61,vitour,P175/65R15,XUJW 00V 1216,8,0,1,486.7138624,1,3
12120,24,102,1-24-2018-102-03,3,2,RF,61,vitour,P175/65R15,XUJW 00V 3215,8,0,1,486.7138624,1,3
12121,23,132,1-23-2018-132-06,6,1,LF,66,Exclaim,P225/45R17,VY7R WBXN0717,6,0,1,289.2777749,5,3
12121,23,132,1-23-2018-132-06,6,1,RF,66,Exclaim,P225/45R17,VY7R WBXN0917,5,0,1,289.2777749,5,3
12121,23,132,1-23-2018-132-06,6,1,LR,115,Premier,P225/45R17,8EH8 LBFR2015,5,0,1,289.2777749,5,3
12121,23,132,1-23-2018-132-06,6,1,RR,89,Solus KH25,P215/55R17,Y0PU YPL84911,3,0,1,289.2777749,5,3
12126,66,63,1-66-2018-063-01,1,2,LF,77,IRONMAN RB-12,P225/70R15,0UJM HPCR3814,3,1,1,212.8361367,6,3
12126,66,63,1-66-2018-063-01,1,2,LR,77,IRONMAN RB-12,P225/70R15,0UJM HPCR3814,3,1,1,212.8361367,6,3
12126,66,63,1-66-2018-063-01,1,2,RR,77,IRONMAN RB-12,P225/70R15,0UJM HPCR,3,0,1,212.8361367,6,3
12126,66,63,1-66-2018-063-01,1,2,RF,59,AFFINITY,P195/65R15,W2C6 A1C 2014,7,0,1,212.8361367,6,3
12135,76,18,1-76-2018-018-05,5,1,LF,66,Altimax RT43,P215/70R16,A3DA WBM70417,5,0,1,165.1425893,3,3
12135,76,18,1-76-2018-018-05,5,1,RF,66,Altimax RT43,P215/70R16,A3DA WBM70417,5,0,1,165.1425893,3,3
12135,76,18,1-76-2018-018-05,5,1,RR,66,Altimax RT43,P215/70R16,A3DA WBM70417,5,0,1,165.1425893,3,3
12135,76,18,1-76-2018-018-05,5,1,LR,66,Altimax RT43,P215/70R16,A3DA WBM70417,5,0,1,165.1425893,3,3
12157,17,139,1-17-2018-139-08,8,1,LF,47,PERFORMANCE,P225/55R17,M600 PC1R2317,4,0,1,282.0398926,4,3
12157,17,139,1-17-2018-139-08,8,1,RF,47,PERFORMANCE,P225/55R17,M600 PC1R2317,4,0,1,282.0398926,4,3
12157,17,139,1-17-2018-139-08,8,1,LR,59,FR 710,P225/55R17,96YE 710 0913,5,0,1,282.0398926,4,3
12157,17,139,1-17-2018-139-08,8,1,RR,999,Unknown,UNKNOWN,#### ####,99,9,9,282.0398926,4,3
12143,13,114,1-13-2018-114-05,5,2,LF,103,Latitude Tour,P235/55R18,M33J 007X1914,4,0,1,201.8798323,7,3
12143,13,114,1-13-2018-114-05,5,2,LR,76,Kinergy GT,P235/60R18,5M3V 1BH 2317,8,0,1,201.8798323,7,3
12143,13,114,1-13-2018-114-05,5,2,RF,103,Latitude Tour,P235/55R18,M33J 007X,6,0,1,201.8798323,7,3
12143,13,114,1-13-2018-114-05,5,2,RR,103,Primacy mxv4,P235/60R18,APXF 00MX2114,3,0,1,201.8798323,7,3
12140,10,77,1-10-2018-077-03,3,1,LF,173,Tigerpaw,P215/55R17,Y93R F0UU2113,1,0,1,292.5545876,4,3
12140,10,77,1-10-2018-077-03,3,1,LR,103,Radial XSE,P215/55R17,B93F NCFX4411,2,0,1,292.5545876,4,3
12140,10,77,1-10-2018-077-03,3,1,RR,103,Primacy mxv4,P215/55R17,B93F 01UX,4,0,1,292.5545876,4,3
12140,10,77,1-10-2018-077-03,3,1,RF,115,Premiere cp071,P215/55R17,UA8V DAAR4013,2,0,1,292.5545876,4,3
12130,14,60,1-14-2018-060-04,4,2,RR,999,Unknown,UNKNOWN,1.00E+13,99,9,9,4943.864291,8,3
12130,14,60,1-14-2018-060-04,4,2,LF,13,All Terrain T/A,LT275/65R18,BEB9 AT21,9,0,2,4943.864291,8,3
12150,22,76,1-22-2018-076-07,7,2,LF,65,SUV,P235/70R16,JEKJ EAT 2114,5,0,1,475.416866,12,3
12150,22,76,1-22-2018-076-07,7,2,RF,65,SUV,P235/70R16,JEKJ EAT 2114,5,0,1,475.416866,12,3
12150,22,76,1-22-2018-076-07,7,2,LR,65,SUV,P235/70R16,JEKJ EAT 2114,1,0,1,475.416866,12,3
12150,22,76,1-22-2018-076-07,7,2,RR,65,SUV,P235/70R16,JEKJ EAT 2114,3,0,1,475.416866,12,3
