CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTEGRITY,CASEWGT,PSUSTRAT,VERSION
12473,21,132,1-21-2018-132-02,2,3,3,22.6649752424767,11,3
12320,21,128,1-21-2018-128-01,1,2,3,33.7653749903808,11,3
11905,20,113,1-20-2018-113-01,1,1,3,81.2478232206367,11,3
11656,77,29,1-77-2018-029-05,5,1,3,525.787048618412,9,3
11292,31,49,1-31-2018-049-02,2,1,3,271.439052914931,6,3
11364,17,103,1-17-2018-103-08,8,1,3,151.127694368832,4,3
11253,20,104,1-20-2018-104-01,1,1,3,100.729451557951,11,3
11034,73,9,1-73-2018-009-03,3,2,3,194.897717212327,3,3
10884,21,79,1-21-2018-079-01,1,2,3,78.3707573874403,11,3
10105,19,46,1-19-2018-046-01,1,1,3,83.1285445173237,9,3
9839,31,16,1-31-2018-016-08,8,1,3,325.58648159477,6,3
9820,28,19,1-28-2018-019-09,9,1,3,435.412103868015,3,3
9432,22,10,1-22-2018-010-01,1,1,3,69.2240445695726,12,3
9026,17,2,1-17-2018-002-07,7,2,0,2380.45933853927,4,3
9029,30,1,1-30-2018-001-08,8,1,0,214.962103691995,10,3
9016,13,2,1-13-2018-002-03,3,1,0,524.820237186376,7,3
9072,26,1,1-26-2018-001-09,9,1,0,1100.63889571087,10,3
9069,23,3,1-23-2018-003-07,7,1,0,1021.0739204727,5,3
9053,29,3,1-29-2018-003-04,4,1,0,1522.09400244442,2,3
9057,20,2,1-20-2018-002-03,3,1,0,51.7058651638763,11,3
8971,29,1,1-29-2018-001-07,7,1,0,56.3252452658226,2,3
8998,10,1,1-10-2018-001-06,6,1,0,314.290232732828,4,3
8998,10,1,1-10-2018-001-06,6,2,0,314.290232732828,4,3
8997,23,1,1-23-2018-001-02,2,1,0,78.9923184476903,5,3
9003,32,2,1-32-2018-002-02,2,1,0,43.5271596696033,7,3
9003,32,2,1-32-2018-002-02,2,2,0,43.5271596696033,7,3
8999,24,1,1-24-2018-001-04,4,1,0,244.329142940613,1,3
9007,25,1,1-25-2018-001-03,3,1,0,1524.04314541984,2,3
9005,59,1,1-59-2018-001-05,5,1,0,69.9352741302147,6,3
9005,59,1,1-59-2018-001-05,5,2,0,69.9352741302147,6,3
9013,27,1,1-27-2018-001-06,6,1,0,189.954094256336,3,3
9013,27,1,1-27-2018-001-06,6,2,0,189.954094256336,3,3
9020,16,1,1-16-2018-001-08,8,1,0,417.717624463348,5,3
9018,14,1,1-14-2018-001-03,3,1,0,1003.39701103091,8,3
9011,19,1,1-19-2018-001-07,7,2,0,2388.42322945597,9,3
9030,18,1,1-18-2018-001-08,8,1,0,386.913594514849,6,3
9031,22,1,1-22-2018-001-08,8,1,0,50.6944581437454,12,3
9012,19,2,1-19-2018-002-02,2,1,0,46.6814730229856,9,3
9012,19,2,1-19-2018-002-02,2,2,0,46.6814730229856,9,3
9031,22,1,1-22-2018-001-08,8,2,0,50.6944581437454,12,3
9046,12,1,1-12-2018-001-04,4,1,0,1398.82882263809,9,3
9037,21,1,1-21-2018-001-09,9,1,0,181.309565214144,11,3
9073,52,1,1-52-2018-001-07,7,1,0,665.400787679964,12,3
9064,32,3,1-32-2018-003-06,6,1,0,937.80176202972,7,3
9078,16,2,1-16-2018-002-04,4,1,0,569.620178729296,5,3
9078,16,2,1-16-2018-002-04,4,2,0,569.620178729296,5,3
9060,24,2,1-24-2018-002-07,7,2,0,483.509866304557,1,3
9080,59,2,1-59-2018-002-07,7,2,0,345.463375293539,6,3
9085,25,2,1-25-2018-002-03,3,2,0,647.794441782747,2,3
9091,31,1,1-31-2018-001-10,10,1,0,1436.93974120355,6,3
9089,33,3,1-33-2018-003-10,10,1,0,37.5853869898296,12,3
9100,21,2,1-21-2018-002-03,3,1,0,32.1040876242873,11,3
9061,24,3,1-24-2018-003-07,7,1,0,483.50986625976,1,3
9061,24,3,1-24-2018-003-07,7,2,0,483.50986625976,1,3
9101,30,2,1-30-2018-002-09,9,1,0,4959.89800959782,10,3
9112,15,4,1-15-2018-004-09,9,2,0,743.682563255994,1,3
9086,27,2,1-27-2018-002-09,9,2,0,564.418219068236,3,3
9082,19,3,1-19-2018-003-10,10,1,0,3256.96934207448,9,3
9110,15,2,1-15-2018-002-05,5,2,0,14.5245876549888,1,3
9083,19,4,1-19-2018-004-05,5,1,0,54.7319534917023,9,3
9083,19,4,1-19-2018-004-05,5,2,0,54.7319534917023,9,3
9111,15,3,1-15-2018-003-09,9,2,0,743.682563255994,1,3
9084,19,5,1-19-2018-005-04,4,1,0,474.238121345424,9,3
9084,19,5,1-19-2018-005-04,4,2,0,474.238121345424,9,3
9105,17,4,1-17-2018-004-04,4,1,0,795.851579157383,4,3
9108,20,3,1-20-2018-003-02,2,2,0,26.8025465982331,11,3
9097,29,4,1-29-2018-004-06,6,2,0,1204.3625917376,2,3
9123,16,4,1-16-2018-004-07,7,2,0,764.334607453308,5,3
9074,10,2,1-10-2018-002-04,4,1,0,142.249904142252,4,3
9134,23,5,1-23-2018-005-04,4,1,0,1294.75890194952,5,3
9135,23,6,1-23-2018-006-03,3,1,0,425.181109960956,5,3
9136,23,7,1-23-2018-007-05,5,1,0,50.4532248975682,5,3
9132,24,5,1-24-2018-005-06,6,2,0,394.729484390776,1,3
9139,16,5,1-16-2018-005-03,3,1,0,535.890269029215,5,3
9113,20,4,1-20-2018-004-03,3,1,0,309.958434075375,11,3
9113,20,4,1-20-2018-004-03,3,2,0,309.958434075375,11,3
9113,20,4,1-20-2018-004-03,3,3,0,309.958434075375,11,3
9122,59,4,1-59-2018-004-03,3,2,0,79.542999788287,6,3
9122,59,4,1-59-2018-004-03,3,3,0,79.542999788287,6,3
9133,24,6,1-24-2018-006-09,9,1,0,1145.9784807475,1,3
9138,52,2,1-52-2018-002-07,7,1,0,562.963511185206,12,3
9140,16,6,1-16-2018-006-06,6,1,0,711.290436632953,5,3
9144,32,5,1-32-2018-005-07,7,1,0,1172.4360813216,7,3
9148,26,2,1-26-2018-002-03,3,1,0,126.794856045418,10,3
9148,26,2,1-26-2018-002-03,3,2,0,126.794856045418,10,3
9151,66,2,1-66-2018-002-07,7,1,0,2876.38317019404,6,3
9155,12,4,1-12-2018-004-07,7,2,0,955.139938897715,9,3
9162,17,8,1-17-2018-008-09,9,1,0,846.419681868438,4,3
9164,27,3,1-27-2018-003-04,4,1,0,480.19185456428,3,3
8926,32,1,1-32-2018-001-03,3,1,0,96.6632414863881,7,3
8949,17,1,1-17-2018-001-04,4,1,0,106.471488478727,4,3
9421,13,19,1-13-2018-019-06,6,2,0,1200.87556038888,7,3
9439,20,18,1-20-2018-018-04,4,1,0,173.498584326286,11,3
9439,20,18,1-20-2018-018-04,4,2,0,173.498584326286,11,3
9342,14,6,1-14-2018-006-05,5,1,0,569.96703965737,8,3
9446,24,15,1-24-2018-015-07,7,1,0,1278.49939766902,1,3
9447,24,16,1-24-2018-016-04,4,1,0,1215.91900780558,1,3
9392,10,11,1-10-2018-011-08,8,1,0,101.771009265431,4,3
9458,32,24,1-32-2018-024-02,2,3,0,94.9795981367717,7,3
9459,32,25,1-32-2018-025-07,7,1,0,11105.9314244827,7,3
9452,23,21,1-23-2018-021-06,6,1,0,422.747881400258,5,3
9460,32,26,1-32-2018-026-02,2,1,0,94.9795981367717,7,3
9453,12,12,1-12-2018-012-03,3,1,0,1073.75120527293,9,3
9458,32,24,1-32-2018-024-02,2,1,0,94.9795981367717,7,3
9382,21,13,1-21-2018-013-03,3,2,0,274.792034805683,11,3
9406,16,17,1-16-2018-017-03,3,1,0,207.755385887674,5,3
9409,19,16,1-19-2018-016-05,5,1,0,103.719045040326,9,3
9402,26,14,1-26-2018-014-09,9,1,0,1355.23664822498,10,3
9402,26,14,1-26-2018-014-09,9,2,0,1355.23664822498,10,3
9411,12,11,1-12-2018-011-03,3,2,0,622.157266365896,9,3
9418,29,10,1-29-2018-010-03,3,1,0,1217.10501205317,2,3
9418,29,10,1-29-2018-010-03,3,2,0,1217.10501205317,2,3
9417,31,6,1-31-2018-006-09,9,1,0,1540.94427673327,6,3
9422,13,20,1-13-2018-020-05,5,1,0,58.8395951709553,7,3
9422,13,20,1-13-2018-020-05,5,2,0,58.8395951709553,7,3
9427,66,6,1-66-2018-006-09,9,1,0,321.544095258929,6,3
9414,27,9,1-27-2018-009-03,3,1,0,102.269638947071,3,3
9414,27,9,1-27-2018-009-03,3,2,0,102.269638947071,3,3
9428,33,15,1-33-2018-015-10,10,1,0,948.128972205441,12,3
9429,33,16,1-33-2018-016-08,8,1,0,37.3602028410233,12,3
9405,16,16,1-16-2018-016-04,4,1,0,701.986376043106,5,3
9405,16,16,1-16-2018-016-04,4,2,0,701.986376043106,5,3
9407,24,14,1-24-2018-014-04,4,2,0,1271.19146541087,1,3
9381,21,12,1-21-2018-012-03,3,1,0,274.792034669927,11,3
9430,33,17,1-33-2018-017-06,6,1,0,50.6800005272939,12,3
9416,17,18,1-17-2018-018-04,4,1,0,1063.8281650274,4,3
9416,17,18,1-17-2018-018-04,4,2,0,1063.8281650274,4,3
9430,33,17,1-33-2018-017-06,6,2,0,50.6800005272939,12,3
9431,22,9,1-22-2018-009-02,2,2,0,31.5989924128813,12,3
9425,18,9,1-18-2018-009-04,4,1,0,479.314677821442,6,3
9426,18,10,1-18-2018-010-10,10,2,0,3291.83408266806,6,3
9423,13,21,1-13-2018-021-03,3,1,0,904.74649185898,7,3
9436,21,14,1-21-2018-014-03,3,1,0,536.394735616761,11,3
9433,15,16,1-15-2018-016-09,9,1,0,620.528730962512,1,3
9413,26,16,1-26-2018-016-04,4,1,0,893.802223685328,10,3
9434,15,17,1-15-2018-017-06,6,2,0,225.524208654809,1,3
9435,15,18,1-15-2018-018-02,2,1,0,16.8922870962494,1,3
9435,15,18,1-15-2018-018-02,2,2,0,16.8922870962494,1,3
9391,11,2,1-11-2018-002-07,7,1,0,13920.9589573646,8,3
9360,17,14,1-17-2018-014-10,10,1,0,3075.38866874239,4,3
9363,29,9,1-29-2018-009-09,9,1,0,2327.82760682904,2,3
9343,25,7,1-25-2018-007-07,7,1,0,1979.19034701911,2,3
9343,25,7,1-25-2018-007-07,7,2,0,1979.19034701911,2,3
9346,16,12,1-16-2018-012-03,3,1,0,103.633391977495,5,3
9346,16,12,1-16-2018-012-03,3,2,0,103.633391977495,5,3
9347,16,13,1-16-2018-013-08,8,2,0,58.4702887305281,5,3
9329,24,13,1-24-2018-013-10,10,1,0,5596.43120114642,1,3
9354,26,12,1-26-2018-012-04,4,1,0,648.257826825658,10,3
9361,17,15,1-17-2018-015-10,10,1,0,3075.38866874239,4,3
9327,24,11,1-24-2018-011-06,6,2,0,291.212803306012,1,3
9330,23,14,1-23-2018-014-09,9,1,0,642.465933130376,5,3
9337,12,9,1-12-2018-009-04,4,1,0,1693.75206000956,9,3
9331,23,15,1-23-2018-015-04,4,2,0,541.870619959268,5,3
9339,32,18,1-32-2018-018-02,2,1,0,46.1119484697094,7,3
9339,32,18,1-32-2018-018-02,2,2,0,46.1119484697094,7,3
9334,10,10,1-10-2018-010-03,3,1,0,135.242694957323,4,3
9373,15,13,1-15-2018-013-03,3,1,0,222.871267210449,1,3
9366,30,11,1-30-2018-011-06,6,1,0,1156.68515954863,10,3
9368,18,8,1-18-2018-008-02,2,1,0,55.3672538353833,6,3
9368,18,8,1-18-2018-008-02,2,2,0,55.3672538353833,6,3
9369,33,12,1-33-2018-012-05,5,1,0,28.9441844864407,12,3
9350,13,17,1-13-2018-017-06,6,1,0,1560.41119453373,7,3
9374,15,14,1-15-2018-014-03,3,2,0,222.871267210449,1,3
9375,30,12,1-30-2018-012-02,2,1,0,33.4228472085741,10,3
9380,21,11,1-21-2018-011-02,2,2,0,11.470238003013,11,3
9379,33,14,1-33-2018-014-10,10,1,0,1260.53870886491,12,3
9349,13,16,1-13-2018-016-06,6,2,0,1560.41119453373,7,3
9357,27,7,1-27-2018-007-03,3,1,0,74.9833943279252,3,3
9335,59,10,1-59-2018-010-05,5,1,0,62.0292182713193,6,3
9383,59,12,1-59-2018-012-08,8,1,0,315.289178152673,6,3
9358,27,8,1-27-2018-008-03,3,1,0,74.9833943425392,3,3
9358,27,8,1-27-2018-008-03,3,2,0,74.9833943425392,3,3
9386,32,20,1-32-2018-020-06,6,1,0,1439.06900916195,7,3
9387,16,15,1-16-2018-015-07,7,2,0,469.866263372512,5,3
9393,23,17,1-23-2018-017-09,9,1,0,819.341503720161,5,3
9393,23,17,1-23-2018-017-09,9,2,0,819.341503720161,5,3
9394,23,18,1-23-2018-018-06,6,1,0,301.208074069348,5,3
9356,28,8,1-28-2018-008-06,6,1,0,191.640029191139,3,3
9400,25,8,1-25-2018-008-03,3,1,0,1430.27220504206,2,3
9400,25,8,1-25-2018-008-03,3,2,0,1430.27220504206,2,3
9397,32,21,1-32-2018-021-07,7,1,0,8208.41048104978,7,3
9399,32,23,1-32-2018-023-02,2,1,0,70.1995626457919,7,3
9399,32,23,1-32-2018-023-02,2,2,0,70.1995626457919,7,3
9212,59,7,1-59-2018-007-05,5,1,0,62.0292182713193,6,3
9212,59,7,1-59-2018-007-05,5,2,0,62.0292182713193,6,3
9183,18,4,1-18-2018-004-04,4,2,0,540.272553156273,6,3
9236,17,11,1-17-2018-011-06,6,2,0,310.952523891929,4,3
9254,20,8,1-20-2018-008-03,3,1,0,386.471253507574,11,3
9231,13,12,1-13-2018-012-03,3,2,0,1225.51318336026,7,3
9247,15,7,1-15-2018-007-02,2,1,0,21.5150146222128,1,3
9248,15,8,1-15-2018-008-02,2,1,0,21.5150146240597,1,3
9248,15,8,1-15-2018-008-02,2,2,0,21.5150146240597,1,3
9249,15,9,1-15-2018-009-01,1,1,0,47.3410097778351,1,3
9260,59,8,1-59-2018-008-10,10,2,0,2719.21927330836,6,3
9229,13,10,1-13-2018-010-02,2,1,0,50.4620257991513,7,3
9264,32,12,1-32-2018-012-06,6,1,0,2055.11862943686,7,3
9265,26,7,1-26-2018-007-02,2,1,0,33.9863620606895,10,3
9137,28,4,1-28-2018-004-03,3,1,0,238.068958218601,3,3
9235,17,10,1-17-2018-010-03,3,1,0,234.273403804736,4,3
9240,27,5,1-27-2018-005-06,6,1,0,70.3177612782517,3,3
9246,29,7,1-29-2018-007-07,7,1,0,2266.84577935185,2,3
9243,33,7,1-33-2018-007-06,6,1,0,68.3602073763264,12,3
9238,30,6,1-30-2018-006-03,3,1,0,1541.99741709989,10,3
9238,30,6,1-30-2018-006-03,3,2,0,1541.99741709989,10,3
9244,33,8,1-33-2018-008-06,6,1,0,68.3602073763264,12,3
9245,33,9,1-33-2018-009-03,3,1,0,58.5298818576854,12,3
9219,28,6,1-28-2018-006-09,9,1,0,256.683974246912,3,3
9245,33,9,1-33-2018-009-03,3,2,0,58.5298818576854,12,3
9218,28,5,1-28-2018-005-10,10,1,0,1541.83342367992,3,3
9218,28,5,1-28-2018-005-10,10,2,0,1541.83342367992,3,3
9250,21,6,1-21-2018-006-07,7,2,0,97.7840075716592,11,3
9216,12,6,1-12-2018-006-04,4,1,0,1519.83385794616,9,3
9216,12,6,1-12-2018-006-04,4,2,0,1519.83385794616,9,3
9204,24,8,1-24-2018-008-07,7,1,0,758.180164028949,1,3
9203,24,7,1-24-2018-007-09,9,1,0,801.788928611541,1,3
9210,10,8,1-10-2018-008-05,5,1,0,88.3086523041694,4,3
9205,24,9,1-24-2018-009-04,4,1,0,721.068523319626,1,3
9222,16,7,1-16-2018-007-01,1,1,0,42.6753177949112,5,3
9223,16,8,1-16-2018-008-09,9,1,0,2183.10604137972,5,3
9224,16,9,1-16-2018-009-03,3,1,0,546.805663174297,5,3
9232,31,3,1-31-2018-003-07,7,1,0,498.586540814067,6,3
9165,22,2,1-22-2018-002-04,4,2,0,85.8392754857875,12,3
9163,19,6,1-19-2018-006-04,4,1,0,3160.79028217076,9,3
9163,19,6,1-19-2018-006-04,4,3,0,3160.79028217076,9,3
9131,24,4,1-24-2018-004-09,9,2,0,1145.97848108922,1,3
9170,13,9,1-13-2018-009-05,5,2,0,82.2352646616749,7,3
9172,18,3,1-18-2018-003-10,10,1,0,3710.4801640822,6,3
9160,31,2,1-31-2018-002-10,10,1,0,1996.26853546703,6,3
9150,26,4,1-26-2018-004-05,5,1,0,21.7452889756947,10,3
9168,13,7,1-13-2018-007-03,3,2,0,1264.48978766316,7,3
9169,13,8,1-13-2018-008-03,3,2,0,1264.48978783552,7,3
9182,30,4,1-30-2018-004-02,2,1,0,70.4513899391211,10,3
9176,21,4,1-21-2018-004-04,4,1,0,228.278854083642,11,3
9179,33,6,1-33-2018-006-06,6,1,0,63.7400889318934,12,3
9180,15,5,1-15-2018-005-04,4,1,0,835.081478814171,1,3
9180,15,5,1-15-2018-005-04,4,2,0,835.081478814171,1,3
9179,33,6,1-33-2018-006-06,6,2,0,63.7400889318934,12,3
9191,22,4,1-22-2018-004-04,4,1,0,85.8392754731498,12,3
9191,22,4,1-22-2018-004-04,4,2,0,85.8392754731498,12,3
9192,12,5,1-12-2018-005-07,7,1,0,955.139938897715,9,3
9193,21,5,1-21-2018-005-06,6,1,0,101.818628034423,11,3
9193,21,5,1-21-2018-005-06,6,2,0,101.818628034423,11,3
9116,28,3,1-28-2018-003-04,4,1,0,187.830872453985,3,3
9121,13,6,1-13-2018-006-10,10,1,0,13862.4226379394,7,3
9178,33,5,1-33-2018-005-06,6,1,0,63.7400889318934,12,3
9168,13,7,1-13-2018-007-03,3,1,0,1264.48978766316,7,3
9206,23,8,1-23-2018-008-04,4,2,0,1337.30814312602,5,3
9207,23,9,1-23-2018-009-05,5,1,0,50.4532248975682,5,3
9207,23,9,1-23-2018-009-05,5,2,0,50.4532248975682,5,3
9208,23,10,1-23-2018-010-08,8,2,0,247.771910841791,5,3
9209,52,3,1-52-2018-003-08,8,2,0,91.7200454467705,12,3
9230,13,11,1-13-2018-011-02,2,1,0,50.4620257991513,7,3
9242,18,5,1-18-2018-005-06,6,1,0,222.029928600094,6,3
9261,66,3,1-66-2018-003-06,6,1,0,110.979814244701,6,3
9272,24,10,1-24-2018-010-09,9,1,0,2581.78101159956,1,3
9276,16,10,1-16-2018-010-03,3,2,0,142.326154285648,5,3
9276,16,10,1-16-2018-010-03,3,3,0,142.326154285648,5,3
9274,23,12,1-23-2018-012-07,7,2,0,1016.83301184366,5,3
9275,23,13,1-23-2018-013-09,9,1,0,895.399638094667,5,3
9281,32,15,1-32-2018-015-07,7,1,0,2900.25871013123,7,3
9280,32,14,1-32-2018-014-02,2,1,0,24.8034492787954,7,3
9280,32,14,1-32-2018-014-02,2,2,0,24.8034492787954,7,3
9278,52,4,1-52-2018-004-06,6,2,0,214.979665581798,12,3
