CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
10047,18,26,1-18-2018-026-09,9,2,1,1,0,20.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,1,20.00,9997.00,0,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,331.279785503838,6,3
10047,18,26,1-18-2018-026-09,9,2,1,2,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,331.279785503838,6,3
11973,18,65,1-18-2018-065-03,3,1,1,1,0,28.00,29.00,7,8,9995.00,9995.00,28.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,28.00,9997.00,9997.00,7,0,7,813.588562699227,6,3
10087,16,49,1-16-2018-049-07,7,1,1,2,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,0,7,763.929538212304,5,3
10087,16,49,1-16-2018-049-07,7,1,1,1,1,9995.00,9995.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,0,7,763.929538212304,5,3
10147,16,51,1-16-2018-051-07,7,2,1,2,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,5,7,1924.29026310223,5,3
12042,11,50,1-11-2018-050-03,3,2,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9997.00,9997.00,9997.00,7,7,7,1,9995.00,9995.00,0,8,9995.00,9995.00,9997.00,9997.00,9997.00,7,7,7,1161.1175725622,8,3
12042,11,50,1-11-2018-050-03,3,2,1,2,1,9995.00,9995.00,7,8,9995.00,9995.00,9997.00,9997.00,9997.00,7,7,7,1,9995.00,9995.00,0,8,9995.00,9995.00,9997.00,9997.00,9997.00,7,7,7,1161.1175725622,8,3
10671,52,35,1-52-2018-035-03,3,2,1,1,1,39.00,44.00,7,0,0.00,0.00,16.00,9997.00,9997.00,0,7,7,0,0.00,0.00,1,0,0.00,72.00,0.00,9997.00,9997.00,7,7,7,31.4006388155313,12,3
10419,66,24,1-66-2018-024-10,10,1,1,1,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,0,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,1366.92404149826,6,3
12068,66,62,1-66-2018-062-03,3,1,1,4,7,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,7,7,7,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,7,7,246.782155417001,6,3
12068,66,62,1-66-2018-062-03,3,1,1,1,0,9997.00,9997.00,7,8,9997.00,9997.00,310.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,0,7,246.782155417001,6,3
