CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTAREA,CONTCOMP,OCCNO,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
9431,22,9,1-22-2018-009-02,2,1,G,9,251,2,861,1,1,31.5989924128813,12,3
9431,22,9,1-22-2018-009-02,2,1,H,9,251,2,862,1,1,31.5989924128813,12,3
10106,19,47,1-19-2018-047-03,3,2,B,9,254,1,862,1,1,350.689964672355,9,3
9905,22,21,1-22-2018-021-08,8,1,J,9,254,1,871,1,1,95.6073213298819,12,3
9750,20,31,1-20-2018-031-02,2,1,D,9,254,1,869,1,1,26.8025465982331,11,3
9750,20,31,1-20-2018-031-02,2,1,E,9,254,1,869,1,1,26.8025465982331,11,3
10308,27,30,1-27-2018-030-01,1,1,B,9,254,1,862,1,1,58.2953313287954,3,3
10737,20,92,1-20-2018-092-01,1,1,E,9,254,1,859,1,1,34.1559780533907,11,3
10900,11,16,1-11-2018-016-02,2,1,G,9,252,1,742,1,1,169.116821482896,8,3
11558,27,57,1-27-2018-057-03,3,2,E,9,254,1,869,1,1,710.511751834351,3,3
10445,25,27,1-25-2018-027-01,1,2,A,9,254,1,872,1,1,150.425127471,2,3
12068,66,62,1-66-2018-062-03,3,1,F,9,252,1,732,6,1,246.782155417001,6,3
10511,27,34,1-27-2018-034-05,5,1,F,9,254,1,869,96,1,19.5317496161148,3,3
9677,19,26,1-19-2018-026-05,5,1,H,9,254,1,869,96,1,54.7319534917023,9,3
9193,21,5,1-21-2018-005-06,6,2,A,9,252,1,811,5,1,101.818628034423,11,3
9432,22,10,1-22-2018-010-01,1,1,E,9,251,1,861,5,1,69.2240445695726,12,3
9432,22,10,1-22-2018-010-01,1,1,F,9,251,1,862,5,1,69.2240445695726,12,3
9375,30,12,1-30-2018-012-02,2,2,C,9,252,1,832,5,1,33.4228472085741,10,3
9905,22,21,1-22-2018-021-08,8,1,B,9,251,1,862,5,1,95.6073213298819,12,3
9620,29,14,1-29-2018-014-05,5,1,D,9,251,1,862,5,1,61.4445354906944,2,3
9950,76,6,1-76-2018-006-05,5,2,D,9,251,1,869,5,1,148.903235617988,3,3
9727,29,16,1-29-2018-016-02,2,1,C,9,251,1,862,5,1,98.5788577786628,2,3
9778,66,12,1-66-2018-012-03,3,2,F,9,254,1,862,5,1,126.508441705591,6,3
10845,32,93,1-32-2018-093-05,5,2,C,9,254,1,851,5,1,98.9082164032729,7,3
10791,14,41,1-14-2018-041-02,2,2,E,9,254,1,862,5,1,186.332816064419,8,3
