CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
8949,17,1,1-17-2018-001-04,4,1,1,3,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,6770,106.471488478727,4,3
8971,29,1,1-29-2018-001-07,7,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,16392,56.3252452658226,2,3
8998,10,1,1-10-2018-001-06,6,1,1,4,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,999998,314.290232732828,4,3
9003,32,2,1-32-2018-002-02,2,1,1,2,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,4160,43.5271596696033,7,3
9003,32,2,1-32-2018-002-02,2,2,1,4,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,999998,43.5271596696033,7,3
8999,24,1,1-24-2018-001-04,4,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,2224,244.329142940613,1,3
9007,25,1,1-25-2018-001-03,3,1,1,5,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,1020,1524.04314541984,2,3
8999,24,1,1-24-2018-001-04,4,2,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,6823,244.329142940613,1,3
9020,16,1,1-16-2018-001-08,8,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,20772,417.717624463348,5,3
9018,14,1,1-14-2018-001-03,3,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,677,1003.39701103091,8,3
9018,14,1,1-14-2018-001-03,3,2,1,1,Crash Data Retrieval Tool 17.6,Crash Data Retrieval Tool 19.3,1,2436,1003.39701103091,8,3
9011,19,1,1-19-2018-001-07,7,2,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,17196,2388.42322945597,9,3
9031,22,1,1-22-2018-001-08,8,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,999998,50.6944581437454,12,3
9012,19,2,1-19-2018-002-02,2,2,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,6078,46.6814730229856,9,3
9031,22,1,1-22-2018-001-08,8,2,1,2,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,999998,50.6944581437454,12,3
9046,12,1,1-12-2018-001-04,4,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,384,1398.82882263809,9,3
9029,30,1,1-30-2018-001-08,8,1,1,2,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,999998,214.962103691995,10,3
9016,13,2,1-13-2018-002-03,3,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,7729,524.820237186376,7,3
9026,17,2,1-17-2018-002-07,7,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,3606,2380.45933853927,4,3
9026,17,2,1-17-2018-002-07,7,2,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,11738,2380.45933853927,4,3
9052,13,3,1-13-2018-003-05,5,1,1,2,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,999998,34.1313401820798,7,3
9053,29,3,1-29-2018-003-04,4,1,1,0,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,6675,1522.09400244442,2,3
9057,20,2,1-20-2018-002-03,3,1,1,2,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,2794,51.7058651638763,11,3
9065,32,4,1-32-2018-004-06,6,1,1,2,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,10405,937.80176202972,7,3
9070,23,4,1-23-2018-004-02,2,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,999998,58.0100435530798,5,3
9078,16,2,1-16-2018-002-04,4,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,1081,569.620178729296,5,3
9078,16,2,1-16-2018-002-04,4,2,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,1261,569.620178729296,5,3
9060,24,2,1-24-2018-002-07,7,2,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,8881,483.509866304557,1,3
9085,25,2,1-25-2018-002-03,3,2,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,750,647.794441782747,2,3
9091,31,1,1-31-2018-001-10,10,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,999998,1436.93974120355,6,3
9102,12,2,1-12-2018-002-06,6,2,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,9333,854.536929051275,9,3
9061,24,3,1-24-2018-003-07,7,1,1,0,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,999998,483.50986625976,1,3
9104,17,3,1-17-2018-003-02,2,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 19.3,1,21878,65.8542656555382,4,3
