CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
8998,10,1,1-10-2018-001-06,6,2,10,314.290232732828,4,3
9018,14,1,1-14-2018-001-03,3,1,2,1003.39701103091,8,3
9011,19,1,1-19-2018-001-07,7,1,9,2388.42322945597,9,3
9011,19,1,1-19-2018-001-07,7,2,9,2388.42322945597,9,3
9030,18,1,1-18-2018-001-08,8,1,10,386.913594514849,6,3
9016,13,2,1-13-2018-002-03,3,1,1,524.820237186376,7,3
9070,23,4,1-23-2018-004-02,2,1,9,58.0100435530798,5,3
9078,16,2,1-16-2018-002-04,4,1,6,569.620178729296,5,3
9088,33,2,1-33-2018-002-09,9,1,1,27.8398909107088,12,3
9102,12,2,1-12-2018-002-06,6,2,10,854.536929051275,9,3
9100,21,2,1-21-2018-002-03,3,1,10,32.1040876242873,11,3
9086,27,2,1-27-2018-002-09,9,1,7,564.418219068236,3,3
9084,19,5,1-19-2018-005-04,4,1,99,474.238121345424,9,3
9105,17,4,1-17-2018-004-04,4,1,6,795.851579157383,4,3
9117,66,1,1-66-2018-001-06,6,2,1,274.912120238182,6,3
9113,20,4,1-20-2018-004-03,3,1,1,309.958434075375,11,3
9103,10,5,1-10-2018-005-04,4,1,8,142.249904142252,4,3
9132,24,5,1-24-2018-005-06,6,1,99,394.729484390776,1,3
9145,32,6,1-32-2018-006-08,8,1,1,133.013918892584,7,3
9144,32,5,1-32-2018-005-07,7,1,6,1172.4360813216,7,3
9155,12,4,1-12-2018-004-07,7,1,5,955.139938897715,9,3
9170,13,9,1-13-2018-009-05,5,1,1,82.2352646616749,7,3
9173,25,4,1-25-2018-004-09,9,1,10,1678.34205822653,2,3
9160,31,2,1-31-2018-002-10,10,1,7,1996.26853546703,6,3
9182,30,4,1-30-2018-004-02,2,1,1,70.4513899391211,10,3
9158,29,5,1-29-2018-005-09,9,1,99,1116.97548539866,2,3
9147,10,6,1-10-2018-006-04,4,1,8,244.825026119941,4,3
9207,23,9,1-23-2018-009-05,5,2,9,50.4532248975682,5,3
9214,32,10,1-32-2018-010-02,2,1,9,65.851966608669,7,3
9203,24,7,1-24-2018-007-09,9,1,9,801.788928611541,1,3
9235,17,10,1-17-2018-010-03,3,1,8,234.273403804736,4,3
9240,27,5,1-27-2018-005-06,6,1,10,70.3177612782517,3,3
9219,28,6,1-28-2018-006-09,9,1,5,256.683974246912,3,3
9219,28,6,1-28-2018-006-09,9,1,1,256.683974246912,3,3
9241,22,5,1-22-2018-005-02,2,1,7,35.3582900848438,12,3
9254,20,8,1-20-2018-008-03,3,1,7,386.471253507574,11,3
9247,15,7,1-15-2018-007-02,2,1,9,21.5150146222128,1,3
9253,20,7,1-20-2018-007-07,7,1,10,999.155371064526,11,3
9272,24,10,1-24-2018-010-09,9,1,10,2581.78101159956,1,3
9274,23,12,1-23-2018-012-07,7,2,3,1016.83301184366,5,3
9281,32,15,1-32-2018-015-07,7,1,7,2900.25871013123,7,3
9288,12,8,1-12-2018-008-07,7,1,99,2206.75524882669,9,3
9294,29,8,1-29-2018-008-04,4,2,8,2960.97573522552,2,3
9293,31,4,1-31-2018-004-05,5,1,10,253.605077697242,6,3
9298,17,12,1-17-2018-012-02,2,1,2,63.3469708223775,4,3
9296,26,9,1-26-2018-009-07,7,1,1,468.847109878886,10,3
9152,76,1,1-76-2018-001-10,10,1,1,701.421574034204,3,3
9332,23,16,1-23-2018-016-09,9,1,99,642.465933130376,5,3
9343,25,7,1-25-2018-007-07,7,1,7,1979.19034701911,2,3
9366,30,11,1-30-2018-011-06,6,1,10,1156.68515954863,10,3
9356,28,8,1-28-2018-008-06,6,1,1,191.640029191139,3,3
9405,16,16,1-16-2018-016-04,4,1,7,701.986376043106,5,3
9409,19,16,1-19-2018-016-05,5,1,1,103.719045040326,9,3
9429,33,16,1-33-2018-016-08,8,1,9,37.3602028410233,12,3
9425,18,9,1-18-2018-009-04,4,1,9,479.314677821442,6,3
9436,21,14,1-21-2018-014-03,3,1,1,536.394735616761,11,3
9439,20,18,1-20-2018-018-04,4,1,99,173.498584326286,11,3
9412,76,4,1-76-2018-004-04,4,1,10,724.930157473888,3,3
9395,28,9,1-28-2018-009-07,7,1,1,623.245805105024,3,3
9466,19,19,1-19-2018-019-10,10,1,99,2875.06999127426,9,3
9476,30,15,1-30-2018-015-02,2,1,99,119.535318299964,10,3
9483,18,11,1-18-2018-011-09,9,1,10,1283.96761893805,6,3
9479,13,23,1-13-2018-023-02,2,1,3,44.6473233383673,7,3
9525,66,8,1-66-2018-008-04,4,2,9,430.54676492509,6,3
9525,66,8,1-66-2018-008-04,4,2,3,430.54676492509,6,3
9532,27,10,1-27-2018-010-09,9,1,3,530.204895732449,3,3
9553,21,18,1-21-2018-018-03,3,1,1,221.217804744231,11,3
9517,28,12,1-28-2018-012-09,9,1,1,462.305554393888,3,3
9557,26,23,1-26-2018-023-04,4,1,9,2094.13203718942,10,3
9558,20,24,1-20-2018-024-03,3,1,9,90.7568850496669,11,3
9552,21,17,1-21-2018-017-09,9,1,1,776.862960068015,11,3
9566,29,13,1-29-2018-013-03,3,1,3,426.516389203271,2,3
9563,19,23,1-19-2018-023-10,10,1,1,5461.0405048006,9,3
9575,31,9,1-31-2018-009-07,7,1,9,842.282005886445,6,3
9603,27,11,1-27-2018-011-03,3,1,1,62.9715810884263,3,3
9604,27,12,1-27-2018-012-04,4,1,1,230.6032473457,3,3
9626,30,18,1-30-2018-018-10,10,1,7,23936.8367783949,10,3
9632,21,21,1-21-2018-021-03,3,1,1,262.603390064678,11,3
9620,29,14,1-29-2018-014-05,5,1,1,61.4445354906944,2,3
9642,16,26,1-16-2018-026-08,8,1,10,111.685870461203,5,3
9646,24,21,1-24-2018-021-06,6,2,10,429.219427069515,1,3
9652,23,29,1-23-2018-029-06,6,1,10,279.903173778101,5,3
9662,27,13,1-27-2018-013-08,8,1,1,67.1671918047952,3,3
9671,26,27,1-26-2018-027-06,6,1,1,1110.39380689786,10,3
9677,19,26,1-19-2018-026-05,5,1,3,54.7319534917023,9,3
9690,22,16,1-22-2018-016-06,6,1,9,78.7168836453916,12,3
9689,22,15,1-22-2018-015-10,10,1,9,1579.61748311094,12,3
9666,15,29,1-15-2018-029-09,9,1,1,386.81046449074,1,3
9704,76,5,1-76-2018-005-06,6,1,10,298.553881888856,3,3
9715,32,41,1-32-2018-041-03,3,2,8,1151.39100489125,7,3
9726,31,13,1-31-2018-013-10,10,1,7,359.234935300888,6,3
9717,16,31,1-16-2018-031-08,8,1,6,226.472755477648,5,3
9724,14,16,1-14-2018-016-06,6,1,8,3861.87953056486,8,3
9727,29,16,1-29-2018-016-02,2,1,9,98.5788577786628,2,3
9727,29,16,1-29-2018-016-02,2,1,1,98.5788577786628,2,3
9723,15,34,1-15-2018-034-05,5,1,10,37.7534483529306,1,3
9748,30,20,1-30-2018-020-02,2,1,10,115.412917970615,10,3
9754,20,34,1-20-2018-034-03,3,1,1,222.116411696965,11,3
9560,20,26,1-20-2018-026-08,8,1,99,44.9313875354986,11,3
9765,16,34,1-16-2018-034-03,3,1,1,473.372763677922,5,3
9767,32,42,1-32-2018-042-03,3,1,1,1944.34263282026,7,3
9776,27,16,1-27-2018-016-06,6,1,10,111.814631438102,3,3
9778,66,12,1-66-2018-012-03,3,2,2,126.508441705591,6,3
9771,14,17,1-14-2018-017-03,3,1,1,457.944527532383,8,3
9775,26,33,1-26-2018-033-02,2,1,9,28.16043430236,10,3
9793,22,19,1-22-2018-019-10,10,1,9,757.932941173496,12,3
9782,19,32,1-19-2018-032-05,5,1,10,54.7319534917023,9,3
9783,19,33,1-19-2018-033-07,7,1,7,1626.98071331051,9,3
9796,33,33,1-33-2018-033-08,8,1,9,46.5383479103345,12,3
9729,26,30,1-26-2018-030-02,2,1,9,88.3428179473478,10,3
9813,33,34,1-33-2018-034-08,8,1,7,46.5383479103345,12,3
9816,23,35,1-23-2018-035-05,5,1,9,50.4532248975682,5,3
9820,28,19,1-28-2018-019-09,9,1,1,435.412103868015,3,3
9839,31,16,1-31-2018-016-08,8,1,8,325.58648159477,6,3
9840,66,13,1-66-2018-013-04,4,1,10,331.363216984232,6,3
9837,27,18,1-27-2018-018-06,6,1,1,152.968306142862,3,3
9848,17,38,1-17-2018-038-04,4,1,9,2452.32462254184,4,3
9845,19,36,1-19-2018-036-07,7,1,2,1010.34428528125,9,3
9854,21,28,1-21-2018-028-02,2,1,9,13.0271604475473,11,3
9871,24,27,1-24-2018-027-03,3,1,99,706.019833095497,1,3
9879,59,24,1-59-2018-024-04,4,1,7,1129.4729239671,6,3
9903,17,41,1-17-2018-041-02,2,1,2,65.8542656555382,4,3
9896,19,38,1-19-2018-038-02,2,1,1,108.285087849588,9,3
9905,22,21,1-22-2018-021-08,8,1,1,95.6073213298819,12,3
9924,21,32,1-21-2018-032-06,6,1,9,425.793368897942,11,3
9906,22,22,1-22-2018-022-03,3,1,1,129.509566678563,12,3
9930,33,41,1-33-2018-041-05,5,1,99,28.9441844864407,12,3
9881,11,4,1-11-2018-004-08,8,1,9,1713.68841137179,8,3
9917,16,40,1-16-2018-040-01,1,1,3,43.0963750798285,5,3
9863,25,16,1-25-2018-016-08,8,1,99,264.64404365627,2,3
9889,28,22,1-28-2018-022-03,3,1,10,52.5373521478044,3,3
9947,23,41,1-23-2018-041-08,8,1,9,146.073527488081,5,3
9949,23,43,1-23-2018-043-03,3,1,1,258.902349558673,5,3
9962,59,26,1-59-2018-026-08,8,1,9,393.789671286381,6,3
9945,16,43,1-16-2018-043-06,6,1,1,194.810357899737,5,3
9963,59,27,1-59-2018-027-02,2,1,1,51.3567577406289,6,3
9965,19,40,1-19-2018-040-08,8,1,10,164.640944190402,9,3
9941,28,23,1-28-2018-023-03,3,1,1,55.7552208622972,3,3
9981,21,34,1-21-2018-034-07,7,1,1,493.361239584992,11,3
9984,18,24,1-18-2018-024-07,7,1,9,771.771961191858,6,3
9978,29,22,1-29-2018-022-03,3,1,8,275.428509916736,2,3
9979,27,22,1-27-2018-022-07,7,1,9,52.2501021666163,3,3
9997,26,39,1-26-2018-039-08,8,1,8,155.104357291431,10,3
9987,13,49,1-13-2018-049-02,2,1,99,61.9372702052266,7,3
10016,12,24,1-12-2018-024-04,4,1,9,1467.42487883795,9,3
10019,28,25,1-28-2018-025-08,8,1,1,124.53111981522,3,3
10011,16,46,1-16-2018-046-05,5,2,3,11.9003582198699,5,3
10034,16,47,1-16-2018-047-07,7,1,10,643.736215534301,5,3
10037,13,52,1-13-2018-052-03,3,1,1,341.402861211091,7,3
10048,33,45,1-33-2018-045-03,3,1,5,80.2127550473741,12,3
10055,20,48,1-20-2018-048-09,9,1,1,508.530403879224,11,3
10042,22,24,1-22-2018-024-07,7,1,10,236.71855681145,12,3
10058,21,39,1-21-2018-039-04,4,1,1,555.796561651184,11,3
10027,19,44,1-19-2018-044-07,7,1,10,1340.68484686307,9,3
10044,29,23,1-29-2018-023-06,6,1,99,325.218054761096,2,3
10072,23,47,1-23-2018-047-06,6,1,1,266.560149160244,5,3
10073,23,48,1-23-2018-048-06,6,1,1,266.560149160244,5,3
10088,16,50,1-16-2018-050-08,8,1,8,95.0636046006648,5,3
10103,29,25,1-29-2018-025-02,2,1,9,66.5159883214865,2,3
10121,21,42,1-21-2018-042-02,2,1,10,14.5312719400911,11,3
10133,27,26,1-27-2018-026-10,10,1,7,578.56766750786,3,3
10146,24,34,1-24-2018-034-03,3,1,7,1112.06043372298,1,3
10159,32,59,1-32-2018-059-03,3,1,9,1663.81303188513,7,3
10154,52,23,1-52-2018-023-04,4,1,5,136.6792212872,12,3
10158,10,28,1-10-2018-028-10,10,1,3,3934.00247097847,4,3
10185,18,29,1-18-2018-029-01,1,1,10,80.1280895353133,6,3
10190,20,56,1-20-2018-056-02,2,1,99,26.8025465982331,11,3
10220,23,53,1-23-2018-053-07,7,2,9,534.532026986594,5,3
10243,31,23,1-31-2018-023-09,9,1,7,285.335126794877,6,3
10246,17,55,1-17-2018-055-08,8,1,99,80.684410928261,4,3
10248,17,57,1-17-2018-057-08,8,1,99,120.75765386417,4,3
10259,28,32,1-28-2018-032-09,9,1,1,86.8213473198522,3,3
10241,19,50,1-19-2018-050-07,7,1,5,803.458787349616,9,3
10265,18,30,1-18-2018-030-06,6,1,1,357.317572492536,6,3
10252,13,62,1-13-2018-062-05,5,1,1,68.0813935737057,7,3
10238,27,29,1-27-2018-029-10,10,2,9,740.083097438864,3,3
10284,23,56,1-23-2018-056-06,6,1,1,211.30812475266,5,3
10299,66,21,1-66-2018-021-06,6,2,9,575.598306059491,6,3
10301,12,31,1-12-2018-031-09,9,1,9,2396.27743868112,9,3
10311,17,60,1-17-2018-060-02,2,1,2,63.3469708223775,4,3
10302,19,52,1-19-2018-052-09,9,1,10,613.94788324755,9,3
10306,14,27,1-14-2018-027-06,6,1,1,1187.86186931452,8,3
10317,22,31,1-22-2018-031-07,7,1,2,52.9767905684143,12,3
10329,18,32,1-18-2018-032-09,9,1,1,193.922166681721,6,3
10332,20,66,1-20-2018-066-08,8,1,1,67.2799275585528,11,3
10356,24,39,1-24-2018-039-07,7,1,10,1771.84805013578,1,3
10378,16,62,1-16-2018-062-10,10,1,3,1499.86369242519,5,3
10395,29,29,1-29-2018-029-06,6,2,2,412.981243723421,2,3
10398,13,70,1-13-2018-070-05,5,1,1,77.3797269844641,7,3
10409,21,53,1-21-2018-053-08,8,1,1,116.320430262659,11,3
10296,25,24,1-25-2018-024-07,7,1,9,1825.64583081839,2,3
10416,21,55,1-21-2018-055-06,6,1,1,275.191059499888,11,3
10425,12,34,1-12-2018-034-04,4,1,2,1006.73005033281,9,3
10426,23,62,1-23-2018-062-03,3,1,99,240.428380821584,5,3
10434,32,74,1-32-2018-074-04,4,1,1,3395.80995874587,7,3
10432,32,72,1-32-2018-072-10,10,1,9,23297.1646788849,7,3
10447,66,25,1-66-2018-025-01,1,1,2,200.68044634236,6,3
10453,17,66,1-17-2018-066-06,6,1,6,237.208455160444,4,3
10452,17,65,1-17-2018-065-05,5,1,1,47.9233869628999,4,3
10454,17,67,1-17-2018-067-08,8,1,1,100.831120146452,4,3
10448,31,28,1-31-2018-028-07,7,1,7,346.50890140151,6,3
10459,22,35,1-22-2018-035-02,2,1,9,30.214841238483,12,3
10490,23,66,1-23-2018-066-04,4,1,1,707.783778112605,5,3
10494,52,30,1-52-2018-030-03,3,1,5,136.869296759169,12,3
10497,32,77,1-32-2018-077-05,5,1,1,130.326683535852,7,3
10499,25,29,1-25-2018-029-03,3,1,10,346.961589734405,2,3
10512,27,35,1-27-2018-035-06,6,1,99,167.40248156486,3,3
10536,19,59,1-19-2018-059-09,9,1,8,242.743949306903,9,3
10538,19,61,1-19-2018-061-09,9,1,2,242.743949306903,9,3
