CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVNTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
28490,10,16,1-10-2023-016-06,6,2,1,1,First Record,4,19742,0,2,2.5090,1,9997.0000,0.0000,0.0000,997.0000,9997.0000,266.514965,4,8
28490,10,16,1-10-2023-016-06,6,2,1,2,Second Record,2,19742,0,1,2.3650,1,9997.0000,0.0000,0.0000,997.0000,9997.0000,266.514965,4,8
28578,24,9,1-24-2023-009-06,6,2,1,1,Event Record 1,1,15380,0,1,9997.0000,1,107.5000,21.0000,107.5000,3.0000,102.5000,352.6157721,1,8
28578,24,9,1-24-2023-009-06,6,1,1,1,Event 1,1,23322,0,1,0.0000,1,297.5000,-32.0000,297.5000,-2.0000,55.0000,352.6157721,1,8
28585,25,19,1-25-2023-019-04,4,2,1,1,Event Record 1,1,1182,0,1,9997.0000,1,30.0000,-2.0000,30.0000,1.0000,30.0000,607.3774406,2,8
28642,24,15,1-24-2023-015-03,3,1,1,1,Event Record 1,1,11399,0,1,9997.0000,1,185.0000,-38.0000,185.0000,2.0000,137.5000,148.9465718,1,8
28541,30,5,1-30-2023-005-03,3,2,1,2,1st Prior Event,1,999997,7,97,9995.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,647.4085886,10,8
28674,32,13,1-32-2023-013-07,7,1,1,1,Event Record 1,1,11251,0,1,9997.0000,1,9997.0000,-10.0000,215.0000,-4.0000,97.5000,5359.926741,7,8
28677,27,12,1-27-2023-012-03,3,1,1,2,1st Prior Event,95,5206,0,97,0.0375,7,9997.0000,-13.5000,60.0000,997.0000,9997.0000,22.23895411,3,8
28677,27,12,1-27-2023-012-03,3,1,1,3,2nd Prior Event,95,999997,7,97,0.1150,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,22.23895411,3,8
28677,27,12,1-27-2023-012-03,3,1,1,5,4th Prior Event,95,5206,0,97,9995.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,22.23895411,3,8
28935,19,33,1-19-2023-033-05,5,2,1,1,Event 1,1,8803,0,1,0.0000,1,162.5000,-38.0000,162.5000,7.0000,85.0000,43.48554189,9,8
28690,17,17,1-17-2023-017-10,10,1,1,1,Non-Deployment,1,28797,0,97,9997.0000,1,150.0000,-5.8282,150.0000,997.0000,150.0000,1954.132483,4,8
28692,17,19,1-17-2023-019-09,9,1,1,1,Most Recent Frontal/Rear Event,1,999997,7,97,9997.0000,1,9997.0000,-8.8000,9997.0000,997.0000,9997.0000,477.0105149,4,8
28792,26,17,1-26-2023-017-03,3,2,1,1,Event 1,1,3616,0,1,5000.0000,0,97.5000,-11.0000,97.5000,2.0000,42.5000,95.15846187,10,8
28600,32,11,1-32-2023-011-01,1,3,1,2,Event Record 2,97,11501,0,2,0.0000,1,70.0000,-11.0000,70.0000,-2.0000,55.0000,136.8128258,7,8
28600,32,11,1-32-2023-011-01,1,1,1,2,1st Prior Event,1,999997,7,97,9997.0000,1,9997.0000,-50.1000,9997.0000,997.0000,9997.0000,136.8128258,7,8
28600,32,11,1-32-2023-011-01,1,2,1,2,Event Record 2,2,13170,0,2,0.6000,1,9997.0000,-9.0000,137.5000,46.0000,300.0000,136.8128258,7,8
28172,10,1,1-10-2023-001-02,2,1,1,2,Second Record,4,23611,1,2,1.7000,1,9997.0000,-29.5600,294.0000,-3.6800,214.0000,231.7332471,4,8
28478,19,13,1-19-2023-013-03,3,3,1,1,Event 1,3,18897,0,1,9997.0000,1,100.0000,-4.8300,100.0000,9.6600,100.0000,43.55016903,9,8
28661,10,22,1-10-2023-022-09,9,2,1,3,Rollover Event,1,999997,7,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1118.671117,4,8
28242,11,3,1-11-2023-003-03,3,1,1,1,First Record,1,7637,0,1,0.0000,1,9997.0000,-26.4500,139.5000,997.0000,9997.0000,796.7807583,8,8
28288,12,3,1-12-2023-003-07,7,1,1,1,Event Record 1,1,18962,1,1,9997.0000,1,9997.0000,-8.0000,300.0000,18.0000,80.0000,428.8600139,9,8
28512,28,5,1-28-2023-005-07,7,1,1,1,Most Recent Event,1,2132,0,1,9997.0000,1,9997.0000,-28.0000,152.0000,3.0000,74.0000,248.1287979,3,8
28587,66,9,1-66-2023-009-05,5,2,1,1,Event Record 1,1,12729,0,1,9997.0000,1,9997.0000,-33.8100,148.0000,0.0000,52.0000,106.3944278,6,8
28499,73,10,1-73-2023-010-03,3,1,1,2,Event Record 2,1,11147,0,2,9997.0000,1,9997.0000,-41.8600,260.0000,3.2200,178.0000,46.61120753,3,8
28449,10,12,1-10-2023-012-03,3,2,1,1,Event Record 1,1,2909,0,1,9997.0000,1,9997.0000,9.6600,86.0000,0.0000,38.0000,131.5547357,4,8
29017,54,19,1-54-2023-019-02,2,2,1,1,Event 1,1,3126,0,1,0.0000,0,300.0000,-9.0000,300.0000,0.0000,297.5000,138.1968132,9,8
28272,73,3,1-73-2023-003-03,3,1,1,2,Side Crash Record 2,1,4496,0,2,0.0000,1,9997.0000,-1.0000,15.0000,1.0000,25.0000,153.9157712,3,8
