CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
28147,11,1,1-11-2023-001-03,3,1,1,1,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,999,7,1,1,706.20215,8,8
28147,11,1,1-11-2023-001-03,3,1,2,4,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,999,7,1,1,706.20215,8,8
28147,11,1,1-11-2023-001-03,3,1,3,5,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,999,7,1,1,706.20215,8,8
28147,11,1,1-11-2023-001-03,3,1,4,8,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,999,7,1,1,706.20215,8,8
28147,11,1,1-11-2023-001-03,3,1,5,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,706.20215,8,8
28147,11,1,1-11-2023-001-03,3,1,6,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,706.20215,8,8
28147,11,1,1-11-2023-001-03,3,1,7,8,1,99,1,0,1,0,0,50,,,,,,,,,,,,,706.20215,8,8
28147,11,1,1-11-2023-001-03,3,1,8,4,1,99,7,0,60,60,60,60,,,,,,,,,,,,,706.20215,8,8
28149,24,1,1-24-2023-001-07,7,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,602.9910613,1,8
28149,24,1,1-24-2023-001-07,7,1,2,2,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,602.9910613,1,8
28149,24,1,1-24-2023-001-07,7,1,3,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,602.9910613,1,8
28149,24,1,1-24-2023-001-07,7,1,4,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,602.9910613,1,8
28149,24,1,1-24-2023-001-07,7,1,5,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,602.9910613,1,8
28149,24,1,1-24-2023-001-07,7,1,6,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,602.9910613,1,8
28153,52,1,1-52-2023-001-03,3,1,1,1,1,99,1,0,1,0,0,50,9,9,1,35,-30,-18,19665,998,15,0,1,1,49.21064721,12,8
28153,52,1,1-52-2023-001-03,3,1,2,8,1,99,1,0,1,0,0,50,9,9,1,35,-30,-18,19665,998,15,0,1,1,49.21064721,12,8
28153,52,1,1-52-2023-001-03,3,1,3,4,1,99,1,0,1,0,0,50,9,9,1,35,-30,-18,19665,998,15,0,1,1,49.21064721,12,8
28153,52,1,1-52-2023-001-03,3,1,4,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,49.21064721,12,8
28153,52,1,1-52-2023-001-03,3,1,5,2,1,99,1,0,1,0,0,50,9,9,1,35,-30,-18,19665,998,15,0,1,1,49.21064721,12,8
28153,52,1,1-52-2023-001-03,3,1,6,8,1,99,1,0,1,0,0,50,9,9,1,35,-30,-18,19665,998,15,0,1,1,49.21064721,12,8
28153,52,1,1-52-2023-001-03,3,1,7,4,1,99,1,0,1,0,0,50,9,9,1,35,-30,-18,19665,998,15,0,1,1,49.21064721,12,8
