CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
32455,22,96,1-22-2023-096-03,3,2,887,887,887,887,887,887,887,887,887,887,999,887,116,999,999,887,887,158,887,887,104,887,36,91,887,887,40.62842331,12,8
32455,22,96,1-22-2023-096-03,3,3,887,887,999,887,887,887,887,999,887,887,887,999,128,887,887,887,887,887,887,887,102,887,42,79,281,999,40.62842331,12,8
32456,22,97,1-22-2023-097-09,9,2,887,887,887,887,887,887,887,887,887,887,59,887,134,999,999,887,887,887,887,887,887,887,887,887,887,887,57.44990102,12,8
32457,22,98,1-22-2023-098-03,3,2,887,887,887,887,887,887,887,887,887,887,887,999,119,887,887,51,999,999,887,887,108,887,35,80,887,887,40.62842331,12,8
32458,27,121,1-27-2023-121-06,6,1,887,887,887,887,887,887,887,887,887,887,19,887,131,999,999,887,887,887,887,887,887,887,887,887,887,887,67.27769249,3,8
32459,27,122,1-27-2023-122-07,7,1,887,887,887,887,887,887,887,887,887,887,37,887,115,999,999,887,887,887,887,887,887,887,887,887,887,887,319.5910668,3,8
32460,27,123,1-27-2023-123-03,3,1,887,887,887,887,887,887,887,267,887,887,50,887,125,80,999,887,887,887,7,10,101,887,887,887,887,887,20.05280512,3,8
32461,27,124,1-27-2023-124-04,4,1,887,887,283,887,887,887,887,283,887,887,42,39,122,86,64,50,77,89,12,22,116,8,35,84,887,887,67.75147542,3,8
32462,26,129,1-26-2023-129-06,6,2,887,887,887,887,887,887,887,887,887,887,46,40,129,82,47,12,52,159,887,887,104,887,34,88,887,887,1602.067375,10,8
32464,15,223,1-15-2023-223-06,6,1,999,999,999,887,887,999,999,887,887,887,999,999,139,887,887,887,887,887,887,887,887,887,887,887,887,887,182.9932987,1,8
32465,15,224,1-15-2023-224-03,3,1,887,887,290,887,887,887,887,292,887,887,26,20,122,887,887,887,887,887,999,999,887,887,887,887,887,887,84.11635964,1,8
32466,15,225,1-15-2023-225-03,3,1,999,999,999,999,999,999,999,999,999,999,999,999,119,999,999,999,999,999,887,887,887,887,887,887,887,887,84.11635964,1,8
32467,15,226,1-15-2023-226-02,2,1,887,887,999,887,887,887,887,999,887,887,999,999,887,887,887,887,887,887,999,999,999,887,887,887,887,887,10.48566673,1,8
32467,15,226,1-15-2023-226-02,2,2,887,887,290,887,887,887,887,290,887,887,887,887,887,887,887,887,887,887,12,887,887,887,887,887,887,887,10.48566673,1,8
32468,21,116,1-21-2023-116-01,1,1,887,887,350,887,887,887,887,360,887,887,35,887,128,887,887,887,887,887,14,13,109,5,28,87,887,152,172.7179144,11,8
32469,29,89,1-29-2023-089-06,6,1,887,887,887,887,887,887,887,999,887,887,999,887,129,999,999,54,887,887,999,887,887,887,35,80,887,887,474.2492586,2,8
32469,29,89,1-29-2023-089-06,6,2,887,887,270,887,887,887,887,270,887,887,38,42,111,80,58,49,66,75,9,12,107,11,36,79,887,887,474.2492586,2,8
28272,73,3,1-73-2023-003-03,3,1,887,887,887,887,887,887,887,887,887,887,29,887,122,887,887,45,887,887,10,12,110,887,38,82,887,887,153.9157712,3,8
28272,73,3,1-73-2023-003-03,3,2,887,887,887,887,887,887,887,887,887,887,37,887,131,887,887,887,887,218,7,12,125,887,40,96,887,887,153.9157712,3,8
28273,27,4,1-27-2023-004-04,4,1,887,887,887,887,887,887,887,281,887,887,37,887,129,88,62,887,887,887,14,23,118,887,887,887,887,887,85.87909038,3,8
28278,22,2,1-22-2023-002-09,9,1,887,887,285,887,887,887,887,285,887,887,887,887,116,887,887,61,887,887,887,887,108,12,33,76,887,887,121.4537489,12,8
28279,22,3,1-22-2023-003-09,9,1,887,887,272,887,887,887,887,273,887,887,20,887,124,999,999,59,887,887,887,887,105,887,36,80,887,887,121.4537489,12,8
28282,15,3,1-15-2023-003-04,4,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,887,887,59.14919386,1,8
28282,15,3,1-15-2023-003-04,4,2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,887,887,59.14919386,1,8
28284,26,2,1-26-2023-002-03,3,1,887,887,999,887,887,887,887,999,887,887,999,887,129,999,999,887,887,159,999,999,104,887,34,88,887,887,822.1613429,10,8
28288,12,3,1-12-2023-003-07,7,1,887,887,260,887,887,887,887,260,887,887,887,887,887,887,887,887,887,887,12,24,97,887,887,887,887,887,428.8600139,9,8
28288,12,3,1-12-2023-003-07,7,2,887,887,399,887,887,887,887,399,887,887,72,887,145,999,999,887,887,887,887,887,887,887,887,887,331,183,428.8600139,9,8
28289,29,2,1-29-2023-002-06,6,1,887,887,270,887,887,887,887,887,887,887,19,887,109,999,999,887,887,887,11,999,999,887,887,887,887,887,1430.299664,2,8
28294,15,5,1-15-2023-005-09,9,1,887,887,276,887,887,887,887,887,887,887,999,887,136,999,999,887,887,887,887,887,887,887,887,887,887,887,128.174375,1,8
28295,15,6,1-15-2023-006-06,6,1,887,887,887,887,887,887,887,887,887,887,999,887,99,999,999,887,887,887,887,887,887,887,887,887,887,887,37.22235551,1,8
28295,15,6,1-15-2023-006-06,6,2,887,887,887,887,887,887,887,887,887,887,999,887,125,999,999,887,887,887,887,887,887,887,887,887,887,887,37.22235551,1,8
28298,20,4,1-20-2023-004-06,6,1,887,887,887,887,887,887,887,887,887,887,887,887,121,887,887,887,887,160,887,887,115,887,42,86,887,887,110.3069253,11,8
28299,16,4,1-16-2023-004-03,3,1,887,887,999,887,887,887,887,887,887,887,999,887,122,999,999,887,887,887,999,999,97,887,887,887,887,887,85.07157391,5,8
31386,30,110,1-30-2023-110-03,3,1,887,887,887,887,887,887,887,887,887,887,44,887,123,86,86,887,887,887,887,887,887,887,887,887,887,887,132.2613746,10,8
31386,30,110,1-30-2023-110-03,3,2,887,887,887,887,887,887,887,887,887,887,999,999,125,999,999,999,999,164,887,887,887,887,887,887,887,887,132.2613746,10,8
31387,73,129,1-73-2023-129-07,7,1,887,887,300,887,887,887,887,300,887,887,44,999,887,887,887,887,887,887,8,10,125,999,40,96,887,887,159.1186156,3,8
31391,10,138,1-10-2023-138-09,9,1,999,999,999,999,999,999,999,999,999,999,999,999,112,999,999,999,999,184,999,999,122,999,41,87,887,887,1364.63251,4,8
31391,10,138,1-10-2023-138-09,9,2,999,999,273,999,999,999,999,273,999,999,999,999,124,999,999,59,999,999,11,24,105,999,36,80,887,887,1364.63251,4,8
31392,33,55,1-33-2023-055-04,4,1,887,887,887,887,887,887,887,887,887,887,52,887,115,999,999,887,887,887,887,887,887,887,887,887,887,887,235.411734,12,8
31392,33,55,1-33-2023-055-04,4,2,887,887,999,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,999,999,999,887,887,887,887,887,235.411734,12,8
31393,30,111,1-30-2023-111-03,3,1,887,887,887,887,887,887,887,887,887,887,999,887,101,999,999,887,887,887,887,887,887,887,887,887,887,887,132.2613746,10,8
31393,30,111,1-30-2023-111-03,3,2,887,887,887,887,887,887,887,887,887,887,999,887,139,999,999,887,887,887,887,887,887,887,887,887,887,887,132.2613746,10,8
31394,26,95,1-26-2023-095-08,8,1,887,887,887,887,887,887,887,999,887,887,887,887,118,887,887,887,887,170,999,999,105,887,35,77,887,887,154.9871777,10,8
31396,23,75,1-23-2023-075-05,5,2,887,887,887,887,887,887,887,887,887,887,887,38,125,887,887,11,30,170,887,887,112,887,36,89,887,887,85.27411884,5,8
31397,23,76,1-23-2023-076-04,4,1,887,887,270,887,887,887,887,270,887,887,887,887,125,887,887,54,887,887,11,13,114,887,30,79,887,887,1504.413894,5,8
31397,23,76,1-23-2023-076-04,4,2,887,887,887,887,887,887,887,887,887,887,19,887,115,887,887,49,887,887,887,887,109,887,33,79,887,887,1504.413894,5,8
31398,77,84,1-77-2023-084-05,5,1,887,887,366,887,887,887,887,361,887,887,56,887,136,999,999,887,887,887,887,887,887,887,887,887,310,215,76.33062011,9,8
31399,77,85,1-77-2023-085-03,3,1,887,887,887,887,887,887,887,290,887,887,44,887,100,887,887,10,20,200,8,8,126,10,48,98,887,887,228.3693266,9,8
31400,77,86,1-77-2023-086-04,4,1,887,887,887,887,887,887,887,887,887,887,38,887,119,887,887,61,887,887,887,887,121,887,41,78,887,887,1043.898585,9,8
31400,77,86,1-77-2023-086-04,4,2,887,887,887,887,887,887,887,887,887,887,45,50,125,887,887,12,35,164,887,887,101,887,39,86,887,887,1043.898585,9,8
31497,12,91,1-12-2023-091-04,4,2,887,887,275,887,887,887,887,273,887,887,887,887,887,887,887,887,887,887,10,18,126,887,887,887,887,887,259.0616273,9,8
31499,30,116,1-30-2023-116-06,6,1,887,887,887,887,887,887,887,887,887,887,43,887,117,999,999,887,887,887,887,887,887,887,887,887,887,887,209.5019302,10,8
31501,11,68,1-11-2023-068-05,5,1,887,887,260,887,71,887,887,260,887,71,999,999,96,887,887,133,999,999,887,887,102,887,34,83,887,887,273.4459517,8,8
31502,11,69,1-11-2023-069-02,2,1,887,887,999,887,887,887,887,999,887,887,999,999,887,887,887,999,999,999,999,999,999,887,887,887,887,887,83.61933847,8,8
31502,11,69,1-11-2023-069-02,2,2,887,887,254,887,887,887,887,887,887,887,40,887,120,999,999,887,887,887,12,18,111,887,887,887,887,887,83.61933847,8,8
31503,24,90,1-24-2023-090-03,3,1,887,887,887,887,887,887,887,887,887,887,39,887,108,50,40,887,887,887,887,887,887,887,887,887,887,887,200.3911225,1,8
31503,24,90,1-24-2023-090-03,3,2,887,887,887,887,887,887,887,887,887,887,52,887,134,999,999,887,887,887,887,887,887,887,887,887,887,887,200.3911225,1,8
31504,24,91,1-24-2023-091-03,3,1,887,887,999,887,887,887,887,887,887,887,999,887,999,999,999,887,887,887,999,999,999,887,887,887,887,887,200.3911225,1,8
31504,24,91,1-24-2023-091-03,3,2,887,887,887,887,887,887,887,277,887,887,887,887,887,887,887,887,887,887,10,20,110,887,887,887,887,887,200.3911225,1,8
31505,25,89,1-25-2023-089-02,2,1,887,887,999,887,887,887,887,999,887,887,999,887,141,999,999,887,887,887,887,887,887,887,887,887,887,999,54.67364508,2,8
31505,25,89,1-25-2023-089-02,2,2,887,887,887,887,887,887,887,887,887,887,52,54,129,999,999,11,28,205,887,887,887,887,887,99,887,887,54.67364508,2,8
31505,25,89,1-25-2023-089-02,2,3,887,887,357,887,887,887,887,357,887,887,887,54,887,887,887,887,887,887,887,887,887,887,887,887,307,175,54.67364508,2,8
31506,25,90,1-25-2023-090-02,2,1,887,887,999,887,887,887,887,999,887,887,999,887,131,999,999,887,887,887,887,887,887,887,887,887,887,999,48.58815106,2,8
31506,25,90,1-25-2023-090-02,2,2,887,887,345,887,887,887,887,345,887,887,887,999,887,887,887,999,999,316,7,8,190,887,887,887,887,887,48.58815106,2,8
31507,14,70,1-14-2023-070-04,4,1,887,887,368,887,887,887,887,368,887,887,48,887,140,999,999,887,887,887,999,999,127,887,887,887,318,170,1837.098944,8,8
31507,14,70,1-14-2023-070-04,4,2,887,887,333,887,887,887,887,333,887,887,32,887,128,999,999,887,887,887,887,887,887,887,887,887,291,999,1837.098944,8,8
