CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,WEIGHTDIST,CASEWGT,PSUSTRAT,VERSION
30268,52,74,1-52-2023-074-04,4,2,270,449,175,1199,150,87,93,140,4,1.8,2,1,0,0,60,160.0620368,12,8
30271,10,93,1-10-2023-093-06,6,1,251,409,173,1256,150,82,74,999,4,2.0,2,1,9,0,64,192.9060462,4,8
30271,10,93,1-10-2023-093-06,6,2,280,493,185,1468,157,100,114,999,4,2.4,2,1,9,0,61,192.9060462,4,8
30271,10,93,1-10-2023-093-06,6,3,281,486,186,1463,159,97,109,155,4,2.4,2,1,0,0,61,192.9060462,4,8
30302,59,73,1-59-2023-073-04,4,1,258,439,170,1218,152,83,98,155,4,1.6,2,1,0,0,61,179.4036757,6,8
30302,59,73,1-59-2023-073-04,4,2,305,500,188,1895,160,85,110,999,8,5.7,2,2,9,0,54,179.4036757,6,8
30955,13,100,1-13-2023-100-03,3,1,270,464,176,1315,152,94,100,999,4,1.8,2,1,0,0,61,596.2577381,7,8
30969,10,123,1-10-2023-123-04,4,1,400,618,203,2432,173,100,117,999,8,5.3,2,3,9,0,58,412.6715501,4,8
30969,10,123,1-10-2023-123-04,4,2,271,459,188,1496,158,96,92,150,3,1.5,2,1,0,0,59,412.6715501,4,8
30972,52,90,1-52-2023-090-06,6,1,399,617,203,3099,173,97,121,174,8,6.7,2,3,0,0,99,47.938759,12,8
30972,52,90,1-52-2023-090-06,6,2,302,536,203,2154,174,100,108,176,6,4.3,2,3,0,1,60,47.938759,12,8
30975,76,70,1-76-2023-070-07,7,1,293,473,173,1475,152,95,84,999,4,2.0,2,1,0,0,99,19.20771451,3,8
30992,10,124,1-10-2023-124-01,1,1,263,466,173,1186,150,96,104,150,6,3.1,2,1,0,0,64,19.95004175,4,8
31012,26,86,1-26-2023-086-06,6,1,305,505,191,2047,163,92,108,172,6,3.6,2,1,0,1,54,394.685274,10,8
31055,11,58,1-11-2023-058-03,3,1,245,449,181,1400,157,100,106,999,6,3.8,2,2,0,1,38,2529.112944,8,8
31055,11,58,1-11-2023-058-03,3,2,310,519,202,1964,174,96,113,160,6,3.6,2,1,0,0,55,2529.112944,8,8
31061,52,92,1-52-2023-092-03,3,1,320,512,178,1664,148,85,108,999,6,3.0,2,3,9,0,99,18.74482172,12,8
31061,52,92,1-52-2023-092-03,3,2,283,489,183,1520,158,98,109,160,4,2.5,2,1,0,0,60,18.74482172,12,8
