CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
28362,21,3,1-21-2023-003-03,3,1,1,2,90,3,0,0,350,03RFEW99,R,F,E,W,99,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,2,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,305.2710259,11,8
28362,21,3,1-21-2023-003-03,3,1,2,63,70,2,0,0,888,02RDWW01,R,D,W,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,70 cm rear of rear axle,999,999,999,999,999,999,999,999,999,999,999,999,,,305.2710259,11,8
28362,21,3,1-21-2023-003-03,3,1,4,58,210,7,0,0,888,07LZAW99,L,Z,A,W,99,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,8,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,305.2710259,11,8
28362,21,3,1-21-2023-003-03,3,1,6,51,90,3,0,0,888,03RPAN02,R,P,A,N,02,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,305.2710259,11,8
28362,21,3,1-21-2023-003-03,3,1,3,58,50,2,0,0,888,02RDAW03,R,D,A,W,03,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,9,1,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,305.2710259,11,8
28474,21,5,1-21-2023-005-09,9,1,1,2,10,12,0,0,95,12FRES05,F,R,E,S,05,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,7,1,"Begins 74cm right of center point, extending right",Unknown,Right Bumper Corner,999,999,999,999,6,999,999,999,999,999,999,999,,,2590.65678,11,8
28474,21,5,1-21-2023-005-09,9,1,2,63,10,12,0,0,888,12FZLW01,F,Z,L,W,01,8,8,8,8,888,888,888,98,999,999,999,9999999,999,999,999,6,2,"Begins 20cm right of center point, extending right",Unknown,Unknown,999,999,999,999,55,999,999,999,999,999,999,999,,,2590.65678,11,8
32806,31,122,1-31-2023-122-08,8,1,1,61,0,12,0,0,888,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,1,21,-21,0,26230,998,0,20,0,1,"Begins 78cm right of center point, extending left","Begins 78cm right of center point, extending left",70 cm left of center,156,0,156,0,156,14,14,8,3,4,7,13,,,249.1998599,6,8
32806,31,122,1-31-2023-122-08,8,1,2,57,0,12,0,0,888,12FREN01,F,R,E,N,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,2,Unknown,Unknown,Not Measured,999,999,999,999,999,999,999,999,999,999,999,999,,,249.1998599,6,8
32806,31,122,1-31-2023-122-08,8,1,3,99,60,2,0,0,888,02RPEW01,R,P,E,W,01,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,8,"Begins 49cm forward of rear axle, extending forward",Unknown,Not Measured,999,999,999,999,57,999,999,999,999,999,999,999,,,249.1998599,6,8
32809,52,121,1-52-2023-121-09,9,2,1,1,330,11,0,0,95,11LZEW01,L,Z,E,W,01,8,8,8,8,888,888,888,1,68,-59,34,11164,998,-178,32,0,1,"Begins 230cm rear of front axle, extending rearward","Begins 250cm rear of front axle, extending rearward",100 cm rearward of center,205,-161,205,-151,226,7,4,5,5,5,7,2,,,552.9724335,12,8
32809,52,121,1-52-2023-121-09,9,1,1,2,20,1,0,0,225,01FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,5,-4,-2,40914,998,-91,20,0,1,"Begins 39cm right of center point, extending left","Begins 71cm right of center point, extending left",75 cm left of center,142,0,150,-14,106,23,23,23,10,6,4,2,,,552.9724335,12,8
30718,29,54,1-29-2023-054-09,9,2,1,1,50,2,9,0,150,02RZEW02,R,Z,E,W,02,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,999,7,2,Unknown,Unknown,Not measured,999,999,999,999,999,999,999,999,999,999,999,999,,,687.8755223,2,8
30718,29,54,1-29-2023-054-09,9,2,3,51,0,12,9,0,888,12FZEN02,F,Z,E,N,02,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,1,Unknown,Unknown,Not measured,999,999,999,999,999,999,999,999,999,999,999,999,,,687.8755223,2,8
30718,29,54,1-29-2023-054-09,9,2,2,45,0,12,0,0,888,12FREN01,F,R,E,N,01,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,Not measured,999,999,999,999,999,999,999,999,999,999,999,999,,,687.8755223,2,8
30910,29,62,1-29-2023-062-03,3,1,3,58,340,11,0,0,888,11LFWW02,L,F,W,W,02,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,1,"Begins 305cm forward of rear axle, extending forward",Unknown,Left front wheel,999,999,999,999,79,999,999,999,999,999,999,999,,,321.3229941,2,8
30910,29,62,1-29-2023-062-03,3,1,2,58,0,12,0,0,888,12LPAS02,L,P,A,S,02,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,2,Unknown,Unknown,Not measured,999,999,999,999,999,999,999,999,999,999,999,999,,,321.3229941,2,8
32812,77,134,1-77-2023-134-03,3,2,1,1,10,12,1,0,250,12FDEW03,F,D,E,W,03,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,64,5,1,"Begins 80cm right of center point, extending left","Begins 60cm left of center point, extending right",40 cm right of center,120,0,160,0,160,70,9,37,53,70,63,53,,,363.7792974,9,8
