CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
2300062,19,129,1-19-2023-129-07,7,1,1,1,1,9997.00,9997.00,7,8,9997.00,15.00,15.00,15.00,20.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,15.00,15.00,9997.00,9997.00,0,7,7,1241.039351,9,8
2300065,73,185,1-73-2023-185-03,3,2,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,31.6102783,3,8
2300068,12,131,1-12-2023-131-06,6,2,1,1,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,0,8,9.00,9.00,9.00,9997.00,9997.00,7,5,7,472.0349065,9,8
2300085,26,144,1-26-2023-144-03,3,1,1,1,1,39.00,189.00,7,8,41.50,41.50,24.00,24.00,24.00,1,7,7,0,9997.00,9997.00,7,8,41.50,41.50,24.00,9997.00,9997.00,7,7,7,675.513294,10,8
2300085,26,144,1-26-2023-144-03,3,2,1,1,0,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,0,7,675.513294,10,8
2300085,26,144,1-26-2023-144-03,3,2,1,2,0,17.00,117.00,7,8,17.00,67.00,17.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,17.00,17.00,9995.00,9997.00,9997.00,7,0,7,675.513294,10,8
29437,66,28,1-66-2023-028-04,4,1,1,1,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,0,7,114.3320496,6,8
29446,15,64,1-15-2023-064-04,4,1,1,1,1,34.00,39.00,7,0,9995.00,67.00,30.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,42.00,9995.00,9997.00,9997.00,0,0,7,201.8588175,1,8
29457,29,18,1-29-2023-018-03,3,2,1,1,1,45.00,65.00,7,8,84.00,84.00,45.00,45.00,50.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,45.00,9997.00,9997.00,0,7,7,809.5399742,2,8
29463,20,40,1-20-2023-040-08,8,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,0,7,46.39664262,11,8
29463,20,40,1-20-2023-040-08,8,1,1,2,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,0,7,46.39664262,11,8
29463,20,40,1-20-2023-040-08,8,1,1,3,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,0,7,46.39664262,11,8
29466,13,49,1-13-2023-049-05,5,2,1,2,1,9995.00,9995.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,0,7,7,1,9995.00,9995.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,3,7,70.87256668,7,8
29466,13,49,1-13-2023-049-05,5,2,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,0,7,70.87256668,7,8
29474,48,22,1-48-2023-022-03,3,1,1,1,1,7.50,9995.00,7,8,9995.00,9995.00,7.50,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,7.50,9997.00,9997.00,7,4,7,74.78725036,12,8
2300085,26,144,1-26-2023-144-03,3,2,1,3,0,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,0,7,675.513294,10,8
2300085,26,144,1-26-2023-144-03,3,2,1,4,0,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,0,7,675.513294,10,8
2300105,30,174,1-30-2023-174-04,4,1,1,1,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,658.7879508,10,8
2300105,30,174,1-30-2023-174-04,4,1,1,2,1,9997.00,9997.00,7,8,9997.00,0.00,0.00,9997.00,9997.00,0,7,7,1,9997.00,9997.00,7,8,9997.00,0.00,0.00,9997.00,9997.00,7,3,7,658.7879508,10,8
2300105,30,174,1-30-2023-174-04,4,1,1,3,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,658.7879508,10,8
2300105,30,174,1-30-2023-174-04,4,1,1,4,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,658.7879508,10,8
2300105,30,174,1-30-2023-174-04,4,1,1,5,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,3,7,658.7879508,10,8
2300105,30,174,1-30-2023-174-04,4,1,1,6,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,658.7879508,10,8
2300105,30,174,1-30-2023-174-04,4,1,1,7,1,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,1,7,7,1,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,2,7,658.7879508,10,8
32715,66,106,1-66-2023-106-08,8,2,1,2,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,128.7448736,6,8
32718,17,176,1-17-2023-176-10,10,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,0,7,4828.839414,4,8
32721,30,163,1-30-2023-163-06,6,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,1,9997.00,9997.00,0,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,5,7,168.6034269,10,8
32738,76,131,1-76-2023-131-03,3,1,1,1,1,29.00,129.00,7,1,9997.00,9997.00,29.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,0,9997.00,9997.00,9997.00,9997.00,9997.00,7,4,7,61.32527459,3,8
32738,76,131,1-76-2023-131-03,3,2,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9997.00,9997.00,9995.00,7,7,7,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,61.32527459,3,8
32741,31,119,1-31-2023-119-09,9,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,3,7,251.9862351,6,8
32741,31,119,1-31-2023-119-09,9,1,1,2,1,9995.00,9995.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,0,7,7,1,9995.00,9995.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,3,7,251.9862351,6,8
32741,31,119,1-31-2023-119-09,9,1,1,3,1,9997.00,9997.00,7,8,9997.00,9995.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9995.00,9997.00,9997.00,9997.00,7,0,7,251.9862351,6,8
32741,31,119,1-31-2023-119-09,9,1,1,4,7,9997.00,9997.00,7,8,9997.00,9995.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9995.00,9997.00,9997.00,9997.00,7,7,7,251.9862351,6,8
29474,48,22,1-48-2023-022-03,3,1,1,2,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,74.78725036,12,8
29474,48,22,1-48-2023-022-03,3,1,1,3,1,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,0,7,7,1,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,2,7,74.78725036,12,8
29474,48,22,1-48-2023-022-03,3,1,1,4,1,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,0,7,7,1,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,2,7,74.78725036,12,8
29474,48,22,1-48-2023-022-03,3,1,1,5,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,4,7,74.78725036,12,8
29477,59,46,1-59-2023-046-02,2,1,1,1,1,253.00,253.00,7,8,9995.00,9995.00,175.00,185.00,175.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,175.00,181.00,175.00,7,0,7,47.45671854,6,8
29480,12,34,1-12-2023-034-03,3,2,1,1,1,30.00,151.00,7,8,9995.00,9995.00,20.00,30.00,20.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,20.00,26.00,20.00,7,0,7,625.8490752,9,8
29480,12,34,1-12-2023-034-03,3,1,1,1,1,9995.00,9995.00,7,8,9995.00,4.00,4.00,4.00,4.00,7,7,7,1,9995.00,9995.00,0,8,4.00,4.00,4.00,4.00,4.00,7,5,7,625.8490752,9,8
29486,19,58,1-19-2023-058-09,9,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,472.413156,9,8
29486,19,58,1-19-2023-058-09,9,1,1,2,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,472.413156,9,8
29486,19,58,1-19-2023-058-09,9,2,1,1,0,9995.00,9995.00,7,0,9997.00,9995.00,9995.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,7,0,9997.00,9995.00,9995.00,9997.00,9997.00,7,7,7,472.413156,9,8
29497,13,51,1-13-2023-051-03,3,2,1,1,1,23.00,144.00,7,8,9995.00,9995.00,15.00,25.00,15.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,15.00,21.00,15.00,7,0,7,155.6220854,7,8
29500,16,37,1-16-2023-037-03,3,1,1,2,1,33.00,143.00,7,1,8888.00,8888.00,33.00,9997.00,9997.00,7,7,7,1,33.00,143.00,7,1,8888.00,8888.00,33.00,9997.00,9997.00,7,5,7,169.0626932,5,8
29500,16,37,1-16-2023-037-03,3,2,1,1,1,40.00,140.00,7,8,9995.00,9995.00,40.00,45.00,40.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,40.00,45.00,40.00,7,0,7,169.0626932,5,8
29500,16,37,1-16-2023-037-03,3,1,1,1,1,8888.00,8888.00,7,0,8888.00,8888.00,8888.00,9997.00,9997.00,7,7,7,1,8888.00,8888.00,7,0,8888.00,8888.00,8888.00,9997.00,9997.00,7,5,7,169.0626932,5,8
31027,77,75,1-77-2023-075-03,3,3,1,1,1,9995.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,0,9995.00,9995.00,9995.00,9997.00,9997.00,0,0,7,1784.370982,9,8
31027,77,75,1-77-2023-075-03,3,3,1,2,1,9995.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,0,9995.00,9995.00,9995.00,9997.00,9997.00,0,0,7,1784.370982,9,8
31027,77,75,1-77-2023-075-03,3,3,1,3,1,9995.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,0,9995.00,9995.00,9995.00,9997.00,9997.00,0,0,7,1784.370982,9,8
31039,12,75,1-12-2023-075-02,2,1,1,1,0,79.00,82.00,7,8,9995.00,9994.00,9994.00,9999.00,9994.00,0,7,7,0,79.00,89.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,5,7,212.0723508,9,8
31039,12,75,1-12-2023-075-02,2,1,1,2,0,9995.00,9995.00,7,8,9994.00,9994.00,9994.00,9999.00,9994.00,0,7,7,0,9995.00,9995.00,7,8,9994.00,9994.00,9994.00,9999.00,9994.00,0,5,7,212.0723508,9,8
31050,19,108,1-19-2023-108-03,3,1,1,1,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,0,7,101.9953284,9,8
31053,30,95,1-30-2023-095-02,2,1,1,1,0,11.00,14.00,7,8,106.00,106.00,11.00,9997.00,9997.00,8,7,7,0,11.00,14.00,7,8,15.00,12.00,11.00,9997.00,9997.00,7,5,7,36.31761786,10,8
31056,16,85,1-16-2023-085-02,2,1,1,1,0,23.00,25.00,7,0,9995.00,23.00,18.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,7,0,9995.00,23.00,18.00,9997.00,9997.00,7,0,7,15.76768136,5,8
29523,73,46,1-73-2023-046-06,6,1,1,1,1,35.00,75.00,7,0,0.00,0.00,1.00,9997.00,9997.00,0,7,7,0,0.00,0.00,1,0,78.00,46.00,0.00,9997.00,9997.00,7,7,7,50.17297428,3,8
29523,73,46,1-73-2023-046-06,6,1,1,2,1,0.00,0.00,7,0,0.00,116.00,0.00,9997.00,9997.00,0,7,7,0,0.00,0.00,1,0,0.00,0.00,0.00,9997.00,9997.00,7,7,7,50.17297428,3,8
29526,32,50,1-32-2023-050-03,3,2,1,2,0,9995.00,9995.00,7,8,9995.00,9995.00,9997.00,9995.00,9997.00,0,7,7,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,0,7,7,391.7675423,7,8
29526,32,50,1-32-2023-050-03,3,2,1,1,0,68.00,87.00,7,8,9995.00,9995.00,9997.00,9999.00,9997.00,0,7,7,1,68.00,87.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,7,7,391.7675423,7,8
29529,66,29,1-66-2023-029-10,10,2,1,1,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,112.3254186,6,8
29529,66,29,1-66-2023-029-10,10,2,1,2,7,9997.00,9997.00,7,8,9997.00,9995.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9995.00,9997.00,9997.00,9997.00,7,7,7,112.3254186,6,8
29537,26,50,1-26-2023-050-03,3,2,1,1,1,9995.00,9995.00,7,0,9995.00,9995.00,9995.00,9997.00,9997.00,8,8,7,0,9995.00,9995.00,7,0,9995.00,9995.00,9995.00,9997.00,9997.00,8,1,7,198.3515918,10,8
29540,27,35,1-27-2023-035-09,9,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,3,7,141.6244793,3,8
29540,27,35,1-27-2023-035-09,9,1,1,2,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,0,7,141.6244793,3,8
29540,27,35,1-27-2023-035-09,9,1,1,3,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,141.6244793,3,8
29549,30,27,1-30-2023-027-04,4,1,1,1,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,0,7,2361.741207,10,8
29569,12,36,1-12-2023-036-04,4,2,1,3,0,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,0,7,1051.965248,9,8
28562,54,10,1-54-2023-010-09,9,1,1,2,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,498.693254,9,8
28573,17,14,1-17-2023-014-03,3,1,1,1,1,9995.00,9995.00,7,8,9994.00,9994.00,9994.00,9999.00,9994.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,7,7,81.87272163,4,8
28573,17,14,1-17-2023-014-03,3,2,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,81.87272163,4,8
28582,14,7,1-14-2023-007-03,3,1,1,1,0,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,4,7,586.2882307,8,8
28582,14,7,1-14-2023-007-03,3,1,1,2,0,22.00,32.00,7,8,22.00,22.00,22.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,7,8,22.00,22.00,22.00,9997.00,9997.00,7,4,7,586.2882307,8,8
28582,14,7,1-14-2023-007-03,3,1,1,3,0,9997.00,9997.00,7,8,9995.00,38.00,9995.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,7,8,9995.00,38.00,9995.00,9997.00,9997.00,7,4,7,586.2882307,8,8
28585,25,19,1-25-2023-019-04,4,2,1,1,1,0.00,0.00,7,0,0.00,0.00,0.00,9997.00,9997.00,0,7,7,0,0.00,0.00,1,0,0.00,0.00,0.00,9997.00,9997.00,7,7,7,607.3774406,2,8
28588,18,7,1-18-2023-007-07,7,2,1,1,1,9995.00,9995.00,7,8,65.00,65.00,65.00,65.00,65.00,7,7,7,1,9995.00,9995.00,0,8,9995.00,65.00,65.00,65.00,65.00,7,5,7,524.9456064,6,8
29569,12,36,1-12-2023-036-04,4,3,1,1,1,46.00,60.00,7,8,9995.00,60.00,46.00,52.00,46.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,60.00,46.00,52.00,46.00,7,0,7,1051.965248,9,8
29569,12,36,1-12-2023-036-04,4,1,1,1,0,18.00,20.00,7,0,9997.00,9995.00,9994.00,9997.00,9997.00,7,7,7,7,18.00,20.00,7,0,9997.00,9995.00,9994.00,9997.00,9997.00,7,7,7,1051.965248,9,8
29569,12,36,1-12-2023-036-04,4,1,1,2,0,9995.00,9995.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,7,7,7,9995.00,9995.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,7,7,1051.965248,9,8
29569,12,36,1-12-2023-036-04,4,2,1,1,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,0,7,1051.965248,9,8
29569,12,36,1-12-2023-036-04,4,2,1,2,0,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,0,7,1051.965248,9,8
29580,20,44,1-20-2023-044-06,6,2,1,1,0,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,4,7,385.9776966,11,8
