CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
31338,59,107,1-59-2023-107-04,4,1,LR,202,Gr906,P225/60R17,00KLEFACJ4422,4,0,1,449.3661515,6,8
31338,59,107,1-59-2023-107-04,4,1,LF,202,Gr906,P225/60R17,00KLEFACJ3522,4,0,1,449.3661515,6,8
31338,59,107,1-59-2023-107-04,4,1,RF,202,Gr906,P225/60R17,00KLEFACJ3522,4,0,1,449.3661515,6,8
31338,59,107,1-59-2023-107-04,4,1,RR,202,Gr906,P225/60R17,00KLEFACJ4422,4,0,1,449.3661515,6,8
31338,59,107,1-59-2023-107-04,4,2,LF,59,Destination,P235/70R16,WB08 DA2,3,0,1,449.3661515,6,8
31338,59,107,1-59-2023-107-04,4,2,LR,59,Destination,P235/70R16,WB08 DA2,3,0,1,449.3661515,6,8
31338,59,107,1-59-2023-107-04,4,2,RR,59,Destination,P235/70R16,WB08 DA2,3,0,1,449.3661515,6,8
31338,59,107,1-59-2023-107-04,4,2,RF,59,Destination,P235/70R16,WB08 DA2,3,0,1,449.3661515,6,8
31415,59,110,1-59-2023-110-05,5,1,LR,156,Encounter at,P275/55R20,1R8KK3MER0820,2,0,1,49.55652444,6,8
31415,59,110,1-59-2023-110-05,5,1,RR,156,Encounter at,P275/55R20,1R8KK3MER0920,2,0,1,49.55652444,6,8
31415,59,110,1-59-2023-110-05,5,1,RF,156,Encounter at,P275/55R20,1R8KK3MER0820,2,0,1,49.55652444,6,8
31415,59,110,1-59-2023-110-05,5,1,LF,156,Encounter at,P275/55R20,1R8KK,2,1,1,49.55652444,6,8
31418,59,113,1-59-2023-113-04,4,1,LF,115,Npriz rh7,P225/55R18,UAK8 AABL1319,2,0,1,256.1074499,6,8
31418,59,113,1-59-2023-113-04,4,1,LR,115,Npriz rh7,P225/55R18,UAK8 BABL1319,3,0,1,256.1074499,6,8
31418,59,113,1-59-2023-113-04,4,1,RR,115,Npriz rh7,P225/55R18,UAK8 BAML1319,3,0,1,256.1074499,6,8
31418,59,113,1-59-2023-113-04,4,1,RF,115,Npriz rh7,P225/55R18,UAK8 CAMR1319,3,0,1,256.1074499,6,8
31418,59,113,1-59-2023-113-04,4,2,LF,17,Dueler H/L alenza Plus,P235/70R16,RB4E RLM 1118,3,0,1,256.1074499,6,8
31418,59,113,1-59-2023-113-04,4,2,RF,17,Dueler H/L alenza Plus,P235/70R16,RB4E RLM 1018,3,0,1,256.1074499,6,8
31418,59,113,1-59-2023-113-04,4,2,LR,998,Ecopath ht,P235/70R16,1YCDPW042,3,0,1,256.1074499,6,8
31418,59,113,1-59-2023-113-04,4,2,RR,998,Ecopath ht,P235/70R16,1YCDPW042,3,0,1,256.1074499,6,8
31478,54,73,1-54-2023-073-06,6,2,LF,28,Crosscontact LX Sport,P235/65R17,1A303HD5A3822,9,1,1,156.0896345,9,8
31478,54,73,1-54-2023-073-06,6,2,LR,28,Crosscontact LX Sport,P235/65R17,1A303HD5A3822,9,0,1,156.0896345,9,8
31478,54,73,1-54-2023-073-06,6,2,RR,28,Crosscontact LX Sport,P235/65R17,1A303HD5A3822,9,0,1,156.0896345,9,8
31478,54,73,1-54-2023-073-06,6,2,RF,28,Crosscontact LX Sport,P235/65R17,1A303HD5A3822,9,0,1,156.0896345,9,8
31481,48,87,1-48-2023-087-06,6,1,RF,70,Reliant Allseason,P205/65R16,PJ3P KJ1R3121,6,1,1,316.0505329,12,8
31481,48,87,1-48-2023-087-06,6,1,LF,70,Reliant Allseason,P205/65R16,PJ3P KT1R3021,6,0,1,316.0505329,12,8
31481,48,87,1-48-2023-087-06,6,1,LR,59,Affinity Touring S4,P205/65R16,W284 A1A,5,0,1,316.0505329,12,8
