CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,DAMAGE,CASEWGT,PSUSTRAT,VERSION
32476,77,122,1-77-2023-122-05,5,2,LR,0,76.33062011,9,8
32476,77,122,1-77-2023-122-05,5,2,RR,0,76.33062011,9,8
32476,77,122,1-77-2023-122-05,5,2,RF,5,76.33062011,9,8
32476,77,122,1-77-2023-122-05,5,1,LF,0,76.33062011,9,8
32476,77,122,1-77-2023-122-05,5,1,LR,0,76.33062011,9,8
32476,77,122,1-77-2023-122-05,5,1,RR,0,76.33062011,9,8
32476,77,122,1-77-2023-122-05,5,1,RF,0,76.33062011,9,8
32476,77,122,1-77-2023-122-05,5,2,LF,0,76.33062011,9,8
32479,77,125,1-77-2023-125-06,6,2,RF,0,929.6575497,9,8
32479,77,125,1-77-2023-125-06,6,1,LR,0,929.6575497,9,8
32479,77,125,1-77-2023-125-06,6,1,RR,0,929.6575497,9,8
32479,77,125,1-77-2023-125-06,6,1,RF,0,929.6575497,9,8
32479,77,125,1-77-2023-125-06,6,2,LF,0,929.6575497,9,8
32479,77,125,1-77-2023-125-06,6,2,LR,0,929.6575497,9,8
32479,77,125,1-77-2023-125-06,6,2,RR,7,929.6575497,9,8
32479,77,125,1-77-2023-125-06,6,1,LF,0,929.6575497,9,8
32482,59,154,1-59-2023-154-10,10,1,RR,0,1107.254799,6,8
32482,59,154,1-59-2023-154-10,10,1,RF,0,1107.254799,6,8
32482,59,154,1-59-2023-154-10,10,1,LF,0,1107.254799,6,8
32482,59,154,1-59-2023-154-10,10,1,LR,0,1107.254799,6,8
32485,54,99,1-54-2023-099-06,6,1,LF,7,170.5184581,9,8
32485,54,99,1-54-2023-099-06,6,1,LR,0,170.5184581,9,8
32485,54,99,1-54-2023-099-06,6,1,RR,0,170.5184581,9,8
32485,54,99,1-54-2023-099-06,6,1,RF,0,170.5184581,9,8
32488,48,119,1-48-2023-119-09,9,3,LR,0,366.375875,12,8
32488,48,119,1-48-2023-119-09,9,3,RR,0,366.375875,12,8
32488,48,119,1-48-2023-119-09,9,2,LR,0,366.375875,12,8
32488,48,119,1-48-2023-119-09,9,2,RR,0,366.375875,12,8
32488,48,119,1-48-2023-119-09,9,2,RF,0,366.375875,12,8
32488,48,119,1-48-2023-119-09,9,2,LF,0,366.375875,12,8
32488,48,119,1-48-2023-119-09,9,3,RF,0,366.375875,12,8
32488,48,119,1-48-2023-119-09,9,3,LF,0,366.375875,12,8
32488,48,119,1-48-2023-119-09,9,1,LF,0,366.375875,12,8
32488,48,119,1-48-2023-119-09,9,1,RF,0,366.375875,12,8
32488,48,119,1-48-2023-119-09,9,1,LR,0,366.375875,12,8
32488,48,119,1-48-2023-119-09,9,1,RR,0,366.375875,12,8
32496,66,96,1-66-2023-096-04,4,1,RR,0,185.4211654,6,8
32496,66,96,1-66-2023-096-04,4,1,RF,0,185.4211654,6,8
32496,66,96,1-66-2023-096-04,4,1,LF,7,185.4211654,6,8
32496,66,96,1-66-2023-096-04,4,1,LR,0,185.4211654,6,8
