CASEID,PSU,CASENO,CASENUMBER,CATEGORY,JKWGT1,JKWGT2,JKWGT3,JKWGT4,JKWGT5,JKWGT6,JKWGT7,JKWGT8,JKWGT9,JKWGT10,JKWGT11,JKWGT12,JKWGT13,JKWGT14,JKWGT15,JKWGT16,JKWGT17,JKWGT18,JKWGT19,JKWGT20,JKWGT21,JKWGT22,JKWGT23,JKWGT24,JKWGT25,JKWGT26,JKWGT27,JKWGT28,JKWGT29,JKWGT30,JKWGT31,JKWGT32,CASEWGT,PSUSTRAT,VERSION
19047,77,82,1-77-2020-082-05,5,136.983886,136.983886,136.983886,136.983886,138.3432531,135.6494132,136.7098267,137.2563645,136.983886,136.983886,136.983886,136.983886,149.711295,123.2877695,138.5120957,135.6282593,139.9179072,136.983886,137.3690122,136.983886,138.9619289,135.0784749,261.0837006,0,136.983886,136.983886,136.983886,136.983886,138.581973,135.4247266,138.6802618,135.3154133,136.983885953177,9,5
19087,32,138,1-32-2020-138-03,3,757.5547736,748.3403728,767.511458,739.0218219,752.9462128,752.9462128,752.9462128,752.9462128,735.5812622,772.1964298,716.2154894,792.293825,752.9462128,752.9462128,752.9462128,752.9462128,0,1440.523613,823.048966,713.6297444,752.9462128,752.9462128,752.9462128,752.9462128,753.3180288,753.3483653,755.4268938,750.4817706,752.9462128,752.9462128,752.9462128,752.9462128,752.946212794331,7,5
19090,66,63,1-66-2020-063-09,9,500.5513915,497.0620658,500.0348204,497.3777326,503.6617441,492.9523724,505.7000904,490.8198013,497.0620658,501.7841377,512.8120288,498.6619616,490.8173545,506.3491146,1004.3448,0,520.411959,497.1819222,510.1247856,525.4891253,536.1280953,467.9701495,441.0552026,599.8620332,497.0620658,501.3851534,497.0798009,500.1163435,511.4274267,485.429616,498.4575941,498.133553,498.250851611064,6,5
19070,52,143,1-52-2020-143-06,6,73.59533849,73.59533849,73.59533849,73.59533849,73.53111234,73.64302985,72.21194088,75.0389386,73.59533849,73.59533849,73.59533849,73.59533849,74.43512946,72.84497627,74.01781203,73.17061168,73.59533849,73.59533849,77.11139135,75.11750155,76.36725938,71.16538533,64.60692853,85.268967,73.59533849,73.59533849,73.59533849,73.59533849,149.3597033,0,73.9177025,73.29151338,73.5953384934647,12,5
18423,76,53,1-76-2020-053-03,3,15.83454605,15.83454605,15.83454605,15.83454605,32.06368887,0,15.62520637,16.05045596,15.83454605,15.83454605,15.83454605,15.83454605,15.6701637,16.01923781,16.39571379,15.30924144,15.83454605,15.83454605,15.83454605,16.08810166,15.51847798,16.12728046,16.62254534,15.14223663,15.83454605,15.83454605,15.83454605,15.83454605,15.86060328,15.82394744,15.44536829,16.27293512,15.8345460521654,3,5
18606,20,56,1-20-2020-056-10,10,4407.972159,4312.4114,4349.391073,4368.64825,4362.651398,4355.16432,4352.270676,4365.503153,4357.494852,4360.179634,4416.648703,4372.846408,4495.814916,4354.510245,4385.729255,4344.044215,4543.005141,4522.272491,4220.257107,4935.923364,4361.03627,4356.683737,4450.304981,4364.89248,4468.274214,4424.519198,0,8682.506089,4358.728767,4358.996067,4358.665996,4387.853211,4358.84775499204,11,5
18609,29,114,1-29-2020-114-06,6,95.27909399,94.21036147,192.3447339,0,94.74359307,94.74359307,94.74359307,94.74359307,96.09123491,93.32853313,93.93514704,95.57982223,94.74359307,94.74359307,94.74359307,94.74359307,96.66319878,93.1070194,91.48666287,105.3864715,94.74359307,94.74359307,95.49300614,94.74359307,94.62108873,94.92822166,95.05573839,94.43349109,94.74359307,94.74359307,94.74359307,94.74359307,94.7435930697675,2,5
18798,17,95,1-17-2020-095-07,7,1157.720974,1143.251414,1186.93874,1116.180414,1150.115648,1149.987,1150.00481,1150.096337,0,2276.140689,1142.540086,1176.183417,1150.124356,1149.973529,1150.434949,1149.695349,1154.130626,1199.305966,1154.447817,1249.902299,1150.145459,1149.956881,1150.561062,1149.518107,1181.0064,1126.685845,1154.163069,1145.97034,1149.78692,1150.309789,1149.672576,1150.429663,1150.05051836444,4,5
18649,24,115,1-24-2020-115-03,3,0,471.9378949,236.9119972,236.7667208,236.8393367,236.8393367,236.8393367,236.8393367,236.5814907,237.0977454,234.1096526,239.6334273,236.8393367,236.8393367,236.8393367,236.8393367,236.0360642,237.6480953,236.3873581,241.092776,236.8393367,236.8393367,236.8393367,236.8393367,235.2625633,238.4373884,237.6196353,236.0641461,236.8393367,236.8393367,236.8393367,236.8393367,236.839336734029,1,5
18652,16,94,1-16-2020-094-04,4,671.6544342,661.7424587,679.9781778,653.8978452,666.6512321,666.6478229,666.7252115,666.574345,663.2035613,670.1385507,0,1299.845497,666.7908842,674.8392182,666.7905292,666.5183121,647.3796003,688.4617746,684.1602934,716.3842642,666.7799459,666.5217742,668.8194796,666.473953,651.3280185,680.9827392,668.6594867,664.655984,666.5019206,666.7946438,666.4989012,666.7996779,666.649508944858,5,5
