CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
16195,27,2,1-27-2020-002-09,9,1,2,64,350,12,0,0,888,12FLAE09,F,L,A,E,09,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,7,1,Begins 57 cm LOC extends left,Front BC to BC,Front LBC,176,0,176,-73,31,10,10,0,1,1,0,0,,,221.545237697047,3,5
16015,17,2,1-17-2020-002-02,2,1,1,2,190,6,0,0,10,06BDEW02,B,D,E,W,02,8,8,8,8,888,888,888,3,19,19,3,35308,998,-60,19,0,1,50cm L of C extending to the right,BC to BC,RRBC,128,0,152,15,122,21,5,16,21,9,2,0,,,77.66577484336,4,5
16015,17,2,1-17-2020-002-02,2,2,1,1,350,12,0,0,30,12FYEW01,F,Y,E,W,01,8,8,8,8,888,888,888,3,22,-22,4,38535,998,11,23,0,1,20cm R of C extending to the Left,BC to BC,LFBC,127,0,148,-27,94,3,3,3,0,0,0,0,,,77.66577484336,4,5
16068,22,2,1-22-2020-002-06,6,2,1,1,0,12,0,0,255,12FLEW01,F,L,E,W,01,8,8,8,8,888,888,888,3,10,-10,0,9856,998,-47,11,0,1,begins 23cm L of center extends L,BC to BC,62 CM left of center,110,0,140,-47,47,1,1,0,0,0,0,0,,,113.091614665227,12,5
16119,29,6,1-29-2020-006-09,9,1,2,59,0,12,0,0,888,12FLEE01,F,L,E,E,01,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,2,Begins 80cm left of center extending right,Unknown,75cm left of center,999,999,999,999,12,999,999,999,999,999,999,999,,,393.418007496346,2,5
16032,73,1,1-73-2020-001-04,4,1,1,2,70,2,0,0,215,02RDEW02,R,D,E,W,02,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,11,2,1,STARTS 40CM FWD OF RFA AND MOVED RWD 396CM,BEGINS 99CM AFT OF RRA EXTENDS FOWARD,95CM REAR OF RFA,507,-7,507,20,382,3,1,0,3,0,0,0,,,259.778907827237,3,5
16338,77,15,1-77-2020-015-02,2,1,2,68,0,12,0,0,888,12FCEN01,F,C,E,N,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,1,2,Unknown overlapping,Unknown overlapping,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,82.8182922699722,9,5
19872,30,153,1-30-2020-153-02,2,2,2,31,998,0,0,0,888,00RDAO99,R,D,A,O,99,8,8,8,8,888,888,888,6,999,999,999,9999999,999,999,999,6,2,Right side from RR fender to RF fender,Not measured rollover,unknown,888,888,888,888,888,,,,,,,,999,999,14.4527535243767,10,5
20208,13,119,1-13-2020-119-05,5,1,2,31,998,0,0,0,888,00TYDO03,T,Y,D,O,03,8,8,8,8,888,888,888,6,999,999,999,9999999,999,999,999,7,2,Roof side rail to roof side rauil,Rollover,Right roof 7cm inward of side rail and 20cm rearward of w/s header,888,888,888,888,888,,,,,,,,0,5,91.6891748139349,7,5
19878,24,177,1-24-2020-177-04,4,1,1,2,30,1,0,0,240,01FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,3,14,-12,-7,9861,998,-103,11,0,1,starts 56cm left of Front Center Point going right,bumper corner to bumper corner,70cm right of Front Center Point,146,0,160,0,137,9,9,1,3,3,0,6,,,2193.78327182364,1,5
