CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
19431,13,99,1-13-2020-099-04,4,1,RF,70,Eagle Touring,P235/40R19,M618 JJ1R2919,7,1,1,7396.63334893151,7,5
19431,13,99,1-13-2020-099-04,4,1,LF,17,Turanza EL440,P235/40R19,7X18 JB2,5,0,1,7396.63334893151,7,5
19431,13,99,1-13-2020-099-04,4,1,LR,76,Kinergy GT,P235/40R19,T7D3 1BH 4318,6,0,1,7396.63334893151,7,5
19436,32,155,1-32-2020-155-08,8,1,RR,998,Kunimoto F28,P305/35R24,00KWLPHCJ1819,7,0,1,433.114470813679,7,5
19436,32,155,1-32-2020-155-08,8,1,RF,998,Kunimoto F28,P305/35R24,00KWLPHCJ4519,8,1,1,433.114470813679,7,5
19436,32,155,1-32-2020-155-08,8,1,LF,998,Kunimoto F28,P305/35R24,00KWLPHCJ4519,8,0,1,433.114470813679,7,5
19436,32,155,1-32-2020-155-08,8,1,LR,998,Kunimoto F28,P305/35R24,00KWLPHCJ4519,7,0,1,433.114470813679,7,5
19446,12,83,1-12-2020-083-07,7,1,LR,77,ROADTOUR 455,P235/55R17,UP7A H3R,4,0,1,1934.75028512303,9,5
19446,12,83,1-12-2020-083-07,7,1,RR,77,ROADTOUR 455,P235/55R17,UP7A H3R,4,1,1,1934.75028512303,9,5
19446,12,83,1-12-2020-083-07,7,1,LF,28,CONTIPROCONTACT TE,P235/55R17,A37A 47JB1714,5,0,1,1934.75028512303,9,5
19446,12,83,1-12-2020-083-07,7,1,RF,28,CONTIPROCONTACT TE,P235/55R17,A37A 47JB1714,5,0,1,1934.75028512303,9,5
19322,16,114,1-16-2020-114-07,7,1,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,2070.78726676437,5,5
19322,16,114,1-16-2020-114-07,7,1,RR,999,Unknown,UNKNOWN,9999999999999,99,9,9,2070.78726676437,5,5
19322,16,114,1-16-2020-114-07,7,1,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,2070.78726676437,5,5
19322,16,114,1-16-2020-114-07,7,1,RF,999,Unknown,UNKNOWN,9999999999999,99,9,9,2070.78726676437,5,5
19447,33,69,1-33-2020-069-08,8,1,LF,998,GT-AS,P118/65R14,17T063MA14319,7,0,1,178.599266512081,12,5
