CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
15939,14,1,1-14-2020-001-04,4,1,1,1,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,12,2,1,1,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,5,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,6,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,2,1,1,9,79,79,79,79,79,79,79,9,9,79,,,,,,,,,79,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,2,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,3,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,4,3,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,5,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,6,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,207.684599173899,8,5
15942,77,1,1-77-2020-001-04,4,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,1,2,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,2,4,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,3,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,4,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,5,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,6,3,1,99,7,0,60,60,60,60,,,,,,,,,,,,,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,7,4,1,99,7,0,60,60,60,60,,,,,,,,,,,,,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,8,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,9,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,10,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,316.720071630832,9,5
15956,24,1,1-24-2020-001-07,7,1,1,1,1,99,1,0,1,0,0,50,9,9,1,24,-24,0,22258,998,18,0,1,1,168.537590669271,1,5
15956,24,1,1-24-2020-001-07,7,1,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,168.537590669271,1,5
15956,24,1,1-24-2020-001-07,7,1,3,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,168.537590669271,1,5
15956,24,1,1-24-2020-001-07,7,1,4,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,168.537590669271,1,5
15956,24,1,1-24-2020-001-07,7,1,5,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,168.537590669271,1,5
15956,24,1,1-24-2020-001-07,7,1,6,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,168.537590669271,1,5
15960,12,1,1-12-2020-001-06,6,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,303.527978887584,9,5
15960,12,1,1-12-2020-001-06,6,1,2,5,1,99,1,0,1,0,0,50,9,9,2,999,999,999,9999999,999,4,1,2,2,303.527978887584,9,5
