CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
16698,10,36,1-10-2020-036-04,4,2,1,3,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,999997,989.622829722127,4,5
16718,59,4,1-59-2020-004-08,8,1,1,2,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,21587,175.638374622711,6,5
16717,59,3,1-59-2020-003-09,9,1,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,999997,1253.57178124837,6,5
16700,10,38,1-10-2020-038-01,1,1,1,1,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,1089,24.2569876489156,4,5
16724,23,8,1-23-2020-008-05,5,1,1,2,Crash Data Retrieval Tool 19.3,Crash Data Retrieval Tool 19.5.1,1,8210,209.437813429432,5,5
16716,28,16,1-28-2020-016-10,10,1,1,3,Crash Data Retrieval Tool 19.3.1,Crash Data Retrieval Tool 19.5.1,1,999997,117.527796099707,3,5
19409,17,110,1-17-2020-110-06,6,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,999997,337.915136910244,4,5
19411,11,78,1-11-2020-078-05,5,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,12420,337.352724194704,8,5
19414,48,62,1-48-2020-062-03,3,1,1,2,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,8158,251.247250101676,12,5
19416,24,153,1-24-2020-153-04,4,2,1,1,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.3,1,4016,353.916705604639,1,5
19414,48,62,1-48-2020-062-03,3,2,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,7645,251.247250101676,12,5
19412,11,79,1-11-2020-079-06,6,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,999997,4957.5897328246,8,5
19412,11,79,1-11-2020-079-06,6,2,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,15470,4957.5897328246,8,5
