CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
16209,16,4,1-16-2020-004-09,9,1,887,887,247,887,887,887,887,887,887,887,42,999,120,887,887,55,999,999,999,999,999,887,887,887,887,887,1094.3215733387,5,5
16228,30,6,1-30-2020-006-04,4,1,887,887,887,887,887,887,887,887,887,887,38,887,131,887,887,54,887,887,887,887,114,887,35,80,887,887,300.930186044268,10,5
16206,29,10,1-29-2020-010-06,6,2,887,887,887,887,887,887,887,250,887,887,887,887,108,887,887,114,887,887,5,11,114,10,31,80,887,887,74.5926074439466,2,5
16231,19,11,1-19-2020-011-09,9,1,887,887,302,887,887,887,887,319,887,887,40,56,129,887,887,887,887,887,887,887,887,887,887,887,261,204,686.42190472094,9,5
16231,19,11,1-19-2020-011-09,9,2,887,887,887,887,887,887,887,887,887,887,43,38,887,887,887,55,42,999,887,887,887,887,887,887,887,887,686.42190472094,9,5
16236,10,10,1-10-2020-010-06,6,1,887,887,887,887,887,887,887,999,887,887,38,887,125,887,887,55,887,887,999,999,887,887,887,887,887,887,189.459615641659,4,5
16206,29,10,1-29-2020-010-06,6,1,887,887,400,887,887,887,887,999,887,887,887,887,130,887,887,887,887,887,6,16,134,999,43,88,260,210,74.5926074439466,2,5
16205,29,9,1-29-2020-009-06,6,2,887,887,887,887,887,887,887,887,887,887,887,25,99,887,887,10,23,212,887,887,132,887,43,90,887,887,74.5926074439466,2,5
16241,17,9,1-17-2020-009-03,3,1,887,887,887,887,887,887,887,887,887,887,54,62,136,887,887,887,887,887,21,8,887,4,999,999,887,887,303.570229451433,4,5
16242,17,10,1-17-2020-010-02,2,1,887,887,887,887,887,887,887,887,887,887,49,57,109,887,887,50,887,887,999,999,113,887,34,80,887,887,60.0793896237542,4,5
16243,12,8,1-12-2020-008-03,3,2,887,887,999,887,887,887,887,275,887,887,43,887,125,887,887,55,887,887,15,21,106,8,32,87,887,887,301.539476035742,9,5
16244,12,9,1-12-2020-009-07,7,1,887,887,887,887,887,887,887,262,887,887,44,887,118,887,887,44,887,887,14,18,111,5,33,82,887,887,1980.30186553666,9,5
16245,77,10,1-77-2020-010-02,2,1,887,887,263,887,887,887,887,262,887,887,887,887,108,887,887,887,887,151,8,25,102,887,40,83,887,887,82.8182922699722,9,5
16245,77,10,1-77-2020-010-02,2,2,887,887,999,887,887,887,887,999,887,887,999,887,109,887,887,887,887,205,999,999,132,887,44,87,887,887,82.8182922699722,9,5
16247,77,12,1-77-2020-012-02,2,1,887,887,887,887,887,887,887,280,887,887,50,54,887,887,887,887,887,887,12,15,121,887,887,887,887,887,82.8182922699722,9,5
16247,77,12,1-77-2020-012-02,2,2,887,887,887,887,887,887,887,887,887,887,45,887,121,887,887,887,887,887,887,887,887,887,887,887,887,887,82.8182922699722,9,5
16248,77,13,1-77-2020-013-05,5,1,887,887,280,887,887,887,887,258,887,887,35,50,126,887,887,887,887,887,12,15,113,4,32,84,887,887,105.02908712643,9,5
16249,11,4,1-11-2020-004-08,8,1,887,887,354,887,887,887,887,351,887,887,46,46,128,887,887,887,887,887,887,887,887,887,887,887,289,202,532.337490898282,8,5
16250,11,5,1-11-2020-005-04,4,1,887,887,265,887,887,887,887,263,887,887,42,42,84,887,887,887,887,887,887,887,887,887,887,887,887,887,2417.01694393773,8,5
16250,11,5,1-11-2020-005-04,4,2,887,887,287,887,887,887,887,287,887,887,48,48,110,887,887,10,27,999,887,887,887,887,887,887,887,887,2417.01694393773,8,5
16251,66,4,1-66-2020-004-07,7,1,887,887,887,887,887,887,887,887,887,887,36,887,106,887,887,887,887,159,887,887,887,887,887,887,887,887,138.754407815887,6,5
16251,66,4,1-66-2020-004-07,7,2,887,887,887,887,887,887,887,887,887,887,999,887,122,80,999,50,887,887,887,887,887,887,887,887,887,887,138.754407815887,6,5
16252,66,5,1-66-2020-005-09,9,2,887,887,887,887,887,887,887,999,887,887,887,887,887,887,887,887,887,887,10,16,130,887,887,887,887,887,141.917212372304,6,5
16253,24,10,1-24-2020-010-02,2,1,887,887,887,887,887,887,887,887,887,887,999,999,120,887,887,887,887,887,887,887,887,887,887,887,887,887,80.9838303797317,1,5
16254,24,11,1-24-2020-011-03,3,1,887,887,887,887,887,887,887,887,887,887,36,40,125,887,887,887,887,887,887,887,887,887,887,887,887,887,226.423017888067,1,5
16254,24,11,1-24-2020-011-03,3,2,887,887,887,887,887,887,887,310,887,887,887,887,887,887,887,887,887,887,17,34,887,887,887,887,887,887,226.423017888067,1,5
16255,24,12,1-24-2020-012-06,6,1,887,887,278,887,887,887,887,887,887,887,34,25,887,887,887,887,887,887,13,33,887,887,887,887,887,887,355.969829380749,1,5
16255,24,12,1-24-2020-012-06,6,2,887,887,887,887,887,887,887,887,887,887,999,999,127,887,887,887,887,887,887,887,887,887,887,887,887,887,355.969829380749,1,5
16256,24,13,1-24-2020-013-04,4,1,887,887,887,887,887,887,887,887,887,887,25,30,130,887,887,887,887,887,887,887,887,887,887,887,887,887,735.355962215073,1,5
16257,59,2,1-59-2020-002-03,3,1,887,887,887,887,887,887,887,887,887,887,40,887,113,887,887,887,887,887,10,15,126,887,887,887,887,887,159.639638944111,6,5
16257,59,2,1-59-2020-002-03,3,2,887,887,380,887,887,887,887,380,887,887,42,887,133,887,887,887,887,887,9,13,160,10,22,90,887,168,159.639638944111,6,5
16258,28,5,1-28-2020-005-04,4,1,887,887,887,887,887,887,887,292,887,887,887,887,133,887,887,887,887,169,13,20,127,10,40,91,887,887,123.963031646329,3,5
16259,28,6,1-28-2020-006-09,9,1,887,887,887,887,887,887,887,271,887,887,39,887,124,887,887,70,887,887,11,22,119,887,40,72,887,887,210.343740541914,3,5
16261,10,12,1-10-2020-012-02,2,1,887,887,887,887,887,887,887,887,887,887,999,887,131,999,999,54,887,887,887,887,114,887,35,80,887,887,22.4086761209608,4,5
16262,10,13,1-10-2020-013-10,10,1,887,887,999,887,887,887,887,999,887,887,999,887,126,887,887,887,887,887,887,887,104,887,41,75,268,999,1183.35390278888,4,5
16264,48,4,1-48-2020-004-10,10,1,887,887,887,887,887,887,887,887,887,887,36,38,90,999,999,999,999,999,999,999,999,887,887,887,887,887,796.084093565936,12,5
16265,48,5,1-48-2020-005-07,7,1,887,887,887,887,887,887,887,887,887,887,37,887,129,887,887,54,887,887,887,887,114,887,35,80,887,887,175.541860572733,12,5
16205,29,9,1-29-2020-009-06,6,1,887,887,887,887,887,887,887,887,887,887,999,887,121,887,887,45,887,887,887,887,116,887,37,73,887,887,74.5926074439466,2,5
