CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTAREA,CONTCOMP,OCCNO,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
16477,33,9,1-33-2020-009-05,5,1,W,8,164,5,861,96,2,30.0821504487588,12,5
17530,52,76,1-52-2020-076-06,6,1,F,8,164,3,999,2,3,38.8443964027776,12,5
18677,31,51,1-31-2020-051-03,3,1,C,8,164,3,852,2,2,232.457819800815,6,5
19382,21,123,1-21-2020-123-01,1,1,B,8,164,3,999,2,2,40.8403971670356,11,5
19855,19,170,1-19-2020-170-01,1,1,C,8,164,4,999,5,2,98.713940014616,9,5
20180,27,97,1-27-2020-097-03,3,1,D,8,164,3,842,3,2,37.0520669244402,3,5
16471,17,16,1-17-2020-016-08,8,1,B,8,164,1,812,5,2,59.3090966749975,4,5
16022,11,1,1-11-2020-001-02,2,1,A,1,22,1,832,2,2,167.22224462934,8,5
16025,24,3,1-24-2020-003-02,2,1,C,1,22,2,841,2,1,62.7579705739518,1,5
16025,24,3,1-24-2020-003-02,2,1,D,1,22,2,761,6,2,62.7579705739518,1,5
16048,19,3,1-19-2020-003-08,8,1,G,1,22,3,401,2,2,394.310796222892,9,5
16057,29,4,1-29-2020-004-05,5,1,J,1,22,1,999,96,2,18.5076989386944,2,5
16069,22,3,1-22-2020-003-06,6,1,D,1,22,1,812,3,3,113.091614705108,12,5
20055,17,123,1-17-2020-123-09,9,1,D,1,22,1,812,2,1,488.845927081673,4,5
16614,30,20,1-30-2020-020-07,7,1,D,1,22,1,762,3,2,3387.1811571424,10,5
17968,31,40,1-31-2020-040-01,1,1,E,1,22,1,842,96,1,265.213577621193,6,5
18197,77,62,1-77-2020-062-01,1,1,F,1,22,1,812,96,1,137.699144407547,9,5
18237,27,51,1-27-2020-051-08,8,1,C,1,22,1,842,5,1,37.8062572369884,3,5
19147,52,148,1-52-2020-148-06,6,1,C,1,22,2,841,3,1,45.1352264563373,12,5
18429,13,71,1-13-2020-071-01,1,1,F,1,22,2,512,2,3,101.078800253192,7,5
19161,32,141,1-32-2020-141-02,2,1,G,1,22,2,761,5,2,54.3076025519463,7,5
20368,13,123,1-13-2020-123-01,1,1,H,1,22,2,841,2,2,191.553628608889,7,5
16318,33,4,1-33-2020-004-06,6,1,D,1,22,1,762,96,2,122.198535194717,12,5
18636,10,120,1-10-2020-120-02,2,1,G,1,22,1,101,7,1,109.980365747698,4,5
19022,29,130,1-29-2020-130-06,6,2,M,1,22,2,761,2,2,54.6053869764697,2,5
17711,66,34,1-66-2020-034-09,9,1,A,1,22,1,842,5,1,836.242189582803,6,5
17741,59,25,1-59-2020-025-05,5,2,C,1,22,1,852,5,2,64.8115421885776,6,5
17440,11,32,1-11-2020-032-04,4,1,G,1,22,2,841,3,3,1951.25810913455,8,5
17440,11,32,1-11-2020-032-04,4,1,F,1,22,2,841,2,3,1951.25810913455,8,5
