CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
17034,27,23,1-27-2020-023-06,6,1,266,455,182,1658,156,87,102,999,6,3.5,2,4,9,0,32.4253498024343,3,5
17036,66,21,1-66-2020-021-05,5,1,270,453,178,1265,156,87,97,138,4,1.8,2,1,0,0,142.691699376117,6,5
17037,66,22,1-66-2020-022-04,4,1,272,469,172,1816,142,92,105,999,6,4.3,9,3,9,0,612.387827421478,6,5
17037,66,22,1-66-2020-022-04,4,2,270,469,184,1550,160,97,102,999,4,2.0,2,1,0,0,612.387827421478,6,5
17037,66,22,1-66-2020-022-04,4,3,333,532,182,1870,158,87,113,150,8,4.7,2,2,0,0,612.387827421478,6,5
17037,66,22,1-66-2020-022-04,4,4,284,500,186,1767,157,102,114,999,6,3.6,2,1,0,0,612.387827421478,6,5
17039,21,34,1-21-2020-034-09,9,1,262,445,171,1026,147,86,97,999,4,1.6,1,1,0,0,731.79220845187,11,5
17040,23,12,1-23-2020-012-04,4,3,249,406,172,1151,146,85,72,999,4,1.6,2,1,0,0,158.741694432313,5,5
17040,23,12,1-23-2020-012-04,4,1,277,481,182,1441,159,96,108,999,4,2.5,2,1,9,0,158.741694432313,5,5
17040,23,12,1-23-2020-012-04,4,2,281,463,181,1630,156,78,104,999,4,2.0,2,4,9,0,158.741694432313,5,5
17041,23,13,1-23-2020-013-07,7,1,319,523,185,2068,157,79,123,999,6,4.0,2,3,0,0,247.644809186141,5,5
17042,26,46,1-26-2020-046-03,3,1,272,481,180,1435,156,94,115,999,4,2.4,2,1,0,0,733.139508561095,10,5
17042,26,46,1-26-2020-046-03,3,2,239,364,160,1019,138,73,52,999,4,1.4,2,1,0,0,733.139508561095,10,5
17043,26,47,1-26-2020-047-01,1,1,272,481,180,1435,156,94,115,142,4,2.4,2,1,0,0,51.4233694921676,10,5
17043,26,47,1-26-2020-047-01,1,2,262,452,182,1544,156,89,100,155,4,2.4,2,1,9,0,51.4233694921676,10,5
17044,26,48,1-26-2020-048-09,9,1,338,556,203,2519,173,100,117,166,8,6.0,2,3,9,0,3385.60512928048,10,5
19553,20,75,1-20-2020-075-06,6,1,285,484,192,1892,162,92,107,999,8,6.2,2,2,0,0,445.53542346292,11,5
19553,20,75,1-20-2020-075-06,6,2,278,487,183,1416,159,97,112,148,4,2.5,2,1,0,0,445.53542346292,11,5
19555,76,80,1-76-2020-080-07,7,1,230,355,163,1068,141,71,54,140,4,1.4,2,1,0,0,50.5860124271789,3,5
19556,76,81,1-76-2020-081-03,3,2,280,490,189,1860,164,95,115,999,6,3.3,2,4,0,0,16.5199357957095,3,5
19556,76,81,1-76-2020-081-03,3,1,394,620,202,2497,173,101,124,999,8,4.8,2,2,0,0,16.5199357957095,3,5
19557,24,160,1-24-2020-160-04,4,1,270,462,180,1280,156,92,101,148,4,2.0,2,1,0,0,742.324652766698,1,5
19557,24,160,1-24-2020-160-04,4,2,320,522,185,2085,157,79,123,999,6,4.0,2,3,9,0,742.324652766698,1,5
19558,29,156,1-29-2020-156-10,10,1,272,473,181,1442,156,97,108,999,4,2.4,2,1,9,0,1042.95611946111,2,5
19558,29,156,1-29-2020-156-10,10,2,278,486,185,1496,158,96,112,999,4,2.4,9,1,9,0,1042.95611946111,2,5
19558,29,156,1-29-2020-156-10,10,3,285,488,185,2132,158,86,118,999,6,4.0,2,3,9,0,1042.95611946111,2,5
19559,25,120,1-25-2020-120-10,10,1,265,459,177,1660,150,94,101,142,4,2.0,1,4,0,1,1330.69804663974,2,5
19560,10,162,1-10-2020-162-03,3,2,278,485,182,1467,159,99,109,999,4,2.5,9,1,9,0,170.846635602986,4,5
19560,10,162,1-10-2020-162-03,3,3,278,486,185,1520,158,96,112,999,4,2.0,2,1,0,0,170.846635602986,4,5
19561,10,163,1-10-2020-163-09,9,2,280,494,185,1621,157,100,114,999,6,3.4,2,1,0,0,1009.95497617177,4,5
19561,10,163,1-10-2020-163-09,9,1,295,505,200,2506,166,93,115,999,8,6.0,2,3,0,1,1009.95497617177,4,5
19563,73,91,1-73-2020-091-09,9,1,272,471,183,1785,158,93,106,155,6,3.3,2,3,0,0,387.523921430485,3,5
19564,29,157,1-29-2020-157-03,3,1,284,469,181,1625,158,79,106,149,4,2.0,2,4,0,1,48.1267819889044,2,5
19566,77,94,1-77-2020-094-02,2,1,283,489,183,1495,158,98,109,154,4,2.5,2,1,0,0,90.1238922961859,9,5
19567,77,95,1-77-2020-095-04,4,1,296,497,196,2254,168,93,108,160,98,98.0,3,4,0,0,5853.1437671276,9,5
19567,77,95,1-77-2020-095-04,4,2,279,457,185,1845,151,80,98,150,6,3.0,2,4,0,0,5853.1437671276,9,5
19569,10,165,1-10-2020-165-05,5,1,284,511,185,1670,159,101,126,160,4,2.5,2,1,0,0,28.0755749424283,4,5
19569,10,165,1-10-2020-165-05,5,2,325,529,184,1567,161,85,119,999,6,4.0,1,3,0,0,28.0755749424283,4,5
17044,26,48,1-26-2020-048-09,9,2,274,481,184,1585,157,101,106,146,6,3.2,1,1,9,0,3385.60512928048,10,5
17045,26,49,1-26-2020-049-01,1,1,280,482,183,1454,160,94,108,151,4,2.4,2,1,0,0,51.4233694921676,10,5
17045,26,49,1-26-2020-049-01,1,2,284,488,186,1651,160,94,110,158,4,2.0,2,1,0,0,51.4233694921676,10,5
17047,33,24,1-33-2020-024-03,3,1,285,487,186,1660,158,94,110,999,4,2.0,2,1,0,0,28.6771431850883,12,5
17048,33,25,1-33-2020-025-08,8,1,263,436,178,1480,153,81,92,999,4,1.7,9,1,0,0,25.7465793820285,12,5
17050,22,29,1-22-2020-029-04,4,1,368,581,200,2522,170,98,116,999,6,3.5,2,3,0,1,31.0686167112658,12,5
17050,22,29,1-22-2020-029-04,4,2,289,489,183,1926,158,100,100,999,6,3.6,2,4,0,0,31.0686167112658,12,5
17051,22,30,1-22-2020-030-10,10,1,265,444,175,1307,151,87,92,999,4,2.0,1,1,0,0,124.945917006355,12,5
17053,19,43,1-19-2020-043-04,4,1,295,440,188,1969,157,68,78,999,6,3.6,2,3,0,0,126.169752527821,9,5
17054,19,44,1-19-2020-044-04,4,1,278,489,185,1496,158,98,112,999,4,2.4,2,1,0,0,126.169752527821,9,5
17054,19,44,1-19-2020-044-04,4,2,273,449,176,1430,148,76,100,999,6,2.5,2,2,9,0,126.169752527821,9,5
17056,18,19,1-18-2020-019-08,8,1,271,461,182,1647,155,94,94,999,6,3.5,9,4,9,0,73.7121854563647,6,5
17057,18,20,1-18-2020-020-10,10,1,368,581,200,2522,170,98,116,999,8,5.4,2,3,0,0,2661.38672091544,6,5
17059,13,29,1-13-2020-029-04,4,2,367,592,208,2255,174,101,124,999,8,5.7,2,2,0,0,1016.03223025736,7,5
17060,13,30,1-13-2020-030-09,9,1,270,449,175,1224,150,87,93,142,4,1.8,2,1,9,0,1819.24840651399,7,5
17060,13,30,1-13-2020-030-09,9,2,274,481,192,1642,158,102,107,150,6,3.2,2,1,0,0,1819.24840651399,7,5
17061,20,20,1-20-2020-020-03,3,1,258,455,176,1465,153,999,999,138,6,2.5,9,1,9,0,237.023308109032,11,5
17061,20,20,1-20-2020-020-03,3,2,260,446,169,1119,148,99,87,132,4,1.6,9,1,9,0,237.023308109032,11,5
17062,20,21,1-20-2020-021-10,10,1,254,432,169,1074,146,87,92,999,4,1.6,9,1,9,0,4028.38893801032,11,5
17063,13,28,1-13-2020-028-03,3,2,270,467,180,1250,156,98,99,999,4,1.4,2,1,0,0,294.144006155824,7,5
17063,13,28,1-13-2020-028-03,3,1,265,453,178,1228,156,90,98,999,4,2.0,2,1,0,0,294.144006155824,7,5
17064,15,25,1-15-2020-025-07,7,1,267,456,175,1236,151,93,96,999,4,1.8,2,1,9,0,131.980029821554,1,5
20163,28,95,1-28-2020-095-07,7,1,303,509,200,1810,162,96,111,160,6,3.8,2,1,0,1,380.466199018002,3,5
20163,28,95,1-28-2020-095-07,7,2,365,570,203,2847,173,100,105,180,8,6.0,2,3,1,1,380.466199018002,3,5
20164,32,187,1-32-2020-187-02,2,1,270,447,182,1370,157,88,89,999,4,1.6,2,1,0,0,37.093607912311,7,5
20164,32,187,1-32-2020-187-02,2,2,308,531,203,2684,173,97,127,176,8,5.6,2,4,0,0,37.093607912311,7,5
20167,32,190,1-32-2020-190-01,1,1,295,505,200,2317,167,96,116,184,8,5.3,2,3,0,0,64.6723510630345,7,5
20168,23,69,1-23-2020-069-07,7,1,290,495,185,1750,158,90,115,999,6,3.7,9,4,9,0,2930.36253201291,5,5
20170,31,85,1-31-2020-085-09,9,1,360,577,203,2558,174,95,120,156,8,7.3,2,3,0,0,308.337828892742,6,5
20171,31,86,1-31-2020-086-08,8,1,260,453,170,1135,146,94,100,140,4,1.8,2,1,0,0,231.020820418902,6,5
20174,26,175,1-26-2020-175-09,9,1,259,437,178,1227,152,93,84,140,4,1.8,2,1,0,0,1134.59997320301,10,5
20174,26,175,1-26-2020-175-09,9,2,284,475,183,1722,155,87,102,162,6,3.0,2,1,0,1,1134.59997320301,10,5
20179,27,96,1-27-2020-096-03,3,2,298,504,198,2042,172,90,116,162,6,3.6,2,4,0,0,37.0520669410764,3,5
20180,27,97,1-27-2020-097-03,3,1,278,489,185,1615,158,98,112,152,6,3.5,2,1,0,0,37.0520669244402,3,5
20180,27,97,1-27-2020-097-03,3,2,264,460,180,1498,155,96,100,158,4,2.5,2,4,0,0,37.0520669244402,3,5
20182,19,185,1-19-2020-185-08,8,1,338,534,201,1798,999,77,119,999,8,7.3,9,2,9,0,102.458576042296,9,5
20183,19,186,1-19-2020-186-10,10,1,284,483,179,1600,149,89,112,160,8,5.0,2,2,0,1,3619.85368212477,9,5
20184,19,187,1-19-2020-187-04,4,1,310,514,169,1252,144,82,122,160,4,2.4,2,2,0,0,382.487875657101,9,5
20184,19,187,1-19-2020-187-04,4,2,282,495,203,1930,168,98,114,180,6,3.4,2,4,0,0,382.487875657101,9,5
20185,22,140,1-22-2020-140-06,6,1,310,521,203,2714,173,89,122,180,8,5.7,2,3,0,0,66.7763985326975,12,5
20186,22,141,1-22-2020-141-07,7,1,278,481,182,1500,158,96,107,158,4,2.5,2,1,0,1,213.92235265288,12,5
20187,22,142,1-22-2020-142-09,9,1,278,485,199,1967,170,95,113,170,6,3.4,2,4,0,0,204.659082722592,12,5
20188,15,125,1-15-2020-125-04,4,1,320,522,185,2085,157,79,123,999,6,4.0,9,3,9,0,61.0246585695246,1,5
20190,15,127,1-15-2020-127-07,7,1,280,482,183,1475,160,94,108,999,4,2.0,9,9,9,0,95.2014527824205,1,5
16392,22,8,1-22-2020-008-04,4,2,270,464,178,1265,152,97,98,140,4,1.8,1,1,0,0,89.8988610948344,12,5
16394,33,6,1-33-2020-006-02,2,1,368,581,200,2484,170,98,116,186,8,5.0,2,3,0,1,22.5431965287913,12,5
16394,33,6,1-33-2020-006-02,2,2,295,440,188,1860,157,68,78,178,6,3.6,2,3,0,0,22.5431965287913,12,5
16394,33,6,1-33-2020-006-02,2,3,263,441,176,1423,152,88,89,144,4,2.0,1,1,0,1,22.5431965287913,12,5
16394,33,6,1-33-2020-006-02,2,4,280,493,185,1523,157,100,114,154,4,2.4,2,1,0,0,22.5431965287913,12,5
16394,33,6,1-33-2020-006-02,2,5,276,453,184,1925,159,81,96,999,4,2.2,2,4,0,0,22.5431965287913,12,5
16395,33,7,1-33-2020-007-10,10,1,260,453,170,1135,146,94,100,149,4,1.8,2,1,0,0,3547.67414888451,12,5
16395,33,7,1-33-2020-007-10,10,2,292,460,180,1589,153,94,74,999,4,2.0,9,9,9,0,3547.67414888451,12,5
16396,15,8,1-15-2020-008-04,4,1,285,487,185,1558,159,94,110,999,4,2.0,2,4,0,0,151.097741752409,1,5
16396,15,8,1-15-2020-008-04,4,2,272,469,183,1760,157,93,106,999,4,2.4,2,1,9,0,151.097741752409,1,5
16397,15,9,1-15-2020-009-04,4,1,292,482,194,2121,163,88,102,999,6,3.6,2,3,9,0,151.097741752409,1,5
16397,15,9,1-15-2020-009-04,4,2,270,462,180,1280,156,92,101,999,4,2.0,2,1,9,0,151.097741752409,1,5
16398,18,8,1-18-2020-008-10,10,1,265,451,178,9999,153,88,99,999,4,2.0,9,9,9,0,1585.6023545512,6,5
16400,13,10,1-13-2020-010-07,7,1,270,464,178,1290,152,97,98,150,4,1.8,2,1,0,0,4209.84907748539,7,5
16400,13,10,1-13-2020-010-07,7,2,269,465,180,1495,155,98,98,152,4,2.5,2,1,0,0,4209.84907748539,7,5
16403,30,12,1-30-2020-012-02,2,1,278,462,178,1485,155,93,91,150,4,1.8,2,1,0,0,44.5044677907124,10,5
16403,30,12,1-30-2020-012-02,2,2,281,486,187,1475,162,97,108,160,4,2.4,2,1,0,0,44.5044677907124,10,5
16404,21,10,1-21-2020-010-02,2,1,270,461,186,1658,157,98,93,144,4,2.4,2,1,0,0,34.881400640758,11,5
16406,22,10,1-22-2020-010-09,9,1,281,508,185,1552,157,108,121,999,6,3.4,2,1,0,0,166.610477979943,12,5
