CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GVWR,GAWRFRONT,GAWRREAR,RECFRONT1,RECFRPRESS1,RECREAR1,RECRRPRESS1,RECFRONT2,RECFRPRESS2,RECREAR2,RECRRPRESS2,RECFRONT3,RECFRPRESS3,RECREAR3,RECRRPRESS3,CASEWGT,PSUSTRAT,VERSION
6035,23,1,1-23-2017-001-04,4,1,1760,980,910,P195/65R15,230,P195/65R15,230,,,,,,,,,387.004656586397,5,2
6045,17,1,1-17-2017-001-10,10,1,1580,866,713,P185/65R14,221,P185/65R14,221,,,,,,,,,200.166808861819,4,2
6042,32,1,1-32-2017-001-09,9,1,2309,1209,1324,P265/65R17,221,P265/65R17,221,,,,,,,,,439.988808087459,7,2
6050,13,1,1-13-2017-001-04,4,1,2326,1097,1229,P265/35R19,240,P295/30R19,240,,,,,,,,,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,3,2520,1360,1385,P235/55R19,220,P235/55R19,220,,,,,,,,,2302.56589082077,7,2
6054,20,1,1-20-2017-001-10,10,1,2225,1275,1275,P215/65R17,210,P215/65R17,210,,,,,,,,,31.9924847541354,11,2
6068,19,1,1-19-2017-001-06,6,1,2017,1103,914,P205/75R14,210,P205/75R14,210,,,,,,,,,250.94245606192,9,2
6062,16,1,1-16-2017-001-10,10,1,2124,1157,967,P215/60R16,205,P215/60R16,205,,,,,,,,,96.0734797580618,5,2
6092,14,1,1-14-2017-001-05,5,1,1742,948,839,P195/65R15,210,P195/65R15,210,,,,,,,,,223.196555918989,8,2
6092,14,1,1-14-2017-001-05,5,2,3198,1565,1630,P265/60R18,240,P265/60R18,240,,,,,,,,,223.196555918989,8,2
6095,24,1,1-24-2017-001-07,7,1,2250,1175,1240,P235/60R17,240,P235/60R17,240,,,,,,,,,1057.24455000333,1,2
6095,24,1,1-24-2017-001-07,7,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,1057.24455000333,1,2
6101,32,2,1-32-2017-002-02,2,2,3175,1633,1792,P275/55R20,221,P275/55R20,221,,,,,,,,,82.3625753483227,7,2
6110,12,1,1-12-2017-001-06,6,1,2067,1127,940,P225/55R17,210,P225/55R17,210,,,,,,,,,831.843534377453,9,2
6105,19,2,1-19-2017-002-05,5,1,2405,1275,1275,P225/60R18,207,P225/60R18,207,,,,,,,,,84.4524216922148,9,2
6113,29,1,1-29-2017-001-03,3,2,2903,1780,1701,P265/70R17,240,P265/70R17,240,,,,,,,,,264.060880443883,2,2
6106,19,3,1-19-2017-003-02,2,1,1734,905,835,P205/55R16,230,P205/55R16,230,,,,,,,,,102.089013427492,9,2
6111,19,4,1-19-2017-004-05,5,1,3039,1565,9999,P235/75R17,260,P235/75R17,260,,,,,,,,,84.4524216922148,9,2
6118,17,3,1-17-2017-003-08,8,1,1996,1134,1043,P235/55R16,220,P235/55R16,220,,,,,,,,,186.330803198876,4,2
6085,30,1,1-30-2017-001-03,3,1,1905,1210,1035,P205/65R15,200,P205/65R15,200,,,,,,,,,73.2399735499352,10,2
6085,30,1,1-30-2017-001-03,3,2,2908,1450,1600,P255/55R20,240,P255/55R20,240,,,,,,,,,73.2399735499352,10,2
6114,27,1,1-27-2017-001-07,7,1,2220,1155,1080,P235/55R18,220,P235/55R18,220,,,,,,,,,2072.96617929403,3,2
6122,13,3,1-13-2017-003-09,9,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,4149.72387133394,7,2
6121,13,2,1-13-2017-002-03,3,2,1734,905,835,P205/55R16,230,P205/55R16,230,,,,,,,,,721.076485952799,7,2
6137,33,1,1-33-2017-001-05,5,1,1731,899,832,P205/55R16,210,P205/55R16,210,,,,,,,,,74.8644900335331,12,2
6131,22,1,1-22-2017-001-02,2,2,4083,2359,2727,LT265/70R17,410,LT265/70R17,485,,,,,,,,,57.5944953362226,12,2
6140,20,2,1-20-2017-002-03,3,1,1600,850,840,P175/70R14,230,P175/70R14,230,,,,,,,,,51.7419523783465,11,2
6148,28,1,1-28-2017-001-04,4,1,1410,790,710,P185/55R15,275,P185/55R15,275,,,,,,,,,204.800494620173,3,2
6150,10,1,1-10-2017-001-09,9,1,2430,1230,1210,P215/70R16,240,P215/70R16,240,,,,,,,,,1076.86348486225,4,2
6129,18,1,1-18-2017-001-10,10,1,3256,1700,1746,P255/70R17,240,P255/70R17,240,,,,,,,,,6297.69228784152,6,2
6144,26,1,1-26-2017-001-10,10,1,2260,1215,1080,P245/50R17,220,P245/50R17,210,,,,,,,,,20830.7351125155,10,2
6144,26,1,1-26-2017-001-10,10,2,2700,1300,1430,P235/70R16,220,P235/70R16,220,,,,,,,,,20830.7351125155,10,2
6133,21,1,1-21-2017-001-03,3,1,1600,850,840,P175/70R14,220,P175/70R14,220,,,,,,,,,299.98594818982,11,2
6134,21,2,1-21-2017-002-09,9,1,2195,1100,1095,P235/65R16,210,P235/65R16,210,,,,,,,,,440.927593351114,11,2
6157,30,3,1-30-2017-003-04,4,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,776.878031446285,10,2
6157,30,3,1-30-2017-003-04,4,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,776.878031446285,10,2
6132,22,2,1-22-2017-002-06,6,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,198.309823245595,12,2
6112,19,5,1-19-2017-005-03,3,2,2023,1068,959,P235/50R17,230,P235/50R17,230,,,,,,,,,639.392649632869,9,2
6151,25,3,1-25-2017-003-06,6,2,1463,739,724,P175/70R14,210,P175/70R14,180,,,,,,,,,438.207071902862,2,2
