CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTAREA,CONTCOMP,OCCNO,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
8808,17,90,1-17-2017-090-02,2,1,G,9,254,1,862,3,2,70.2577413226443,4,2
7741,30,71,1-30-2017-071-05,5,1,B,9,252,1,872,3,2,197.45088374437,10,2
7651,32,84,1-32-2017-084-02,2,1,F,9,252,1,852,3,2,58.3131460122481,7,2
7169,17,34,1-17-2017-034-09,9,1,C,9,254,1,862,3,2,1404.60743210442,4,2
7158,32,56,1-32-2017-056-10,10,1,E,1,24,1,841,3,2,11743.7544646105,7,2
7158,32,56,1-32-2017-056-10,10,1,F,1,24,1,842,3,2,11743.7544646105,7,2
7176,18,29,1-18-2017-029-06,6,1,B,1,24,1,841,3,2,1868.06986050596,6,2
7136,33,49,1-33-2017-049-09,9,1,E,1,3,1,201,3,2,660.57266280556,12,2
7018,17,29,1-17-2017-029-03,3,1,D,1,19,1,201,3,2,556.304886021187,4,2
7181,30,55,1-30-2017-055-04,4,1,B,1,24,1,841,3,2,5616.45073494707,10,2
7181,30,55,1-30-2017-055-04,4,1,C,1,24,1,842,3,2,5616.45073494707,10,2
7136,33,49,1-33-2017-049-09,9,1,C,1,24,1,842,3,2,660.57266280556,12,2
7118,30,52,1-30-2017-052-07,7,1,C,1,24,1,842,3,2,1653.59739057328,10,2
7161,14,28,1-14-2017-028-02,2,2,E,1,21,1,851,3,2,299.171074248821,8,2
7161,14,28,1-14-2017-028-02,2,2,F,1,21,1,851,3,2,299.171074248821,8,2
7161,14,28,1-14-2017-028-02,2,2,G,1,21,1,851,3,2,299.171074248821,8,2
7161,14,28,1-14-2017-028-02,2,2,H,1,24,1,861,3,2,299.171074248821,8,2
7161,14,28,1-14-2017-028-02,2,2,I,1,23,2,999,3,2,299.171074248821,8,2
7161,14,28,1-14-2017-028-02,2,2,J,1,22,2,841,3,2,299.171074248821,8,2
7212,12,30,1-12-2017-030-07,7,1,A,1,24,1,851,3,2,2259.18028942213,9,2
7255,32,64,1-32-2017-064-06,6,1,C,1,24,1,841,3,2,967.187878734124,7,2
7255,32,64,1-32-2017-064-06,6,1,D,1,24,1,842,3,2,967.187878734124,7,2
7217,17,36,1-17-2017-036-05,5,1,B,1,24,1,841,3,2,139.816311562178,4,2
7215,19,65,1-19-2017-065-02,2,2,C,1,13,2,999,3,2,102.089013427492,9,2
7226,29,22,1-29-2017-022-04,4,1,B,1,24,1,842,3,2,1716.91189081206,2,2
7022,21,22,1-21-2017-022-09,9,1,B,1,24,1,841,3,2,1461.58871260446,11,2
7228,33,55,1-33-2017-055-06,6,1,A,1,24,1,742,3,2,436.28572594027,12,2
7035,30,50,1-30-2017-050-03,3,2,D,1,26,1,842,3,2,836.824995976196,10,2
7018,17,29,1-17-2017-029-03,3,1,C,1,13,1,762,3,2,556.304886021187,4,2
7071,22,52,1-22-2017-052-01,1,2,D,1,25,2,851,3,2,96.8900178613484,12,2
7004,17,28,1-17-2017-028-08,8,1,B,1,24,1,841,3,2,293.249934085683,4,2
7066,17,31,1-17-2017-031-02,2,2,D,1,13,2,841,3,2,67.5827912635361,4,2
7065,17,30,1-17-2017-030-07,7,1,B,1,24,1,841,3,2,1778.88196036324,4,2
7056,12,25,1-12-2017-025-03,3,2,B,1,24,1,852,3,2,7140.91132777394,9,2
6992,22,48,1-22-2017-048-03,3,2,B,1,25,2,841,3,2,298.497607046477,12,2
6898,32,38,1-32-2017-038-05,5,2,D,1,24,1,842,3,2,301.15551826992,7,2
6941,23,38,1-23-2017-038-03,3,2,A,1,26,2,841,3,2,237.92598052621,5,2
6941,23,38,1-23-2017-038-03,3,2,B,1,26,2,842,3,2,237.92598052621,5,2
6826,19,44,1-19-2017-044-08,8,1,A,1,22,1,842,3,2,1264.8216884943,9,2
6830,18,19,1-18-2017-019-08,8,1,A,1,4,1,832,3,2,703.273619459784,6,2
6809,11,18,1-11-2017-018-02,2,2,A,1,21,1,841,3,2,327.722359603461,8,2
6809,11,18,1-11-2017-018-02,2,2,B,1,22,1,842,3,2,327.722359603461,8,2
6809,11,18,1-11-2017-018-02,2,2,C,1,4,1,741,3,2,327.722359603461,8,2
6862,14,21,1-14-2017-021-07,7,1,A,1,24,1,841,3,2,13075.4920927228,8,2
