CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
6035,23,1,1-23-2017-001-04,4,1,270,455,178,1305,157,86,99,155,4,1.8,2,1,0,0,387.004656586397,5,2
6045,17,1,1-17-2017-001-10,10,1,250,444,170,1122,142,89,105,134,4,2.0,2,1,0,0,200.166808861819,4,2
6042,32,1,1-32-2017-001-09,9,1,270,478,196,1992,169,98,110,166,6,3.0,2,4,0,0,439.988808087459,7,2
6050,13,1,1-13-2017-001-04,4,1,291,502,183,1880,157,87,124,164,8,6.0,2,2,0,0,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,284,488,186,1554,160,94,110,999,4,2.0,2,1,0,0,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,3,274,477,189,1970,163,99,104,158,6,3.0,2,9,0,0,2302.56589082077,7,2
6054,20,1,1-20-2017-001-10,10,1,305,508,189,1733,160,92,112,150,6,2.7,2,2,0,0,31.9924847541354,11,2
6068,19,1,1-19-2017-001-06,6,1,282,499,184,1494,151,109,109,144,6,3.0,2,1,0,0,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,276,458,177,1600,151,76,110,148,6,3.0,2,2,0,0,250.94245606192,9,2
6062,16,1,1-16-2017-001-10,10,1,274,500,185,1500,157,106,121,140,6,3.0,2,1,0,0,96.0734797580618,5,2
6092,14,1,1-14-2017-001-05,5,1,260,454,176,1255,152,94,100,150,4,1.0,2,1,0,0,223.196555918989,8,2
6092,14,1,1-14-2017-001-05,5,2,353,561,200,2363,170,94,113,190,8,5.0,2,2,0,0,223.196555918989,8,2
6095,24,1,1-24-2017-001-07,7,1,286,479,184,1706,158,96,97,164,4,2.4,2,1,0,0,1057.24455000333,1,2
6095,24,1,1-24-2017-001-07,7,2,280,484,183,1484,159,97,108,150,4,2.4,2,1,0,0,1057.24455000333,1,2
6103,16,2,1-16-2017-002-03,3,1,286,508,189,1796,164,104,118,999,6,3.0,2,1,0,0,299.333672633261,5,2
6103,16,2,1-16-2017-002-03,3,2,280,484,183,1468,159,97,108,140,4,2.0,2,3,0,0,299.333672633261,5,2
6101,32,2,1-32-2017-002-02,2,1,284,488,186,1554,160,94,110,999,4,1.5,2,1,0,0,82.3625753483227,7,2
6101,32,2,1-32-2017-002-02,2,2,365,573,203,2293,173,100,108,184,8,5.3,2,2,0,0,82.3625753483227,7,2
6104,16,3,1-16-2017-003-05,5,1,276,502,185,1509,156,106,121,999,6,3.0,2,1,0,0,51.0113857468289,5,2
6104,16,3,1-16-2017-003-05,5,2,263,448,176,1431,150,93,93,166,4,2.0,2,1,0,0,51.0113857468289,5,2
6110,12,1,1-12-2017-001-06,6,1,280,503,187,1585,156,112,112,160,6,3.8,2,1,0,0,831.843534377453,9,2
6110,12,1,1-12-2017-001-06,6,2,296,505,201,2033,170,101,107,160,6,3.5,2,1,0,0,831.843534377453,9,2
6113,29,1,1-29-2017-001-03,3,1,265,453,183,1340,153,89,99,150,4,2.0,2,1,0,0,264.060880443883,2,2
6105,19,2,1-19-2017-002-05,5,1,305,508,189,1860,160,92,112,170,8,5.0,2,2,0,0,84.4524216922148,9,2
6113,29,1,1-29-2017-001-03,3,2,365,571,202,2151,167,101,105,167,8,5.3,1,3,0,0,264.060880443883,2,2
6106,19,3,1-19-2017-003-02,2,1,270,463,176,1293,153,91,102,148,4,1.8,2,1,0,0,102.089013427492,9,2
6111,19,4,1-19-2017-004-05,5,1,368,581,200,2350,170,98,116,180,6,3.7,2,2,0,1,84.4524216922148,9,2
6118,17,3,1-17-2017-003-08,8,1,312,520,173,1425,139,90,118,154,6,4.3,2,2,0,0,186.330803198876,4,2
6085,30,1,1-30-2017-001-03,3,1,272,481,180,1435,156,94,115,148,4,2.4,2,1,0,0,73.2399735499352,10,2
6085,30,1,1-30-2017-001-03,3,2,302,511,200,2142,170,98,111,189,6,3.6,2,1,0,0,73.2399735499352,10,2
6114,27,1,1-27-2017-001-07,7,1,265,462,187,1790,159,98,99,166,4,2.3,2,4,0,0,2072.96617929403,3,2
6130,23,3,1-23-2017-003-06,6,1,270,449,175,1224,150,87,93,999,4,1.8,9,9,9,0,474.463369126954,5,2
6130,23,3,1-23-2017-003-06,6,2,267,450,175,1267,151,89,94,165,4,1.8,2,1,0,0,474.463369126954,5,2
6122,13,3,1-13-2017-003-09,9,1,359,558,195,1817,999,92,107,184,6,4.3,2,2,0,0,4149.72387133394,7,2
6122,13,3,1-13-2017-003-09,9,2,286,510,189,1662,163,102,122,999,6,3.0,2,1,0,0,4149.72387133394,7,2
6093,23,2,1-23-2017-002-07,7,1,267,450,175,1267,151,89,94,150,4,1.8,9,1,9,0,929.1099817139,5,2
6121,13,2,1-13-2017-002-03,3,1,262,440,170,1027,999,81,97,144,4,1.5,9,9,9,0,721.076485952799,7,2
6121,13,2,1-13-2017-002-03,3,2,270,463,176,1306,153,91,102,154,4,1.8,2,1,0,0,721.076485952799,7,2
6117,17,2,1-17-2017-002-09,9,1,281,499,185,1582,156,109,110,150,6,3.8,2,1,0,0,1415.1062926472,4,2
6124,31,1,1-31-2017-001-10,10,1,284,468,178,1824,999,78,107,999,6,4.0,2,3,9,0,1073.84216837139,6,2
6137,33,1,1-33-2017-001-05,5,1,262,458,173,1261,149,96,100,140,4,2.2,2,1,0,0,74.8644900335331,12,2
6137,33,1,1-33-2017-001-05,5,2,365,565,202,1980,167,95,105,999,8,4.8,9,9,9,0,74.8644900335331,12,2
6131,22,1,1-22-2017-001-02,2,1,280,482,183,1475,160,94,108,138,4,2.4,2,1,0,0,57.5944953362226,12,2
6131,22,1,1-22-2017-001-02,2,2,408,626,203,2764,173,100,118,180,6,5.9,2,3,0,0,57.5944953362226,12,2
6140,20,2,1-20-2017-002-03,3,1,257,437,172,1180,148,82,97,140,4,1.0,2,1,0,0,51.7419523783465,11,2
6142,15,1,1-15-2017-001-02,2,1,285,493,186,1736,158,97,111,999,4,2.0,9,1,9,0,32.9268479237336,1,2
6142,15,1,1-15-2017-001-02,2,2,270,469,188,1640,164,93,106,999,4,2.0,9,4,0,0,32.9268479237336,1,2
