CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
7425,14,36,1-14-2017-036-03,3,1,1,3,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,0,7,2580.5468470366,8,2
7425,14,36,1-14-2017-036-03,3,1,1,1,1,9995.00,9995.00,7,8,189.00,189.00,189.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,189.00,189.00,9997.00,9997.00,7,0,7,2580.5468470366,8,2
7425,14,36,1-14-2017-036-03,3,1,1,2,1,9995.00,9995.00,7,8,9995.00,9997.00,9994.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9997.00,9994.00,9997.00,9997.00,7,0,7,2580.5468470366,8,2
7714,14,41,1-14-2017-041-06,6,1,1,2,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,5,7,4768.01422503003,8,2
7714,14,41,1-14-2017-041-06,6,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,5,7,4768.01422503003,8,2
9062,14,74,1-14-2017-074-04,4,1,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,0,1,7,282.618650400898,8,2
7866,17,61,1-17-2017-061-04,4,2,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,666.198146929734,4,2
8504,17,84,1-17-2017-084-04,4,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,1633.46366478719,4,2
7456,12,35,1-12-2017-035-04,4,1,1,1,0,56.00,9995.00,7,8,9995.00,56.00,50.00,9997.00,9997.00,7,7,7,7,56.00,9995.00,7,8,9995.00,56.00,50.00,9997.00,9997.00,7,7,7,3990.87077387485,9,2
7674,12,40,1-12-2017-040-05,5,1,1,2,1,9995.00,9995.00,7,8,9995.00,252.00,252.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,0,8,9995.00,252.00,252.00,9997.00,9997.00,7,2,7,628.832940754307,9,2
