CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,FUELNO,FUELTYPE,CELLDAM,FUELEAK,FUELLOC,FUELCELL,FILLCAP,FUELCOND,CASEWGT,PSUSTRAT,VERSION
7903,33,83,1-33-2017-083-04,4,2,1,1,1,1,88,8,88,8,259.890592975373,12,2
7904,33,84,1-33-2017-084-03,3,2,1,1,1,1,88,8,88,8,91.2652190375962,12,2
7905,33,85,1-33-2017-085-03,3,1,1,1,1,1,88,8,88,8,91.2652190375962,12,2
7897,13,83,1-13-2017-083-04,4,1,1,1,1,1,88,8,88,8,1961.70184442371,7,2
7905,33,85,1-33-2017-085-03,3,2,1,1,1,1,88,8,88,8,91.2652190375962,12,2
7899,22,94,1-22-2017-094-09,9,1,1,1,1,1,88,8,88,8,382.030675676496,12,2
7897,13,83,1-13-2017-083-04,4,2,1,1,1,1,88,8,88,8,1961.70184442371,7,2
7899,22,94,1-22-2017-094-09,9,2,1,1,1,1,88,8,88,8,382.030675676496,12,2
7915,20,103,1-20-2017-103-01,1,1,1,1,1,1,88,8,88,8,88.908471839129,11,2
7915,20,103,1-20-2017-103-01,1,2,1,1,1,1,88,8,88,8,88.908471839129,11,2
7913,20,104,1-20-2017-104-03,3,1,1,1,1,1,88,8,88,8,378.28856838694,11,2
7913,20,104,1-20-2017-104-03,3,2,1,1,1,1,88,8,88,8,378.28856838694,11,2
7775,29,24,1-29-2017-024-10,10,1,1,1,1,1,88,8,88,8,20830.7351125155,2,2
7775,29,24,1-29-2017-024-10,10,2,1,1,1,1,88,8,88,8,20830.7351125155,2,2
7783,22,90,1-22-2017-090-06,6,1,1,1,1,1,88,8,88,8,65.2582091136475,12,2
7780,27,17,1-27-2017-017-03,3,1,1,1,1,1,88,8,88,8,264.386723032081,3,2
7780,27,17,1-27-2017-017-03,3,2,1,1,1,1,88,8,88,8,264.386723032081,3,2
7781,22,88,1-22-2017-088-09,9,1,1,1,1,1,88,8,88,8,303.058202712334,12,2
7788,18,44,1-18-2017-044-09,9,1,1,1,1,1,88,8,88,8,2583.42857714023,6,2
7652,10,35,1-10-2017-035-05,5,1,1,1,1,1,88,8,88,8,46.5860163329168,4,2
7769,24,86,1-24-2017-086-02,2,3,1,1,1,1,88,8,88,8,112.009825597583,1,2
7779,21,49,1-21-2017-049-09,9,1,1,1,1,1,88,8,88,8,482.913130979312,11,2
7794,21,50,1-21-2017-050-03,3,1,1,1,1,1,88,8,88,8,108.939878475118,11,2
7799,20,97,1-20-2017-097-04,4,1,1,1,1,1,88,8,88,8,2093.85301879526,11,2
7774,17,58,1-17-2017-058-07,7,1,1,1,1,1,88,8,88,8,899.447747678799,4,2
7793,21,48,1-21-2017-048-03,3,1,1,1,1,1,88,8,88,8,201.697409885435,11,2
7804,23,82,1-23-2017-082-06,6,1,1,1,1,1,88,8,88,8,206.632100111214,5,2
7801,15,62,1-15-2017-062-03,3,1,1,1,1,1,88,8,88,8,134.920243878116,1,2
7771,26,47,1-26-2017-047-04,4,1,1,1,1,1,88,8,88,8,3096.48034463521,10,2
7771,26,47,1-26-2017-047-04,4,2,1,1,1,1,88,8,88,8,3096.48034463521,10,2
7803,30,72,1-30-2017-072-02,2,1,1,1,1,1,88,8,88,8,95.9532838399272,10,2
7805,31,39,1-31-2017-039-09,9,1,1,1,1,1,88,8,88,8,1663.27604062427,6,2
7802,15,63,1-15-2017-063-03,3,1,1,1,1,1,88,8,88,8,134.920243878116,1,2
7806,32,93,1-32-2017-093-06,6,1,1,1,1,1,88,8,88,8,1339.87704916561,7,2
7808,25,29,1-25-2017-029-06,6,1,1,1,1,1,88,8,88,8,245.945387153388,2,2
7686,20,88,1-20-2017-088-08,8,1,1,1,1,1,88,8,88,8,136.912007382059,11,2
7677,33,75,1-33-2017-075-02,2,1,1,1,1,1,88,8,88,8,66.335309476095,12,2
7677,33,75,1-33-2017-075-02,2,2,1,1,1,1,88,8,88,8,66.335309476095,12,2
7688,32,85,1-32-2017-085-04,4,1,1,1,1,1,88,8,88,8,2596.33618288292,7,2
7688,32,85,1-32-2017-085-04,4,3,1,1,1,1,88,8,88,8,2596.33618288292,7,2
7689,20,91,1-20-2017-091-07,7,1,1,1,1,1,88,8,88,8,702.609424140346,11,2
7679,15,50,1-15-2017-050-03,3,1,1,1,1,1,88,8,88,8,132.584249753584,1,2
7681,15,52,1-15-2017-052-03,3,1,1,1,1,1,88,8,88,8,132.584249749717,1,2
7681,15,52,1-15-2017-052-03,3,2,1,1,1,1,88,8,88,8,132.584249749717,1,2
7542,18,37,1-18-2017-037-04,4,2,1,1,1,1,88,8,88,8,5254.45731880989,6,2
7433,22,72,1-22-2017-072-09,9,1,1,1,1,1,88,8,88,8,366.952088762982,12,2
7671,13,70,1-13-2017-070-10,10,1,1,1,1,1,88,8,88,8,15640.02830766,7,2
7671,13,70,1-13-2017-070-10,10,2,1,1,1,1,88,8,88,8,15640.02830766,7,2
7675,33,73,1-33-2017-073-10,10,1,1,1,1,1,88,8,88,8,2616.2429621909,12,2
7676,33,74,1-33-2017-074-09,9,1,1,1,1,1,88,8,88,8,885.897251644894,12,2
7676,33,74,1-33-2017-074-09,9,2,1,1,1,1,88,8,88,8,885.897251644894,12,2
7685,15,53,1-15-2017-053-02,2,1,1,1,1,1,88,8,88,8,11.5367659147207,1,2
7685,15,53,1-15-2017-053-02,2,2,1,1,1,1,88,8,88,8,11.5367659147207,1,2
