CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
6035,23,1,1-23-2017-001-04,4,1,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,387.004656586397,5,2
6035,23,1,1-23-2017-001-04,4,1,2,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,387.004656586397,5,2
6035,23,1,1-23-2017-001-04,4,1,3,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,387.004656586397,5,2
6035,23,1,1-23-2017-001-04,4,1,4,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,387.004656586397,5,2
6035,23,1,1-23-2017-001-04,4,1,5,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,387.004656586397,5,2
6035,23,1,1-23-2017-001-04,4,1,6,8,1,1,7,0,60,60,60,60,,,,,,,,,,,,,387.004656586397,5,2
6042,32,1,1-32-2017-001-09,9,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,439.988808087459,7,2
6042,32,1,1-32-2017-001-09,9,1,2,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,439.988808087459,7,2
6045,17,1,1-17-2017-001-10,10,1,1,1,1,99,1,0,1,0,0,50,9,1,1,999,999,999,9999999,999,13,2,1,1,200.166808861819,4,2
6045,17,1,1-17-2017-001-10,10,1,2,3,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,13,2,1,1,200.166808861819,4,2
6050,13,1,1-13-2017-001-04,4,1,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,2,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,3,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,4,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,5,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,6,8,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,7,4,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,8,4,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,9,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,10,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,2,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,3,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,4,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,5,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,6,8,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,3,1,1,1,99,1,0,1,0,0,50,9,9,2,4,-3,1,1224,998,3,0,1,1,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,3,2,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,3,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,3,4,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,3,5,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,3,6,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,2302.56589082077,7,2
6054,20,1,1-20-2017-001-10,10,1,1,1,1,99,7,0,60,60,60,60,8,9,60,,,,,,,,,60,31.9924847541354,11,2
6054,20,1,1-20-2017-001-10,10,1,2,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,31.9924847541354,11,2
6062,16,1,1-16-2017-001-10,10,1,1,1,1,99,7,0,60,60,60,60,,,,,,,,,,,,,96.0734797580618,5,2
6062,16,1,1-16-2017-001-10,10,1,2,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,96.0734797580618,5,2
6068,19,1,1-19-2017-001-06,6,2,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,2,5,1,99,7,99,60,60,60,60,9,9,60,,,,,,,,,60,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,5,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,6,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,250.94245606192,9,2
6085,30,1,1-30-2017-001-03,3,2,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,73.2399735499352,10,2
6085,30,1,1-30-2017-001-03,3,2,2,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,73.2399735499352,10,2
