CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
13437,66,23,1-66-2019-023-08,8,1,1,264.199118389005,6,4
13438,52,13,1-52-2019-013-03,3,1,4,138.90111847222,12,4
13394,18,18,1-18-2019-018-03,3,1,9,247.766001379686,6,4
13395,27,20,1-27-2019-020-06,6,2,9,58.77625017857,3,4
13412,24,39,1-24-2019-039-07,7,1,9,2051.80387886028,1,4
13415,77,34,1-77-2019-034-04,4,1,99,7329.65149081085,9,4
13462,22,35,1-22-2019-035-05,5,1,2,39.2833665464723,12,4
12553,11,4,1-11-2019-004-02,2,1,99,200.113582168481,8,4
12559,54,2,1-54-2019-002-01,1,1,99,216.437365369528,9,4
13829,18,27,1-18-2019-027-04,4,3,10,668.985641882148,6,4
13797,59,39,1-59-2019-039-10,10,1,10,9713.69617041572,6,4
13801,32,61,1-32-2019-061-05,5,1,1,187.041663343231,7,4
13813,26,55,1-26-2019-055-03,3,1,8,503.287675657179,10,4
13818,29,56,1-29-2019-056-09,9,1,5,311.104578320969,2,4
13819,26,58,1-26-2019-058-02,2,1,9,19.5290941060003,10,4
13820,27,29,1-27-2019-029-04,4,2,99,97.6666898662941,3,4
13506,10,18,1-10-2019-018-02,2,1,1,25.2294042615129,4,4
13832,22,51,1-22-2019-051-08,8,1,1,65.7239630182486,12,4
13834,21,46,1-21-2019-046-03,3,1,1,341.032122794738,11,4
13836,21,48,1-21-2019-048-08,8,1,1,225.617020794989,11,4
13785,24,56,1-24-2019-056-06,6,1,2,420.075556141935,1,4
13448,17,40,1-17-2019-040-07,7,1,1,305.010083629079,4,4
13453,29,40,1-29-2019-040-04,4,1,8,194.615364697559,2,4
12768,11,11,1-11-2019-011-08,8,1,7,792.804351737215,8,4
12777,12,10,1-12-2019-010-06,6,1,8,1684.67233596175,9,4
13682,33,46,1-33-2019-046-04,4,1,9,925.408886962387,12,4
13372,12,21,1-12-2019-021-10,10,1,10,5366.40832572355,9,4
13377,19,20,1-19-2019-020-06,6,1,9,482.819789614677,9,4
13378,29,35,1-29-2019-035-06,6,1,9,182.500456008485,2,4
13755,33,49,1-33-2019-049-03,3,1,99,47.8802621853337,12,4
13756,33,50,1-33-2019-050-04,4,1,1,154.252836489516,12,4
13758,17,52,1-17-2019-052-05,5,1,99,61.2546060121394,4,4
13766,21,45,1-21-2019-045-09,9,1,9,805.376006485672,11,4
13665,66,27,1-66-2019-027-10,10,4,99,577.076804939805,6,4
13668,22,46,1-22-2019-046-09,9,1,1,141.64285583481,12,4
13669,22,47,1-22-2019-047-06,6,1,10,54.0811506237203,12,4
13740,31,28,1-31-2019-028-10,10,1,9,301.212188506147,6,4
13696,11,46,1-11-2019-046-09,9,1,2,1574.26426432195,8,4
13697,28,23,1-28-2019-023-07,7,1,10,59.873353386567,3,4
13704,29,50,1-29-2019-050-09,9,1,10,176.534178788014,2,4
13995,11,61,1-11-2019-061-04,4,1,10,2630.80510572152,8,4
13995,11,61,1-11-2019-061-04,4,2,10,2630.80510572152,8,4
14093,15,44,1-15-2019-044-05,5,1,9,112.730842091693,1,4
13985,28,29,1-28-2019-029-03,3,1,1,57.4659845240073,3,4
13823,17,55,1-17-2019-055-02,2,1,9,57.5680443688784,4,4
13827,33,52,1-33-2019-052-02,2,1,3,25.4932820669878,12,4
13566,73,24,1-73-2019-024-04,4,1,1,97.8096386494261,3,4
13570,10,20,1-10-2019-020-06,6,2,8,146.398421014338,4,4
14047,11,64,1-11-2019-064-04,4,4,10,2026.94053182256,8,4
14048,77,60,1-77-2019-060-02,2,1,6,82.9547267506105,9,4
14053,24,69,1-24-2019-069-03,3,2,6,761.215412620779,1,4
14036,33,59,1-33-2019-059-03,3,1,1,237.142913541487,12,4
14038,21,55,1-21-2019-055-01,1,1,1,79.501868088361,11,4
12692,26,8,1-26-2019-008-02,2,1,1,41.7668957553833,10,4
14006,52,23,1-52-2019-023-06,6,1,9,60.9719748029445,12,4
14001,73,34,1-73-2019-034-09,9,1,9,431.944244766053,3,4
14060,73,36,1-73-2019-036-07,7,1,1,207.296695962921,3,4
13693,21,41,1-21-2019-041-02,2,1,1,13.8833401913196,11,4
13809,10,25,1-10-2019-025-03,3,2,8,113.336760756498,4,4
13810,31,29,1-31-2019-029-09,9,1,3,361.279939328101,6,4
13812,20,26,1-20-2019-026-10,10,1,99,14402.4147996874,11,4
13714,11,49,1-11-2019-049-04,4,1,10,6027.4856501629,8,4
13714,11,49,1-11-2019-049-04,4,2,10,6027.4856501629,8,4
13721,73,27,1-73-2019-027-06,6,2,1,95.2357477437285,3,4
13931,59,41,1-59-2019-041-08,8,1,9,241.835381218831,6,4
13933,12,35,1-12-2019-035-03,3,2,8,242.877948329816,9,4
13950,10,29,1-10-2019-029-07,7,1,9,963.057363584815,4,4
13954,19,32,1-19-2019-032-06,6,1,9,979.609586049323,9,4
13955,25,36,1-25-2019-036-04,4,1,99,391.87110966022,2,4
13613,33,44,1-33-2019-044-08,8,1,8,102.455252771248,12,4
13614,20,23,1-20-2019-023-06,6,1,1,1277.36130333705,11,4
13936,76,22,1-76-2019-022-09,9,1,9,17.3739895741997,3,4
14026,29,65,1-29-2019-065-07,7,1,9,762.731594831046,2,4
14030,22,56,1-22-2019-056-03,3,1,6,925.822865988776,12,4
14034,30,65,1-30-2019-065-03,3,2,9,248.223271248948,10,4
13806,25,34,1-25-2019-034-05,5,1,1,47.3939752973456,2,4
13958,26,65,1-26-2019-065-06,6,1,1,845.337355616734,10,4
13909,20,27,1-20-2019-027-06,6,1,9,2340.69208864356,11,4
13911,66,33,1-66-2019-033-03,3,1,1,171.048942891346,6,4
12581,27,2,1-27-2019-002-03,3,1,99,211.9833680347,3,4
12582,48,1,1-48-2019-001-02,2,1,1,105.380916745117,12,4
13892,26,60,1-26-2019-060-04,4,1,9,1482.66580966438,10,4
13519,33,39,1-33-2019-039-04,4,1,6,106.158137072877,12,4
13522,22,37,1-22-2019-037-07,7,1,9,96.1439439308256,12,4
12570,52,1,1-52-2019-001-06,6,1,7,72.9319482362143,12,4
12572,28,2,1-28-2019-002-07,7,1,8,619.489629706347,3,4
13307,19,19,1-19-2019-019-03,3,2,10,312.917156628371,9,4
13311,26,33,1-26-2019-033-02,2,1,1,19.2909987687276,10,4
12702,28,4,1-28-2019-004-08,8,1,1,98.1045053887226,3,4
13230,66,20,1-66-2019-020-06,6,1,10,126.563264397582,6,4
13232,16,18,1-16-2019-018-07,7,1,9,1763.70787502855,5,4
13234,31,19,1-31-2019-019-04,4,1,2,240.49101350779,6,4
13252,33,29,1-33-2019-029-06,6,1,7,62.596670422776,12,4
13215,54,15,1-54-2019-015-01,1,1,10,190.261308940954,9,4
13217,54,16,1-54-2019-016-06,6,1,10,451.18295696232,9,4
12607,17,4,1-17-2019-004-07,7,1,1,452.047117548419,4,4
12610,19,4,1-19-2019-004-07,7,1,10,1833.07071985565,9,4
12851,77,13,1-77-2019-013-03,3,1,1,584.805201715849,9,4
13190,33,27,1-33-2019-027-03,3,1,8,60.9394357417301,12,4
13201,11,25,1-11-2019-025-06,6,1,10,571.763173404055,8,4
13204,24,30,1-24-2019-030-03,3,1,3,186.541989234472,1,4
13206,24,32,1-24-2019-032-04,4,1,10,523.727557315635,1,4
13207,77,27,1-77-2019-027-03,3,1,1,658.356662229669,9,4
13177,17,28,1-17-2019-028-07,7,1,1,344.915239121927,4,4
13178,17,29,1-17-2019-029-06,6,1,1,105.220265838513,4,4
13123,18,12,1-18-2019-012-04,4,3,10,1522.24570112714,6,4
13124,27,13,1-27-2019-013-07,7,2,8,81.341237505841,3,4
12788,27,5,1-27-2019-005-09,9,1,99,95.895479181314,3,4
12759,24,8,1-24-2019-008-04,4,1,3,680.376556914681,1,4
12761,13,9,1-13-2019-009-06,6,1,5,554.351114616588,7,4
12818,29,14,1-29-2019-014-07,7,1,9,335.789090729548,2,4
13064,24,24,1-24-2019-024-06,6,1,7,289.637927037213,1,4
13068,25,12,1-25-2019-012-06,6,1,3,86.4003078814238,2,4
13080,16,14,1-16-2019-014-02,2,1,9,19.5600329236722,5,4
13083,19,14,1-19-2019-014-03,3,1,8,420.825475823895,9,4
13084,54,12,1-54-2019-012-01,1,1,3,190.261308940954,9,4
13117,21,21,1-21-2019-021-03,3,1,10,292.225383831764,11,4
13119,16,15,1-16-2019-015-09,9,1,10,757.930140779803,5,4
13098,17,25,1-17-2019-025-02,2,1,2,57.5680443688784,4,4
13099,17,26,1-17-2019-026-08,8,1,99,396.652951546958,4,4
