CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
12415,24,1,1-24-2019-001-10,10,1,LF,83,charger gt,P205/60R16,M7XW KC1R4313,6,0,1,4805.57751704535,1,4
12415,24,1,1-24-2019-001-10,10,1,LR,83,charger gt,P205/60R16,M1XW MC1R4413,5,0,1,4805.57751704535,1,4
12415,24,1,1-24-2019-001-10,10,1,RR,47,performance,P205/60R16,M6XW PK1R1216,8,0,1,4805.57751704535,1,4
12415,24,1,1-24-2019-001-10,10,1,RF,70,eagle,P205/60R16,M6XW PB1R2216,8,0,1,4805.57751704535,1,4
12454,33,1,1-33-2019-001-07,7,1,LF,167,Eclipse,P215/60R16,CXF1 CDF 0318,8,1,1,106.863578762211,12,4
12454,33,1,1-33-2019-001-07,7,1,LR,167,Eclipse,P215/60R16,CXF1 CDF 0318,8,0,1,106.863578762211,12,4
12454,33,1,1-33-2019-001-07,7,1,RF,167,Eclipse,P215/60R16,CXF1 CDF 0318,8,0,1,106.863578762211,12,4
12454,33,1,1-33-2019-001-07,7,1,RR,167,Eclipse,P215/60R16,CXF1 CDF 0318,8,0,1,106.863578762211,12,4
12462,22,1,1-22-2019-001-08,8,2,LF,103,X Radial,P205/65R15,HDPA PLEX1810,6,0,1,89.5221923404952,12,4
12462,22,1,1-22-2019-001-08,8,2,LR,103,DEFENDER XT,P205/65R15,HNPA 04MX0213,7,0,1,89.5221923404952,12,4
12462,22,1,1-22-2019-001-08,8,2,RR,103,DEFENDER XT,P205/65R15,HNPA 04MX4313,7,0,1,89.5221923404952,12,4
12462,22,1,1-22-2019-001-08,8,2,RF,103,X RADIAL,P205/65R15,HDPA PLEX1810,6,0,1,89.5221923404952,12,4
12446,32,2,1-32-2019-002-09,9,1,LF,103,Primacy MXV4,P225/55R17,M38K 0W3X1215,5,0,1,580.322202098339,7,4
12446,32,2,1-32-2019-002-09,9,1,LR,17,Potenza RE97AS,P225/55R17,EJUP CCM 0717,4,0,1,580.322202098339,7,4
12446,32,2,1-32-2019-002-09,9,1,RR,17,Potenza RE97AS,P225/55R17,EJUP,4,0,1,580.322202098339,7,4
12446,32,2,1-32-2019-002-09,9,1,RF,6,Silver Edition,P225/55R17,RM00 XMD 2714,5,0,1,580.322202098339,7,4
12471,21,1,1-21-2019-001-03,3,2,LF,57,Sinera SN828,P175/70R14,R8HR 3KFR5216,8,0,1,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,LR,76,Optimo H724,P175/70R14,5MEP HBH 1715,3,0,1,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,RR,76,Optimo H724,P175/70R14,5MEP HBH 1715,3,0,1,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,RF,76,Optimo H724,P175/70R14,5MEP HBH 1715,3,0,1,184.469405006755,11,4
12452,26,1,1-26-2019-001-02,2,1,LF,998,IMOVE GEN 2 AS,P185/65R15,1YJAMFPHE,5,1,1,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,1,LR,998,IMOVE GEN 2 AS,P185/65R15,1YJAMFPHE,7,0,1,22.2200532685247,10,4
