CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTAREA,CONTCOMP,OCCNO,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
15429,52,71,1-52-2019-071-05,5,1,I,9,254,1,862,1,1,25.9688450283259,12,4
13281,73,17,1-73-2019-017-02,2,1,C,9,254,1,862,1,1,37.4187375463615,3,4
13281,73,17,1-73-2019-017-02,2,1,H,9,253,1,832,1,1,37.4187375463615,3,4
13583,76,20,1-76-2019-020-05,5,1,I,9,254,1,862,1,1,29.2004368671738,3,4
13836,21,48,1-21-2019-048-08,8,1,D,9,252,1,842,1,1,225.617020794989,11,4
13771,20,25,1-20-2019-025-05,5,2,G,9,254,1,869,1,1,385.54695167395,11,4
14128,24,71,1-24-2019-071-03,3,1,A,9,252,1,742,1,1,386.316208329827,1,4
14402,19,39,1-19-2019-039-08,8,1,E,9,252,1,832,1,1,462.128135025633,9,4
14402,19,39,1-19-2019-039-08,8,1,F,9,253,1,812,1,1,462.128135025633,9,4
14468,27,47,1-27-2019-047-08,8,1,A,9,252,2,811,1,1,104.621471910836,3,4
14151,14,34,1-14-2019-034-02,2,1,C,9,252,1,762,1,1,204.110511522114,8,4
13973,21,53,1-21-2019-053-02,2,1,B,9,253,2,999,1,1,32.7360487870005,11,4
15139,76,48,1-76-2019-048-09,9,1,A,9,254,1,862,1,1,49.9476559777759,3,4
15517,19,74,1-19-2019-074-08,8,1,D,9,254,1,862,1,1,195.163394737346,9,4
15517,19,74,1-19-2019-074-08,8,1,E,9,254,1,861,1,1,195.163394737346,9,4
15568,10,70,1-10-2019-070-09,9,1,E,9,254,1,862,1,1,488.196147386533,4,4
13885,10,27,1-10-2019-027-02,2,1,K,9,252,1,512,1,1,18.8599899753226,4,4
15599,21,117,1-21-2019-117-02,2,1,I,9,252,1,852,1,1,10.9289369042565,11,4
15954,24,146,1-24-2019-146-02,2,1,D,9,254,1,851,1,1,90.7625623259036,1,4
12613,21,5,1-21-2019-005-08,8,1,A,9,251,1,862,6,1,218.663918477711,11,4
14952,22,76,1-22-2019-076-05,5,1,O,9,252,1,852,96,1,60.8075899555347,12,4
12840,20,10,1-20-2019-010-02,2,2,J,9,252,2,831,96,1,44.6123262498575,11,4
15389,10,62,1-10-2019-062-01,1,2,F,9,254,1,852,96,1,26.9627623500112,4,4
