CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
12444,19,1,1-19-2019-001-01,1,1,7,8,1,1,1,0,1,0,0,50,1,1,2,999,999,999,9999999,999,999,7,1,1,93.6457609646072,9,4
12446,32,2,1-32-2019-002-09,9,1,1,1,1,99,7,0,60,60,60,60,8,9,60,,,,,,,,,60,580.322202098339,7,4
12446,32,2,1-32-2019-002-09,9,1,2,5,1,99,1,0,1,0,0,50,8,9,1,999,999,999,9999999,999,9,1,1,1,580.322202098339,7,4
12446,32,2,1-32-2019-002-09,9,1,3,8,1,99,1,0,1,0,0,50,8,9,1,999,999,999,9999999,999,9,1,1,1,580.322202098339,7,4
12446,32,2,1-32-2019-002-09,9,1,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,580.322202098339,7,4
12446,32,2,1-32-2019-002-09,9,1,5,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,580.322202098339,7,4
12446,32,2,1-32-2019-002-09,9,1,6,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,580.322202098339,7,4
12449,17,1,1-17-2019-001-09,9,1,1,1,1,1,1,0,1,0,0,50,1,1,1,999,999,999,9999999,999,999,6,1,1,961.723266068137,4,4
12449,17,1,1-17-2019-001-09,9,1,2,3,1,1,1,0,1,0,0,50,,,,,,,,,,,,,961.723266068137,4,4
12452,26,1,1-26-2019-001-02,2,1,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,1,2,5,1,1,1,0,1,0,0,50,1,1,1,12,-10,6,6290,998,8,0,2,2,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,1,3,8,1,1,1,0,1,0,97,97,1,1,1,12,-10,6,6290,998,8,0,2,2,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,1,4,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,1,5,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,1,6,8,1,1,7,0,60,60,60,60,,,,,,,,,,,,,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,2,1,1,1,1,7,0,60,60,60,60,2,1,60,,,,,,,,,60,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,2,2,7,1,1,7,0,60,60,60,60,2,1,60,,,,,,,,,60,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,2,3,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,2,4,7,1,1,7,0,60,60,60,60,,,,,,,,,,,,,22.2200532685247,10,4
12454,33,1,1-33-2019-001-07,7,1,1,1,1,1,1,0,1,0,0,50,2,9,2,999,999,999,9999999,999,999,7,1,1,106.863578762211,12,4
12454,33,1,1-33-2019-001-07,7,1,2,8,1,1,7,0,60,60,60,60,2,9,60,,,,,,,,,60,106.863578762211,12,4
12454,33,1,1-33-2019-001-07,7,1,3,5,1,1,7,0,60,60,60,60,2,9,60,,,,,,,,,60,106.863578762211,12,4
12454,33,1,1-33-2019-001-07,7,1,4,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,106.863578762211,12,4
12454,33,1,1-33-2019-001-07,7,1,5,8,1,1,7,0,60,60,60,60,2,9,60,,,,,,,,,60,106.863578762211,12,4
12454,33,1,1-33-2019-001-07,7,1,6,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,106.863578762211,12,4
12454,33,1,1-33-2019-001-07,7,2,1,1,1,1,7,99,60,60,60,60,2,9,60,,,,,,,,,60,106.863578762211,12,4
12454,33,1,1-33-2019-001-07,7,2,2,5,1,1,7,99,60,60,60,60,2,9,60,,,,,,,,,60,106.863578762211,12,4
12454,33,1,1-33-2019-001-07,7,2,3,8,1,1,7,99,60,60,60,60,2,9,60,,,,,,,,,60,106.863578762211,12,4
12455,59,2,1-59-2019-002-04,4,1,1,1,1,99,1,99,99,99,99,59,9,9,1,999,999,999,9999999,999,999,2,1,1,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,1,2,2,1,99,1,99,99,99,99,59,9,9,1,999,999,999,9999999,999,999,2,1,1,388.969009954007,6,4
