CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTTRACK,REARTRACK,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
12477,30,2,1-30-2019-002-04,4,2,887,887,367,887,887,887,887,887,887,887,43,887,887,887,121,887,887,887,887,887,887,887,887,887,887,887,999,999,315.64493614952,10,4
12468,18,1,1-18-2019-001-08,8,1,887,887,887,887,887,887,887,887,887,887,43,887,887,887,110,887,887,887,887,887,887,887,887,887,887,887,887,887,145.317860723262,6,4
12462,22,1,1-22-2019-001-08,8,1,887,887,887,887,887,887,887,887,887,887,40,887,887,887,105,887,887,887,887,887,887,887,887,887,887,887,887,887,89.5221923404952,12,4
12462,22,1,1-22-2019-001-08,8,2,887,887,887,887,887,887,887,887,887,887,35,887,887,887,121,887,887,887,887,887,887,887,887,887,887,887,887,887,89.5221923404952,12,4
12452,26,1,1-26-2019-001-02,2,1,887,887,999,887,887,887,887,887,887,887,40,887,887,887,96,887,887,887,887,887,999,999,999,887,887,887,887,887,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,2,887,887,887,887,887,887,887,887,999,887,887,887,887,887,887,887,887,887,887,887,13,22,887,887,887,887,887,887,22.2200532685247,10,4
12444,19,1,1-19-2019-001-01,1,1,887,887,887,887,887,887,887,310,887,887,999,887,887,887,887,887,887,887,887,887,9,24,887,8,50,887,887,887,93.6457609646072,9,4
12475,10,1,1-10-2019-001-10,10,1,887,887,887,887,887,887,887,999,887,887,887,887,887,887,887,887,887,887,887,887,999,999,999,887,887,887,887,887,1588.71975497458,4,4
12479,29,2,1-29-2019-002-06,6,1,887,887,271,887,887,887,887,271,887,887,887,887,887,887,887,887,887,887,887,887,10,16,111,887,887,887,887,887,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,887,887,887,887,887,887,887,887,887,887,24,887,887,887,137,887,887,887,887,887,887,887,887,887,887,887,887,887,206.157258091837,2,4
12476,20,1,1-20-2019-001-09,9,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,138.068676004783,11,4
12491,24,2,1-24-2019-002-04,4,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,125,887,887,887,887,887,887,887,887,887,887,887,887,887,2281.57338463435,1,4
12488,11,3,1-11-2019-003-07,7,1,887,887,286,887,887,887,887,286,887,887,887,887,887,887,120,887,887,887,887,887,887,887,887,887,887,887,887,887,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,887,887,278,887,887,887,887,278,887,887,40,43,887,887,112,887,887,55,887,887,887,887,887,887,887,887,887,887,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,3,887,887,287,887,887,887,887,287,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,5501.90113032407,8,4
12495,28,1,1-28-2019-001-07,7,1,887,887,262,887,887,887,887,259,887,887,887,887,887,887,124,887,887,887,887,887,13,15,120,10,42,73,887,887,188.933692908723,3,4
12496,32,3,1-32-2019-003-06,6,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,999,999,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,887,887,280,887,887,887,887,288,887,887,887,887,887,887,116,887,887,887,887,887,11,13,887,887,887,887,887,887,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,1882.75480161728,7,4
12497,32,4,1-32-2019-004-07,7,2,887,887,887,887,887,887,887,887,887,887,48,54,156,156,100,887,887,887,887,887,887,887,887,887,887,887,887,887,6526.06701852629,7,4
12496,32,3,1-32-2019-003-06,6,4,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,1882.75480161728,7,4
12499,76,1,1-76-2019-001-06,6,1,887,887,887,887,887,887,887,887,887,887,53,887,887,887,132,887,887,887,887,887,887,887,887,887,887,887,999,999,49.4254425182419,3,4
12505,23,3,1-23-2019-003-03,3,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,999,999,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,145.584933403066,5,4
12501,16,1,1-16-2019-001-09,9,1,887,887,887,887,887,887,887,887,887,887,46,887,887,887,123,887,887,887,887,887,887,887,887,887,887,887,887,887,827.764153416687,5,4
12506,23,4,1-23-2019-004-04,4,1,887,887,887,887,887,887,887,999,887,887,999,887,887,887,90,999,999,887,887,887,999,887,887,887,887,887,887,887,380.869037562636,5,4
12514,27,1,1-27-2019-001-06,6,1,887,887,887,887,887,887,887,887,887,887,999,887,887,887,128,887,887,887,887,887,887,887,887,887,887,887,887,887,127.195256322696,3,4
12514,27,1,1-27-2019-001-06,6,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,106,887,887,887,887,887,887,887,887,887,887,887,887,887,127.195256322696,3,4
