CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
15225,17,121,1-17-2019-121-05,5,1,1,2,350,12,0,7,10,12FYAW08,F,Y,A,W,08,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,999,8,1,BEGINS 4CM R OF C EXTENDS TO LEFT,BC TO BC,65CM L OF C,132,0,132,-33,70,999,999,999,999,999,999,999,,,63.6790843284297,4,4
12959,33,16,1-33-2019-016-08,8,2,1,1,0,12,0,7,320,12FLAW08,F,L,A,W,08,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,999,8,1,21 cm L of C and leftward,BC to BC,LFBC,114,0,142,-46,50,7,3,0,0,0,2,7,,,123.661545139087,12,4
14626,11,86,1-11-2019-086-07,7,1,1,42,0,12,0,0,888,12FRES08,F,R,E,S,08,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,2,Begins forward of RFA; extends Rearward,Begins forward of RFA; Extends Rearward,173cm Aft RFA,999,999,999,999,999,999,999,999,999,999,999,999,,,5875.41900979417,8,4
15579,31,70,1-31-2019-070-03,3,1,2,57,0,12,0,0,888,12FDGS08,F,D,G,S,08,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,2,Hood to B pillar,Hood to B pillar,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,256.798414978008,6,4
14653,19,44,1-19-2019-044-05,5,1,2,68,10,12,0,0,888,12FRES08,F,R,E,S,08,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,1,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,88.8368806488909,9,4
12711,48,4,1-48-2019-004-03,3,1,2,62,0,12,0,0,888,12FLEE08,F,L,E,E,08,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,1,Begins LFBC right 20 cm,Front BC-BC,LFBC,130,0,150,-60,20,999,999,999,999,999,999,999,,,292.016557069451,12,4
15959,12,81,1-12-2019-081-03,3,1,1,51,0,12,0,0,888,12FREE08,F,R,E,E,08,8,8,8,8,888,888,888,10,999,999,999,9999999,999,73,11,2,1,61cm RoC con Right 24cm,BC to BC,85cm RoC,118,0,170,73,24,0,0,0,0,0,0,0,,,729.918094827721,9,4
14375,11,77,1-11-2019-077-02,2,1,4,48,10,12,0,0,888,12FREE08,F,R,E,E,08,8,8,8,8,888,888,888,98,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,113.911411401903,8,4
14021,26,67,1-26-2019-067-02,2,2,1,1,180,6,0,0,160,06BLEE08,B,L,E,E,08,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,8,1,57CM LEFT OF RCP MOVING LEFT,LRBC TO RRBC,75CM LEFT OF RCP,150,0,150,-66,18,999,999,999,999,999,999,999,,,18.3856648152252,10,4
13834,21,46,1-21-2019-046-03,3,1,1,44,190,6,0,0,888,06BLEE08,B,L,E,E,08,8,8,8,8,888,888,888,98,999,999,999,9999999,999,999,999,6,2,BEGINS 55 CM LEFT OF CENTER CONTINUING 19 CM LEFT (TO LR BUMPER CORNER) AND EXTENDING DOWN THE LEFT SIDE TO 66 CM FORWARD OF THE L/R AXLE,NOT MEASURED / CORNER PROTOCOL,UNKNOWN,999,999,148,-67,24,999,999,999,999,999,999,999,,,341.032122794738,11,4
14743,21,87,1-21-2019-087-09,9,2,1,1,180,6,0,0,10,06BLEE08,B,L,E,E,08,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,1,BACK END,NOT MEASURED,AT L/R BUMPER CORNER,999,999,160,999,999,999,999,999,999,999,999,999,,,482.354679059676,11,4
15033,20,41,1-20-2019-041-03,3,2,3,54,340,11,0,0,888,11FLEE08,F,L,E,E,08,8,8,8,8,888,888,888,1,24,-22,8,42283,998,6,24,0,1,50 cm left of center extends left 40 cm,bumper rebar edge to edge,72 cm left of center,148,0,160,-70,40,34,34,21,12,5,0,0,,,925.177563617125,11,4
14565,48,45,1-48-2019-045-03,3,1,1,76,350,12,0,0,888,12FLEE08,F,L,E,E,08,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,1,2cm loc to lfbc,front bc-bc,lfbc,999,999,175,999,999,999,999,999,999,999,999,999,,,130.50504291263,12,4
13040,21,20,1-21-2019-020-01,1,1,1,2,0,12,0,7,195,12FYAW08,F,Y,A,W,08,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,999,8,1,unknown,Not Measured - Severe Override,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,82.0590646182106,11,4
