CASEID,PSU,CASENO,CASENUMBER,CATEGORY,JKWGT1,JKWGT2,JKWGT3,JKWGT4,JKWGT5,JKWGT6,JKWGT7,JKWGT8,JKWGT9,JKWGT10,JKWGT11,JKWGT12,JKWGT13,JKWGT14,JKWGT15,JKWGT16,JKWGT17,JKWGT18,JKWGT19,JKWGT20,JKWGT21,JKWGT22,JKWGT23,JKWGT24,JKWGT25,JKWGT26,JKWGT27,JKWGT28,JKWGT29,JKWGT30,JKWGT31,JKWGT32,CASEWGT,PSUSTRAT,VERSION
12415,24,1,1-24-2019-001-10,10,0,9365.8462364,4796.8053913,4833.4830185,4811.6411324,4799.6188216,4798.8025172,4812.3938143,4879.0149236,4740.5049478,4787.6572466,4947.0494693,4869.2462359,4873.7485755,4844.2715625,4771.9931933,5089.2443609,5216.1401216,5453.8501154,4945.5990086,4815.5813287,4795.7220754,4887.2248491,5017.3219144,4909.896339,5043.2492488,4926.6350053,4804.3148788,4707.3793635,5086.4942871,4760.8902558,4851.1778689,4805.57751704535,1,4
12417,77,1,1-77-2019-001-03,3,1016.0655775,1016.0655775,1016.0655775,1016.0655775,1041.141164,992.19022135,1015.148328,1016.933853,1016.0655775,1016.0655775,1016.0655775,1016.0655775,1022.5145652,1012.5351225,1057.0545222,977.96755603,1016.0655775,1016.0655775,1035.7358239,1060.7395329,1050.2022285,985.92335414,1771.752724,0,1017.0054486,1016.0655775,1016.0655775,1016.0655775,1063.2769866,970.99234858,1010.3692739,1023.1889548,1016.06557753526,9,4
12419,12,1,1-12-2019-001-03,3,339.9393849,339.9393849,339.9393849,339.9393849,348.3287838,331.95154034,339.63250586,340.22987898,339.9393849,339.9393849,339.9393849,339.9393849,342.09698668,338.7582203,353.65282716,327.19314265,339.9393849,339.9393849,346.52034935,354.88570061,351.36029355,329.85486958,0,803.49889996,340.2538323,339.9393849,339.9393849,339.9393849,355.73464233,324.85948645,338.03360442,342.32261346,339.939384901959,9,4
12422,23,1,1-23-2019-001-07,7,1427.1856425,1416.300449,1426.6909142,1416.2924489,1421.7513219,1421.2562405,1421.5182919,1421.4831727,1503.4510879,1350.7955772,2844.8245924,0,1421.1137618,1421.9075335,1424.3468023,1427.429937,1504.4354057,1396.1424836,1895.0889283,1281.4718655,1423.074271,1419.9683529,1419.8281937,1447.8703013,1459.3657607,1398.5115485,1455.6659592,1422.3423523,1420.0058238,1422.9743398,1418.3808831,1424.6598312,1421.50072655981,5,4
12434,14,1,1-14-2019-001-04,4,1392.5388811,1426.911355,1420.0910109,1385.8672448,1402.9606832,1402.7949315,1403.2131475,1402.5431756,1420.9464106,1386.0202618,1462.5052275,1347.7687418,1403.3911022,1402.3448622,1403.801998,1402.021312,1448.1968933,1465.6526105,0,3290.149307,1403.1330734,1402.6243588,1401.9642308,1403.8755899,1422.3770148,1388.9678684,1408.9681034,1396.8444696,1402.395009,1403.3490057,1401.8451226,1403.9092096,1402.876821981,8,4
12442,11,2,1-11-2019-002-09,9,944.24672075,913.75505894,934.04238992,923.67431732,929.37838852,928.47765907,928.36453119,929.48319049,945.68113694,912.53201411,980.64270542,883.13435894,930.57144083,927.24091758,928.91157919,928.93072408,1055.2368931,984.52732359,1897.3512797,0,930.00254476,929.47740629,943.10988651,937.82422638,914.469784,944.26566435,931.6108393,927.47468196,927.74866375,930.08038926,927.97769092,929.85842718,928.921429640586,8,4
12444,19,1,1-19-2019-001-01,1,93.62301138,93.672207237,93.661353427,93.63009242,94.13784631,93.209846565,93.338882651,93.992446776,94.620888972,93.164002973,94.077846837,93.409008485,96.479172025,98.395764096,97.378692648,90.693645669,95.071903558,95.529279774,92.34951658,104.18255052,0,180.53762856,94.850308723,99.609545599,93.560123988,93.782006251,93.292447285,95.329330632,95.182056461,92.232011415,92.620500012,94.682040817,93.6457609646072,9,4
12446,32,2,1-32-2019-002-09,9,589.89632366,570.84736239,583.52140372,577.0441899,580.6076766,580.04496669,579.97429266,580.67314921,590.79244203,570.0832934,612.63387421,551.71778751,581.35300847,579.27234101,580.31604826,580.32800858,0,1230.1213993,592.66318855,580.94123736,580.99760379,580.66953567,589.18611273,585.88401868,571.29387037,589.90815823,582.00234865,579.41837991,579.58954371,581.04623534,579.73262313,580.90756966,580.322202098339,7,4
12449,17,1,1-17-2019-001-09,9,977.58971995,946.02134436,967.02505639,956.29086906,962.19636096,961.26382518,961.14670256,962.30486367,0,1889.5102234,1015.2709103,914.31937401,963.43154203,959.98341219,961.71306778,961.73288871,1092.499149,1019.2927011,982.17503193,962.7491455,962.84255725,962.29887522,976.41274211,970.94043609,946.76130761,977.60933248,964.50764347,960.2254312,960.50908777,962.92315057,960.74620228,962.69335062,961.723266068137,4,4
12452,26,1,1-26-2019-001-02,2,22.302216727,22.138492983,22.220349897,22.219756648,22.220053269,22.220053269,22.220053269,22.220053269,22.202206839,22.237928412,21.981029035,22.464333005,22.220053269,22.220053269,22.220053269,22.220053269,22.16578683,22.274586071,22.12915753,22.44101982,22.220053269,22.220053269,22.220053269,22.220053269,44.082431621,0,22.304273442,22.136466728,22.220053269,22.220053269,22.220053269,22.220053269,22.2200532685247,10,4
12454,33,1,1-33-2019-001-07,7,107.22079411,106.52827182,106.86912603,106.85782242,109.35174101,104.49702797,106.72768881,106.99970967,107.82321915,106.0329601,106.91964814,106.80798063,108.183313,105.52122751,118.50115544,98.477058038,112.18371833,105.71705094,108.19244372,119.87307067,110.57576327,103.55069376,102.68677875,113.35831139,107.18289213,107.06446723,109.01879298,107.33060144,108.31859572,105.45454538,0,225.17941355,106.863578762211,12,4
12455,59,2,1-59-2019-002-04,4,389.80509411,391.52361273,389.17471161,388.76530702,409.94678187,370.14305557,392.61631379,385.49357231,389.63105276,388.34526037,390.03988622,387.97894248,780.06874145,0,414.64694087,367.18104172,420.65182082,388.21681167,388.33358879,392.27664596,412.30132408,368.56203525,347.21379707,446.20119645,389.9171291,388.15165984,389.1827998,388.75886633,398.43344715,379.79871128,401.83410039,376.11359727,388.969009954007,6,4
12462,22,1,1-22-2019-001-08,8,89.639258049,89.443068185,89.289648433,89.759972895,89.046015516,90.041068769,90.446860603,88.603135536,90.201242473,88.87951262,90.366457699,88.725239837,90.792994964,90.028209974,97.254819121,85.564569719,95.586895256,91.297446658,93.157983039,101.04753542,104.03574716,79.591352332,101.60895438,80.544106386,88.499453489,90.604538411,88.561522825,90.616490306,0,175.85722223,93.929473976,85.641012091,89.5221923404952,12,4
12468,18,1,1-18-2019-001-08,8,145.50788889,145.18942159,144.94038133,145.70384056,144.54490158,146.16013246,146.81883842,143.82599189,146.42013615,144.27462396,146.68832354,144.02419901,147.38070474,146.13925929,0,277.78721455,155.1624549,148.19956137,151.21969704,164.02649772,168.87714455,129.19751796,164.93782708,130.74408622,143.65768889,147.07479061,143.75844361,147.09419166,148.00085505,142.73106287,152.472028,139.01769318,145.317860723262,6,4
12471,21,1,1-21-2019-001-03,3,185.15152058,183.79229694,184.47186759,184.46694249,184.46940501,184.46940501,184.46940501,184.46940501,184.32124513,184.61780326,182.48504171,186.49739914,184.46940501,184.46940501,184.46940501,184.46940501,184.01888864,184.9221327,186.89028627,193.77274585,184.46940501,184.46940501,184.46940501,184.46940501,183.15397104,185.97839177,370.33719057,0,184.46940501,184.46940501,184.46940501,184.46940501,184.469405006755,11,4
12475,10,1,1-10-2019-001-10,10,1664.9997533,1523.9168581,1590.5662516,1593.1067296,1590.7243809,1586.7498154,1586.4799459,1590.9732169,3346.2515812,0,1554.3579516,1665.586446,1609.7685781,1611.2570477,1601.5119728,1577.6168067,2066.598797,1471.8512263,1494.9364727,2134.2455193,1592.0270064,1585.4615545,1615.7122921,1658.7222689,1820.3243101,1526.7240352,1628.7412555,1588.3023279,1556.2555307,1681.5905953,1573.9461852,1603.7951917,1588.71975497458,4,4
12476,20,1,1-20-2019-001-09,9,139.08141994,137.07840994,138.00855879,138.12741761,138.13659532,138.00271691,137.98590234,138.15217238,138.22340151,137.91927685,137.72968036,138.64257552,138.31392265,137.81889592,138.0672119,138.07005747,152.71362604,149.78600956,138.58669386,140.56832907,138.22936573,138.15131266,140.17755345,139.39192824,136.20566937,140.09007796,0,275.70728219,137.89436392,138.24093602,137.92840499,138.20794506,138.068676004783,11,4
12477,30,2,1-30-2019-002-04,4,313.31891676,321.05266584,319.51809984,311.81780976,315.66380479,315.62651093,315.72060882,315.56986627,319.71056334,311.85223832,329.06122755,303.24571039,315.76064835,315.52524608,315.8530992,315.45244783,325.84187632,329.76938346,272.92079341,370.13904274,315.70259228,315.58813235,315.43960466,315.86965726,0,625.03088978,317.01546428,314.28766697,315.53652902,315.75117669,315.41280551,315.87722163,315.64493614952,10,4
