CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEQUENCE,PREEVENT,CASEWGT,PSUSTRAT,VERSION
12692,26,8,1-26-2019-008-02,2,1,1,2,41.7668957553833,10,4
12703,23,10,1-23-2019-010-10,10,1,1,2,3265.84969576659,5,4
12711,48,4,1-48-2019-004-03,3,1,1,2,292.016557069451,12,4
12711,48,4,1-48-2019-004-03,3,1,2,2,292.016557069451,12,4
12711,48,4,1-48-2019-004-03,3,1,3,2,292.016557069451,12,4
12711,48,4,1-48-2019-004-03,3,1,4,2,292.016557069451,12,4
12711,48,4,1-48-2019-004-03,3,1,5,2,292.016557069451,12,4
12696,11,8,1-11-2019-008-02,2,1,1,2,103.545084106156,8,4
12742,17,10,1-17-2019-010-08,8,1,1,2,224.735832285865,4,4
12752,21,9,1-21-2019-009-02,2,1,1,2,32.7360487870005,11,4
12792,28,5,1-28-2019-005-01,1,1,1,2,50.2717370019429,3,4
12831,30,15,1-30-2019-015-08,8,1,3,2,317.780449440281,10,4
12831,30,15,1-30-2019-015-08,8,1,5,2,317.780449440281,10,4
12840,20,10,1-20-2019-010-02,2,1,1,2,44.6123262498575,11,4
12840,20,10,1-20-2019-010-02,2,1,2,2,44.6123262498575,11,4
12842,11,12,1-11-2019-012-08,8,1,1,2,1349.82277295787,8,4
12836,76,6,1-76-2019-006-07,7,1,1,2,38.3115520704336,3,4
12852,54,7,1-54-2019-007-04,4,1,1,2,319.742500330254,9,4
12849,77,11,1-77-2019-011-02,2,1,1,2,82.9547267506105,9,4
12860,12,11,1-12-2019-011-07,7,1,1,2,1892.17017487481,9,4
12872,33,13,1-33-2019-013-09,9,1,3,2,136.359569149847,12,4
12875,17,15,1-17-2019-015-08,8,1,1,2,111.86140565348,4,4
12879,13,14,1-13-2019-014-08,8,1,1,2,653.262081600668,7,4
12882,29,16,1-29-2019-016-09,9,1,1,2,913.414338545398,2,4
12889,17,17,1-17-2019-017-07,7,1,1,2,582.433085125168,4,4
12891,18,8,1-18-2019-008-07,7,2,1,2,1047.25534764402,6,4
12898,10,6,1-10-2019-006-04,4,1,1,2,1028.76039101132,4,4
12899,10,7,1-10-2019-007-08,8,1,1,2,270.819787317434,4,4
12902,31,9,1-31-2019-009-10,10,1,1,2,301.212188506147,6,4
12919,73,8,1-73-2019-008-01,1,1,1,2,42.5012182742413,3,4
12921,23,16,1-23-2019-016-02,2,1,1,2,56.2593164599354,5,4
12921,23,16,1-23-2019-016-02,2,1,2,2,56.2593164599354,5,4
12948,26,16,1-26-2019-016-08,8,1,1,2,197.113444817564,10,4
12955,17,19,1-17-2019-019-06,6,1,3,2,343.281820193161,4,4
12957,22,16,1-22-2019-016-09,9,1,1,2,48.7356038437694,12,4
12962,20,13,1-20-2019-013-02,2,1,1,2,106.248959734922,11,4
12968,18,9,1-18-2019-009-04,4,1,1,2,1669.34875342842,6,4
12980,14,8,1-14-2019-008-04,4,2,1,2,1935.67708685251,8,4
12981,54,10,1-54-2019-010-04,4,1,1,2,403.740327905593,9,4
12982,22,18,1-22-2019-018-10,10,1,1,2,277.794195559646,12,4
12961,33,18,1-33-2019-018-08,8,1,3,2,123.661545139087,12,4
12997,73,10,1-73-2019-010-06,6,1,1,2,268.128963622356,3,4
13001,66,15,1-66-2019-015-09,9,1,1,2,299.791516020628,6,4
13002,12,14,1-12-2019-014-06,6,1,1,2,641.795813719844,9,4
13009,76,9,1-76-2019-009-04,4,1,1,2,87.3196311722283,3,4
13021,19,13,1-19-2019-013-05,5,1,1,2,76.0807819310052,9,4
13029,29,21,1-29-2019-021-01,1,1,1,2,43.0855728550254,2,4
13029,29,21,1-29-2019-021-01,1,1,2,2,43.0855728550254,2,4
13032,33,20,1-33-2019-020-05,5,1,1,2,81.3783007853786,12,4
13048,22,20,1-22-2019-020-09,9,1,1,2,178.675805107266,12,4
13055,66,16,1-66-2019-016-07,7,1,1,2,832.783506237597,6,4
13071,23,20,1-23-2019-020-09,9,1,3,2,1275.85259641058,5,4
13084,54,12,1-54-2019-012-01,1,1,1,2,190.261308940954,9,4
13094,59,20,1-59-2019-020-04,4,1,3,2,696.540413716553,6,4
13106,22,22,1-22-2019-022-01,1,1,3,2,40.1392378017778,12,4
13107,22,23,1-22-2019-023-09,9,1,1,2,293.12914846587,12,4
13107,22,23,1-22-2019-023-09,9,1,2,2,293.12914846587,12,4
13112,15,22,1-15-2019-022-02,2,1,1,2,23.9615775550463,1,4
13109,33,22,1-33-2019-022-06,6,1,1,2,89.6193802859093,12,4
13149,32,26,1-32-2019-026-03,3,1,1,2,1678.65747253131,7,4
13149,32,26,1-32-2019-026-03,3,1,2,2,1678.65747253131,7,4
13152,14,14,1-14-2019-014-06,6,1,1,2,2895.49607072437,8,4
13152,14,14,1-14-2019-014-06,6,1,2,2,2895.49607072437,8,4
13166,26,27,1-26-2019-027-05,5,2,1,2,81.3418605465859,10,4
13178,17,29,1-17-2019-029-06,6,1,3,2,105.220265838513,4,4
13181,33,26,1-33-2019-026-07,7,1,1,2,280.687442122669,12,4
13184,22,26,1-22-2019-026-10,10,1,1,2,363.749975263407,12,4
13195,30,30,1-30-2019-030-10,10,1,1,2,8370.16905129819,10,4
13209,77,29,1-77-2019-029-03,3,1,1,2,658.356662229669,9,4
13212,14,15,1-14-2019-015-09,9,1,1,2,8097.04603053536,8,4
13213,28,13,1-28-2019-013-09,9,1,1,2,147.502054458683,3,4
13215,54,15,1-54-2019-015-01,1,1,3,2,190.261308940954,9,4
13220,25,15,1-25-2019-015-06,6,1,1,2,267.39033703507,2,4
13229,66,19,1-66-2019-019-04,4,1,1,2,182.70742258655,6,4
13243,22,28,1-22-2019-028-03,3,1,1,2,49.798219346877,12,4
13243,22,28,1-22-2019-028-03,3,1,2,2,49.798219346877,12,4
13243,22,28,1-22-2019-028-03,3,1,3,2,49.798219346877,12,4
13244,27,15,1-27-2019-015-03,3,1,1,2,23.6316014774477,3,4
13223,32,29,1-32-2019-029-09,9,1,1,2,3935.32022040035,7,4
13276,11,28,1-11-2019-028-05,5,1,1,2,119.851494799682,8,4
13281,73,17,1-73-2019-017-02,2,1,1,2,37.4187375463615,3,4
13266,12,18,1-12-2019-018-08,8,1,1,2,357.08177615475,9,4
13283,48,17,1-48-2019-017-07,7,1,1,2,1735.19833469211,12,4
13306,19,18,1-19-2019-018-08,8,1,1,2,294.802024031792,9,4
13321,17,36,1-17-2019-036-06,6,1,1,2,160.927602470944,4,4
13323,33,32,1-33-2019-032-03,3,1,1,2,116.041348447501,12,4
13347,77,32,1-77-2019-032-08,8,1,3,2,268.462012277804,9,4
13353,73,19,1-73-2019-019-04,4,1,1,2,52.0928521798202,3,4
13357,48,19,1-48-2019-019-05,5,1,5,2,97.9450546464292,12,4
13357,48,19,1-48-2019-019-05,5,1,1,2,97.9450546464292,12,4
13357,48,19,1-48-2019-019-05,5,1,3,2,97.9450546464292,12,4
13357,48,19,1-48-2019-019-05,5,1,4,2,97.9450546464292,12,4
13363,28,16,1-28-2019-016-10,10,1,1,2,324.442431463755,3,4
13364,28,17,1-28-2019-017-09,9,1,1,2,60.3714160948149,3,4
13367,32,38,1-32-2019-038-06,6,1,1,2,1175.77799215703,7,4
13384,26,37,1-26-2019-037-03,3,1,1,2,414.368608626376,10,4
13396,27,21,1-27-2019-021-06,6,1,1,2,58.7762501787772,3,4
13400,21,34,1-21-2019-034-02,2,1,1,2,32.7360487870005,11,4
13413,24,40,1-24-2019-040-06,6,1,1,2,681.923479586081,1,4
13424,10,17,1-10-2019-017-09,9,1,1,2,328.454294549133,4,4
13427,54,20,1-54-2019-020-01,1,1,1,2,212.66687050627,9,4
13435,14,21,1-14-2019-021-05,5,1,1,2,345.772290627062,8,4
13449,12,24,1-12-2019-024-03,3,1,1,2,275.6417920954,9,4
