CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
15723,18,68,1-18-2019-068-03,3,1,1,1,1,0.00,0.00,7,0,0.00,0.00,41.00,9997.00,9997.00,0,7,7,1,0.00,0.00,0,0,18.00,18.00,18.00,9997.00,9997.00,7,7,7,493.458527374334,6,4
15723,18,68,1-18-2019-068-03,3,1,1,2,1,0.00,0.00,7,0,0.00,0.00,0.00,9997.00,9997.00,0,7,7,1,0.00,0.00,0,0,0.00,0.00,0.00,9997.00,9997.00,7,7,7,493.458527374334,6,4
13579,16,25,1-16-2019-025-06,6,1,1,1,1,17.00,27.00,7,8,9997.00,9997.00,16.50,16.50,9997.00,0,7,7,1,17.00,22.00,7,8,9997.00,9997.00,16.50,16.50,9997.00,0,5,7,1337.67061459615,5,4
14850,16,62,1-16-2019-062-04,4,1,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,7,7,1,9995.00,9995.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,5,7,1022.24924719332,5,4
14850,16,62,1-16-2019-062-04,4,1,1,2,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,0,7,7,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,0,5,7,1022.24924719332,5,4
14850,16,62,1-16-2019-062-04,4,1,1,3,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,0,1,7,1022.24924719332,5,4
12792,28,5,1-28-2019-005-01,1,1,1,1,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,0,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,50.2717370019429,3,4
13213,28,13,1-28-2019-013-09,9,1,1,1,1,37.50,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,0,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,147.502054458683,3,4
13213,28,13,1-28-2019-013-09,9,1,1,2,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,0,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,147.502054458683,3,4
13565,28,20,1-28-2019-020-06,6,1,1,1,1,29.00,32.00,7,8,9995.00,9995.00,29.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,29.00,9997.00,9997.00,7,7,7,75.915655932847,3,4
14000,28,30,1-28-2019-030-06,6,1,1,3,0,9995.00,9995.00,7,8,9995.00,253.00,9994.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,253.00,9994.00,9997.00,9997.00,7,0,7,302.287301111326,3,4
14000,28,30,1-28-2019-030-06,6,1,1,2,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,0,7,302.287301111326,3,4
14000,28,30,1-28-2019-030-06,6,1,1,1,0,44.00,9995.00,7,8,9995.00,9995.00,36.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,36.00,9997.00,9997.00,7,0,7,302.287301111326,3,4
12477,30,2,1-30-2019-002-04,4,2,1,2,1,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,0,7,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,0,7,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,1,3,1,22.00,52.00,7,8,9997.00,22.00,22.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9997.00,22.00,9995.00,9997.00,9997.00,7,0,7,315.64493614952,10,4
15534,30,100,1-30-2019-100-04,4,1,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9997.00,9997.00,9997.00,7,7,7,1,9995.00,9995.00,0,8,8.00,8.00,8.00,9997.00,9997.00,7,5,7,7587.99593095192,10,4
13075,32,22,1-32-2019-022-02,2,2,1,1,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,7,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,38.3547604389841,7,4
13075,32,22,1-32-2019-022-02,2,2,1,2,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,7,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,38.3547604389841,7,4
14392,32,85,1-32-2019-085-05,5,2,1,3,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,0,7,233.834725105551,7,4
14392,32,85,1-32-2019-085-05,5,2,1,1,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,0,7,233.834725105551,7,4
14392,32,85,1-32-2019-085-05,5,2,1,2,0,9995.00,9995.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,0,7,233.834725105551,7,4
