CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
12419,12,1,1-12-2019-001-03,3,1,1,3,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,5685,339.939384901959,9,4
12417,77,1,1-77-2019-001-03,3,2,1,2,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,2769,1016.06557753526,9,4
12449,17,1,1-17-2019-001-09,9,1,1,1,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,999998,961.723266068137,4,4
12454,33,1,1-33-2019-001-07,7,1,1,2,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,999998,106.863578762211,12,4
12477,30,2,1-30-2019-002-04,4,1,1,1,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,9161,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,1,3,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,1849,315.64493614952,10,4
12462,22,1,1-22-2019-001-08,8,1,1,1,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,999998,89.5221923404952,12,4
12452,26,1,1-26-2019-001-02,2,1,1,2,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,9029,22.2200532685247,10,4
12444,19,1,1-19-2019-001-01,1,1,1,3,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,3267,93.6457609646072,9,4
12479,29,2,1-29-2019-002-06,6,1,1,0,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,16239,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,1,1,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,8579,206.157258091837,2,4
12491,24,2,1-24-2019-002-04,4,1,1,3,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,1574,2281.57338463435,1,4
12488,11,3,1-11-2019-003-07,7,2,1,1,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,8864,5501.90113032407,8,4
12496,32,3,1-32-2019-003-06,6,2,1,1,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,20148,1882.75480161728,7,4
12499,76,1,1-76-2019-001-06,6,1,1,2,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,6135,49.4254425182419,3,4
12505,23,3,1-23-2019-003-03,3,2,1,1,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,3824,145.584933403066,5,4
12501,16,1,1-16-2019-001-09,9,1,1,1,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,2,999998,827.764153416687,5,4
12514,27,1,1-27-2019-001-06,6,2,1,1,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,12713,127.195256322696,3,4
12511,73,1,1-73-2019-001-06,6,1,1,1,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,15347,267.702349067211,3,4
12510,54,1,1-54-2019-001-06,6,1,1,1,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,5256,880.16844999361,9,4
12524,29,4,1-29-2019-004-06,6,1,1,1,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,16274,188.943807608076,2,4
12527,17,3,1-17-2019-003-06,6,1,1,2,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,10038,237.495424998864,4,4
12519,26,2,1-26-2019-002-06,6,2,1,3,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,999998,973.309185582467,10,4
12535,66,1,1-66-2019-001-10,10,1,1,1,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,999998,384.71786995987,6,4
12534,31,1,1-31-2019-001-04,4,1,1,2,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,287,960.230949818511,6,4
12523,29,3,1-29-2019-003-06,6,1,1,1,Crash Data Retrieval Tool 17.9.1,Crash Data Retrieval Tool 19.5.1,1,11204,188.943807610028,2,4
