CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EQUIP,AVAIL,ACTIVATE,CASEWGT,PSUSTRAT,VERSION
12455,59,2,1-59-2019-002-04,4,2,7,0,8,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,2,8,0,8,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,2,9,0,8,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,2,10,1,2,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,2,11,1,2,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,2,12,1,2,388.969009954007,6,4
12471,21,1,1-21-2019-001-03,3,2,1,0,8,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,2,0,8,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,3,0,8,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,4,0,8,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,5,0,8,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,6,0,8,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,7,0,8,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,8,0,8,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,9,0,8,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,10,0,8,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,11,0,8,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,12,0,8,184.469405006755,11,4
12477,30,2,1-30-2019-002-04,4,1,1,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,2,1,9,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,3,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,4,1,1,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,5,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,6,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,7,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,8,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,9,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,10,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,11,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,12,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,1,9,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,2,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,3,1,2,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,4,1,2,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,5,1,2,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,6,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,7,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,8,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,9,9,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,10,9,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,11,0,8,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,12,9,8,315.64493614952,10,4
12479,29,2,1-29-2019-002-06,6,1,1,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,2,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,3,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,4,1,2,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,5,1,2,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,6,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,7,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,8,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,9,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,10,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,11,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,12,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,1,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,2,1,2,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,3,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,4,1,1,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,5,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,6,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,7,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,8,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,9,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,10,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,11,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,12,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,3,1,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,3,2,9,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,3,3,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,3,4,1,9,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,3,5,1,2,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,3,6,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,3,7,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,3,8,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,3,9,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,3,10,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,3,11,0,8,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,3,12,0,8,206.157258091837,2,4
12488,11,3,1-11-2019-003-07,7,2,1,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,2,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,3,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,4,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,5,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,6,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,7,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,8,1,9,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,9,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,10,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,11,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,12,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,3,1,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,3,2,1,9,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,3,3,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,3,4,1,9,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,3,5,1,2,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,3,6,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,3,7,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,3,8,9,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,3,9,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,3,10,0,8,5501.90113032407,8,4
