CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GLAZLOC,GLAZTYPE,GLAZPRE,GLAZIMP,GLAZOCC,CASEWGT,PSUSTRAT,VERSION
15865,11,113,1-11-2019-113-03,3,2,2,2,2,6,2,2223.28446964219,8,4
14150,27,38,1-27-2019-038-06,6,2,8,2,1,1,1,137.699333258201,3,4
14150,27,38,1-27-2019-038-06,6,2,5,2,1,1,1,137.699333258201,3,4
14150,27,38,1-27-2019-038-06,6,2,4,2,2,1,1,137.699333258201,3,4
14150,27,38,1-27-2019-038-06,6,2,3,2,2,1,1,137.699333258201,3,4
14150,27,38,1-27-2019-038-06,6,2,7,2,2,1,1,137.699333258201,3,4
14150,27,38,1-27-2019-038-06,6,2,10,99,1,2,1,137.699333258201,3,4
14150,27,38,1-27-2019-038-06,6,2,2,2,4,6,1,137.699333258201,3,4
14150,27,38,1-27-2019-038-06,6,2,1,1,1,2,9,137.699333258201,3,4
14151,14,34,1-14-2019-034-02,2,1,1,1,1,2,3,204.110511522114,8,4
14153,31,37,1-31-2019-037-06,6,1,1,1,1,2,3,456.865787275032,6,4
14131,66,38,1-66-2019-038-06,6,1,1,1,1,2,3,306.205507027914,6,4
14207,32,75,1-32-2019-075-02,2,1,1,1,1,1,3,57.9132163315952,7,4
14102,13,45,1-13-2019-045-03,3,1,1,1,1,2,3,1633.86378194072,7,4
14194,28,34,1-28-2019-034-02,2,1,3,2,2,1,2,43.8808232157901,3,4
14194,28,34,1-28-2019-034-02,2,1,1,1,1,2,3,43.8808232157901,3,4
14196,76,28,1-76-2019-028-02,2,1,98,2,1,1,1,17.8412675214616,3,4
14196,76,28,1-76-2019-028-02,2,1,5,99,1,1,1,17.8412675214616,3,4
14196,76,28,1-76-2019-028-02,2,1,10,99,1,1,1,17.8412675214616,3,4
14196,76,28,1-76-2019-028-02,2,1,8,99,1,1,1,17.8412675214616,3,4
14196,76,28,1-76-2019-028-02,2,1,7,99,2,1,1,17.8412675214616,3,4
14196,76,28,1-76-2019-028-02,2,1,2,99,2,1,1,17.8412675214616,3,4
14196,76,28,1-76-2019-028-02,2,1,4,99,2,1,1,17.8412675214616,3,4
14196,76,28,1-76-2019-028-02,2,1,3,99,2,1,1,17.8412675214616,3,4
14196,76,28,1-76-2019-028-02,2,1,1,1,1,2,4,17.8412675214616,3,4
