CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
20541,19,10,1-19-2021-010-08,8,1,1,41,50,2,0,0,888,02RZEW02,R,Z,E,W,02,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,2,Begs 90cm rear RRA extending fwd,N/a,56cm rear RRA,999,999,999,999,62,999,999,999,999,999,999,999,,,80.6950063405376,9,6
20533,32,7,1-32-2021-007-04,4,1,1,2,80,3,0,0,10,03RBEW01,R,B,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,1,"starts 224 cm rearward of RF axle, extending 80 cm rearward",same as direct,Unknown,80,-100,80,-100,80,999,999,999,999,999,999,999,,,8342.86106020066,7,6
20361,16,1,1-16-2021-001-03,3,2,1,1,10,12,0,0,250,12FZEW01,F,Z,E,W,01,8,8,8,8,888,888,888,1,19,-18,-3,24428,998,11,18,0,1,20cm ROC ext R,BC to BC,30cm ROC,152,0,152,52,60,11,5,2,5,9,6,11,,,453.947044454748,5,6
20361,16,1,1-16-2021-001-03,3,1,1,2,260,9,0,0,180,09LPEW02,L,P,E,W,02,0,1,0,0,32,53,22,1,23,4,23,33487,998,-17,24,0,1,99cm aft LF Axle ext RWD,48cm aft LF Axle ext RWD,179cm aft LF Axle,198,-19,198,-19,99,23,5,22,23,12,6,0,,,453.947044454748,5,6
20541,19,10,1-19-2021-010-08,8,1,2,41,20,1,0,0,888,01RYEW01,R,Y,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,8,Begs102cm fwd RRA extending fwd,N/a,272cm fwd RRA,999,999,999,999,202,999,999,999,999,999,999,999,,,80.6950063405376,9,6
20475,33,1,1-33-2021-001-10,10,1,1,60,0,12,0,0,888,12FRWN03,F,R,W,N,03,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,1,RF TIRE,UNKNOWN,RF TIRE,999,999,999,999,999,999,999,999,999,999,999,999,,,27.8376456600101,12,6
20501,11,1,1-11-2021-001-03,3,2,1,1,320,11,0,0,355,11FLEE09,F,L,E,E,09,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,1,BEGINS 64CM LEFT OF FRONT CENTER POINT; EXTENDS LEFT,FRONT BUMPER CORNER TO FRONT BUMPER CORNER,LEFT FRONT BUMPER CORNER,999,999,150,999,11,999,999,999,999,999,999,999,,,3474.20574367095,8,6
23689,29,88,1-29-2021-088-07,7,2,1,1,200,7,0,0,190,07LZEW01,L,Z,E,W,01,0,0,1,0,28,57,0,3,7,6,2,3539,998,34,8,0,1,begins 73cm forward of left rear axle extending rearward,begins 46cm forward of left rear axle extending rearward,29cm rearward of left rear axle,99,-133,99,-122,139,5,0,5,1,2,3,2,,,146.325286538248,2,6
23408,28,77,1-28-2021-077-06,6,1,4,99,0,12,0,0,888,12LPGN02,L,P,G,N,02,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,8,Driver's side rearview mirror,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,90.8578689144453,3,6
23917,77,91,1-77-2021-091-01,1,1,1,31,998,0,0,0,888,00TYDO04,T,Y,D,O,04,8,8,8,8,888,888,888,6,999,999,999,9999999,999,999,999,8,1,Roof rail to roof rail,Rollover,Right windshield header,888,888,888,888,888,,,,,,,,16,20,169.582021156132,9,6
