CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
20673,30,12,1-30-2021-012-03,3,4,1,1,Crash Data Retrieval Tool 21.0,Crash Data Retrieval Tool 21.0,1,4980,201.49658033458,10,6
20672,17,8,1-17-2021-008-07,7,1,1,1,Crash Data Retrieval Tool 21.0,Crash Data Retrieval Tool 21.0,1,7233,525.252082803627,4,6
20675,77,8,1-77-2021-008-02,2,1,1,5,Crash Data Retrieval Tool 21.0,Crash Data Retrieval Tool 21.0,1,6426,86.1478225129126,9,6
20676,77,9,1-77-2021-009-10,10,1,1,0,Crash Data Retrieval Tool 21.0,Crash Data Retrieval Tool 21.1,1,13473,15312.4536697005,9,6
20681,17,9,1-17-2021-009-04,4,2,1,1,Crash Data Retrieval Tool 21.0,Crash Data Retrieval Tool 21.2.1,1,1094,146.069364405972,4,6
20682,17,10,1-17-2021-010-04,4,1,1,1,Crash Data Retrieval Tool 21.0,Crash Data Retrieval Tool 21.0,1,3577,146.069364405972,4,6
20684,24,12,1-24-2021-012-04,4,2,1,1,Crash Data Retrieval Tool 21.0,Crash Data Retrieval Tool 21.1,1,3031,4140.30265531547,1,6
20687,48,7,1-48-2021-007-03,3,1,1,1,Crash Data Retrieval Tool 21.0,Crash Data Retrieval Tool 21.0,1,18541,151.391836887882,12,6
20687,48,7,1-48-2021-007-03,3,2,1,1,Crash Data Retrieval Tool 21.0,Crash Data Retrieval Tool 21.0,1,5046,151.391836887882,12,6
20690,16,9,1-16-2021-009-02,2,1,1,1,Crash Data Retrieval Tool 21.0,Crash Data Retrieval Tool 21.0,1,612,28.6223239855587,5,6
20701,28,9,1-28-2021-009-03,3,1,1,3,Crash Data Retrieval Tool 21.0,Crash Data Retrieval Tool 21.0,1,9015,46.7688147475126,3,6
20701,28,9,1-28-2021-009-03,3,2,1,1,Crash Data Retrieval Tool 21.0,Crash Data Retrieval Tool 21.0,1,2467,46.7688147475126,3,6
20702,28,10,1-28-2021-010-04,4,1,1,3,Crash Data Retrieval Tool 21.0.1,Crash Data Retrieval Tool 21.0,1,2821,102.913853581173,3,6
20699,13,7,1-13-2021-007-10,10,2,1,2,Crash Data Retrieval Tool 21.0.1,Crash Data Retrieval Tool 21.0,1,999997,20346.058771798,7,6
20711,66,6,1-66-2021-006-10,10,1,1,0,Crash Data Retrieval Tool 21.0,Crash Data Retrieval Tool 21.0,2,999997,165.532461606891,6,6
20712,66,7,1-66-2021-007-01,1,2,1,1,Crash Data Retrieval Tool 21.0.1,Crash Data Retrieval Tool 21.0,1,7567,130.690432211416,6,6
