CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,SEATLOC,CASEWGT,PSUSTRAT,VERSION
21711,27,37,1-27-2021-037-10,10,1,2,13,484.042077085217,3,6
21717,23,40,1-23-2021-040-05,5,1,1,11,82.040189879216,5,6
21717,23,40,1-23-2021-040-05,5,1,2,13,82.040189879216,5,6
21585,16,32,1-16-2021-032-07,7,2,1,11,1552.03567280326,5,6
21585,16,32,1-16-2021-032-07,7,3,1,11,1552.03567280326,5,6
21585,16,32,1-16-2021-032-07,7,3,2,13,1552.03567280326,5,6
21725,19,66,1-19-2021-066-10,10,2,1,11,2476.84283442919,9,6
21725,19,66,1-19-2021-066-10,10,2,2,11,2476.84283442919,9,6
21725,19,66,1-19-2021-066-10,10,2,3,11,2476.84283442919,9,6
21725,19,66,1-19-2021-066-10,10,2,4,13,2476.84283442919,9,6
21725,19,66,1-19-2021-066-10,10,2,5,13,2476.84283442919,9,6
21725,19,66,1-19-2021-066-10,10,2,6,13,2476.84283442919,9,6
21725,19,66,1-19-2021-066-10,10,2,3,21,2476.84283442919,9,6
21725,19,66,1-19-2021-066-10,10,2,6,23,2476.84283442919,9,6
21726,19,67,1-19-2021-067-02,2,1,1,11,47.1230765782335,9,6
21726,19,67,1-19-2021-067-02,2,1,2,11,47.1230765782335,9,6
21726,19,67,1-19-2021-067-02,2,1,3,11,47.1230765782335,9,6
21726,19,67,1-19-2021-067-02,2,1,4,13,47.1230765782335,9,6
21726,19,67,1-19-2021-067-02,2,1,5,13,47.1230765782335,9,6
21726,19,67,1-19-2021-067-02,2,1,6,13,47.1230765782335,9,6
21726,19,67,1-19-2021-067-02,2,1,3,21,47.1230765782335,9,6
21726,19,67,1-19-2021-067-02,2,1,6,23,47.1230765782335,9,6
21727,19,68,1-19-2021-068-06,6,1,1,11,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,1,2,11,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,1,3,11,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,1,4,13,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,1,5,13,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,1,6,13,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,1,3,21,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,1,6,23,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,2,1,11,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,2,2,11,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,2,3,11,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,2,4,13,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,2,5,13,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,2,6,13,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,2,3,21,214.865014550972,9,6
21727,19,68,1-19-2021-068-06,6,2,6,23,214.865014550972,9,6
21734,20,46,1-20-2021-046-02,2,1,1,11,55.9656336770062,11,6
21734,20,46,1-20-2021-046-02,2,1,2,13,55.9656336770062,11,6
21734,20,46,1-20-2021-046-02,2,2,1,11,55.9656336770062,11,6
21734,20,46,1-20-2021-046-02,2,2,2,11,55.9656336770062,11,6
21734,20,46,1-20-2021-046-02,2,2,3,11,55.9656336770062,11,6
21734,20,46,1-20-2021-046-02,2,2,4,13,55.9656336770062,11,6
21734,20,46,1-20-2021-046-02,2,2,5,13,55.9656336770062,11,6
21734,20,46,1-20-2021-046-02,2,2,6,13,55.9656336770062,11,6
21734,20,46,1-20-2021-046-02,2,2,3,21,55.9656336770062,11,6
21734,20,46,1-20-2021-046-02,2,2,6,23,55.9656336770062,11,6
21728,19,69,1-19-2021-069-10,10,1,1,11,2476.84283442919,9,6
21728,19,69,1-19-2021-069-10,10,1,2,13,2476.84283442919,9,6
21722,29,34,1-29-2021-034-06,6,1,3,11,56.7817008733747,2,6
21722,29,34,1-29-2021-034-06,6,1,6,11,56.7817008733747,2,6
21722,29,34,1-29-2021-034-06,6,1,1,11,56.7817008733747,2,6
21722,29,34,1-29-2021-034-06,6,1,2,11,56.7817008733747,2,6
21722,29,34,1-29-2021-034-06,6,1,4,13,56.7817008733747,2,6
21722,29,34,1-29-2021-034-06,6,1,5,13,56.7817008733747,2,6
21722,29,34,1-29-2021-034-06,6,1,7,13,56.7817008733747,2,6
21722,29,34,1-29-2021-034-06,6,1,3,21,56.7817008733747,2,6
21722,29,34,1-29-2021-034-06,6,1,5,23,56.7817008733747,2,6
21722,29,34,1-29-2021-034-06,6,2,1,11,56.7817008733747,2,6
21722,29,34,1-29-2021-034-06,6,2,2,11,56.7817008733747,2,6
21722,29,34,1-29-2021-034-06,6,2,3,11,56.7817008733747,2,6
21722,29,34,1-29-2021-034-06,6,2,7,11,56.7817008733747,2,6
21722,29,34,1-29-2021-034-06,6,2,4,13,56.7817008733747,2,6
21722,29,34,1-29-2021-034-06,6,2,5,13,56.7817008733747,2,6
