CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVNTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
20622,31,5,1-31-2021-005-07,7,1,1,1,3rd Prior Event,97,13371,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,242.440585619395,6,6
20622,31,5,1-31-2021-005-07,7,1,1,2,4th Prior Event,97,999997,7,97,9997.0000,1,9997.0000,-10.7870,162.5000,997.0000,9997.0000,242.440585619395,6,6
20622,31,5,1-31-2021-005-07,7,1,1,3,5th Prior Event,97,999997,7,97,9997.0000,1,9997.0000,13.5240,142.0000,997.0000,9997.0000,242.440585619395,6,6
20622,31,5,1-31-2021-005-07,7,1,1,5,1st Prior Event,95,13505,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,242.440585619395,6,6
20622,31,5,1-31-2021-005-07,7,1,1,4,Most Recent Event,1,13505,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,242.440585619395,6,6
20622,31,5,1-31-2021-005-07,7,1,1,6,2nd Prior Event,1,13505,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,242.440585619395,6,6
20668,31,7,1-31-2021-007-07,7,1,1,1,Event Record 1,1,14114,0,1,9997.0000,1,182.5000,-20.9300,182.5000,3.0590,160.0000,242.440585619395,6,6
20758,31,10,1-31-2021-010-10,10,1,1,1,Non-Deployment,99,27113,0,97,9997.0000,7,6.2500,-0.3542,6.2500,997.0000,9997.0000,255.507439927165,6,6
20891,31,13,1-31-2021-013-04,4,2,1,1,Event Record 1,97,5895,0,1,9997.0000,1,300.0000,-8.0500,300.0000,0.0000,12.5000,223.387528164507,6,6
20365,32,2,1-32-2021-002-07,7,1,1,1,Event Record 1,1,6521,0,1,9997.0000,1,190.0000,-22.5400,220.0000,-12.8800,102.5000,13698.2428538335,7,6
20365,32,2,1-32-2021-002-07,7,2,1,1,First Record,1,13335,0,1,9997.0000,1,9997.0000,-27.0480,210.0000,997.0000,9997.0000,13698.2428538335,7,6
20532,32,6,1-32-2021-006-01,1,1,1,1,Event Record 1,1,4683,0,1,9997.0000,1,25.0000,-1.6100,52.5000,1.6100,22.5000,229.912706115191,7,6
20532,32,6,1-32-2021-006-01,1,1,1,2,Event Record 2,1,4683,0,2,0.3000,1,0.0000,-1.6100,0.0000,0.0000,7.5000,229.912706115191,7,6
20616,32,9,1-32-2021-009-02,2,1,1,1,Event Record 1,1,14820,0,1,9997.0000,1,9997.0000,-16.1000,144.0000,11.2700,118.0000,82.2565401852226,7,6
20616,32,9,1-32-2021-009-02,2,2,1,5,3rd Prior Event,97,999997,7,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,82.2565401852226,7,6
20616,32,9,1-32-2021-009-02,2,2,1,1,4th Prior Event,97,999997,7,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,82.2565401852226,7,6
20616,32,9,1-32-2021-009-02,2,2,1,2,Most Recent Event,95,16613,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,82.2565401852226,7,6
