CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
20330,21,1,1-21-2021-001-09,9,1,LF,17,POTENZA RE92,P165/65R14,ELCX JCD 0812,6,0,1,100.603121066211,11,6
20330,21,1,1-21-2021-001-09,9,1,LR,17,POTENZA RE92,P165/65R14,ELCX JCD 3818,6,0,1,100.603121066211,11,6
20330,21,1,1-21-2021-001-09,9,1,RR,17,POTENZA RE92,P165/65R14,ELCX,7,0,1,100.603121066211,11,6
20330,21,1,1-21-2021-001-09,9,1,RF,17,POTENZA RE92,P165/65R14,9999999999999,6,1,1,100.603121066211,11,6
20351,24,1,1-24-2021-001-04,4,2,LF,70,wrangler,P235/75R15,M7HL FNWR4518,5,0,1,222.125825515611,1,6
20351,24,1,1-24-2021-001-04,4,2,RF,70,wrangler,P235/75R15,M7HL FNWR4518,7,0,1,222.125825515611,1,6
22629,30,64,1-30-2021-064-05,5,2,RF,119,fp7000,P245/40R18,R8JX,7,0,1,32.4574140696173,10,6
22629,30,64,1-30-2021-064-05,5,2,LF,119,fp7000,P245/40R18,R8JX,7,0,1,32.4574140696173,10,6
22629,30,64,1-30-2021-064-05,5,2,LR,188,ingensai,P265/35R18,KB2H     1218,7,0,1,32.4574140696173,10,6
22636,21,98,1-21-2021-098-02,2,2,LF,999,Unknown,UNKNOWN,9999999999999,99,9,9,11.6475231613423,11,6
22636,21,98,1-21-2021-098-02,2,2,LR,999,Unknown,UNKNOWN,9999999999999,99,9,9,11.6475231613423,11,6
22636,21,98,1-21-2021-098-02,2,2,RR,999,Unknown,UNKNOWN,9999999999999,99,9,9,11.6475231613423,11,6
22636,21,98,1-21-2021-098-02,2,2,RF,999,Unknown,UNKNOWN,9999999999999,99,9,9,11.6475231613423,11,6
22639,21,101,1-21-2021-101-08,8,2,LF,182,RADIAL RP18,P205/60R16,00KJEEAAJ3620,4,0,1,163.71988614482,11,6
22639,21,101,1-21-2021-101-08,8,2,RF,182,RADIAL RP18,P205/60R16,00KJEEAAJ3620,3,0,1,163.71988614482,11,6
22639,21,101,1-21-2021-101-08,8,2,LR,57,PRO G4 A/S,P205/60R16,R820 4M4R0419,6,1,1,163.71988614482,11,6
22639,21,101,1-21-2021-101-08,8,2,RR,57,PRO G4 A/S,P205/60R16,R820 4M4R0419,5,1,1,163.71988614482,11,6
22640,66,55,1-66-2021-055-09,9,1,LF,173,Laredo,LT265/75R16,BFW8 FEUU2406,5,0,2,163.501184730844,6,6
22640,66,55,1-66-2021-055-09,9,1,LR,173,Laredo,LT265/75R16,BFW8 FEUU1307,5,0,2,163.501184730844,6,6
20351,24,1,1-24-2021-001-04,4,2,LR,70,wrangler,P235/75R15,UT1T LY2 2520,7,0,1,222.125825515611,1,6
20351,24,1,1-24-2021-001-04,4,2,RR,70,wrangler,P235/75R15,M7HL FNWR3017,6,0,1,222.125825515611,1,6
20353,52,1,1-52-2021-001-06,6,1,LF,129,Scorpion zero,P275/45R22,N9FAM757,6,0,1,54.0863209418249,12,6
20353,52,1,1-52-2021-001-06,6,1,LR,129,Scorpion zero,P275/45R22,N9FAM757 2618,6,0,1,54.0863209418249,12,6
20353,52,1,1-52-2021-001-06,6,1,RR,129,Scorpion zero,P275/45R22,N9FAM757 2618,6,0,1,54.0863209418249,12,6
