CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTAREA,CONTCOMP,OCCNO,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
20365,32,2,1-32-2021-002-07,7,2,A,8,152,1,401,8,2,13698.2428538335,7,6
20391,22,1,1-22-2021-001-01,1,2,E,8,152,2,812,4,1,42.5090957210553,12,6
20445,66,2,1-66-2021-002-03,3,1,A,8,152,1,501,8,1,361.761009117995,6,6
20440,13,2,1-13-2021-002-05,5,1,A,8,152,1,401,8,2,401.656518587378,7,6
20431,32,3,1-32-2021-003-03,3,2,A,8,152,1,401,8,2,876.735351282265,7,6
20499,17,5,1-17-2021-005-02,2,1,B,8,152,1,501,3,2,63.7137743550154,4,6
23777,77,87,1-77-2021-087-02,2,1,C,8,152,1,401,3,2,145.906571911732,9,6
23800,13,107,1-13-2021-107-02,2,2,D,8,152,2,401,8,3,42.4046516226284,7,6
24233,13,125,1-13-2021-125-01,1,1,F,8,152,1,401,8,2,71.8583957109545,7,6
24362,12,72,1-12-2021-072-03,3,1,A,8,152,1,401,8,2,296.379298974909,9,6
23028,21,119,1-21-2021-119-03,3,1,C,8,152,1,501,8,1,145.75691188569,11,6
23028,21,119,1-21-2021-119-03,3,1,D,8,152,2,401,8,1,145.75691188569,11,6
23028,21,119,1-21-2021-119-03,3,1,E,8,152,2,501,8,1,145.75691188569,11,6
23157,32,104,1-32-2021-104-02,2,2,A,8,152,1,401,98,1,81.5577223560756,7,6
23263,20,124,1-20-2021-124-06,6,2,E,8,152,1,401,8,1,218.32807739826,11,6
23483,13,88,1-13-2021-088-05,5,2,A,8,152,1,401,8,3,88.3395992784713,7,6
22404,52,107,1-52-2021-107-03,3,2,B,8,152,1,811,8,1,40.2526345439779,12,6
22784,20,96,1-20-2021-096-03,3,1,B,8,152,1,401,8,2,136.197178365205,11,6
22810,76,49,1-76-2021-049-10,10,1,B,8,152,1,401,8,1,117.340879786809,3,6
22870,20,100,1-20-2021-100-06,6,2,C,8,152,1,401,8,2,1007.28811250168,11,6
23013,20,108,1-20-2021-108-06,6,2,U,8,152,2,401,9,2,201.944426590463,11,6
23028,21,119,1-21-2021-119-03,3,1,B,8,152,1,401,8,1,145.75691188569,11,6
21900,26,64,1-26-2021-064-02,2,1,E,8,152,1,401,8,2,53.1651382991051,10,6
21928,11,30,1-11-2021-030-03,3,1,D,8,152,1,401,8,3,1671.22484229714,8,6
22783,20,95,1-20-2021-095-06,6,1,F,4,611,1,201,96,1,274.537180982257,11,6
22407,76,43,1-76-2021-043-04,4,1,A,4,611,1,201,3,3,18.0235286259961,3,6
22407,76,43,1-76-2021-043-04,4,1,B,4,611,1,201,3,3,18.0235286259961,3,6
22407,76,43,1-76-2021-043-04,4,1,C,4,611,1,201,3,3,18.0235286259961,3,6
22747,12,29,1-12-2021-029-03,3,2,A,4,611,1,401,3,2,456.248537167316,9,6
22434,29,56,1-29-2021-056-07,7,1,E,4,611,1,762,3,2,201.290736061875,2,6
22757,52,120,1-52-2021-120-06,6,1,A,4,611,1,201,6,1,64.6748563357021,12,6
22766,28,59,1-28-2021-059-09,9,1,D,4,611,1,401,6,2,102.363128837394,3,6
22769,18,59,1-18-2021-059-05,5,1,B,4,611,1,501,4,3,59.2757632022085,6,6
22762,66,59,1-66-2021-059-05,5,2,A,4,611,1,401,3,2,113.709358166044,6,6
22700,20,92,1-20-2021-092-01,1,1,A,4,611,1,201,6,1,41.7944083524258,11,6
22724,21,106,1-21-2021-106-03,3,2,A,4,611,1,201,4,3,332.264357838245,11,6
22675,52,119,1-52-2021-119-06,6,1,C,4,611,1,401,3,1,223.431299473393,12,6
22731,29,63,1-29-2021-063-08,8,1,J,4,611,1,201,6,1,48.408545478133,2,6
22738,77,62,1-77-2021-062-05,5,1,A,4,611,1,401,96,2,110.58442836614,9,6
22738,77,62,1-77-2021-062-05,5,2,A,4,611,1,401,3,3,110.58442836614,9,6
22659,77,61,1-77-2021-061-06,6,1,C,4,611,1,401,3,2,1405.21695623288,9,6
22678,66,56,1-66-2021-056-09,9,1,A,4,611,1,401,3,1,379.372625009413,6,6
22679,66,57,1-66-2021-057-04,4,1,C,4,611,1,401,6,1,233.437100138134,6,6
22141,30,49,1-30-2021-049-06,6,1,B,8,152,1,401,8,3,535.257356359152,10,6
22149,17,47,1-17-2021-047-03,3,1,A,8,152,1,501,3,2,491.251939637785,4,6
22283,20,69,1-20-2021-069-03,3,1,B,8,152,1,401,8,2,101.121171547385,11,6
22349,13,52,1-13-2021-052-02,2,1,A,8,152,1,401,8,2,118.884309973641,7,6
21067,20,22,1-20-2021-022-03,3,1,G,8,152,1,401,8,2,136.591111033797,11,6
21348,17,26,1-17-2021-026-06,6,1,C,8,152,1,501,3,1,240.574841543796,4,6
21396,19,50,1-19-2021-050-08,8,1,C,8,152,1,401,3,1,144.775935827217,9,6
21497,20,36,1-20-2021-036-09,9,1,H,8,152,2,501,8,2,1402.32281175159,11,6
21533,28,28,1-28-2021-028-03,3,1,C,8,152,1,401,3,3,52.4243840843454,3,6
21900,26,64,1-26-2021-064-02,2,1,D,8,152,1,501,8,2,53.1651382991051,10,6
22250,52,99,1-52-2021-099-03,3,2,C,8,152,1,811,8,1,26.0926145777042,12,6
20598,52,13,1-52-2021-013-04,4,1,D,8,152,2,812,8,1,51.735005042951,12,6
20700,13,8,1-13-2021-008-03,3,1,A,8,152,1,401,8,2,1841.76475680042,7,6
20732,19,20,1-19-2021-020-02,2,1,D,8,152,1,501,8,1,47.1230765782335,9,6
20855,66,8,1-66-2021-008-04,4,1,G,8,152,1,811,9,2,725.918410413119,6,6
20976,32,26,1-32-2021-026-02,2,3,B,8,152,2,401,8,2,22.8797794375151,7,6
23080,13,70,1-13-2021-070-02,2,1,G,8,152,2,501,8,2,44.2481715499832,7,6
23338,20,126,1-20-2021-126-02,2,1,O,8,152,1,501,8,2,55.9656336770062,11,6
23338,20,126,1-20-2021-126-02,2,1,P,8,152,1,401,8,2,55.9656336770062,11,6
23739,27,90,1-27-2021-090-03,3,2,E,8,152,1,401,8,2,120.534680425377,3,6
24188,20,166,1-20-2021-166-03,3,1,E,8,152,1,401,8,1,208.87708348032,11,6
22107,13,46,1-13-2021-046-06,6,1,A,8,152,1,401,8,3,3331.42828389727,7,6
23100,76,56,1-76-2021-056-06,6,1,B,8,152,1,401,8,1,45.3962531213133,3,6
23100,76,56,1-76-2021-056-06,6,1,C,8,152,1,501,8,2,45.3962531213133,3,6
23395,13,84,1-13-2021-084-06,6,1,B,8,152,2,401,8,2,1774.65060463071,7,6
23209,77,73,1-77-2021-073-08,8,1,N,8,152,1,501,8,2,403.747925108277,9,6
23209,77,73,1-77-2021-073-08,8,1,O,8,152,1,401,8,2,403.747925108277,9,6
23080,13,70,1-13-2021-070-02,2,1,F,8,152,2,712,3,2,44.2481715499832,7,6
21206,32,37,1-32-2021-037-02,2,1,A,8,152,1,401,8,2,63.5838481341761,7,6
21607,52,66,1-52-2021-066-03,3,1,G,8,152,2,819,8,1,46.9368148840695,12,6
24063,12,63,1-12-2021-063-06,6,1,C,8,152,2,401,8,2,430.990227379567,9,6
24366,11,83,1-11-2021-083-01,1,2,I,8,152,2,811,6,2,159.147544503214,8,6
24366,11,83,1-11-2021-083-01,1,2,K,8,152,2,501,8,2,159.147544503214,8,6
22693,14,53,1-14-2021-053-02,2,1,A,4,611,1,201,11,1,234.48880178423,8,6
22698,20,90,1-20-2021-090-03,3,1,E,4,611,1,201,4,3,137.693584713814,11,6
22700,20,92,1-20-2021-092-01,1,1,U,4,611,1,201,6,2,41.7944083524258,11,6
22629,30,64,1-30-2021-064-05,5,2,A,4,611,1,201,3,3,32.4574140696173,10,6
22629,30,64,1-30-2021-064-05,5,2,B,4,611,1,741,3,3,32.4574140696173,10,6
22658,77,60,1-77-2021-060-03,3,2,A,4,611,1,501,3,3,690.955747887842,9,6
22661,59,40,1-59-2021-040-01,1,2,E,4,611,1,401,3,2,244.707713045659,6,6
22659,77,61,1-77-2021-061-06,6,1,A,4,611,1,201,3,2,1405.21695623288,9,6
22659,77,61,1-77-2021-061-06,6,1,B,4,611,1,501,3,2,1405.21695623288,9,6
22563,59,39,1-59-2021-039-09,9,1,A,4,611,1,401,3,3,1044.51825908921,6,6
22567,19,107,1-19-2021-107-05,5,1,A,4,611,1,999,6,3,90.0313489330694,9,6
22594,28,55,1-28-2021-055-02,2,1,D,4,611,1,201,6,3,41.7224731798548,3,6
22618,20,89,1-20-2021-089-05,5,1,E,4,611,1,201,6,1,41.7682909515469,11,6
22618,20,89,1-20-2021-089-05,5,2,A,4,611,1,201,4,3,41.7682909515469,11,6
22596,13,55,1-13-2021-055-03,3,1,B,4,611,1,201,4,1,1447.50371680501,7,6
22528,27,60,1-27-2021-060-03,3,1,A,4,611,1,401,98,2,68.1412752600743,3,6
22521,20,83,1-20-2021-083-05,5,1,R,4,611,1,201,4,1,41.7682909515469,11,6
22521,20,83,1-20-2021-083-05,5,1,U,4,611,1,201,4,1,41.7682909515469,11,6
22521,20,83,1-20-2021-083-05,5,1,V,4,611,1,201,6,2,41.7682909515469,11,6
22546,25,66,1-25-2021-066-04,4,1,A,4,611,1,401,3,3,578.129069486656,2,6
22546,25,66,1-25-2021-066-04,4,1,B,4,611,1,401,3,3,578.129069486656,2,6
22478,10,65,1-10-2021-065-09,9,1,A,4,611,1,201,6,3,1993.12611533268,4,6
22433,29,55,1-29-2021-055-01,1,1,A,4,611,1,201,6,1,46.7136508945859,2,6
22487,12,23,1-12-2021-023-01,1,1,B,4,611,1,201,6,3,271.546777212895,9,6
22498,52,113,1-52-2021-113-09,9,1,A,4,611,1,999,3,2,136.748177852828,12,6
22500,66,52,1-66-2021-052-10,10,1,B,4,611,1,401,4,2,983.818245262762,6,6
22519,20,81,1-20-2021-081-03,3,2,A,4,611,1,741,3,3,166.228830304906,11,6
22454,20,79,1-20-2021-079-06,6,1,F,4,611,1,201,4,3,249.858551085493,11,6
22454,20,79,1-20-2021-079-06,6,2,A,4,611,1,201,4,1,249.858551085493,11,6
22424,16,55,1-16-2021-055-02,2,1,D,4,611,1,201,6,2,43.7032445824449,5,6
22424,16,55,1-16-2021-055-02,2,1,E,4,611,1,201,6,3,43.7032445824449,5,6
22424,16,55,1-16-2021-055-02,2,1,F,4,611,1,201,6,3,43.7032445824449,5,6
22473,77,57,1-77-2021-057-02,2,1,A,4,611,1,201,3,3,86.1478225129126,9,6
22406,52,109,1-52-2021-109-06,6,2,C,4,611,1,201,6,1,81.8629626675087,12,6
22035,12,12,1-12-2021-012-01,1,2,G,1,4,1,401,1,2,284.409163761138,9,6
22043,66,38,1-66-2021-038-03,3,1,C,7,631,2,401,3,1,203.414670146234,6,6
22038,29,43,1-29-2021-043-04,4,1,P,7,631,2,762,3,1,281.225537271375,2,6
22046,17,44,1-17-2021-044-08,8,2,B,1,24,1,841,3,3,106.22669542955,4,6
22046,17,44,1-17-2021-044-08,8,2,C,1,24,1,842,3,2,106.22669542955,4,6
22040,19,81,1-19-2021-081-08,8,1,D,1,24,1,859,4,1,419.600962768099,9,6
