CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
23758,26,158,1-26-2021-158-07,7,2,262,444,170,1095,147,82,102,130,4,1.7,2,9,9,0,1530.67324403476,10,6
23758,26,158,1-26-2021-158-07,7,1,280,482,183,1475,160,94,108,132,4,2.0,9,9,9,0,1530.67324403476,10,6
23759,26,159,1-26-2021-159-02,2,2,258,439,173,1156,152,83,98,155,4,1.6,2,1,0,0,14.4738277659613,10,6
23762,76,73,1-76-2021-073-01,1,1,258,422,176,1524,147,70,92,150,6,4.0,2,3,0,0,20.40820692029,3,6
23762,76,73,1-76-2021-073-01,1,2,292,482,194,2121,163,88,102,999,6,3.6,2,3,9,0,20.40820692029,3,6
23762,76,73,1-76-2021-073-01,1,3,264,441,174,1365,154,96,81,999,4,2.0,2,4,9,0,20.40820692029,3,6
23763,30,102,1-30-2021-102-09,9,1,303,509,197,1870,168,98,108,999,6,3.3,9,9,9,0,2002.28030336292,10,6
23764,30,103,1-30-2021-103-07,7,1,999,999,999,9999,999,999,999,999,99,99.0,9,9,9,0,1567.22387954514,10,6
23764,30,103,1-30-2021-103-07,7,2,281,463,181,1620,156,78,104,150,6,3.0,2,2,0,1,1567.22387954514,10,6
23766,31,81,1-31-2021-081-07,7,1,270,469,188,1711,164,93,106,151,4,2.0,2,1,0,1,242.440585619395,6,6
23768,16,95,1-16-2021-095-04,4,1,262,469,171,1221,148,102,105,999,4,2.2,9,1,9,0,940.894689798493,5,6
21102,28,18,1-28-2021-018-03,3,2,357,579,201,2134,173,102,121,160,6,3.6,2,2,0,1,46.7688147475126,3,6
21108,32,31,1-32-2021-031-03,3,1,291,497,183,1642,157,87,119,156,4,2.0,2,1,0,1,629.061874965487,7,6
21108,32,31,1-32-2021-031-03,3,2,285,483,193,1990,165,99,100,180,6,3.7,2,1,0,1,629.061874965487,7,6
21105,59,11,1-59-2021-011-08,8,2,276,454,186,1784,155,71,105,158,6,3.7,2,4,0,0,354.385978875362,6,6
21145,26,29,1-26-2021-029-07,7,1,306,481,184,1624,157,87,88,143,4,2.5,2,1,1,0,2030.622812718,10,6
21145,26,29,1-26-2021-029-07,7,3,245,451,188,1665,157,102,104,999,6,3.8,2,9,9,0,2030.622812718,10,6
21125,22,29,1-22-2021-029-03,3,1,263,445,181,1479,152,92,90,999,4,2.4,9,3,9,0,100.736335780272,12,6
21125,22,29,1-22-2021-029-03,3,2,306,512,199,2079,175,97,111,172,6,3.3,2,1,0,0,100.736335780272,12,6
21151,15,29,1-15-2021-029-10,10,1,278,486,182,1624,158,97,111,999,6,3.5,9,1,9,0,115.846502878741,1,6
21151,15,29,1-15-2021-029-10,10,2,284,492,179,1571,156,95,113,999,6,3.5,2,1,0,0,115.846502878741,1,6
21128,19,38,1-19-2021-038-08,8,1,306,511,203,2041,172,99,106,180,8,4.7,2,2,0,1,117.558391562612,9,6
21022,16,16,1-16-2021-016-07,7,1,274,481,182,1389,157,98,109,999,4,2.3,2,1,9,0,6488.02375476846,5,6
21022,16,16,1-16-2021-016-07,7,2,414,628,200,2658,170,98,116,168,6,3.7,2,3,0,0,6488.02375476846,5,6
21165,54,10,1-54-2021-010-06,6,1,268,461,180,1407,154,97,96,165,4,1.8,2,1,0,0,354.05202051507,9,6
21165,54,10,1-54-2021-010-06,6,2,277,481,182,1441,159,96,108,170,4,2.5,2,1,0,0,354.05202051507,9,6
21171,24,37,1-24-2021-037-06,6,1,379,595,202,3005,175,100,116,190,8,6.4,2,3,0,0,237.625735358055,1,6
21188,10,35,1-10-2021-035-07,7,1,237,391,169,1080,144,999,999,150,4,1.5,2,1,0,0,483.952711267691,4,6
23768,16,95,1-16-2021-095-04,4,2,273,465,184,1580,158,95,98,999,4,1.5,2,4,9,0,940.894689798493,5,6
23774,23,118,1-23-2021-118-05,5,1,353,563,202,1917,999,100,110,999,8,4.6,9,2,9,0,79.5378796779388,5,6
23774,23,118,1-23-2021-118-05,5,2,268,461,180,1407,154,97,96,150,4,1.4,2,1,0,0,79.5378796779388,5,6
